label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,10.5694,623.064,354.659,585,0.0268054,26716,1611489,16.9802,15.8041,9.3408,14.8712,18.8245,14.0546,16.82,7.9254,10.6862
2,8.56694,522.093,341.312,493,0.0727514,75993.9,1306179,18.4368,15.1328,7.93636,16.6344,20.3835,13.8133,16.5973,6.51644,9.23916
3,7.65745,428.342,343.002,377,0.239531,17215.7,1167512,15.4527,14.7005,11.8493,14.1845,17.2283,12.5141,16.7829,10.6481,13.1233
4,7.43782,736.674,536.669,665,0.000371875,25893.7,1134025,16.6598,15.3112,14.7861,15.3166,18.6389,12.8296,16.6715,13.4089,16.0555
5,6.5358,680.909,554.018,617,4.32959,94854.4,996496,16.8294,12.0576,14.2759,15.131,18.212,10.6581,13.7576,13.3518,15.5414
6,6.12787,651.429,557.616,577,6.88245e-08,78497.6,934301,15.7914,15.1244,13.3714,14.4072,17.3954,12.941,16.7458,12.0571,15.1796
7,6.0887,642.589,355.803,607,0.254163,28433.6,928328,19.1879,14.6349,10.578,17.3211,20.996,12.8667,16.3746,8.8774,11.7905
8,5.84659,816.992,459.981,767,0.0141286,33497.4,891414,19.6567,10.8374,13.8802,18.2491,21.2744,9.63728,12.2542,12.7616,15.0654
9,5.70362,563.743,331.945,527,0.0585008,14402.5,869616,17.1682,15.3958,6.30509,15.8734,18.676,13.8875,16.4859,5.08844,7.31612
10,5.49984,917.192,659.125,859,0.00239696,81606.5,838547,17.414,15.4062,13.2343,16.4488,19.0843,13.2008,16.7829,11.8857,14.4371
11,5.32385,843.856,832.185,773,6.39388e-05,128833,811714,16.6464,13.5837,16.724,15.5022,18.509,11.9202,14.797,15.332,17.8452
12,5.14075,720.14,370.764,683,0.303667,23175.1,783797,20.2118,12.8644,11.3467,18.843,21.4229,11.1592,14.203,10.2673,12.7044
13,5.00702,696.505,400.149,649,0.115748,34896.5,763408,17.8857,15.9343,11.2266,16.3931,19.2885,14.3701,16.8571,10.3244,12.3236
14,4.98031,646.954,333.213,611,3.98576,24023.7,759335,17.6018,13.1297,8.10982,16.5416,19.0286,11.8459,14.4629,6.09756,9.46764
15,4.63469,840.851,470.438,799,0.115411,38131.1,706639,18.8972,13.6311,13.9209,17.3026,20.3093,12.2728,15.0011,13.0472,14.894
16,4.58704,808.588,465.589,793,34.4872,69884.2,699375,17.2596,11.8659,12.6508,16.2632,18.6574,10.2498,14.2958,10.9528,13.5612
17,4.56186,575.202,380.265,557,0.1452,15931.9,695535,15.7691,12.3488,12.8203,14.3144,17.2469,10.9922,13.572,11.7334,14.0753
18,4.49336,749.42,372.802,697,11.0748,21639.2,685091,14.9887,12.6902,7.60463,14.0174,16.653,11.6789,13.5349,6.64972,8.7822
19,4.42593,565.968,377.578,543,0.0535523,19922.3,674811,21.2462,10.7582,10.108,18.0264,22.7592,9.1176,12.0686,8.89644,11.086
20,4.32025,775.127,449.728,719,0.450814,30837.1,658698,18.5493,15.2371,13.0101,17.1912,19.9752,13.9061,16.5973,11.6382,14.4561
21,4.2881,571.446,343.83,535,0.065643,17512.2,653795,16.0381,15.7609,7.75702,14.5371,17.2283,14.667,16.6715,6.84012,8.7822
