label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,22.3967,250.254,2830.79,15.7665,-0.620398,114926,5752,14.3074,9.69864,21.2893,13.4106,15.5362,8.25006,11.2585,18.7073,23.608
2,33.3003,281.121,1841.25,113.852,0.0160916,103757,8507,15.6038,9.96911,16.1241,14.1731,17.1031,8.20462,11.8074,12.9391,19.7396
3,23.6486,160.778,333.8,83.9011,8.20766,15912,6706,13.9719,9.99562,17.3047,12.5801,14.9972,8.34589,11.7111,15.2329,19.5605
4,2.49841,1590.48,4170.27,1042.39,278.565,94985.5,668,17.2209,10.1986,14.0264,16.6532,17.7665,9.69997,10.7965,13.5639,14.5522
5,9.60919,939.481,3334.31,732.581,43.3943,120982,2427,16.5806,10.9353,12.777,15.2905,17.7841,9.8644,11.8503,11.6147,13.9606
6,4.42086,901.781,3218.11,548.631,141.65,81353.4,1252,12.5795,11.2759,15.651,11.7694,13.2689,10.387,11.9551,14.8409,16.546
7,14.0505,407.286,1330.91,168.673,6.08409,77451.2,3847,13.8308,10.7031,14.5717,12.1698,14.9095,9.08526,11.7949,12.8943,16.2075
8,0.538393,3840.24,9178.81,1532.96,762.245,60413.5,167,17.5882,9.94459,14.5429,17.304,17.8866,9.66118,10.318,14.2545,14.8973
9,0.290965,3095.24,3036.96,1964.15,1334.08,19813.6,74,17.7674,10.2496,13.8838,17.5979,18.0006,9.74303,10.6531,13.5947,14.3907
10,0.934406,5258.46,8453.49,3155.82,1533.61,79402.6,325,17.402,10.0951,11.8991,16.8684,17.8401,9.73409,10.4305,11.5016,12.3612
11,1.86943,2462.23,1895.56,1729.51,756.577,31565.2,496,17.023,11.105,11.848,16.1489,17.8935,10.1455,11.8337,11.2533,12.4992
12,1.09163,3308.97,7996.09,1747.5,443.604,81643.9,326,11.814,11.1519,15.9214,11.4116,12.1303,10.6975,11.5804,15.5041,16.3921
13,2.30017,3168.93,9500.33,1383.96,436.028,117620,748,11.7714,11.5331,15.0148,11.2651,12.3273,10.8421,12.2151,14.4823,15.6405
14,8.02877,403.789,1048.79,280.923,43.9889,44302.7,2201,14.2212,9.49486,12.5588,13.3736,15.1086,8.75445,10.3458,11.2844,13.9134
15,0.255017,1282.02,202.447,1230.75,825.562,1715,65,12.8639,11.4679,14.0776,12.2931,13.513,10.9914,11.6881,13.694,14.2574
16,0.154516,2101.91,839.062,1798.07,1102.21,4625.8,43,17.7411,10.0408,14.7384,17.4058,17.8956,9.76826,10.2501,14.5925,14.9815
17,0.236376,3387.17,5115.26,2136.96,923.442,41723.8,205,17.4589,9.63413,14.7821,17.2777,17.684,9.40661,9.82763,14.6049,14.9398
18,1.27979,3467.14,2191.74,2583.92,1443.9,22162.5,394,18.1653,9.85868,13.9784,17.6929,18.6247,9.36442,10.3256,13.6695,14.3393
19,0.713946,4719.27,8461.59,2215.05,1522.68,63270.8,231,18.0564,10.5716,13.8875,17.6988,18.3693,10.2354,10.8764,13.6473,14.2321
20,0.941695,3388,3961.4,2460.87,1745.14,45510.6,327,17.8576,9.84455,11.703,17.5197,18.2627,9.43731,10.2655,11.3834,12.0536
21,0.322847,6465.95,10056.5,3093.25,2603.9,59981.4,163,17.3303,9.71121,11.6893,17.0665,17.5491,9.46455,9.96284,11.4977,11.9214
22,5.96618,1914.17,3580.85,1129.38,151.561,91475.6,1631,17.454,10.9692,11.0496,16.3698,18.4073,10.2636,11.6911,10.1546,11.995
23,0.481729,3424.03,835.491,2780.21,2044.13,9205.47,231,17.4378,11.8333,12.0145,17.1379,17.6821,11.5864,12.1568,11.7461,12.2658
24,1.74986,5734.95,12573.8,2051.65,775.491,114185,450,11.297,10.6916,16.3214,10.7007,11.9248,10.2217,11.2032,15.8175,16.7553
25,0.473777,4747.45,5933.25,2599.75,815.686,56790.8,141,11.8015,11.2735,16.4305,11.4895,12.0387,10.9229,11.5308,16.1702,16.7174
26,2.22363,3612.75,4853.13,2652.78,1235.33,61809.2,594,11.1675,11.7612,14.5567,10.5412,11.7848,11.1835,12.3287,13.9678,15.1873
27,0.32199,3430.29,1914.3,2873.01,1757.74,23045.6,276,11.8999,12.1317,14.6686,11.6676,12.1442,11.8932,12.3702,14.4642,14.9236
28,2.93795,903.711,866.432,785.765,346.651,21384.5,820,14.6972,8.88436,11.3878,13.8716,15.3936,8.20974,9.50199,10.7195,12.0251
29,0.339282,1222.7,389.356,1003.88,656.058,2622.29,150,14.4047,9.70931,11.2841,14.2005,14.6228,9.48953,9.89134,11.0199,11.5188
30,8.32357,365.165,303.973,281.302,55.3274,3639.96,2246,12.008,9.02537,13.9913,10.8045,13.2066,7.95709,10.1541,13.2667,14.837
31,14.9009,749.177,1954.95,578.173,91.0679,72909.5,3831,12.8203,10.8467,12.4759,11.4534,14.2951,9.62962,11.8117,10.9389,14.1076
32,0.877814,2758.01,1055.49,2198.58,1550.31,10822.2,299,17.8547,9.81651,15.1591,17.51,18.1954,9.46086,10.1409,14.7496,15.5613
33,0.5829,3079.22,6312.61,1051.15,713.411,62762.6,210,17.5706,10.3857,14.952,17.3661,17.8039,10.066,10.766,14.6902,15.2169
34,0.160812,2746.68,1906.05,2753.25,990.964,13841.4,306,17.2377,9.54828,14.9039,17.1038,17.371,9.4045,9.68683,14.7357,15.0506
35,0.0801178,2158.8,1179.35,1733.96,1094.13,7332.07,73,17.4581,9.40805,14.7304,17.2859,17.579,9.29263,9.5113,14.6138,14.8807
36,1.66762,3482.25,1061.69,3370.92,2039.93,17066.8,486,18.6551,9.18317,13.9658,18.1356,19.1574,8.65298,9.73332,13.6593,14.2753
37,0.1281,5937.64,5419.84,3688.83,2682.47,31104,111,18.181,9.43353,13.7296,18.0658,18.3564,9.27954,9.60078,13.5398,13.9061
38,0.299256,5363.61,7603.93,2972.55,2121.7,53946.6,259,18.1593,11.0397,13.9224,17.9966,18.3355,10.8339,11.2756,13.7404,14.0957
39,0.426019,4285.11,2667.73,3692.46,2199.28,29322.6,309,18.5099,10.8244,13.8713,18.2507,18.8157,10.5748,11.0515,13.6477,14.0811
40,0.272807,4976.65,8199.86,2814.76,1994.88,71527.3,234,18.3643,9.97695,11.8237,18.1309,18.6228,9.7768,10.1316,11.6211,11.9701
41,1.93329,2366.39,817.763,2148.04,1314.1,10209.6,636,18.5291,9.44809,11.4941,17.9011,19.1467,8.88739,9.99634,11.0753,11.9077
42,0.331758,3820.38,2614.8,3076.04,2068.73,19719.2,292,17.1142,9.50108,11.9063,16.8875,17.3291,9.28306,9.70708,11.6859,12.1457
43,0.258388,4109.61,2004.01,3373.01,2374.72,20153.2,235,17.1889,9.51143,11.5026,16.9831,17.3792,9.33511,9.717,11.2491,11.7048
44,0.624603,3367.47,3529.59,2176.84,1255.01,33557.8,198,18.2589,11.5665,10.8739,17.8927,18.5518,11.2517,11.8237,10.5708,11.1997
45,0.872755,1745.38,1118.91,1505.53,790.416,11750.9,236,18.1102,10.9081,10.3928,17.2041,18.466,10.3155,11.5723,10.0219,10.7192
46,0.458035,4137.82,1828.05,3569.1,2693.14,21809.7,410,17.8641,12.0324,12.0795,17.61,18.1702,11.7833,12.2673,11.8809,12.2716
47,0.0168754,5135.46,1775.52,4417.7,3631.82,9625.55,14,17.4851,12.1035,12.0167,17.2965,17.6669,12.037,12.2141,11.8301,12.1613
