time,Flow,RR,Inspiration
0.82,0.735,0,1
0.83,26.271,0,1
0.84,48.896,0,1
0.85,61.728,0,1
0.86,68.226,0,1
0.87,72.813,0,1
0.88,74.7,0,1
0.89,73.774,0,1
0.9,72.693,0,1
0.91,71.54,0,1
0.92,69.414,0,1
0.93,66.489,0,1
0.94,63.111,0,1
0.95,59.716,0,1
0.96,55.226,0,1
0.97,48.408,0,1
0.98,38.504,0,1
0.99,22.285,0,1
1,1.956,0,1
1.01,-9.361,0,0
1.02,-10.193,0,0
1.03,-8.351,0,0
1.04,-7.332,0,0
1.05,-7.221,0,0
1.06,-7.006,0,0
1.07,-6.785,0,0
1.08,-6.978,0,0
1.09,-7.312,0,0
1.1,-7.634,0,0
1.11,-7.91,0,0
1.12,-8.162,0,0
1.13,-8.774,0,0
1.14,-9.564,0,0
1.15,-9.95,0,0
1.16,-10.243,0,0
1.17,-10.528,0,0
1.18,-10.262,0,0
1.19,-8.529,0,0
1.2,-1.261,0,0
1.21,16.037,0,1
1.22,35.207,0,1
1.23,50.184,0,1
1.24,60.286,0,1
1.25,66.221,0,1
1.26,69.141,0,1
1.27,69.043,0,1
1.28,65.933,0,1
1.29,61.989,0,1
1.3,61.784,0,1
1.31,66.739,0,1
1.32,72.334,0,1
1.33,74.015,0,1
1.34,70.592,0,1
1.35,64.317,0,1
1.36,54.29,0,1
1.37,39.613,0,1
1.38,16.467,0,1
1.39,-5.662,0,0
1.4,-10.532,0,0
1.41,-8.772,0,0
1.42,-6.332,0,0
1.43,-5.495,0,0
1.44,-5.49,0,0
1.45,-5.461,0,0
1.46,-6.012,0,0
1.47,-6.76,0,0
1.48,-7.277,0,0
1.49,-7.7,0,0
1.5,-8.462,0,0
1.51,-9.389,0,0
1.52,-9.995,0,0
1.53,-10.257,0,0
1.54,-10.445,0,0
1.55,-10.537,0,0
1.56,-10.438,0,0
1.57,-9.53,0,0
1.58,-2.99,162,0
1.59,17.5,162,1
1.6,39.474,162,1
1.61,51.866,162,1
1.62,57.138,162,1
1.63,59.368,162,1
1.64,58.258,162,1
1.65,58.657,162,1
1.66,60.636,162,1
1.67,63.901,162,1
1.68,68.342,162,1
1.69,70.022,162,1
1.7,67.066,162,1
1.71,61.431,162,1
1.72,54.079,162,1
1.73,45.343,162,1
1.74,35.104,162,1
1.75,21.204,162,1
1.76,1.565,162,1
1.77,-9.424,162,0
1.78,-10.102,162,0
1.79,-7.744,162,0
1.8,-6.114,162,0
1.81,-5.876,162,0
1.82,-6.137,162,0
1.83,-6.751,162,0
1.84,-7.524,162,0
1.85,-7.842,162,0
1.86,-7.913,162,0
1.87,-7.86,162,0
1.88,-7.81,162,0
1.89,-8.229,162,0
1.9,-9.196,162,0
1.91,-10.18,162,0
1.92,-10.401,162,0
1.93,-4.722,164,0
1.94,17.616,164,1
1.95,42.95,164,1
1.96,58.457,164,1
1.97,65.647,164,1
1.98,69.786,164,1
1.99,72.853,164,1
2,74.136,164,1
2.01,75.429,164,1
2.02,76.649,164,1
2.03,75.206,164,1
2.04,73.955,164,1
2.05,71.441,164,1
2.06,65.227,164,1
2.07,55.777,164,1
2.08,44.464,164,1
2.09,31.585,164,1
2.1,14.9,164,1
2.11,-2.396,164,0
2.12,-9.793,164,0
2.13,-10.336,164,0
2.14,-8.889,164,0
2.15,-7.555,164,0
