label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
1,0,3.38675,0.671513,Trachea,12.9502,13.391,20.4918,0.0465936,0.416477,-0.907952
2,1,6.39164,0.617556,LMB,14.1938,14.0174,15.9793,0.364429,-0.024673,-0.930904
3,1,3.25911,0.836724,RMB,12.6208,14.2866,17.3882,-0.25059,0.116749,-0.961028
4,2,1.47968,0.407602,,15.9802,13.7994,13.3804,0.840384,-0.188148,0.508286
5,2,0.908086,0.718552,LMB,15.5718,13.9107,12.6045,0.469999,-0.0613371,-0.880533
6,3,1.9475,0.605858,CrRMB,11.354,14.2123,15.4462,-0.881542,-0.271631,-0.386136
7,3,2.5624,0.900377,RMB,12.0454,14.1705,14.5894,-0.130347,-0.239034,-0.962223
8,4,0.186802,0.362635,,16.6622,13.7205,13.7945,0.645602,0.645602,0.407916
9,4,0.704042,0.312506,,16.8849,13.4514,13.7707,0.80407,-0.593146,0.0406222
10,5,1.04007,0.419255,,15.9894,14.333,12.0429,0.392664,0.86542,-0.311229
11,5,0.396276,0.690315,LMB,15.9059,13.8876,12.0476,0.608921,0.0234691,-0.792884
12,6,0.82419,0.488186,,10.2682,13.7251,15.332,-0.551693,-0.540409,0.63529
13,6,0.804963,0.50307,CrRMB,10.1987,13.9339,14.7989,-0.737748,-0.0345353,-0.674192
14,7,2.38086,0.510315,MiRMB,11.6557,12.695,13.3756,-0.187117,-0.982208,0.0159607
15,7,0.120201,0.857228,RMB,11.8598,13.8643,13.2994,-0.309481,0,-0.950905
16,8,0.804073,0.243135,,16.7782,13.9571,14.1896,0.138545,0.438517,0.88798
17,8,0.675783,0.21478,,16.8617,14.0824,13.7707,0.411967,0.892594,-0.183194
18,9,0.848498,0.265293,,17.5299,13.0245,13.8231,0.853037,-0.514085,0.0896883
19,9,0.553583,0.163472,,17.0473,13.0013,13.7231,-0.435885,-0.871775,-0.223634
20,10,0.269134,0.18433,,16.2864,14.8804,11.881,0.689619,0.724172,0
21,10,0.595576,0.113305,,15.9755,14.9315,11.7429,-0.732401,0.498677,-0.463584
22,11,1.46313,0.542343,LMB,16.2029,13.9247,11.1813,0.241058,0.0443566,-0.969497
23,11,1.27042,0.409404,,16.4905,13.5024,11.7001,0.730466,-0.613655,-0.299743
24,12,0.495321,0.301511,,9.94812,13.4792,15.8222,-0.374626,-0.0936768,0.922431
25,12,1.31592,0.288048,,9.75787,12.9085,15.6033,-0.430162,-0.902636,0.0144386
26,13,0.890648,0.226106,,9.85999,14.3608,14.4799,-0.0937518,0.989841,-0.106889
27,13,0.282832,0.389621,CrRMB,9.78109,13.9015,14.4561,-0.853156,-0.131173,-0.504895
28,14,1.04945,0.384592,MiRMB,11.419,11.0015,13.3804,-0.0264905,-0.99928,-0.0271566
29,14,0.851725,0.304761,,11.1499,11.4516,13.0852,-0.664651,-0.174351,-0.726526
30,15,2.88667,0.554883,AcRMB,12.5326,13.0338,12.2856,0.479029,-0.575438,-0.662874
31,15,1.29402,0.770426,CaRMB,11.6695,13.8457,12.6188,-0.265297,-0.0286702,-0.96374
32,16,0.6186,0.183998,,16.9731,14.1427,14.8226,0.450049,0.0300686,0.892498
33,16,0.407312,0.155545,,16.6994,14.2448,14.6513,-0.660674,0.547002,0.514101
34,17,0.430927,0.129209,,17.0102,14.5928,13.7612,0.0431638,0.969074,0.242965
35,17,0.479382,0.120309,,17.233,14.4025,13.6517,0.968122,0.077391,-0.238225
36,18,0.240422,0.262899,,17.9614,12.7183,13.904,0.578982,-0.733293,0.356456
37,18,0.465342,0.161911,,18.0728,12.9131,13.7611,0.777921,0.458587,-0.429578
38,19,0.224429,0.102849,,16.8154,12.7461,13.6612,-0.992298,-0.123873,0
39,19,0.336551,0.107739,,16.9638,12.5976,13.6374,0.220471,-0.965085,-0.141434
40,20,0.156718,0.16899,,16.4395,15.0104,11.919,0.769532,0.41476,0.485587
41,20,0.659525,0.129943,,16.4395,15.2331,11.681,0.182859,0.773892,-0.606345
42,21,0.237125,0.0771631,,15.6924,15.1079,11.7001,-0.547812,0.234898,0.802948
43,21,0.14712,0.0948048,,15.7295,15.0939,11.5382,-0.378598,0.188959,-0.906068
44,22,0.937492,0.49652,LMB,16.523,13.9015,10.0293,0.306775,-0.11872,-0.944349
45,22,0.253284,0.471061,,16.3699,14.0452,10.3815,-0.0734372,0.696057,-0.714221
46,23,0.899995,0.298452,,17.3907,13.0152,11.4573,0.969339,-0.216446,-0.116334
47,23,0.57035,0.208143,,16.7829,12.8899,11.4621,-0.601911,-0.780924,-0.166914
48,24,0.800015,0.241387,,9.92494,13.2797,16.4029,0.173997,-0.440742,0.880609
49,24,0.566117,0.175967,,9.68829,13.6416,16.184,-0.590161,0.655694,0.47093
50,25,0.0629734,0.222742,,9.46094,12.2867,15.6175,-0.441465,-0.884505,0.150865
51,25,0.426833,0.155292,,9.62334,12.2589,15.47,0.695823,-0.260991,-0.669114
52,26,0.475938,0.106919,,9.89249,14.9687,14.5847,0.312014,0.701981,0.640211
53,26,0.0680936,0.142361,,9.81824,14.8202,14.4037,0,0.544836,-0.838542
54,27,1.06904,0.200791,,9.22429,14.101,14.6037,-0.815965,0.407936,0.40962
