label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,19.3993,1922.93,6624,217.734,-0.00527715,99409.2,4805,10.4483,10.543,21.3458,9.80428,11.2618,9.69106,11.4944,18.4864,24.0118
2,21.4938,694.801,2870.67,187.021,2.85475,66850.9,5063,11.6039,9.91256,15.8314,10.1468,13.3097,8.95306,10.6589,12.9337,19.1669
3,19.3312,857.806,3897.03,232.898,49.8987,64200.7,4774,10.4838,10.9031,16.7499,9.50058,11.3118,9.90799,11.685,14.5366,19.2876
4,2.27962,1649.16,3648.36,697.469,193.717,50774.2,686,13.096,8.91994,13.6767,12.4637,13.7597,8.33963,9.43076,13.2435,14.2342
5,5.42444,889.154,1955.94,490.148,32.5563,37216.4,1495,12.9352,9.95937,12.8355,11.9767,13.9449,9.12255,10.653,11.8918,13.728
6,7.93323,1014.65,3902.51,222.699,8.4489,75415.4,1908,10.2719,10.5796,13.8668,9.32158,11.1593,9.82138,11.4583,12.7001,14.8974
7,3.66328,1701.96,4213.89,651.947,151.051,64550.2,1010,9.24123,11.15,14.4682,8.50908,10.0712,10.6791,11.6306,13.7443,15.3141
8,0.0401254,21343.7,19182.6,17037,4120.06,58821.1,9,13.6073,8.70449,14.0536,13.5236,13.6507,8.51787,8.82833,13.9758,14.1795
9,1.9023,1439.48,2403.15,863.946,270.906,31312.5,531,13.6725,8.13758,13.4533,13.1328,14.1451,7.44128,8.75727,13.0427,13.928
10,0.414502,1870.6,2042.45,860.001,362.073,23260.5,189,13.7765,10.3832,12.8345,13.4707,13.9897,10.0738,10.6471,12.5333,13.0689
11,1.57048,1321.6,2669.74,798.124,232.924,40172.6,430,13.5025,9.92511,12.1878,12.7444,14.1999,9.30317,10.5329,11.6754,12.794
12,5.0897,406.959,706.144,289.49,95.6357,16722.7,1350,10.5395,10.09,11.794,9.91858,11.1682,9.45729,10.6689,10.6577,12.9511
13,0.498798,1384.25,2550.72,584.735,80.6126,15860.7,131,10.4087,10.7623,12.6755,9.33878,10.808,9.94707,11.3865,12.2112,13.1516
14,1.58213,1420.23,2556.68,764.331,305.056,26284.8,447,8.04513,10.8405,14.3788,7.42638,8.52388,10.3546,11.3115,13.9233,14.8872
15,0.271335,1519.82,4658.76,651.461,324.008,31451.5,67,8.62601,11.1948,13.9699,8.30768,8.93028,10.7679,11.5126,13.6774,14.4426
16,1.09562,1389.23,1016.69,975.687,444.656,11523.9,293,13.3561,8.4343,14.317,13.0572,13.6186,8.02137,8.87123,13.9122,14.7016
17,0.345986,1087.3,705.573,613.043,426.203,4863.86,178,13.7448,9.04105,13.9836,13.5212,13.9545,8.81696,9.29207,13.734,14.2307
18,0.0891034,2042.7,2613.43,1209.81,875.584,13991.6,18,14.0575,7.5871,13.4581,13.8854,14.1827,7.46231,7.74731,13.0673,13.5723
19,0.167915,3733.35,6888.4,1161.07,546.446,43431.8,145,13.7009,7.5527,13.1099,13.5458,13.9295,7.38668,7.73526,12.9764,13.3068
20,0.496151,1476.18,2116.09,1032.5,669.538,26842.4,361,14.1671,10.5263,12.7414,13.8994,14.4943,10.2866,10.7455,12.5714,12.9658
21,0.13468,1705.63,2115.7,1171.82,661.738,14736.5,113,13.7271,10.6819,12.7271,13.5641,13.9066,10.5625,10.8535,12.584,12.9252
22,1.45255,3860.48,5855.14,1665.98,578.368,49558.5,423,14.062,9.43265,11.9521,13.5352,14.4552,8.94703,10.0734,11.3972,12.5316
23,4.53468,983.856,2399.29,443.707,131.013,75179.9,1268,13.9101,10.1556,11.2712,12.9388,14.8181,9.51746,10.73,10.3666,12.1131
24,0.611359,850.823,1769.91,610.311,261.973,31197,530,10.885,10.0996,10.5089,10.6276,11.1193,9.91899,10.2886,10.1459,10.9279
25,2.08012,730.975,2044.74,469.556,264.692,50609,653,10.8721,9.44744,10.6915,10.2726,11.3506,8.84218,9.98089,10.1624,11.2333
26,3.82166,556.406,969.147,344.831,69.0708,19236.7,1014,9.06752,10.2042,12.3905,8.28458,9.86108,9.4999,10.8889,11.6435,13.2219
27,6.86692,521.871,1018.82,343.61,108.861,27249.2,1716,10.0186,11.3065,11.9232,9.27308,10.6531,10.4337,12.0942,10.7663,13.2109
28,0.0809906,6065.97,7484.58,1115.19,705.045,28520.2,16,7.74347,10.4889,14.6656,7.42828,7.95078,10.3659,10.7145,14.5349,14.7873
29,0.976995,1808.79,2924.78,667.145,482.103,33530.5,271,7.3545,10.3398,14.402,6.93288,7.85288,9.9277,10.727,14.1248,14.7003
30,1.18708,2543.54,6392.47,876.572,238.349,83993.5,379,8.27901,11.4018,13.7418,7.83968,8.74798,10.9191,11.8379,13.3227,14.2178
31,0.533265,1289.23,1784.66,659.042,474.777,14619.2,218,8.66541,11.7449,14.1093,8.38298,8.90548,11.5052,12.0573,13.8003,14.3904
32,0.0980446,1065.12,930.696,598.402,402.029,4025.78,22,13.1962,8.37165,14.6584,13.079,13.4757,8.13762,8.52777,14.5527,14.754
33,0.276695,1493.31,1142.14,815.692,649.533,5908.96,79,13.4332,8.06279,14.6735,13.152,13.6002,7.87781,8.29165,14.415,14.881
34,0.39237,1172.13,1783.67,760.584,366.821,20218.8,389,13.8638,9.42214,14.2607,13.6731,14.0412,9.09727,9.72477,14.0192,14.5009
35,0.103076,1265.52,1046.64,819.163,418.732,5818.31,84,13.9839,9.05505,14.0174,13.9024,14.1162,8.91727,9.2477,13.8706,14.2318
36,0.317505,2069.22,4326.26,1187.97,979.091,38352.7,205,14.3005,7.74363,13.3203,14.1285,14.5158,7.51149,7.93797,13.1296,13.5
37,1.16427,1488.64,839.526,1173.72,578.371,6095.42,310,14.0676,7.14928,13.1617,13.7447,14.3914,6.70691,7.6524,12.8079,13.4915
38,0.110742,1924.87,2476.74,1081.22,540.837,15925,91,13.4654,7.57914,13.0829,13.3225,13.576,7.43826,7.7092,12.948,13.2316
39,0.6582,1268.29,893.494,966.489,498.96,10803,1052,13.4918,7.26356,12.6607,13.2399,13.7337,7.00744,7.60927,12.0586,13.0927
40,0.151544,1674.5,1238.62,1272.05,702.969,7186.28,134,14.4509,10.5284,12.9357,14.2788,14.6289,10.401,10.7004,12.7675,13.0825
41,0.30644,1216.89,848.964,980.205,626.613,7375.49,333,14.5999,10.6977,12.6686,14.3699,14.8348,10.4944,10.8953,12.4895,12.8436
42,0.144972,1567.75,1132.6,1185.22,605.678,6176.26,130,13.7203,10.833,12.9053,13.5852,13.8637,10.6757,10.9677,12.7561,13.0558
43,0.226014,1107.24,1038.71,796.247,449.02,9656.04,196,13.7275,10.9059,12.5902,13.5973,13.8833,10.7216,11.1274,12.382,12.7692
44,1.28428,2096.33,1424.27,1604.28,766.08,13232.1,356,14.5468,8.98859,11.5792,14.0861,14.9681,8.60061,9.41101,11.2256,11.9858
45,0.193606,3942.9,4250.67,1768.5,972.071,20504.9,167,13.9499,9.05132,11.5457,13.7343,14.1466,8.87403,9.25428,11.3801,11.7797
46,0.304175,2520.53,5294.29,628.555,336.644,39047.9,80,14.556,10.6473,10.9206,14.1656,14.8182,10.4402,10.8297,10.5593,11.2064
47,2.8505,1048.24,1825.86,537.849,159.132,29016.4,776,14.5724,10.2116,10.2022,13.8783,15.2403,9.72606,10.7573,9.54892,10.8559
48,0.0773907,1417.24,1366.5,704.477,452.256,5984.22,64,11.0239,10.3217,10.2565,10.8949,11.1463,10.2221,10.4064,10.1378,10.3886
