label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,20.4251,399.999,3814.45,47.7203,-0.233932,167672,5410,14.672,10.5188,19.4366,13.6516,15.5834,9.3951,11.5425,16.9807,21.504
2,20.9745,731.018,4306.58,161.531,0.0057867,136957,5405,13.7345,10.7556,15.5828,12.52,14.7449,9.75485,11.8907,13.6113,17.9173
3,21.9098,935.985,5013.58,155.366,2.07891,165569,5363,15.3479,10.9724,14.2132,14.5362,16.9278,9.94511,12.4622,11.4142,17.5557
4,3.77348,549.729,860.771,434.566,1.52355,19645.9,1009,12.0178,10.6457,13.8151,11.182,12.6807,9.96995,11.1596,13.0652,14.5613
5,6.78293,1223.24,3314.08,442.908,0.262996,150403,1741,13.4191,10.9853,13.2114,12.3932,14.4164,9.9406,11.9018,12.5262,13.9433
6,1.8043,1388.09,7329.5,442.782,170.692,100477,514,16.9876,11.3303,12.5266,16.4759,17.495,10.9442,11.8084,12.058,13.0721
7,4.56098,1535.74,8185.18,553.445,29.8496,187280,1251,16.4101,11.9848,11.4364,15.4771,17.2916,11.0929,12.7939,10.6591,12.2631
8,0.421608,1396.52,909.181,990.888,605.606,6363.68,177,11.3288,11.1916,13.8363,11.1116,11.569,10.947,11.4621,13.5298,14.0778
9,0.519982,741.186,2361.94,235.49,9.86753,20143.7,118,11.3779,10.4643,13.3703,10.9855,11.6549,9.98899,11.1413,13.0261,14.0402
10,6.26989,502.714,1920.27,219.564,7.84122,42440.9,1617,12.5328,9.3601,11.9748,11.7068,13.3714,8.30011,10.5158,11.1606,12.7975
11,2.24074,1845.87,6544.12,314.299,21.2283,83835.2,623,13.4939,11.0397,12.2789,12.3263,14.1439,9.96267,11.9301,11.6076,12.7136
12,0.606359,1829.61,5998.47,717.037,438.729,75134.1,288,17.437,11.8189,12.8651,17.1277,17.6873,11.5024,12.1912,12.5816,13.1147
13,0.784064,1348.45,2386.01,712.771,287.148,24593.5,211,17.588,11.239,12.6692,17.2532,17.9692,10.8548,11.631,12.2587,13.1054
14,0.485171,2670.45,3198.68,1030.52,291.426,20035.3,163,16.5559,12.8802,11.526,16.2631,16.8514,12.6845,13.1557,11.2883,11.7595
15,1.75833,1499.39,4074.89,764.281,96.3157,146402,476,16.7141,12.2813,10.7787,15.9433,17.3921,11.6573,12.9228,10.2887,11.3141
16,0.244544,2788.13,1335.5,2328.98,1081.58,13241.1,218,11.3503,11.303,14.204,11.196,11.4989,11.1456,11.468,14.0478,14.3695
17,0.340062,2147.89,1322.13,1685.02,897.883,12768.6,276,11.4291,11.5942,13.9414,11.2585,11.5821,11.3497,11.864,13.7705,14.1202
18,1.00453,925.308,1097.84,574.602,8.32474,11465.9,284,11.1049,10.1265,13.9299,10.708,11.5457,9.7478,10.5808,13.4984,14.3244
19,2.79775,740.325,1017.09,526.358,78.1564,38798.4,753,10.7475,10.7978,13.2096,10.0264,11.4014,10.1598,11.3388,12.6413,13.842
20,2.59404,869.235,3176.41,389.755,93.8708,64140.1,737,12.1278,7.94802,11.5191,11.6454,12.6981,7.3704,8.49374,11.0988,11.9761
21,0.477011,464.895,263.578,339.62,205.945,2431.37,162,11.8882,8.81424,11.1964,11.5497,12.1796,8.50839,9.06794,10.9042,11.4862
22,7.7772,1297.04,5472.91,431.486,32.0783,144868,2087,12.6809,11.4083,11.2783,11.7463,13.6324,10.3567,12.2797,10.0968,12.4961
23,7.98768,1135.83,9529.29,205.325,0.68141,333673,2167,13.9618,10.4733,10.7833,13.1405,14.7524,9.53488,11.4733,9.50626,12.124
24,0.35282,1503.89,1798.08,961.67,489.575,18973.1,305,17.3194,12.2138,13.1191,17.1207,17.537,11.9729,12.4639,12.8769,13.3487
25,0.192346,1718.17,2008.52,1213.37,727.836,15590.5,166,17.6762,12.1433,12.9154,17.4879,17.8874,11.9829,12.3191,12.7556,13.0821
26,0.882756,1866.97,2992.5,1046.01,377.292,39818.6,218,17.677,11.0417,13.2355,17.3832,17.9654,10.7456,11.3476,12.8929,13.6559
27,1.09942,1822.6,6938.34,1038.41,398.584,140466,335,18.0579,10.9661,12.5498,17.621,18.4694,10.5811,11.324,12.1562,12.9413
28,0.121454,2191.89,2791.21,847.762,459.77,16100.8,111,16.3698,13.1486,11.5667,16.2195,16.5336,12.9875,13.2798,11.4039,11.7108
29,0.386552,1917.52,2855.37,1259.39,533.614,30047,273,16.7089,13.2691,11.4934,16.467,16.9694,13.0731,13.5373,11.3256,11.6855
30,2.57579,1051.27,3240.76,549.444,168.74,53721.1,723,16.6725,12.6649,10.1258,16.0906,17.2788,12.0864,13.266,9.41586,10.7805
31,1.47132,2270.15,5794.3,945.24,16.3461,68975.6,423,17.4899,12.2147,10.592,17.0577,17.9255,11.8583,12.6624,10.1313,11.1005
32,0.398287,4909.4,3239.05,4287.19,2242.23,41458,634,11.063,11.4229,14.5518,10.8308,11.3279,11.2557,11.6559,14.306,14.8146
33,0.225301,3266.38,4152.22,2445.77,1466.99,55188.9,201,11.4555,11.276,14.4969,11.2708,11.6499,11.1202,11.4441,14.3153,14.6954
34,0.252327,2779.95,2298.08,2338.41,1354.35,42437.7,222,11.3737,12.0187,13.9463,11.2258,11.534,11.8249,12.2426,13.7857,14.0924
35,0.148689,2257.45,1513.63,1663.53,1058.28,11188.6,168,11.5326,11.8216,13.7639,11.372,11.6677,11.6469,11.9713,13.6111,13.9286
36,0.389599,11884.2,63089.9,2074.58,1059.27,497555,212,10.6457,10.0999,14.313,10.3852,10.9032,9.91452,10.2947,14.0362,14.5807
37,0.325551,4095.75,7296.83,1079.94,205.731,42422.1,86,11.0075,9.79858,14.0931,10.6959,11.3261,9.53433,10.0113,13.7746,14.4029
38,0.420755,2273.77,1428.53,1347.76,813.485,12114,232,9.94276,11.182,13.3109,9.63921,10.2045,10.9117,11.3951,13.0658,13.5841
39,0.678126,1372.92,2105.3,860.193,405.7,21507.9,237,10.1844,11.003,12.7892,9.83532,10.5695,10.5745,11.4614,12.4067,13.146
40,0.591351,1358.34,2103.7,634.448,248.677,19105,205,11.9765,7.30869,12.0106,11.7131,12.2102,7.0836,7.5547,11.6863,12.3712
41,0.884155,745.53,807.307,485.485,206.301,6982.93,225,12.1992,7.212,11.408,11.6459,12.5603,6.796,7.5094,11.0585,11.7953
42,0.239258,816.437,980.215,465.765,285.697,7814.14,204,11.7166,9.08849,11.0799,11.5306,11.8948,8.88432,9.27698,10.934,11.24
43,0.17819,755.704,491.618,419.227,313.006,3023.08,101,11.7674,8.68088,10.9483,11.5104,11.9863,8.49833,8.94596,10.7096,11.1216
44,0.629525,8193.1,27379.4,2165.31,1105.82,210378,199,12.121,12.2764,10.9795,11.8398,12.4487,11.9225,12.6,10.6405,11.246
45,2.01768,1062.03,5260.5,454.746,13.0863,85071.4,520,12.2367,11.754,10.184,11.5305,12.874,10.907,12.4136,9.57436,10.7997
46,0.722896,655.912,279.532,573.426,313.748,2385.35,230,14.1334,10.4204,9.23836,13.891,14.3971,10.1814,10.6289,8.83066,9.62706
47,1.74902,1024.2,2513.73,491.335,148.464,26789.7,504,14.2698,9.70811,9.51514,13.7354,14.8655,9.19984,10.3437,8.99696,10.0236
48,0.146212,2332.52,3061.74,1478.07,666.319,20526.5,132,17.2258,12.3623,13.4188,17.0804,17.3579,12.223,12.4925,13.2943,13.6002
49,0.345724,1623.67,1315.78,1775.87,552.941,9630.04,546,17.0556,12.6181,13.264,16.8597,17.279,12.3184,12.9052,13.0976,13.4456
50,0.250564,2011.65,1806.9,3090.56,943.4,14678.4,520,17.9937,12.1748,13.0524,17.7582,18.3056,12.0424,12.335,12.8628,13.249
51,0.0300376,1532.25,769.175,1274.73,845.308,4153.1,27,17.7798,12.2551,12.82,17.6827,17.9274,12.1337,12.3407,12.754,12.927
52,0.134237,2533.29,3360.84,1321.21,751.152,17750,50,17.5392,10.9963,13.621,17.3807,17.7519,10.77,11.1791,13.4759,13.7737
53,0.669309,2704.79,3969.74,1357.15,663.592,33326.3,214,17.9962,10.7933,13.698,17.6866,18.3333,10.5027,11.1243,13.3907,14.0156
54,0.515652,2503.02,7979.14,1089.54,706.046,99650.7,224,18.5456,10.7806,12.376,18.2861,18.8933,10.499,11.0429,12.0688,12.6546
55,0.213267,7727.17,15577.6,2174.1,839.421,103897,181,18.1459,10.6551,12.1737,17.9652,18.3435,10.4885,10.867,11.9919,12.3719
56,0.254803,21145.3,66405.2,3651.9,281.928,747035,279,16.2589,13.2201,11.8354,16.1078,16.4181,13.0721,13.4462,11.6552,12.0053
57,0.232785,1034.27,820.825,837.548,617.706,7438.98,201,16.1419,13.2514,11.4669,15.8989,16.3261,13.0828,13.4267,11.2846,11.6426
58,0.164287,3041.15,3499.78,1835.67,1030.55,25372.8,143,16.9643,13.4369,11.6191,16.7899,17.1118,13.2775,13.6073,11.4789,11.7541
59,0.211251,2633.24,2925.39,1469.81,909.968,22191.1,182,16.8157,13.5953,11.4075,16.6812,16.9427,13.3896,13.7635,11.2453,11.5729
60,0.364859,1306.65,1189.8,1032.84,569.632,17349.8,324,16.2619,13.1651,9.86718,15.9853,16.5692,12.9752,13.3369,9.67136,10.0471
61,1.01714,1893.73,5560.33,623.546,184.458,68330.1,316,16.9347,12.9731,9.58628,16.3924,17.3097,12.4619,13.4186,9.19406,10.0376
62,0.231104,1065.05,682.281,756.542,455.303,5525.38,83,17.9601,12.2579,10.5235,17.7931,18.1375,11.8795,12.4735,10.1397,10.812
63,0.517347,2411.99,2690.15,952.171,637.042,17016.3,294,17.6987,11.8432,10.1551,17.4428,17.9814,11.4959,12.2078,9.94376,10.4217
64,0.370604,2785.46,1823.72,2343.31,1316.83,28566.9,570,11.5259,11.1679,14.8823,11.3735,11.7403,11.0337,11.3589,14.6029,15.2383
65,0.155036,2383.71,728.559,2266.78,1419.14,6756.33,365,11.6874,11.4276,14.6537,11.5014,11.8832,11.299,11.5713,14.5146,14.7847
66,0.0330555,4764.16,3570.54,4214.91,1411.8,15521.6,29,11.4236,12.2401,14.0105,11.2849,11.5113,12.1642,12.3331,13.8904,14.1042
67,0.201203,3828.38,2365.65,3083.21,1896.63,26602.2,330,11.1163,12.3312,14.0164,10.9181,11.3049,12.1288,12.5508,13.8878,14.1561
68,0.169713,2092.44,1941.07,1339.2,924.254,16218.7,242,11.8191,11.8651,13.7513,11.6613,12.0035,11.7524,11.993,13.6572,13.8521
69,0.25057,2808.78,1613.6,2301.15,1231.17,17140.2,432,11.7162,11.9629,13.501,11.494,11.9444,11.759,12.0937,13.2971,13.7035
70,0.228346,3442.58,2724.54,2181.21,1157.99,22296.7,198,10.5155,10.2748,14.6389,10.3709,10.6594,10.0955,10.4372,14.4189,14.8422
71,0.0967352,4095.47,1635.48,3736.19,1997.1,11247.1,83,10.3757,10.0744,14.4726,10.2589,10.4901,9.92812,10.2239,14.3316,14.6292
72,0.902237,5312.84,13379.6,1674.88,588.994,120789,273,11.0918,9.4893,14.5134,10.8219,11.3749,9.14989,9.82984,14.0684,14.9348
73,1.15954,1351.78,1181.19,896.188,292.703,12156.7,335,10.6523,9.35879,13.8371,10.2239,11.1035,8.86206,9.81851,13.488,14.1879
74,0.0783795,3703.39,3215.08,2228.82,1408.6,19596.9,65,9.79332,11.3426,13.482,9.64402,9.93279,11.2109,11.4752,13.3239,13.6141
