label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
4,74.2706,558.331,416.456,505,0.000129945,55682.5,11323850,16.47,7.13848,12.4815,14.1195,19.1493,2.33392,11.8181,9.2582,15.8841
199,9.38995,320.343,227.957,287,0.197241,22361.8,1431661,12.8546,13.1727,9.51407,11.5211,14.1381,11.5582,14.9918,8.211,10.8576
585,10.2592,358.902,233.99,331,0.0309941,21055,1564199,13.1247,13.3567,7.33165,11.6882,14.5093,11.9666,14.8434,5.88812,8.72508
1167,2.5134,484.681,319.95,439,2.9725,32273.2,383212,11.208,14.4928,4.78459,10.5931,12.4491,13.4142,15.7342,3.3558,5.831
10,83.8581,509.06,381.093,449,1.20131e-06,108332,12785627,17.5955,8.06308,9.51008,13.5256,21.0795,2.4824,12.8203,4.76476,12.8948
1168,28.4282,319.304,292.211,273,0.000581027,41115.7,4334370,11.7011,15.892,3.22679,8.99696,13.8411,13.9154,17.5717,0.53788,5.9262
12,79.0853,475.89,374.152,431,2.02435e-05,137264,12057930,9.01741,7.71364,13.8084,6.39856,12.1522,3.18768,12.2264,8.9726,17.3883
210,9.70868,494.291,336.096,463,0.00039972,32793.1,1480258,13.6433,9.49639,6.94768,12.0222,15.0846,7.60496,10.556,4.403,9.52476
984,2.33736,424.23,244.741,385,52.0546,18661.4,356372,15.5654,6.02019,9.72681,14.6206,16.6066,4.96944,7.2152,8.85836,10.7433
22,4.51785,316.334,293.273,259,0.291794,32882.3,688825,15.4479,11.5679,9.70397,14.2309,16.5138,10.259,13.043,8.5918,10.4958
26,14.8401,341.748,293.607,299,0.00189458,66492.2,2262632,9.58425,11.8508,13.09,7.14096,11.8923,10.1662,13.8226,10.9718,14.9512
606,3.77348,513.447,292.03,467,73.3485,17245.4,575333,14.431,7.50064,9.66827,13.2472,15.7342,5.87888,9.64656,8.5918,10.7624
414,9.34958,422.53,297.11,381,0.650309,21441.9,1425506,17.6882,12.5695,7.42548,15.493,19.8546,10.9272,13.9339,6.23084,8.61084
800,6.45873,417.603,294.612,369,0.000315047,23480.3,984746,16.5822,12.9412,5.91979,14.8619,18.1099,11.6696,13.971,4.80284,6.93532
30,24.5674,537.912,305.292,489,14.9193,71758.5,3745727,10.2546,8.81036,9.68098,7.4008,13.7669,6.76976,11.7067,7.23996,12.1713
996,3.52665,267.589,154.433,255,1.2396,10747.7,537700,13.8318,4.59808,8.97963,12.4677,15.8827,3.65168,6.73264,7.96348,10.0388
226,22.9297,494.001,309.386,459,1.44844e-10,29629.8,3496027,9.26066,6.21747,8.12342,6.41712,11.5954,3.85584,9.79504,5.75484,10.3054
621,15.575,394.352,292.663,357,0.0150347,31570.5,2374685,10.7275,4.26874,8.04192,8.66288,12.3749,2.55664,6.45424,5.79292,9.86748
1201,15.1109,262.472,241.643,235,0.0190029,52852.8,2303914,16.6737,3.48361,8.83495,13.9896,18.5554,0.88624,5.76752,7.62076,10.7243
1202,3.17945,398.695,259.01,375,0.255798,16554.1,484762,16.8842,5.84643,8.31754,15.7157,18.2955,4.8952,6.82544,7.1638,9.5438
46,12.526,399.793,311.077,357,0.00671184,43316,1909810,17.7685,11.581,9.48625,15.9384,19.7061,9.86928,13.4514,8.1158,10.6862
55,2.95491,343.587,246.621,303,4.63787,16396.7,450528,9.5149,9.95715,12.1734,8.53296,10.6302,8.7928,11.0942,10.8004,13.2756
56,15.5454,317.438,276.947,275,0.00745037,94598,2370163,11.5474,13.1204,11.5613,9.59088,13.8782,11.3541,15.2331,9.69612,13.7326
58,16.3376,416.229,313.402,389,0.00694438,34926.6,2490949,13.3536,11.1132,8.09025,11.5954,14.7506,9.3496,12.1336,4.42204,11.5811
63,13.786,464.205,308.391,431,0.398519,32452.5,2101912,10.0734,6.46098,11.6286,8.84848,11.5397,3.44752,10.5746,10.0008,13.5803
840,33.1181,422.838,329.508,381,0.000334508,36051.2,5049432,9.80292,15.4234,5.15443,6.95536,12.0779,12.7646,17.2747,1.60412,7.90636
461,55.5313,488.533,357.076,429,0.00586932,101131,8466720,8.79426,13.5428,6.28603,5.65616,12.7832,10.723,16.4952,2.44188,9.22012
274,6.31095,455.069,270.785,409,0.407665,14603.2,962215,15.4494,11.349,7.17116,14.3237,16.6994,9.23824,13.4514,6.34508,8.23004
91,46.5686,491.029,337.147,445,0.00362303,31766.6,7100198,18.6227,9.30521,7.28911,14.3237,21.0795,6.30576,12.3749,3.5462,9.60092
865,6.14792,467.46,297.672,435,3.20058,16968.4,937357,15.9619,7.23957,7.7917,14.5278,17.9614,6.08304,8.40304,6.4022,9.22012
479,11.752,538.188,338.297,501,0.000162916,22975.3,1791797,15.2489,8.92739,6.92528,13.7854,17.7758,7.4936,10.389,4.44108,9.41052
486,6.78472,490.558,243.454,451,0.374638,13701.8,1034449,12.6361,6.287,9.21407,11.02,14.6578,4.87664,8.06896,7.69692,10.7433
679,4.54935,456.963,255.994,405,0.550494,17755.1,693628,15.5487,11.1035,5.85362,14.3794,16.9406,9.8136,12.4306,4.85996,6.76396
1065,31.1779,342.44,285.251,301,5.06713e-07,25043.1,4753620,12.9822,13.3892,4.2758,10.259,14.5835,11.317,16.0869,0.84252,7.03052
105,6.31326,486.069,374.392,441,0.0235714,57705.5,962566,7.56753,10.4788,12.7274,6.21296,9.03408,8.9784,11.8366,11.1432,14.1134
878,6.80039,380.825,269.635,349,0.374874,22504,1036838,11.9055,3.35512,10.116,10.0734,13.5998,2.2968,5.15504,8.85836,12.1332
112,65.0195,490.979,319.509,457,1.90851e-06,44864.1,9913354,8.74145,10.8012,7.63028,5.5448,12.8389,6.5656,13.7669,3.5462,11.4478
115,12.7861,508.171,349.48,477,0.149218,23084,1949462,11.7941,8.87139,8.23131,9.29392,14.101,6.12016,10.5931,6.783,11.048
125,3.96094,557.683,262.674,517,93.3812,22960.9,603915,11.9928,7.11213,9.7656,10.8715,13.3957,5.56336,8.16176,8.66796,11.2955
318,14.9053,373.114,250.957,343,0.00172603,25538.2,2272572,10.7558,14.7569,9.27253,8.62576,13.1358,12.5234,16.8664,7.50652,10.8766
1092,2.27716,341.211,253.626,321,0.539213,11466.4,347193,15.1747,5.30162,8.62416,13.7669,16.2354,3.5032,6.86256,7.62076,9.8294
718,7.57343,379.157,260.208,341,0.0172058,17046.5,1154702,11.9251,15.2359,7.99344,10.389,13.6184,13.5998,16.9406,6.9734,9.08684
1106,10.0023,185.907,161.676,159,0.00298429,10620.9,1525023,14.2612,3.05843,9.19107,12.3749,16.421,2.14832,4.44976,7.23996,11.3145
334,7.42984,527.654,342.887,499,0.150462,24813.4,1132809,12.9371,7.31198,8.11916,11.02,14.435,4.82096,8.7,6.91628,9.61996
1107,5.09518,226.219,192.41,201,0.0442029,12579.1,776849,12.5684,3.20037,8.22359,11.3355,13.804,2.22256,4.8952,6.82108,9.39148
348,13.0144,475.733,338.77,427,0.00278578,44546.5,1984276,10.5159,4.26671,10.6546,8.71856,12.5419,2.40816,6.60272,9.23916,13.0852
930,26.0957,326.3,293.262,283,2.02795e-06,32534.8,3978744,17.5281,12.375,3.19381,15.196,19.7618,10.0178,13.9339,0.27132,5.56444
931,15.3669,292.957,266.166,259,1.34124e-08,26497.2,2342951,15.4665,11.5966,3.65731,14.1938,16.7922,9.9064,13.6741,0.91868,5.39308
546,37.0553,400.955,301.287,359,3.16952e-06,24662.7,5649729,18.8822,10.7276,5.06741,15.493,21.0795,8.0504,13.7112,1.22332,7.31612
740,4.56118,495.949,328.775,469,2.33028,20631.8,695432,14.254,6.38023,8.3305,13.0802,15.4744,4.57968,8.236,6.89724,9.42956
165,5.98457,375.852,280.336,331,0.0528606,20252.2,912452,15.9068,12.1146,8.4163,14.3051,17.2933,10.6302,13.637,7.37324,9.23916
757,2.25114,379.473,227.359,355,1.99932,12855.9,343225,12.6653,4.99196,9.00062,11.5954,13.8782,4.02288,5.52624,7.81116,10.3625
962,7.8061,397.459,268.684,359,2.56663e-05,14309.2,1190176,12.3481,15.5223,6.448,11.187,14.1752,13.8411,17.2005,5.46924,7.46844
191,57.1466,469.44,326.653,429,6.76234e-06,75952,8713002,7.76687,12.0637,9.83934,5.58192,10.6302,7.82768,15.8642,6.05948,12.8948
192,37.4145,556.908,342.328,507,1.49274e-05,33773.6,5704491,7.52651,8.26806,9.92531,5.84176,9.9992,4.3384,10.7045,6.34508,12.7235
