time,Flow,RR,Inspiration
10.01,2.275,173,1
10.02,13.176,173,1
10.03,28.424,173,1
10.04,42.982,173,1
10.05,54.678,173,1
10.06,64.298,173,1
10.07,71.699,173,1
10.08,76.241,173,1
10.09,76.792,173,1
10.1,74.619,173,1
10.11,72.334,173,1
10.12,70.73,173,1
10.13,68.985,173,1
10.14,67.722,173,1
10.15,66.412,173,1
10.16,62.754,173,1
10.17,58.439,173,1
10.18,55.973,173,1
10.19,54.237,173,1
10.2,50.628,173,1
10.21,41.221,173,1
10.22,22.549,173,1
10.23,-2.239,173,0
10.24,-10.53,173,0
10.25,-6.47,173,0
10.26,-5.495,173,0
10.27,-5.481,173,0
10.28,-5.476,173,0
10.29,-5.486,173,0
10.3,-5.471,173,0
10.31,-5.481,173,0
10.32,-5.476,173,0
10.33,-5.471,173,0
10.34,-6.007,172,0
10.35,-7.375,171,0
10.36,-8.516,170,0
10.37,-9.379,169,0
10.38,-10.065,168,0
10.39,-10.504,166,0
10.4,-10.349,166,0
10.41,-9.13,164,0
10.42,-5.952,163,0
10.43,1.127,162,1
10.44,14.297,162,1
10.45,31.556,162,1
10.46,47.322,162,1
10.47,56.563,162,1
10.48,59.955,162,1
10.49,62.886,162,1
10.5,67.838,162,1
10.51,72.933,162,1
10.52,76.241,162,1
10.53,76.343,162,1
10.54,74.559,162,1
10.55,71.837,162,1
10.56,69.59,162,1
10.57,65.551,162,1
10.58,59.003,162,1
10.59,50.85,162,1
10.6,45.425,162,1
10.61,42.407,162,1
10.62,35.786,162,1
10.63,21.217,162,1
10.64,0.494,162,1
10.65,-10.028,162,0
10.66,-9.214,162,0
10.67,-5.685,162,0
10.68,-5.515,162,0
10.69,-5.476,162,0
10.7,-5.466,162,0
10.71,-5.476,162,0
10.72,-5.49,162,0
10.73,-5.471,162,0
10.74,-5.554,162,0
10.75,-6.768,162,0
10.76,-8.256,162,0
10.77,-9.358,162,0
10.78,-9.977,160,0
10.79,-10.331,159,0
10.8,-10.539,158,0
10.81,-10.099,157,0
10.82,-7.433,156,0
10.83,1.94,156,1
10.84,22.423,156,1
10.85,43.672,156,1
10.86,58.603,156,1
10.87,68.013,156,1
10.88,73.053,156,1
10.89,75.408,156,1
10.9,78.146,156,1
10.91,80.844,156,1
10.92,82.967,156,1
10.93,82.925,156,1
10.94,80.865,156,1
10.95,77.345,156,1
10.96,73.814,156,1
10.97,69.004,156,1
10.98,61.97,156,1
10.99,53.168,156,1
11,45.506,156,1
11.01,39.057,156,1
11.02,28.329,156,1
11.03,9.361,156,1
11.04,-8.605,156,0
11.05,-9.325,156,0
11.06,-5.656,156,0
11.07,-5.486,156,0
11.08,-5.471,156,0
11.09,-5.481,156,0
11.1,-5.481,156,0
11.11,-5.466,156,0
11.12,-5.466,156,0
11.13,-5.471,156,0
11.14,-5.583,156,0
11.15,-6.79,156,0
11.16,-8.084,156,0
11.17,-9.15,156,0
11.18,-9.863,155,0
11.19,-10.334,154,0
11.2,-10.534,153,0
11.21,-9.624,152,0
11.22,-4.796,151,0
11.23,9.773,151,1
11.24,30.303,151,1
11.25,48.711,151,1
11.26,62.642,151,1
11.27,71.679,151,1
11.28,76.445,151,1
11.29,78.373,151,1
11.3,80.53,151,1
11.31,82.376,151,1
11.32,81.43,151,1
11.33,78.869,151,1
11.34,74.277,151,1
11.35,67.955,151,1
11.36,61.71,151,1
11.37,56.509,151,1
11.38,50.988,151,1
11.39,44.577,151,1
11.4,40.016,151,1
11.41,36.834,151,1
11.42,28.07,151,1
11.43,9.733,151,1
11.44,-7.988,151,0
11.45,-9.849,151,0
11.46,-5.876,151,0
11.47,-5.5,151,0
11.48,-5.481,151,0
11.49,-5.486,151,0
11.5,-5.49,151,0
11.51,-5.471,151,0
11.52,-5.471,151,0
11.53,-5.461,151,0
11.54,-5.989,151,0
11.55,-8.008,151,0
11.56,-9.492,151,0
11.57,-10.221,151,0
11.58,-10.533,151,0
11.59,-10.087,151,0
11.6,-6.165,151,0
11.61,9.753,151,1
11.62,35.861,151,1
11.63,58.93,151,1
11.64,74.983,151,1
11.65,82.756,151,1
11.66,85.115,151,1
11.67,84.517,151,1
11.68,81.913,151,1
11.69,79.76,151,1
11.7,80.176,151,1
11.71,81.158,151,1
11.72,79.822,151,1
11.73,75.003,151,1
11.74,67.49,151,1
11.75,59.9,151,1
11.76,51.366,151,1
11.77,41.773,151,1
11.78,28.07,151,1
11.79,6.013,151,1
11.8,-9.704,151,0
11.81,-8.399,151,0
11.82,-5.544,151,0
11.83,-5.476,151,0
11.84,-5.5,151,0
11.85,-5.49,151,0
11.86,-5.471,151,0
11.87,-5.466,151,0
11.88,-5.476,151,0
11.89,-5.481,151,0
11.9,-5.481,151,0
11.91,-7.056,151,0
11.92,-8.656,151,0
11.93,-9.659,151,0
11.94,-10.257,151,0
11.95,-10.539,151,0
11.96,-9.922,151,0
11.97,-6.636,151,0
11.98,5.747,155,1
11.99,30.247,155,1
12,55.831,155,1
12.01,74.983,155,1
12.02,84.07,155,1
12.03,86.231,155,1
12.04,86.489,155,1
12.05,86.467,155,1
12.06,85.158,155,1
12.07,81.577,155,1
12.08,77.058,155,1
12.09,74.377,155,1
12.1,72.953,155,1
12.11,68.576,155,1
12.12,60.673,155,1
12.13,51.383,155,1
12.14,38.091,155,1
12.15,14.614,155,1
12.16,-8.263,155,0
12.17,-8.942,155,0
12.18,-5.574,155,0
12.19,-5.495,155,0
12.2,-5.466,155,0
12.21,-5.481,155,0
12.22,-5.486,155,0
12.23,-5.481,155,0
12.24,-5.476,155,0
12.25,-5.451,155,0
12.26,-5.728,155,0
12.27,-7.121,155,0
12.28,-8.65,155,0
12.29,-9.977,155,0
12.3,-10.539,155,0
12.31,-9.774,155,0
12.32,-6.773,155,0
12.33,1.948,160,1
12.34,21.315,160,1
12.35,46.559,160,1
12.36,67.471,160,1
12.37,79.864,160,1
12.38,85.244,160,1
12.39,86.791,160,1
12.4,87.656,160,1
12.41,87.699,160,1
12.42,85.608,160,1
12.43,82.06,160,1
12.44,77.858,160,1
12.45,73.393,160,1
12.46,67.297,160,1
12.47,58.548,160,1
12.48,50.885,160,1
12.49,44.188,160,1
12.5,34.53,160,1
12.51,17.039,160,1
12.52,-5.671,160,0
12.53,-10.051,160,0
12.54,-5.767,160,0
12.55,-5.495,160,0
12.56,-5.481,160,0
12.57,-5.466,160,0
12.58,-5.49,160,0
12.59,-5.481,160,0
12.6,-5.471,160,0
12.61,-5.466,160,0
12.62,-6.072,160,0
12.63,-7.581,160,0
12.64,-8.692,160,0
12.65,-9.521,160,0
12.66,-10.139,160,0
12.67,-10.531,160,0
12.68,-9.751,160,0
12.69,-1.941,164,0
12.7,23.181,164,1
12.71,51.917,164,1
12.72,69.806,164,1
12.73,77.427,164,1
12.74,79.594,164,1
12.75,79.677,164,1
12.76,76.895,164,1
12.77,72.853,164,1
12.78,70.002,164,1
12.79,70.868,164,1
12.8,74.096,164,1
12.81,75.226,164,1
12.82,71.738,164,1
12.83,65.456,164,1
12.84,58.366,164,1
12.85,50.44,164,1
12.86,35.89,164,1
12.87,10.841,164,1
12.88,-8.964,164,0
12.89,-8.991,164,0
12.9,-5.583,164,0
12.91,-5.49,164,0
12.92,-5.461,164,0
12.93,-5.481,164,0
12.94,-5.471,164,0
12.95,-5.471,164,0
12.96,-5.471,164,0
12.97,-5.481,164,0
12.98,-6.403,164,0
12.99,-7.748,164,0
13,-9.188,164,0
13.01,-10.201,164,0
13.02,-10.538,164,0
13.03,-10.315,164,0
13.04,-9.547,164,0
13.05,-7.995,164,0
13.06,-4.439,164,0
