time,Flow,RR,Inspiration
6.18,11.637,247,1
6.19,29.482,247,1
6.2,39.18,247,1
6.21,41.599,247,1
6.22,40.562,247,1
6.23,38,247,1
6.24,35.727,247,1
6.25,32.728,247,1
6.26,29.303,247,1
6.27,23.652,247,1
6.28,13.863,247,1
6.29,-0.354,247,0
6.3,-8.453,247,0
6.31,-10.326,247,0
6.32,-10.527,247,0
6.33,-10.538,247,0
6.34,-10.535,247,0
6.35,-10.499,247,0
6.36,-10.377,247,0
6.37,-10.17,247,0
6.38,-9.856,247,0
6.39,-9.396,247,0
6.4,-8.532,247,0
6.41,-6.399,247,0
6.42,6.814,247,1
6.43,26.603,247,1
6.44,36.323,247,1
6.45,38.811,247,1
6.46,38.198,247,1
6.47,36.653,247,1
6.48,34.883,247,1
6.49,32.426,247,1
6.5,28.67,247,1
6.51,25.008,247,1
6.52,17.569,247,1
6.53,4.603,247,1
6.54,-5.966,247,0
6.55,-9.593,247,0
6.56,-10.337,247,0
6.57,-10.473,247,0
6.58,-10.488,247,0
6.59,-10.498,247,0
6.6,-10.468,247,0
6.61,-10.361,247,0
6.62,-10.118,247,0
6.63,-9.712,247,0
6.64,-8.959,247,0
6.65,-7.645,247,0
6.66,1.083,247,0
6.67,21.911,247,1
6.68,34.236,247,1
6.69,38.366,247,1
6.7,38.351,247,1
6.71,36.864,247,1
6.72,35.104,247,1
6.73,33.697,247,1
6.74,31.57,247,1
6.75,26.059,247,1
6.76,17.662,247,1
6.77,5.049,247,1
6.78,-5.618,247,0
6.79,-9.584,247,0
6.8,-10.408,247,0
6.81,-10.531,247,0
6.82,-10.531,247,0
6.83,-10.493,247,0
6.84,-10.422,247,0
6.85,-10.293,247,0
6.86,-9.992,247,0
6.87,-9.56,247,0
6.88,-8.914,247,0
6.89,-7.433,248,0
6.9,3.838,248,1
6.91,23.729,248,1
6.92,34.588,248,1
6.93,37.62,248,1
6.94,37.347,248,1
6.95,37.03,248,1
6.96,36.413,248,1
6.97,33.668,248,1
6.98,29.413,248,1
6.99,23.896,248,1
7,15.221,248,1
7.01,1.74,248,1
7.02,-7.582,248,0
7.03,-10.103,248,0
7.04,-10.514,248,0
7.05,-10.539,248,0
7.06,-10.533,248,0
7.07,-10.501,248,0
7.08,-10.413,248,0
7.09,-10.274,248,0
7.1,-10.065,248,0
7.11,-9.684,248,0
7.12,-8.878,248,0
7.13,-3.416,250,0
7.14,17.802,250,1
7.15,32.541,250,1
7.16,37.423,250,1
7.17,38.642,250,1
7.18,37.817,250,1
7.19,36.368,250,1
7.2,34.149,250,1
7.21,30.191,250,1
7.22,25.914,250,1
7.23,18.812,250,1
7.24,7.356,250,1
7.25,-4.674,250,0
7.26,-9.33,250,0
7.27,-10.391,250,0
7.28,-10.527,250,0
7.29,-10.531,250,0
7.3,-10.495,250,0
7.31,-10.367,250,0
7.32,-10.227,250,0
7.33,-10.112,250,0
7.34,-9.89,250,0
7.35,-9.526,250,0
7.36,-8.707,250,0
7.37,-3.779,252,0
7.38,18,252,1
7.39,33.988,252,1
7.4,39.613,252,1
7.41,40.453,252,1
7.42,38.673,252,1
7.43,37.392,252,1
7.44,36.114,252,1
7.45,33.247,252,1
7.46,28.247,252,1
7.47,21.799,252,1
7.48,9.713,252,1
7.49,-4.563,252,0
7.5,-9.771,252,0
7.51,-10.509,252,0
7.52,-10.531,252,0
7.53,-10.525,252,0
7.54,-10.539,252,0
7.55,-10.504,252,0
7.56,-10.388,252,0
7.57,-10.222,252,0
7.58,-10.006,252,0
7.59,-9.499,252,0
7.6,-8.575,252,0
7.61,-6.064,252,0
7.62,10.468,252,1
7.63,29.413,252,1
7.64,37.559,252,1
7.65,39.211,252,1
7.66,39.768,252,1
7.67,38.489,252,1
7.68,36.279,252,1
7.69,32.972,252,1
7.7,27.962,252,1
7.71,21.18,252,1
7.72,9.361,252,1
7.73,-4.127,252,0
7.74,-9.532,252,0
7.75,-10.456,252,0
7.76,-10.534,252,0
7.77,-10.517,252,0
7.78,-10.462,252,0
7.79,-10.391,252,0
7.8,-10.28,252,0
7.81,-10.038,252,0
7.82,-9.631,252,0
7.83,-9.143,252,0
7.84,-7.907,252,0
7.85,3.402,252,1
7.86,24.54,252,1
7.87,35.06,252,1
7.88,38.03,252,1
7.89,38.458,252,1
