label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,12.9042,223.941,193.013,191,0.1137,17855,1967464,15.9134,10.2864,8.29532,13.869,18.3419,8.17104,11.6418,7.03528,9.60568
2,10.299,378.057,245.178,325,0.358827,12482,1570259,14.4268,3.79445,11.4239,12.5141,16.5602,2.26896,5.4056,9.282,12.8615
3,9.73871,319.534,389.627,261,5.5963e-08,87664,1484837,14.0176,9.03216,12.5321,11.8459,16.7086,7.42864,10.8251,10.9766,14.2134
4,9.45768,161.009,139.471,123,0.00248865,7555.13,1441988,14.3326,8.35818,6.29694,12.8853,16.059,6.01808,10.621,5.26456,7.73976
5,9.16558,216.09,151.2,175,0.191021,10241.9,1397452,13.4202,9.25133,10.2151,11.8274,14.8155,7.7256,11.1592,8.65368,12.4046
6,8.91222,281.996,239.223,231,0.0903973,16682.1,1358823,17.6082,9.34305,7.03767,16.189,19.1214,7.09456,11.419,5.72152,8.44424
7,8.57861,358.312,284.047,297,0.306224,16498.1,1307959,17.1868,8.1507,9.06888,15.5579,18.676,6.77904,9.54448,7.7588,10.2721
8,7.6737,298.445,249.2,255,0.0267823,16423,1169990,15.159,9.8155,10.0026,13.4235,16.9685,7.46576,11.5304,8.93928,11.4906
9,7.59655,193.44,123.682,171,0.0680569,11479.6,1158227,13.5871,8.38338,7.90094,12.3656,15.1125,6.66768,10.6766,6.67352,9.89128
10,7.51127,468.587,330.943,421,0.481962,24520.5,1145224,16.3512,6.90177,10.9432,14.1845,18.1563,5.62832,8.72784,9.68184,12.3474
11,7.50754,439.807,306.97,387,0.632131,21060.9,1144655,15.0762,5.66027,12.635,13.3493,17.0056,3.77232,7.8184,11.4716,14.061
12,7.07487,176.602,171.54,131,0.000889764,13596.8,1078687,14.6573,8.52781,4.69171,13.0709,16.3931,7.31728,10.027,3.45576,5.83576
13,7.04235,339.797,473.466,271,0.000421533,134812,1073729,15.1628,9.619,12.1537,13.6648,17.0798,7.59568,11.0478,11.2431,13.3566
14,6.86006,198.518,178.174,163,0.0089837,25991,1045936,17.9133,9.3506,4.39314,16.3746,19.4926,7.46576,11.0293,2.9036,5.81672
15,6.5589,177.467,156.617,137,0.00508944,8707.29,1000018,15.5378,10.4631,6.4119,13.6648,17.5995,9.24752,11.6046,5.5692,7.1876
16,6.08239,201.72,190.14,153,0.00984189,8820.88,927367,17.0971,10.2431,5.31391,15.9291,19.0101,8.69072,11.4562,4.1412,6.21656
17,6.05974,277.712,274.585,225,2.93251e-09,14805.7,923913,15.1382,2.44917,9.88201,13.4606,16.6344,0.91408,3.75376,8.27288,11.205
18,5.99636,399.253,254.377,353,0.302993,18635.8,914249,14.5785,5.45324,9.73419,12.9781,15.9477,3.47536,7.37296,8.33,11.4335
19,5.7916,178.659,194.25,137,6.94748e-06,8835.75,883031,16.7171,9.522,2.10224,15.7435,18.2306,8.24528,10.7509,0.21896,3.7604
20,5.4045,376.745,324.075,335,4.28301e-08,12637,824011,15.8946,3.45687,9.38492,14.4258,17.2654,1.93488,4.3848,7.58744,11.2431
21,5.30987,368.325,338.516,305,2.102e-10,18471.7,809583,17.9644,5.86517,6.86464,16.356,19.2699,4.34768,7.29872,5.68344,8.40616
22,5.07171,432.745,374.404,353,0.271404,18262.3,773271,16.3506,7.93728,10.7961,14.6114,18.0821,6.16656,9.00624,9.73896,11.9857
23,4.96466,334.532,344.437,277,5.10288e-05,52511.7,756949,14.6443,8.04323,14.2164,12.9224,16.523,6.2408,10.0085,13.109,15.3748
24,4.8526,418.664,280.743,371,0.060316,10677.8,739864,15.3101,6.90561,13.4041,13.8504,16.7086,5.8696,7.92976,12.119,14.6132
25,4.66869,371.797,346.037,325,0.0131803,21517.2,711824,12.215,5.93123,16.0348,10.7509,13.6277,4.97872,7.57712,14.7084,17.0884
26,4.51703,209.072,144.871,185,0.0442563,15278.5,688700,14.1183,9.62614,8.52287,12.941,15.7064,7.96688,10.8808,7.01624,9.58664
27,4.3455,269.286,228.573,223,0.042792,16564.6,662548,15.989,9.85702,11.1053,13.6648,17.6366,8.39376,11.2706,10.4054,11.8524
28,4.33767,201.559,195.564,151,0.00138587,12657,661353,15.1904,8.9225,3.53176,13.6834,16.9499,7.87408,10.3797,2.63704,4.59816
29,4.1936,351.953,210.843,309,43.1826,8220.94,639388,13.0299,5.29667,11.9145,11.8645,14.2402,4.05072,6.40784,9.92936,13.566
30,4.14089,441.207,373.1,385,6.87756e-10,15873.2,631351,12.2682,4.412,15.231,10.491,14.2216,2.75152,5.46128,14.042,16.5172
31,4.12441,283.186,241.332,235,0.199949,18655.2,628838,16.6834,9.68538,10.0566,15.6878,18.0078,8.13392,11.2334,9.20584,10.8052
32,4.06406,235.343,195.535,197,0.000960489,14251.3,619637,16.0136,8.03267,6.71446,15.0382,16.7458,6.612,9.56304,5.49304,7.98728
33,3.9897,385.239,275.501,347,0.00460675,9733.19,608299,16.0751,5.6633,7.96232,14.9454,17.3211,4.3848,7.18736,6.69256,9.43432
34,3.93371,227.325,216.767,185,5.01088e-06,9964.1,599763,12.4553,2.37939,12.7644,10.5096,14.2958,1.19248,3.43824,11.8334,13.9278
35,3.9264,405.971,372.793,319,11.7033,26342.3,598648,14.8347,7.36128,8.87263,13.5906,15.8363,6.16656,8.41232,7.22568,9.96744
36,3.91832,386.417,256.669,355,1.06058e-06,13318.9,597416,14.0787,4.10477,13.2691,12.3285,15.6507,2.86288,5.29424,11.9095,14.5751
37,3.91503,534.966,566.133,447,27.208,91093.7,596914,14.1432,7.14072,10.8946,12.4213,15.0382,5.73968,9.04336,9.43432,12.1951
38,3.86101,167.496,150.366,125,0.0391699,5561.87,588678,15.3138,10.2153,4.96616,13.7205,16.356,8.57936,11.4562,4.02696,5.79768
39,3.85552,177.378,180.296,135,0.0407956,23729.9,587842,16.3869,10.1188,3.4886,14.7227,17.7851,8.24528,11.1221,2.7132,4.35064
40,3.8304,342.719,389.121,271,3.2291,76574,584012,12.7088,7.38905,11.0587,11.9202,14.2958,6.0552,8.48656,9.9484,12.3855
41,3.79007,388.284,272.019,345,0.699365,12545.4,577863,16.3335,6.57262,12.111,14.8341,17.451,5.20144,7.50288,11.1098,13.2233
42,3.65657,273.311,283.293,217,2.17585e-14,16107.6,557508,18.8336,6.487,5.7865,17.7294,20.0494,4.79312,7.54,4.65528,6.8068
43,3.5533,253.504,411.496,203,3.01615e-05,63848.2,541763,14.2503,9.43122,13.6497,12.9966,15.7806,7.85552,10.6024,13.0138,14.6513
44,3.45944,436.293,302.323,395,1.27435,20264.1,527452,16.6037,5.54348,10.4399,15.1496,17.9336,4.53328,6.77904,9.4724,11.8714
45,3.44253,262.86,227.682,207,0.000778252,12053,524874,18.1859,8.17683,5.50213,16.9685,19.5298,6.72336,9.47024,4.12216,6.426
46,3.37364,275.034,468.981,213,0.00306445,58173.8,514370,12.7329,6.77516,12.3333,11.6603,14.2587,5.94384,8.41232,11.6239,13.2423
47,3.28963,320.447,233.648,287,0.00548449,11543.4,501561,16.3423,8.09828,12.2693,14.7413,17.4882,7.41008,9.2104,11.3954,13.2994
48,3.25108,345.595,326.551,299,3.89209e-07,17552.5,495684,17.238,4.36333,7.80935,15.6507,18.379,2.78864,5.4056,6.63544,8.9012
49,3.21392,354.101,292.712,311,0.479542,32541.7,490018,17.5065,6.19276,9.08535,15.8178,18.4533,5.07152,7.37296,8.29192,9.91032
50,3.20179,372.515,312.718,305,0.395058,21008.6,488168,17.8621,7.04745,7.90708,16.6344,18.973,5.57264,8.05968,6.19752,8.86312
51,3.12021,310.679,309.545,267,5.42496e-08,21669.7,475731,12.1284,2.78566,14.0233,9.97136,13.4235,1.7864,4.27344,13.1852,14.8036
52,3.09381,235.246,213.079,189,1.00017e-08,9213.75,471706,16.831,7.70802,5.90759,15.5394,17.8594,6.16656,8.95056,4.12216,7.68264
