label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
4,108.507,1781.38,1236.92,1659,4.3744e-07,137255,16262193,18.9507,8.75799,14.7739,16.0852,21.7386,3.03732,13.4456,11.4906,18.5735
197,9.4743,1309.19,598.022,1295,1.4745,17362.3,1419936,15.2005,6.06512,10.7652,13.5205,16.5532,3.80484,7.96068,9.16776,12.2332
584,17.6348,1316.54,575.307,1301,0.0836608,79109.1,2642965,7.68438,5.97942,14.7775,5.58324,9.72036,3.71124,8.33508,13.2042,16.898
10,87.739,1825.69,1002.45,1851,3.24262e-06,187440,13149640,19.6514,8.00102,11.0102,15.0181,22.712,3.13092,12.0604,6.78776,13.6612
976,3.64114,1536.52,596.814,1459,2.08674e-06,26401.7,545706,18.2133,6.17122,11.6993,17.3207,19.2676,5.1714,7.28676,10.6338,13.2233
12,93.3782,1880.34,1427.43,1689,3.30621e-10,193404,13994802,10.718,9.84984,17.5127,6.4818,14.1944,4.8906,14.3068,14.4418,20.4775
210,43.5615,1011.26,502.988,1015,0.00835058,83173.5,6528667,7.61157,7.06902,12.5235,4.83444,11.7047,2.86884,10.413,9.96744,14.4228
985,8.99133,831.364,460.813,867,2.10423e-08,12278.7,1347552,11.0746,4.30478,13.5655,9.2898,13.0338,2.94372,6.06996,12.0428,15.4129
215,94.0997,1616.23,848.854,1553,0.348089,27836.6,14102943,8.14226,11.0222,8.47787,4.49748,12.0416,7.49268,15.1117,4.50296,11.1479
23,15.8546,1528.6,1260.11,1399,1.5758e-05,136898,2376162,17.5807,12.3363,12.2308,15.0368,20.5405,10.413,13.689,10.7481,14.499
27,16.1122,1647.55,980.646,1579,0.00622343,42445.7,2414777,12.7247,12.4832,14.4995,10.6751,14.756,10.2632,14.5688,12.8044,16.1554
29,20.4949,900.287,441.445,883,0.000121666,31476.2,3071614,13.883,9.51976,9.34322,11.48,15.4487,7.9794,11.7608,5.30264,12.7092
421,0.0200371,2076.28,741.417,1899,1127.19,8341.56,3003,16.347,7.72734,11.0133,16.2162,16.4783,7.34292,8.073,10.8433,11.2812
619,13.7675,1018.84,522.465,967,0.0677302,7936.17,2063368,11.8948,13.245,6.65436,10.6189,14.1008,10.9746,14.9432,5.11224,8.19672
44,14.5361,2063.54,986.684,2015,0.00437357,61575,2178564,19.3068,12.1343,10.7023,17.2645,21.4016,10.5253,14.0072,9.32008,12.3284
820,12.0487,1129.89,577.653,1141,0.023005,12612.6,1805760,17.8014,12.558,6.30795,15.3551,20.241,10.6002,13.8949,4.86472,7.64456
52,82.4747,1930.96,1197.24,1751,1.59837e-10,269700,12360667,8.10731,10.4419,13.8794,5.1714,11.7608,5.5458,14.2693,9.91032,17.1646
439,5.08217,995.459,444.383,961,1.19807e-07,32785.4,761677,10.7097,5.91365,14.1288,9.14004,12.2663,4.72212,7.30548,12.119,15.6604
53,65.1423,1552.11,855.672,1533,5.62966e-05,114982,9763029,10.2306,13.5123,12.4116,5.88276,14.625,10.7312,15.6172,9.33912,15.9841
57,17.0056,1073.98,565.521,1021,0.113364,27304.2,2548666,13.7428,7.34592,11.5062,11.2928,17.1335,4.12308,10.6376,9.71992,13.2423
61,0.0261956,1409.06,664.382,1233,907.311,11340.7,3926,11.0898,8.97352,13.323,10.881,11.3116,8.6346,9.30852,13.1281,13.5089
62,83.5303,1300.53,656.984,1267,0.462219,116438,12518878,9.16671,8.56214,10.6947,4.53492,13.8388,4.62852,12.9028,7.32088,13.1281
261,11.3546,1143.43,753.808,1075,0.000199588,94472.3,1701736,16.3384,11.4228,8.54532,15.0181,17.9384,9.45828,13.82,7.5684,10.691
1230,4.58035,936.966,434.819,973,0.0636036,8937.37,686468,9.8209,3.44532,15.6594,8.59716,11.3303,2.21364,4.44132,14.5751,16.6886
1426,12.2144,489.586,392.803,441,0.000377625,11904.5,1830607,11.4831,1.86732,15.0949,9.79524,13.5767,0.36036,3.9546,13.6041,17.1836
1427,3.48072,654.654,444.898,665,0.000142808,9875.58,521664,9.58163,2.11466,14.5671,8.52228,10.6189,0.7722,3.33684,13.2994,16.1745
849,3.61171,1034.3,514.489,1015,2.99296,7986.61,541295,16.5875,5.42591,10.9329,15.8792,17.4892,3.84228,6.91236,9.45336,12.0809
467,56.0518,1344.8,740.193,1299,1.00101,17189,8400620,8.64648,12.0206,5.95375,5.1714,11.8919,9.009,14.9432,1.7612,8.17768
859,14.7666,922.713,530.996,973,0.00156578,37197.1,2213110,9.47366,4.77593,16.3915,7.0434,11.5924,2.68164,6.63156,14.2895,18.5735
88,52.8401,2273.8,1095.18,2215,0.0004019,51960.7,7919271,19.5984,9.10529,8.81385,15.3176,22.712,5.60196,12.154,6.1404,11.1479
671,12.5427,1176.48,490.902,1155,7.76726e-05,14974.6,1879798,16.4259,10.7746,6.95882,14.7935,18.6311,9.009,13.5205,5.72152,8.50136
304,12.1056,1091.02,463.223,1149,0.489217,20209.8,1814289,16.7323,8.03994,8.32186,14.8684,19.0804,5.93892,9.87012,5.45496,10.7481
112,19.497,1000.66,505.978,1021,0.000136171,18105.6,2922056,14.7311,8.21314,8.84525,12.1352,16.2162,6.05124,10.076,5.16936,11.0908
119,8.24054,924.226,478.673,887,9.77551,20347,1235029,11.4553,7.46455,13.0497,9.73908,12.6594,5.62068,10.6189,12.0999,14.7084
124,24.6843,975.859,496.649,965,0.0406232,56807.9,3699499,12.6758,12.4878,10.7124,9.90756,15.1679,10.0012,15.093,8.82504,13.109
320,21.4534,1233.14,711.031,1185,0.406754,41365.9,3215275,10.2337,8.18466,15.0873,8.03556,12.5284,5.77044,11.012,12.2713,18.0023
712,6.51538,1077.08,473.284,1101,16.5765,8164.46,976475,17.747,6.78612,9.47853,16.4034,19.9789,5.30244,7.90452,7.39704,10.8814
523,41.0928,1741.69,960.705,1711,0.0744342,46859.9,6158666,20.4141,9.52269,6.42165,17.3394,22.7495,6.12612,12.8466,3.24632,8.40616
912,57.651,1016.45,585.257,1001,1.27718e-07,32677.3,8640289,12.8971,10.7928,4.211,9.81396,14.8496,8.8218,14.1944,0.12376,8.38712
334,25.749,1173.29,554.334,1119,1.28661e-06,8288.63,3859067,13.022,11.9542,8.25273,10.881,15.0556,9.6642,14.8684,5.95,10.3102
913,38.9549,1035.7,640.966,1029,0.000297364,31823.6,5838256,10.3314,12.562,3.43097,7.605,12.7156,9.98244,14.6437,0.31416,5.89288
1108,20.6641,657.608,534.891,567,7.54564e-09,52005.4,3096971,19.2779,3.75471,11.5384,16.3847,21.2893,0.62244,6.0138,8.9964,13.3946
1109,4.25502,985.501,490.997,989,4.59732,9232.73,637709,18.8996,5.81191,10.0271,17.4892,20.3908,4.46004,6.98724,8.65368,11.2241
724,11.2943,906.518,472.042,899,0.0274223,25940.1,1692698,8.60528,4.7984,13.281,5.95764,10.881,3.41172,6.5754,12.0618,14.6513
1115,9.22206,798.256,498.938,823,1.12287e-05,11662,1382132,8.27497,3.26389,14.2954,6.25716,9.77652,1.44612,5.19012,12.7282,16.4791
