time,Flow,RR,Inspiration
10.83,3.045,139,1
10.84,48.879,139,1
10.85,89.266,139,1
10.86,110.737,139,1
10.87,117.846,139,1
10.88,120.061,139,1
10.89,122.799,139,1
10.9,123.913,139,1
10.91,121.565,139,1
10.92,116.044,139,1
10.93,111.292,139,1
10.94,106.986,139,1
10.95,102.641,139,1
10.96,99.041,139,1
10.97,97.854,139,1
10.98,93.817,139,1
10.99,83.2,139,1
11,66.758,139,1
11.01,46.361,139,1
11.02,22.587,139,1
11.03,-1.889,139,0
11.04,-10.477,139,0
11.05,-8.364,139,0
11.06,-5.68,139,0
11.07,-5.544,139,0
11.08,-5.549,139,0
11.09,-5.569,139,0
11.1,-5.544,139,0
11.11,-5.539,139,0
11.12,-5.539,139,0
11.13,-5.53,139,0
11.14,-5.549,139,0
11.15,-5.559,139,0
11.16,-5.544,139,0
11.17,-5.544,139,0
11.18,-5.559,139,0
11.19,-5.549,139,0
11.2,-5.535,139,0
11.21,-5.535,138,0
11.22,-6.237,138,0
11.23,-8.209,137,0
11.24,-9.97,136,0
11.25,-9.751,135,0
11.26,12.826,135,1
11.27,57.841,135,1
11.28,93.727,135,1
11.29,112.89,135,1
11.3,119.786,135,1
11.31,122.799,135,1
11.32,124.649,135,1
11.33,123.077,135,1
11.34,118.815,135,1
11.35,114.964,135,1
11.36,110.665,135,1
11.37,106.276,135,1
11.38,101.967,135,1
11.39,98.743,135,1
11.4,96.153,135,1
11.41,91.949,135,1
11.42,83.985,135,1
11.43,73.694,135,1
11.44,59.259,135,1
11.45,37.045,135,1
11.46,7.644,135,1
11.47,-9.706,135,0
11.48,-8.877,135,0
11.49,-5.695,135,0
11.5,-5.554,135,0
11.51,-5.539,135,0
11.52,-5.549,135,0
11.53,-5.549,135,0
11.54,-5.554,135,0
11.55,-5.53,135,0
11.56,-5.544,135,0
11.57,-5.539,135,0
11.58,-5.53,135,0
11.59,-5.559,135,0
11.6,-5.535,135,0
11.61,-5.544,135,0
11.62,-5.539,135,0
11.63,-5.549,135,0
11.64,-5.525,135,0
11.65,-5.544,135,0
11.66,-5.525,135,0
11.67,-5.923,134,0
11.68,-7.006,134,0
11.69,-8.689,133,0
11.7,-10.519,132,0
11.71,9.891,132,1
11.72,60.028,132,1
11.73,100.58,132,1
11.74,122.345,132,1
11.75,128.412,132,1
11.76,127.46,132,1
11.77,124.446,132,1
11.78,121.339,132,1
11.79,118.69,132,1
11.8,116.808,132,1
11.81,115.086,132,1
11.82,114.817,132,1
11.83,113.133,132,1
11.84,108.699,132,1
11.85,101.458,132,1
11.86,93.214,132,1
11.87,81.724,132,1
11.88,67.49,132,1
11.89,52.541,132,1
11.9,31.174,132,1
11.91,0.458,132,1
11.92,-10.461,132,0
11.93,-5.928,132,0
11.94,-5.559,132,0
11.95,-5.564,132,0
11.96,-5.539,132,0
11.97,-5.549,132,0
11.98,-5.539,132,0
11.99,-5.549,132,0
12,-5.539,132,0
12.01,-5.549,132,0
12.02,-5.549,132,0
12.03,-5.544,132,0
12.04,-5.544,132,0
12.05,-5.535,132,0
12.06,-5.539,132,0
12.07,-5.525,132,0
12.08,-5.535,132,0
12.09,-5.843,132,0
