time,Flow,RR,Inspiration
11.03,42.248,174,1
11.04,97.99,174,1
11.05,134.062,174,1
11.06,152.72,174,1
11.07,161.353,174,1
11.08,166.029,174,1
11.09,169.827,174,1
11.1,172.391,174,1
11.11,172.391,174,1
11.12,167.544,174,1
11.13,151.048,174,1
11.14,100.211,174,1
11.15,25.532,174,1
11.16,-9.398,174,0
11.17,-10.244,174,0
11.18,-10.288,174,0
11.19,-10.518,174,0
11.2,-10.33,174,0
11.21,-9.503,174,0
11.22,-8.015,174,0
11.23,-6.618,174,0
11.24,-6.588,174,0
11.25,-6.588,174,0
11.26,-6.575,174,0
11.27,-6.566,174,0
11.28,-6.575,174,0
11.29,-6.544,174,0
11.3,-6.57,174,0
11.31,-6.562,174,0
11.32,-6.549,174,0
11.33,-6.57,174,0
11.34,-6.557,174,0
11.35,-6.549,172,0
11.36,-6.549,171,0
11.37,-7.663,170,0
11.38,-9.246,169,0
11.39,-10.472,168,0
11.4,9.322,168,1
11.41,61.803,168,1
11.42,106.276,168,1
11.43,134.721,168,1
11.44,150.659,168,1
11.45,160.666,168,1
11.46,166.728,168,1
11.47,169.211,168,1
11.48,169.71,168,1
11.49,166.99,168,1
11.5,155.132,168,1
11.51,120.211,168,1
11.52,52.837,168,1
11.53,-3.416,168,0
11.54,-10.508,168,0
11.55,-10.081,168,0
11.56,-10.351,168,0
11.57,-9.886,168,0
11.58,-6.895,168,0
11.59,-6.579,168,0
11.6,-6.597,168,0
11.61,-6.575,168,0
11.62,-6.584,168,0
11.63,-6.553,168,0
11.64,-6.566,168,0
11.65,-6.57,168,0
11.66,-6.562,168,0
11.67,-6.575,168,0
11.68,-6.57,168,0
11.69,-6.54,168,0
11.7,-6.575,168,0
11.71,-6.832,168,0
11.72,-8.159,168,0
11.73,-9.31,168,0
11.74,-10.435,167,0
11.75,-1.227,166,0
11.76,49.183,166,1
11.77,100.695,166,1
11.78,132.62,166,1
11.79,148.005,166,1
11.8,156.853,166,1
11.81,162.358,166,1
11.82,165.043,166,1
11.83,166.175,166,1
11.84,165.681,166,1
11.85,158.868,166,1
