label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
1,0,3.59343,0.678814,Trachea,14.1799,10.7695,21.2344,0,0.0490618,-0.998796
2,1,5.84617,0.682356,LMB,14.6021,11.2845,16.5791,0.144453,0.146044,-0.978675
3,1,4.14787,0.846263,RMB,13.6881,11.5026,17.5311,-0.237158,0.310979,-0.920352
4,2,1.40613,0.458539,,15.6507,11.4516,13.5326,0.890883,-0.369595,-0.264057
5,2,1.77161,0.878516,LMB,15.2192,12.0269,12.9138,0.21997,0.356174,-0.908159
6,3,1.79146,0.527967,CrRMB,12.4492,12.4444,15.2273,-0.834015,0.331518,-0.441038
7,3,1.81329,0.929058,RMB,13.1266,12.3053,14.7322,-0.0767666,0.173993,-0.98175
8,4,0.319671,0.384273,,16.3977,11.0896,13.3232,0.754841,-0.638782,-0.148903
9,4,0.839677,0.23728,,16.537,11.5212,13.3613,0.61893,0.784707,0.0340604
10,5,0.0211541,0.746707,,15.4187,12.3424,12.0999,0.439642,0,-0.898173
11,5,1.3165,0.649197,LMB,15.5162,12.4909,11.4763,0.155109,0.225598,-0.961793
12,6,0.925423,0.304861,,11.3913,12.4166,14.9416,-0.6718,-0.701949,0.23654
13,6,0.74527,0.422931,CrRMB,11.4098,12.8853,14.6513,-0.784413,0.386035,-0.485462
14,7,2.79596,0.590642,MiRMB,12.2821,11.5443,13.128,-0.5543,-0.657163,-0.510773
15,7,0.2315,0.981675,RMB,13.0756,12.5558,13.7755,0.160258,0.801724,-0.575809
16,8,0.588613,0.243172,,16.6066,10.8994,13.566,0.299518,-0.299518,0.905858
17,8,0.730801,0.288056,,16.7782,10.788,13.1376,0.711136,-0.545977,-0.442939
18,9,0.421746,0.135413,,16.8154,12.0269,13.4898,0.0879672,0.836048,0.541558
19,9,0.307867,0.163171,,16.936,11.883,13.3184,0.904282,0.210803,-0.371263
20,10,1.21925,0.542793,,15.7342,12.0269,11.6715,0.509902,-0.517529,-0.687142
21,10,1.1219,0.373821,,15.7853,12.7693,12.1284,0.645157,0.761033,0.0678318
22,11,0.979253,0.330354,,15.6415,13.1266,10.8004,0.0473822,0.995045,-0.0874135
23,11,0.751243,0.601434,LMB,15.7668,12.709,10.5052,0.395211,0.185293,-0.899708
24,12,0.545684,0.230801,,11.0943,11.9433,15.2796,0.0509445,-0.544087,0.837481
25,12,0.0575428,0.329918,,11.0711,12.0686,15.0368,-0.323246,-0.806358,-0.495277
26,13,0.665139,0.264036,,11.2057,13.3447,14.5275,0.265057,0.948823,0.171694
27,13,0.97289,0.415964,CrRMB,10.7138,13.1405,14.2229,-0.829899,0.228905,-0.508793
28,14,1.09218,0.368615,MiRMB,11.3124,10.1523,12.2236,-0.35681,-0.866673,-0.348661
29,14,0.425623,0.362827,,11.3634,10.6905,12.2712,-0.675716,0.305199,-0.671015
30,15,3.52887,0.568429,AcRMB,13.1869,12.1336,12.0238,0.0525948,-0.291878,-0.955008
31,15,2.48687,0.900225,CaRMB,12.6441,13.0801,12.633,-0.361941,0.347063,-0.865185
32,16,0.596424,0.186372,,16.8293,10.6302,14.0278,0.45119,-0.606784,0.654402
33,16,0.123617,0.208238,,16.6901,10.8344,13.8897,-0.0752341,0.375353,0.923824
34,17,0.351153,0.254059,,17.1634,10.4771,12.9234,0.713369,-0.634197,-0.298161
35,17,0.431329,0.153966,,16.871,10.4864,12.8853,-0.77458,-0.47342,-0.419403
36,18,0.273493,0.10338,,16.8386,12.2496,13.7326,0.0340053,0.33931,0.94006
37,18,0.251465,0.0987877,,16.8246,12.3285,13.6088,-0.0735739,0.996559,0.038175
38,19,0.144203,0.153841,,17.1401,11.9433,13.2756,0.900814,0.386263,0.19833
39,19,0.324367,0.10486,,17.0659,11.9201,13.0995,-0.057338,0.0286719,-0.997943
40,20,0.485341,0.243563,,15.9476,11.498,11.1907,-0.401573,-0.879588,-0.255077
41,20,1.05892,0.294534,,16.458,11.5212,10.9813,0.779948,-0.359329,-0.51241
42,21,0.029314,0.164258,,16.1518,13.2101,12.1665,0.317262,0.948338,0
43,21,0.56465,0.134144,,16.4024,13.2472,12.0571,0.903924,0.180642,-0.387673
44,22,0.262905,0.113528,,15.7528,13.7112,10.7624,0.670584,0.740953,0.0361366
45,22,0.475996,0.0872882,,15.4744,13.7205,10.8528,-0.799377,0.448323,0.400004
46,23,1.10971,0.294442,,16.3467,13.1266,10.1911,0.777682,0.627192,0.042894
47,23,0.389693,0.532332,LMB,15.9338,12.8157,9.97692,0.0952028,0.190408,-0.977078
48,24,0.82049,0.205234,,11.0433,11.3912,15.5414,-0.15832,-0.984046,0.081172
49,24,0.303515,0.182104,,11.1407,11.8598,15.6413,0.214156,0.427985,0.878047
50,25,0.988069,0.225231,,10.7231,11.7345,14.8417,-0.68558,-0.629207,-0.366169
51,25,0.780834,0.199415,,10.7323,12.1892,15.1749,-0.843841,0.368453,0.390095
52,26,0.519941,0.126002,,11.3031,13.739,14.8322,0.0357723,0.303303,0.952223
53,26,0.292817,0.150773,,11.3727,13.7669,14.5228,0.538902,0.728782,-0.422448
54,27,0.784682,0.22272,,10.0874,13.5256,14.1467,-0.567669,0.697863,0.436737
55,27,0.285993,0.391584,CrRMB,10.2034,13.2518,13.8802,-0.746173,0,-0.665752
56,28,0.65274,0.257774,,10.9134,9.54912,12.2522,-0.625517,-0.398076,0.671017
57,28,0.368641,0.337013,MiRMB,11.0943,9.52592,11.9332,-0.125868,-0.830727,-0.542264
58,29,0.876677,0.208351,,10.8205,10.7416,11.9475,-0.910369,-0.0317102,-0.412581
59,29,0.304379,0.195021,,11.2474,10.8668,12.0285,0.182668,0.731654,-0.656746
60,30,0.735231,0.475951,AcRMB,13.3169,11.3123,10.1388,0.101056,-0.833071,-0.543856
61,30,0.904663,0.289496,,13.2194,11.7902,9.92457,-0.13331,0.379478,-0.915546
62,31,1.04869,0.409115,,12.1337,14.0036,11.7286,-0.115096,0.93803,0.326884
63,31,0.727502,0.774439,CaRMB,12.0455,13.5859,11.2336,-0.408246,0.204124,-0.889758
64,32,0.0604112,0.180504,,16.9824,10.4493,14.2467,0.615764,0,0.787931
65,32,0.610646,0.0891569,,16.8386,10.1709,14.2182,-0.410221,-0.911854,-0.0155581
66,33,0.656044,0.14462,,16.704,11.0664,14.1991,0.0567049,0.636542,0.769155
67,33,0.298409,0.127151,,16.5602,10.8298,14.023,-0.839451,-0.186658,0.510373
68,34,0.712029,0.255609,,17.3768,10.0317,12.7853,0.247742,-0.938444,-0.240721
69,34,0.486171,0.145196,,17.5067,10.4678,12.8377,0.897214,0.419811,-0.136989
70,35,0.0473439,0.103114,,16.6855,10.3704,12.7996,-0.783625,-0.587205,0.202785
71,35,0.298117,0.0753419,,16.7179,10.4585,12.6663,0.0932506,0.498124,-0.862077
72,36,0.166842,0.0856881,,16.9082,12.296,13.9135,0.778583,0,0.627542
73,36,0.248623,0.0729362,,16.7829,12.3563,13.9516,-0.48507,0.485074,0.727606
