time,Flow,RR,Inspiration
18.95,19.755,228,1
18.96,128.387,228,1
18.97,186.649,228,1
18.98,196.944,228,1
18.99,192.277,228,1
19,186.464,228,1
19.01,182.16,228,1
19.02,181.887,228,1
19.03,184.902,228,1
19.04,189.515,228,1
19.05,188.65,228,1
19.06,177.244,228,1
19.07,139.423,228,1
19.08,50.355,228,1
19.09,-9.249,228,0
19.1,-6.857,228,0
19.11,-6.794,228,0
19.12,-6.794,228,0
19.13,-6.819,228,0
19.14,-6.798,228,0
19.15,-6.794,228,0
19.16,-6.798,228,0
19.17,-6.811,228,0
19.18,-6.794,228,0
19.19,-6.777,228,0
19.2,-6.79,228,0
19.21,-6.785,228,0
19.22,-6.773,227,0
19.23,-7.301,226,0
19.24,93.304,226,1
19.25,174.081,226,1
19.26,196.692,226,1
19.27,197.07,226,1
19.28,193.556,226,1
19.29,189.917,226,1
19.3,188.249,226,1
19.31,186.864,226,1
19.32,187.079,226,1
19.33,185.636,226,1
19.34,176.855,226,1
19.35,144.364,226,1
19.36,63.392,226,1
19.37,-10.174,226,0
19.38,-6.899,226,0
19.39,-6.828,226,0
19.4,-6.802,226,0
19.41,-6.806,226,0
19.42,-6.794,226,0
19.43,-6.794,226,0
19.44,-6.811,226,0
19.45,-6.798,226,0
19.46,-6.785,225,0
19.47,-6.773,223,0
19.48,-6.773,221,0
19.49,-6.777,219,0
19.5,-7.952,217,0
19.51,37.498,217,1
19.52,139.022,217,1
19.53,180.071,217,1
19.54,184.688,217,1
19.55,178.896,217,1
19.56,174.111,217,1
19.57,171.269,217,1
19.58,171.977,217,1
19.59,176.077,217,1
19.6,179.86,217,1
19.61,179.438,217,1
19.62,165.913,217,1
19.63,128.155,217,1
19.64,41.362,217,1
19.65,-8.656,217,0
19.66,-6.836,217,0
19.67,-6.798,217,0
19.68,-6.798,217,0
19.69,-6.785,217,0
19.7,-6.802,217,0
19.71,-6.798,217,0
19.72,-6.781,217,0
19.73,-6.785,217,0
19.74,-6.785,217,0
19.75,-6.785,217,0
19.76,-6.785,217,0
19.77,-6.777,217,0
19.78,-8.377,218,0
19.79,93.415,218,1
19.8,176.526,218,1
19.81,199.535,218,1
19.82,200.836,218,1
19.83,196.66,218,1
19.84,191.344,218,1
19.85,188.526,218,1
19.86,191.313,218,1
19.87,194.776,218,1
19.88,193.618,218,1
19.89,176.885,218,1
19.9,127.666,218,1
19.91,24.683,218,1
19.92,-7.821,218,0
19.93,-6.819,218,0
19.94,-6.798,218,0
19.95,-6.794,218,0
19.96,-6.806,218,0
19.97,-6.781,218,0
19.98,-6.798,218,0
19.99,-6.794,218,0
20,-6.781,218,0
20.01,-6.798,218,0
20.02,-6.79,218,0
20.03,-6.777,218,0
20.04,-6.785,218,0
20.05,-10.538,217,0
20.06,68.887,217,1
20.07,157.788,217,1
20.08,187.971,217,1
20.09,190.971,217,1
20.1,185.392,217,1
20.11,179.378,217,1
20.12,174.944,217,1
20.13,173.458,217,1
20.14,175.003,217,1
20.15,178.505,217,1
20.16,178.866,217,1
20.17,161.841,217,1
20.18,107.437,217,1
20.19,4.046,217,1
20.2,-7.296,217,0
20.21,-6.811,217,0
20.22,-6.781,217,0
20.23,-6.79,217,0
20.24,-6.811,217,0
20.25,-6.798,217,0
20.26,-6.806,217,0
20.27,-6.798,217,0
20.28,-6.794,217,0
20.29,-6.802,217,0
20.3,-6.79,217,0
20.31,-6.785,217,0
20.32,-6.785,217,0
20.33,-9.408,218,0
20.34,79.407,218,1
20.35,161.181,218,1
20.36,188.588,218,1
20.37,195.058,218,1
20.38,195.717,218,1
20.39,194.306,218,1
20.4,193.337,218,1
20.41,195.152,218,1
20.42,195.089,218,1
20.43,188.156,218,1
20.44,171.446,218,1
20.45,125.26,218,1
20.46,20.093,218,1
20.47,-7.622,218,0
20.48,-6.815,218,0
20.49,-6.802,218,0
20.5,-6.785,218,0
20.51,-6.802,218,0
20.52,-6.79,218,0
20.53,-6.785,218,0
20.54,-6.798,218,0
20.55,-6.79,218,0
20.56,-6.79,218,0
20.57,-6.785,218,0
20.58,-6.79,218,0
20.59,-6.79,218,0
20.6,-8.522,219,0
20.61,92.725,219,1
20.62,175.838,219,1
20.63,198.49,219,1
20.64,198.048,219,1
20.65,190.816,219,1
20.66,184.078,219,1
20.67,179.86,219,1
20.68,182.13,219,1
20.69,187.263,219,1
20.7,190.196,219,1
20.71,183.224,219,1
20.72,154.654,219,1
20.73,78.807,219,1
20.74,-10.473,219,0
20.75,-6.92,219,0
20.76,-6.802,219,0
20.77,-6.811,219,0
20.78,-6.802,219,0
20.79,-6.798,219,0
20.8,-6.802,219,0
20.81,-6.798,219,0
20.82,-6.79,219,0
20.83,-6.802,219,0
20.84,-6.777,219,0
20.85,-6.76,219,0
20.86,-6.781,219,0
20.87,-6.777,219,0
20.88,-8.143,218,0
20.89,90.889,218,1
20.9,171.859,218,1
20.91,194.15,218,1
20.92,193.556,218,1
20.93,186.802,218,1
20.94,178.625,218,1
20.95,173.665,218,1
20.96,174.051,218,1
20.97,176.765,218,1
20.98,180.494,218,1
20.99,179.559,218,1
21,164.059,218,1
21.01,112.55,218,1
21.02,6.075,218,1
21.03,-7.316,218,0
21.04,-6.811,218,0
21.05,-6.794,218,0
21.06,-6.768,218,0
21.07,-6.798,218,0
21.08,-6.785,218,0
21.09,-6.773,218,0
21.1,-6.781,218,0
21.11,-6.79,218,0
21.12,-6.781,218,0
21.13,-6.781,218,0
21.14,-6.751,218,0
21.15,-6.773,217,0
21.16,-1.267,217,0
21.17,101.851,217,1
21.18,174.468,217,1
21.19,195.34,217,1
21.2,196.283,217,1
21.21,192.838,217,1
21.22,189.979,217,1
21.23,188.711,217,1
21.24,190.32,217,1
21.25,190.537,217,1
21.26,185.086,217,1
21.27,164.001,217,1
21.28,100.811,217,1
21.29,-5.569,217,0
21.3,-7.043,217,0
21.31,-6.798,217,0
21.32,-6.811,217,0
21.33,-6.794,217,0
21.34,-6.785,217,0
21.35,-6.794,217,0
21.36,-6.777,217,0
21.37,-6.79,217,0
21.38,-6.785,217,0
21.39,-6.777,217,0
21.4,-6.764,217,0
21.41,-6.777,217,0
21.42,-6.76,217,0
21.43,18.67,219,1
21.44,128.052,219,1
21.45,182.16,219,1
21.46,191.157,219,1
21.47,187.109,219,1
21.48,181.311,219,1
21.49,175.361,219,1
21.5,172.894,219,1
21.51,176.047,219,1
21.52,181.19,219,1
21.53,183.224,219,1
21.54,176.137,219,1
21.55,147.84,219,1
21.56,73.935,219,1
21.57,-10.538,219,0
21.58,-6.899,219,0
21.59,-6.802,219,0
21.6,-6.798,219,0
21.61,-6.806,219,0
21.62,-6.785,219,0
21.63,-6.768,219,0
21.64,-6.773,219,0
21.65,-6.79,219,0
21.66,-6.811,219,0
21.67,-6.781,219,0
21.68,-6.794,219,0
21.69,-6.781,219,0
21.7,-6.768,217,0
21.71,0.75,216,1
21.72,105.992,216,1
21.73,177.514,216,1
21.74,195.937,216,1
21.75,196.157,216,1
21.76,191.002,216,1
21.77,183.986,216,1
21.78,180.404,216,1
21.79,180.585,216,1
21.8,182.859,216,1
21.81,182.555,216,1
21.82,172.096,216,1
21.83,135.697,216,1
21.84,46.658,216,1
21.85,-8.908,216,0
21.86,-6.853,216,0
21.87,-6.777,216,0
21.88,-6.79,216,0
21.89,-6.76,216,0
21.9,-6.79,216,0
21.91,-6.777,216,0
21.92,-6.773,216,0
21.93,-6.785,216,0
21.94,-6.798,216,0
21.95,-6.781,216,0
21.96,-6.79,216,0
21.97,-6.785,216,0
21.98,-10.279,218,0
21.99,70.081,218,1
22,152.413,218,1
22.01,180.888,218,1
22.02,183.042,218,1
22.03,180.434,218,1
22.04,175.838,218,1
22.05,173.191,218,1
22.06,171.977,218,1
22.07,172.48,218,1
22.08,171.83,218,1
22.09,164.001,218,1
22.1,133.616,218,1
22.11,49.25,218,1
22.12,-9.09,218,0
22.13,-6.849,218,0
22.14,-6.79,218,0
22.15,-6.802,218,0
22.16,-6.794,218,0
22.17,-6.802,218,0
22.18,-6.785,218,0
22.19,-6.785,218,0
22.2,-6.798,218,0
22.21,-6.79,218,0
22.22,-6.802,218,0
22.23,-6.777,218,0
22.24,-6.768,218,0
22.25,-5.055,220,0
