label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,13.0332,13.9103,20.9347,8.63398,0.047541,469.908,4011,6.5946,8.24885,19.5809,5.6623,7.7466,7.31318,9.43491,18.1075,20.7975
2,25.1787,124.822,1532.82,26.128,0.00670812,71642.7,6300,8.49895,8.74513,16.1008,7.2066,10.307,7.51963,10.4598,13.3949,19.194
3,21.8992,57.2556,298.116,12.8453,0.0963833,12973,6426,6.56272,8.38642,16.6297,5.5779,7.8975,7.23377,9.77147,14.5305,18.5904
4,1.18594,252.803,120.238,224.88,114.469,883.493,294,10.3294,9.11073,14.2987,9.9794,10.8061,8.78888,9.65567,13.8222,14.7778
5,13.5971,217.378,808.02,142.067,9.54608,29487.3,3537,9.80268,10.2495,13.1795,8.4962,11.2822,8.80007,11.3334,11.6599,14.6482
6,3.03686,236.735,121.257,195.894,67.9121,1391.44,850,5.76259,8.18286,14.1536,5.1757,6.2291,7.39528,8.85834,13.4856,14.942
7,10.9552,134.861,684.067,46.9545,0.606121,23172.3,2860,7.27438,8.61817,14.3945,5.8785,8.4334,7.38718,10.027,13.096,15.6377
8,0.285949,276.598,173.072,218.825,160.685,1769.69,80,10.776,9.05539,14.5992,10.5646,10.9981,8.84324,9.40886,14.3808,14.737
9,0.488746,342.322,98.4601,336.015,179.458,637.675,155,10.5642,9.63354,14.2316,10.2796,10.8427,9.00844,9.79221,13.8147,14.6055
10,1.42271,589.111,448.475,517.016,273.656,4791.78,447,11.0627,10.0419,12.3214,10.4975,11.5104,9.68725,10.5134,11.8186,12.8843
11,2.90832,290.4,539.736,221.144,102.665,12165.6,866,10.6936,11.0454,12.1363,9.8157,11.5568,10.3091,11.6886,11.3447,12.9506
12,1.15129,443.823,634.623,432.196,96.4875,10496.3,333,5.40107,7.38766,14.0365,5.0392,5.903,6.92989,7.81221,13.6646,14.3769
13,2.15629,407.439,521.665,333.083,141.142,13604.9,645,5.44936,7.93318,13.3109,4.8946,6.0184,7.42709,8.54407,12.7312,13.8805
14,7.89988,285.906,250.936,195.53,12.8237,2552.37,2214,6.89625,7.21082,12.52,6.2008,7.9355,6.04914,8.26199,11.4606,13.6276
15,7.42979,212.386,545.627,93.9904,2.60866,27066.1,2291,7.33157,9.34564,13.0697,6.0893,8.5832,7.92483,10.6301,11.8083,14.1305
16,0.0433909,3940.75,6258.95,631.268,216.105,27247.5,38,10.6357,8.96085,14.8431,10.5429,10.7229,8.86894,9.0369,14.7552,14.9248
17,0.0887649,823.102,1381.65,305.723,183.877,9320.66,57,10.813,9.16138,14.7744,10.593,11.0219,8.8757,9.31828,14.6847,14.9542
18,0.798963,540.08,197.433,483.955,256.715,1537.04,218,11.0369,9.42517,14.2512,10.7453,11.3634,8.9938,9.75296,13.8763,14.6043
19,0.22591,1087.84,1950.12,791.418,507.072,26006.5,171,10.7917,9.19789,13.8717,10.5574,11.0649,9.01436,9.47081,13.7415,14.0486
20,1.4596,856.678,1590.1,589.605,363.97,31903,458,11.7579,10.0215,12.1187,11.3289,12.2083,9.63859,10.436,11.7654,12.5024
21,0.124965,1635.19,2708.88,795.676,516.004,17757.3,82,11.2346,9.70728,12.023,10.9782,11.4604,9.59255,9.99727,11.8524,12.1952
22,0.295379,665.548,1661.81,407.557,273.176,22583.3,220,11.0303,11.5845,12.4604,10.6476,11.3288,11.4097,11.7821,12.1341,12.6782
23,5.37383,302.297,873.842,261.375,100.596,28588.1,1599,11.3707,11.3393,11.3746,10.3517,12.3407,10.5927,12.1103,10.5235,12.3272
24,0.442579,599.992,650.874,446.914,270.263,4944.46,132,5.20971,7.04304,14.34,4.9656,5.4955,6.7453,7.35672,14.1089,14.6046
25,1.02683,1401.04,5525.88,837.391,329.977,89374.1,280,5.21203,6.77584,13.8216,4.8372,5.5781,6.40618,7.18424,13.5248,14.1741
26,0.485941,592.501,739.771,514.895,281.469,12276.3,422,5.2592,8.63291,13.0309,4.9957,5.4976,8.40399,8.96475,12.813,13.2468
27,1.48313,770.342,1249.42,521.475,319.437,14450,456,5.02811,8.00665,12.7531,4.5038,5.5493,7.50617,8.50468,12.3232,13.2405
28,0.139056,937.863,81.3971,939.712,782.042,1243.25,117,7.36378,6.75924,11.6074,7.1831,7.4816,6.57008,6.93104,11.4764,11.8392
29,2.90292,988.973,2968.19,707.511,265.811,59023.8,820,7.00574,6.05305,11.6352,6.3528,7.5541,5.5029,6.79973,10.9543,12.3786
30,6.17065,271.141,145.6,241.428,13.7163,1343.85,1596,8.59784,9.13115,12.0136,7.8842,9.5053,8.2521,10.0312,10.8655,13.2352
31,12.7247,409.395,703.931,340.733,39.2077,22577.8,3641,7.1852,9.97461,11.6031,6.0894,8.3234,8.39322,11.0099,10.4096,12.9264
32,0.126037,925.413,791.994,898.314,330.634,5911.1,253,10.5195,8.88059,14.9915,10.3927,10.6535,8.77619,9.00285,14.8597,15.1168
33,0.118327,765.296,1017.24,464.977,160.425,6818.88,224,10.6087,8.78416,14.7732,10.5166,10.69,8.64409,8.92629,14.6539,14.8877
34,0.646763,1220.97,1919.67,669.466,255.405,16381.1,243,10.9513,8.87603,15.0207,10.7076,11.1926,8.50562,9.2342,14.7215,15.3468
35,0.416911,983.158,2740.5,446.51,191.53,31988.3,371,10.6454,9.42142,14.912,10.3931,10.9145,9.15131,9.69473,14.7168,15.1438
36,0.59657,908.681,736.093,635.529,468.256,6746.79,239,11.427,9.7586,14.2857,11.1464,11.6676,9.44096,10.077,14.0118,14.5093
37,1.94897,816.594,750.561,683.126,259.721,10299.3,627,11.724,8.98684,14.1459,11.1265,12.3089,8.34022,9.50871,13.8131,14.5287
38,0.100412,1780.42,1154.31,1355.85,667.489,6197.18,82,10.8987,9.06834,13.7688,10.764,11.0124,8.95901,9.17863,13.6581,13.8881
39,0.19694,1351.28,1477.86,1031.17,525.431,17813.4,401,10.9696,9.33874,13.6828,10.8217,11.1604,9.18282,9.48577,13.5356,13.8255
40,0.358347,1708.45,4714.32,789.588,455.169,43849.9,307,12.2811,10.3211,12.2626,11.9982,12.5375,10.0441,10.5759,12.0062,12.4425
41,2.18684,850.68,703.33,716.078,435.601,17541.5,729,12.6787,9.79251,11.9795,12.0092,13.3096,9.26909,10.2791,11.501,12.3665
42,0.173046,1396.98,1112.39,1037.51,755.738,8804.21,146,11.094,9.58532,11.9409,10.9314,11.2772,9.40004,9.76275,11.789,12.1171
43,0.435457,1709.09,2475.57,891.002,568.056,34753.2,300,11.2314,9.81542,11.6512,11.0184,11.4261,9.60653,10.0243,11.3592,11.8828
44,0.217926,1621.94,2082.88,871.534,381.812,14482.9,189,10.8639,11.8446,12.4444,10.6594,11.0519,11.6632,12.0354,12.226,12.6463
45,0.691681,672.02,791.899,513.831,282.41,10537.3,602,11.3929,11.7931,12.3621,10.9863,11.7865,11.551,12.0851,12.2028,12.5843
46,0.856645,590.225,171.037,580.058,340.881,2465.86,277,12.2638,11.4407,10.6165,11.8687,12.5921,11.1496,11.831,10.2341,11.0267
47,0.65851,465.719,757.989,341.087,216.041,7213.75,193,11.7045,11.9332,10.8933,11.1808,12.3602,11.4071,12.2917,10.3847,11.3862
48,0.882085,584.928,646.329,447.215,315.881,7836.22,270,5.20152,6.71157,14.7332,4.9427,5.4394,6.33621,7.11789,14.3622,15.1297
49,0.197737,1114.51,2713.05,764.47,453.909,42788.9,175,4.99842,7.18385,14.6026,4.8191,5.1933,6.98734,7.34878,14.4181,14.7458
50,0.0232467,2258.64,3836.52,948.269,430.83,11837.5,7,5.08501,6.39069,13.8648,4.9927,5.2287,6.33302,6.4725,13.5309,13.9753
51,0.528006,2320.05,1778.79,1606.59,1067.15,18931.4,362,4.6778,6.39402,13.7398,4.2978,4.923,6.10387,6.67889,13.5374,13.9401
52,0.358599,864.658,1360.36,573.276,295.83,14192.7,301,5.19564,8.88802,13.3399,5.0097,5.4041,8.68388,9.13111,13.1241,13.6058
53,0.16172,926.085,309.257,846.787,537.368,2515.13,142,5.3934,8.95773,13.0266,5.2015,5.5543,8.80688,9.09453,12.8546,13.1965
54,0.360157,1484.24,1302.41,1102,441.162,14187.5,315,4.41225,8.09062,12.8822,4.1258,4.6478,7.88077,8.31725,12.6797,13.1041
55,0.606362,1623.62,2700.79,906.868,451.025,36951,145,4.74001,8.04907,12.4007,4.3635,5.2149,7.60012,8.45491,12.0707,12.7033
56,0.204801,1938.95,1603.71,1646.77,838.772,16887.1,434,7.45096,7.07042,11.6965,7.2982,7.5818,6.87189,7.26582,11.5604,11.8723
57,0.395805,1859.13,1342.69,1712.78,950.862,18875.8,739,7.70226,6.75244,11.5998,7.4464,8.0107,6.53868,6.93122,11.4235,11.8118
58,0.423364,943.97,1317.69,638.639,433.652,17672.7,202,6.7677,5.41554,11.5727,6.3988,7.535,5.13468,5.59761,10.9638,11.9933
59,0.854758,1369.66,2134.92,939.697,632.318,34321.9,272,6.74818,5.87765,10.8495,6.4089,7.1134,5.49549,6.2347,10.4848,11.1964
60,0.903221,840.843,2463.27,485.598,353.591,38078.7,505,8.85105,8.33598,11.3996,8.3878,9.3271,8.02796,8.66617,10.9578,11.8069
61,0.0251578,474.933,64.9738,396.39,390.047,559.657,7,8.97224,8.69877,11.1598,8.76,9.3955,8.59159,8.81015,10.9468,11.5753
62,1.98975,650.751,166.97,665.858,364.646,2045.08,636,6.98283,8.81919,10.3752,6.2663,7.7127,8.36978,9.23503,9.74696,11.0602
63,5.87048,877.57,2868.75,475.139,215.489,70655.8,1666,7.23112,10.0871,9.99473,6.0927,8.2273,9.03841,10.8743,9.17916,10.7546
64,0.0129713,1313.91,352.982,1303.5,755.81,1947.5,13,11.1536,8.68056,15.2502,10.9253,11.202,8.5704,8.85721,15.2096,15.3675
65,0.111394,2303.93,1960.02,1393.83,568.423,10015.3,191,11.0988,8.4971,15.085,10.9601,11.1914,8.34687,8.63377,15.006,15.1966
66,0.319,741.358,436.069,625.089,304.393,3623.71,285,10.3959,9.61351,15.2823,10.1529,10.5981,9.43835,9.7827,15.0275,15.4906
67,0.195989,772.456,950.677,436.352,291.191,9084.78,174,10.4954,9.77457,15.0559,10.3439,10.6473,9.60183,9.93269,14.9154,15.2077
68,0.363026,1267.39,686.904,1056.78,726.273,8828.22,235,11.7242,10.0623,14.2412,11.4656,12.015,9.82285,10.2955,14.0248,14.4436
69,0.23389,1734.55,1668.21,1179.75,594.092,13678.4,202,11.3658,10.1755,14.3525,11.2123,11.5451,9.99599,10.3857,14.162,14.5284
70,0.204646,2529.36,2337.18,1936.68,454.15,23532.3,366,12.0206,8.49008,14.5244,11.893,12.1431,8.32864,8.62502,14.3292,14.7358
71,0.167683,836.421,370.86,613.68,359.12,3320.78,102,12.2728,8.6805,14.2756,12.0145,12.4346,8.39129,8.86582,13.8934,14.4533
72,0.0674634,1342.98,534.648,1273.48,675.646,4126.36,208,10.9554,8.89919,13.8552,10.8644,11.0398,8.80833,9.01408,13.7425,13.961
73,0.0904478,1396.46,668.309,916.567,637.793,4652.54,192,10.8483,8.92857,13.6585,10.7523,10.9455,8.82922,9.04988,13.5274,13.797
74,0.130077,1286.78,1121.6,808.405,463.654,6120.44,109,12.3273,10.4169,12.521,12.189,12.4652,10.2576,10.5221,12.3986,12.6769
75,0.221841,1201.97,738.707,1027.7,581.422,8123.78,196,12.5017,10.5304,12.2749,12.3188,12.7036,10.3402,10.7507,12.0674,12.4614
76,0.11743,2237.26,5748.49,992.992,528.004,38167,100,12.9564,9.31965,12.1109,12.8387,13.0846,9.13846,9.46902,11.9868,12.2624
77,0.124266,912.021,308.308,846.439,647.289,2068.64,37,13.2419,9.70518,11.8402,13.1099,13.3667,9.23157,9.94608,11.4834,12.1976
78,0.198481,1462.13,1134.34,1079.17,765.11,13859.3,173,11.1666,9.31959,12.038,11.0212,11.339,9.14903,9.50565,11.8774,12.2154
79,0.37627,1356.86,1023.92,1083.4,767.219,10032.6,445,10.7705,9.44405,12.0171,10.4245,11.0434,9.23446,9.62752,11.8626,12.2106
80,0.16797,1462.9,792.829,1185.47,794.964,6062.98,146,11.3987,9.71804,11.3854,11.2339,11.5549,9.56837,9.89487,11.2244,11.5605
81,0.298859,1275.01,524.389,1157.31,704.226,4779.19,329,11.1399,9.92444,11.282,10.9367,11.3692,9.72948,10.0797,11.0669,11.514
82,0.252325,877.626,855.754,641.784,327.695,8788.04,215,10.7383,11.8926,12.7567,10.5704,10.8821,11.7653,12.0549,12.5682,12.9833
83,0.0654143,2305.71,1955.43,1314.79,505.497,8531.71,58,10.7019,11.9632,12.4752,10.6127,10.8623,11.7902,12.0756,12.3056,12.6107
84,0.292891,921.123,549.604,806.649,490.088,5763.61,267,11.7456,11.9527,12.6514,11.5068,11.9565,11.7826,12.1267,12.4762,12.8716
85,0.250279,955.233,1148.02,690.232,427.679,11461.3,221,11.7597,12.0555,12.3376,11.5328,11.9548,11.8636,12.2322,12.2015,12.4896
86,0.276642,1132.11,1318.87,711.047,604.569,9998.18,132,12.4177,11.3002,10.2071,12.1987,12.6791,11.0316,11.5388,9.96846,10.4367
87,0.285439,886.418,979.231,668.072,387.523,8354.19,110,12.6235,11.5554,10.497,12.3919,12.8036,11.2405,11.8306,10.1829,10.7148
88,0.174409,398.735,205.297,357.97,283.451,1791.6,150,11.2785,12.1465,11.0973,11.1457,11.5389,11.9873,12.2988,10.8772,11.2902
89,0.404506,424.393,454.19,361.177,248.013,8499.03,106,11.6123,12.0298,10.633,11.2792,12.2987,11.5527,12.3674,10.2195,11.0176
90,0.509021,668.402,421.833,497.339,349.161,5745.68,218,5.20788,6.28877,15.0752,4.9617,5.4451,5.99806,6.60212,14.7849,15.3683
91,0.108614,748.13,497.091,584.234,369.2,3040.08,91,5.30156,6.64022,15.1526,5.1374,5.4295,6.48274,6.74046,15.037,15.2576
92,0.0790141,1822.35,981.866,1454.16,884.687,5596.63,67,4.80951,7.24934,14.6796,4.7202,4.9165,7.12938,7.35739,14.5522,14.7923
93,0.0460355,1363.7,1171.31,868.64,654.466,5558.69,42,4.95463,7.37192,14.583,4.8018,5.0825,7.30985,7.44377,14.4805,14.7362
94,1.21045,1791.21,1894.81,1441.5,812.304,37166.5,302,5.03545,5.88643,13.5663,4.7687,5.2771,5.37252,6.42861,13.2101,13.918
95,0.164553,3000.47,3158.07,1797.45,979.803,21142.9,147,5.26941,6.35505,13.5407,5.0657,5.4423,6.18937,6.52417,13.3902,13.7582
96,0.0108726,1569.5,281.92,1451.7,1242.65,2287.59,10,4.45869,6.34577,13.9093,4.4073,4.5025,6.30522,6.39277,13.897,13.9264
97,0.204943,2545.59,834.002,2285.64,1667.37,8483.1,187,4.43364,6.17032,13.5635,4.242,4.6371,6.00941,6.35521,13.4021,13.7272
98,0.021688,1092.03,834.175,880.078,361.057,4029.15,19,5.17168,9.09692,13.5312,5.0987,5.2515,8.89945,9.14994,13.4547,13.6236
99,0.16992,1200.9,909.639,1028.49,576.13,7686,294,4.94891,9.14223,13.4806,4.7887,5.1072,8.95828,9.28957,13.3706,13.5888
100,0.276935,1261.31,863.736,1043.88,763.602,8305.8,245,5.37471,9.25308,12.9986,5.2255,5.557,9.04343,9.51193,12.872,13.1434
101,0.0189454,1567.9,629.056,1661.17,713.781,3458.3,16,5.50614,9.06612,12.8945,5.434,5.5963,8.93441,9.14023,12.8469,13.0202
102,0.0885911,1973.73,1127.84,1556.98,841.901,8232.57,79,4.15235,8.11484,12.9785,4.0224,4.3167,7.94251,8.29675,12.8358,13.1121
103,0.273202,1439.16,1308.23,1086.88,783.764,10867,232,4.13393,8.37558,12.8391,3.9401,4.3692,8.18072,8.56576,12.7174,13.0276
104,0.901802,2048.57,3169.72,1325.47,780.909,25819.2,241,4.61624,7.5265,12.1575,4.2156,5.0446,7.16787,7.86982,11.8183,12.5483
105,0.43086,1803.78,2807.31,909.541,629.244,23276.2,140,4.73791,8.15187,12.1199,4.3971,5.0759,7.84217,8.48119,11.8391,12.394
106,2.40333,779.349,730.578,673.719,380.839,11816.4,740,7.06554,5.11584,11.2123,6.4538,7.559,4.50556,5.69281,10.6302,11.8683
107,0.174989,3987.29,10094.2,1432.31,677.717,106578,146,6.62418,5.23759,11.7483,6.4133,6.8192,5.10983,5.44694,11.5622,11.903
108,0.314646,2032.54,2261.48,1428.21,734.59,20281.5,171,6.62955,5.65501,10.5179,6.3752,6.866,5.38445,5.96794,10.2451,10.7531
109,0.321004,2474.06,2593.83,1618.15,996.61,21019.7,279,6.44394,6.08951,10.5755,6.2638,6.6739,5.83207,6.38636,10.4037,10.748
110,0.120849,1181.4,797.329,880.956,507.187,4885.61,104,9.1071,8.0837,11.6087,8.961,9.2632,7.94116,8.2951,11.4483,11.7501
111,0.140248,1337.45,941.484,1165.41,574.133,7100.73,311,9.07594,7.94925,11.3474,8.9828,9.1703,7.79952,8.07791,11.1935,11.5101
112,1.72044,540.22,423.507,385.736,224.623,5873.46,536,9.20429,9.58826,10.9119,8.7264,9.7404,9.14996,10.0262,10.2802,11.5557
113,3.56157,491.737,227.543,493.96,208.605,4323.18,990,9.53692,8.67048,10.7463,8.7808,10.2386,7.86823,9.41056,10.013,11.5435
114,0.0666638,838.064,89.4366,792.955,743.808,1048.55,32,7.36461,8.57155,10.3126,7.1908,7.498,8.35041,8.74598,10.1628,10.3716
115,1.38157,883.505,200.107,848.325,656.621,2946.09,424,7.02942,8.34118,9.74576,6.6091,7.4357,7.89476,8.83259,9.28006,10.2521
116,0.648917,706.975,225.535,586.134,399.873,4120.73,220,7.29725,10.9529,9.39421,6.9964,7.6078,10.6575,11.3435,9.14596,9.70016
117,0.587005,525.527,158.215,503.734,319.956,1613.55,174,6.75645,9.64961,9.40011,6.1513,7.9135,9.18106,10.7546,9.14316,9.57066
118,0.502908,1356.01,1301.36,898.603,491.742,15090.1,319,11.04,8.51933,15.4794,10.831,11.2622,8.24912,8.84592,15.1992,15.804
119,0.199205,3231.31,6244.22,1320.94,713.256,57444,166,11.2196,8.85417,15.4178,11.0006,11.38,8.69417,9.00141,15.2275,15.6074
120,0.0747421,1452.49,1380.5,1222.61,590.277,8598.63,143,10.4821,9.6727,15.5546,10.3995,10.5565,9.56548,9.75686,15.4355,15.6648
121,0.323249,1223.83,1329.04,883.748,341.253,12827.8,503,10.2558,9.52461,15.6155,10.0672,10.4361,9.35299,9.78629,15.3928,15.8475
122,0.10051,1348.63,917.657,976.149,576.235,5060.64,139,10.5524,9.99978,15.2175,10.4557,10.6265,9.85143,10.1435,15.0865,15.3255
123,0.143096,762.475,605.066,611.342,381.514,5477.8,284,10.4072,10.0334,15.081,10.272,10.5696,9.88017,10.1961,14.9803,15.1821
124,0.197201,1628.84,741.236,1342.49,1009.78,8026.39,166,11.9566,10.2416,14.2222,11.7771,12.1226,10.0019,10.4095,14.0176,14.4135
125,0.161095,2069.78,1367.44,1606.2,1077.08,9108.29,375,11.8994,9.98853,13.9767,11.7555,12.0196,9.81087,10.176,13.8377,14.1338
126,0.179917,1891.89,1700.09,1410.24,802.764,12291.7,161,11.3805,10.3534,14.5903,11.2336,11.4945,10.2148,10.4866,14.4099,14.769
127,0.0952699,1261.76,750.654,988.232,664.419,4895.66,84,11.2829,10.3732,14.2977,11.1237,11.4289,10.2503,10.5279,14.1831,14.4687
128,0.0914612,977.33,625.207,739.537,555.252,4466.82,49,12.3567,8.60887,14.0344,12.1827,12.5135,8.40671,8.74387,13.8114,14.4013
129,0.214343,1400.16,1035.73,1030.61,665.914,10652.7,182,11.9645,8.42195,13.8447,11.8133,12.1728,8.23591,8.62052,13.6779,14.0725
