time,Flow,RR,Inspiration
7.41,51.486,231,1
7.42,107.01,231,1
7.43,131.393,231,1
7.44,134.51,231,1
7.45,132.123,231,1
7.46,129.886,231,1
7.47,128.309,231,1
7.48,126.563,231,1
7.49,124.344,231,1
7.5,120.812,231,1
7.51,113.669,231,1
7.52,90.032,231,1
7.53,28.07,231,1
7.54,-9.622,231,0
7.55,-6.899,231,0
7.56,-6.832,231,0
7.57,-6.823,231,0
7.58,-6.84,231,0
7.59,-6.819,231,0
7.6,-6.823,231,0
7.61,-6.802,231,0
7.62,-6.798,231,0
7.63,-6.773,231,0
7.64,-6.806,231,0
7.65,-6.777,231,0
7.66,-10.539,232,0
7.67,26.033,232,1
7.68,89.747,232,1
7.69,126.026,232,1
7.7,134.747,232,1
7.71,130.95,232,1
7.72,125.26,232,1
7.73,121.565,232,1
7.74,121.013,232,1
7.75,121.565,232,1
7.76,122.799,232,1
7.77,120.036,232,1
7.78,102.385,232,1
7.79,49.048,232,1
7.8,-10.272,232,0
7.81,-6.978,232,0
7.82,-6.836,232,0
7.83,-6.823,232,0
7.84,-6.823,232,0
7.85,-6.823,232,0
7.86,-6.84,232,0
7.87,-6.802,232,0
7.88,-6.798,232,0
7.89,-6.815,232,0
7.9,-6.802,232,0
7.91,-6.798,232,0
7.92,-10.513,230,0
7.93,25.414,230,1
7.94,81.619,230,1
7.95,113.303,230,1
7.96,124.674,230,1
7.97,126.742,230,1
7.98,124.776,230,1
7.99,122.27,230,1
8,122.825,230,1
8.01,125.184,230,1
8.02,125.745,230,1
8.03,121.464,230,1
8.04,107.984,230,1
8.05,72.195,230,1
8.06,-0.221,230,0
8.07,-7.406,230,0
8.08,-6.857,230,0
8.09,-6.832,230,0
8.1,-6.828,230,0
8.11,-6.815,230,0
8.12,-6.819,230,0
8.13,-6.806,230,0
8.14,-6.79,230,0
8.15,-6.819,230,0
8.16,-6.811,230,0
8.17,-7.002,230,0
8.18,-7.57,229,0
8.19,43.688,229,1
8.2,94.488,229,1
8.21,119.163,229,1
8.22,127.306,229,1
8.23,127.666,229,1
8.24,125.489,229,1
8.25,125.133,229,1
8.26,127.46,229,1
8.27,130.223,229,1
8.28,130.067,229,1
8.29,122.698,229,1
8.3,99.018,229,1
8.31,34.691,229,1
8.32,-9.688,229,0
8.33,-6.899,229,0
