label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,6.55759,591.522,317.941,535,46.6573,22792.1,999819,16.0258,9.477,7.94267,14.3237,17.683,8.01328,10.7045,6.38316,9.22012
2,6.34754,411.809,286.021,365,0.000315047,23480.3,967793,16.5807,12.9512,5.92102,14.8619,18.1099,11.6696,13.971,4.80284,6.93532
3,6.08184,436.407,373.052,379,0.00219848,27816.4,927282,15.316,8.5978,14.1696,14.1195,16.7922,7.54928,10.259,12.6473,15.6366
4,5.87655,370.219,269.009,325,0.0528606,20252.2,895982,15.9008,12.1214,8.41912,14.3051,17.2933,10.6302,13.637,7.37324,9.23916
5,5.1563,357.676,301.702,291,0.000448423,18664,786168,15.9983,10.2875,13.0875,14.9362,17.2562,8.73712,11.8181,11.0289,14.8369
6,5.10659,452.638,294.957,405,1.64665,22202.5,778589,19.1928,10.5548,7.5608,17.2376,20.6341,9.29392,11.8366,6.45932,9.18204
7,4.79192,563.262,335.444,503,20.4464,36182.6,730612,14.9991,9.20961,9.35271,13.5998,16.4024,7.54928,10.4446,7.79212,10.3816
8,4.77582,317.02,244.803,277,0.0371085,16999.7,728157,15.4242,10.9333,4.44173,14.2309,16.6622,9.9064,12.0408,3.41292,5.31692
9,4.48797,379.825,364.951,319,0.00328861,23994.7,684269,20.0666,6.42779,6.44687,18.5368,21.0795,4.35696,7.54928,4.76476,7.27804
10,4.48057,452.751,250.486,403,0.550494,17755.1,683141,15.5415,11.0998,5.85449,14.3794,16.9406,9.8136,12.4306,4.85996,6.76396
11,4.44345,311.436,281.347,255,0.291794,32882.3,677482,15.4421,11.5738,9.7055,14.2309,16.5138,10.259,13.043,8.5918,10.4958
12,4.34688,686.461,404.734,647,7.91696,25197.1,662757,15.6793,8.00522,10.34,14.1938,17.1262,6.17584,9.92496,9.10588,11.4478
13,4.30434,501.527,313.291,457,0.746206,17526.8,656271,17.9441,10.2523,5.40795,16.4395,19.0565,8.68144,11.7253,3.94604,7.1638
14,4.29726,425.484,285.52,389,0.897675,13520.5,655193,17.5656,12.7385,7.45502,16.3282,19.0194,10.9829,13.8968,6.23084,8.61084
15,4.27095,388.003,294.805,339,0.153829,21016.5,651181,18.325,10.9347,9.80959,16.9963,19.7061,9.94352,12.5976,8.9726,10.6862
16,4.12662,598.338,346.623,549,1.70303,15976.7,629175,17.8793,8.41133,7.55333,16.7365,19.0379,7.1224,9.46096,5.96428,9.01068
17,4.11713,572.773,466.39,503,0.135375,22406.6,627729,15.8483,5.05707,13.2786,14.565,17.5531,3.63312,6.25008,12.3236,14.38
18,3.94058,489.473,321.95,445,1.8241,22481.9,600810,19.6502,8.14075,7.05487,18.2955,20.931,7.27088,10.1848,5.79292,8.36332
19,3.84049,388.102,299.735,351,0.00671184,26155.8,585550,16.9844,11.9663,9.75776,15.9384,18.147,9.86928,13.3771,8.91548,10.5529
20,3.77628,688.822,420.203,621,34.6958,29546.1,575760,16.18,6.76665,11.3274,14.9733,17.3675,5.47056,7.80912,10.115,12.4379
21,3.59031,431.021,236.071,391,13.2384,10479.1,547405,15.2416,10.8372,7.21895,14.3237,16.5694,9.23824,11.9666,6.34508,8.23004
22,3.5504,339.471,285.52,291,0.0609222,19637.2,541320,16.8987,12.6918,2.99913,15.9198,17.8686,10.9458,13.7854,2.27052,3.85084
23,3.52636,414.679,276.848,373,0.298497,23623.4,537655,18.9066,9.91968,8.79032,17.2376,20.3371,8.77424,11.0571,8.0206,9.60092
24,3.49096,399.523,374.516,343,1.20131e-06,26519.1,532257,19.0728,4.84735,8.0571,17.8501,20.1144,3.33616,6.02736,6.70684,9.3534
25,3.43675,376.045,269.06,327,0.231545,11361.8,523992,18.7898,12.3853,5.81484,17.4974,20.2258,10.8715,13.7112,4.91708,6.95436
26,3.35964,407.799,276.377,371,1.76839,11195.4,512236,19.4353,10.2755,5.4573,18.3883,20.8197,8.81136,11.484,4.1174,6.61164
27,3.35773,341.204,259.639,297,1.17998,13616.3,511944,18.0096,12.7959,4.68486,17.0891,19.1122,11.5211,13.9339,3.7366,5.56444
28,3.30787,281.397,253.137,233,0.00817092,19623.7,504343,15.6765,11.4003,10.9341,13.971,16.6437,9.68368,12.7832,10.1912,11.8857
29,3.26291,628.218,342.18,587,0.805331,18924.4,497487,17.8497,7.95047,11.558,16.5509,19.1493,7.17808,9.03408,10.591,12.3427
30,3.22064,460.222,301.758,407,0.375539,17734.5,491043,19.2722,8.06406,8.92818,18.1656,20.4485,6.88112,9.0712,7.9254,9.75324
31,3.19319,547.544,317.279,511,0.692738,19490.8,486857,18.4509,8.41399,10.5589,16.9963,19.7432,7.53072,9.36816,9.5438,11.543
32,3.19168,262.815,257.384,213,3.16952e-06,14656.1,486628,19.5776,11.0881,2.9136,18.4069,20.4856,9.75792,12.5605,1.22332,4.19356
33,3.16216,374.544,268.26,339,0.157785,14077.9,482126,18.1354,12.0962,8.96352,16.9406,19.5205,10.5189,13.4514,8.13484,9.9246
34,3.08907,443.618,404.669,371,0.226104,18293.1,470982,16.1953,4.08308,12.051,14.7506,17.7758,2.81648,5.02512,10.9337,12.971
35,3.07378,351.169,255.826,305,0.0674401,12321.8,468652,19.3391,11.7413,4.66841,17.9614,20.5598,10.8158,13.043,3.77468,5.65964
36,3.01681,378.72,268.076,341,0.0940493,22117.4,459965,16.8663,13.046,4.41929,15.6414,17.683,11.7995,13.9339,3.62236,5.39308
37,2.98657,420.549,252.624,381,0.676679,18179.7,455354,18.1933,9.71093,10.2969,16.7179,19.5576,8.9784,10.7602,8.95356,11.4288
38,2.96898,385.711,262.492,341,1.83626,13609.8,452673,18.4829,12.1725,7.59856,17.3675,19.8546,10.9272,13.4142,6.66876,8.51564
39,2.9653,586.746,439.937,549,0.027333,25829.7,452112,15.3958,6.71392,14.4013,14.3794,16.755,5.39632,8.03184,13.1424,15.6747
40,2.9573,434.107,432.811,375,9.81616,108332,450892,14.4518,8.71155,10.6743,13.5256,15.3074,7.5864,10.5746,9.22012,12.4569
41,2.89708,388.01,327.763,337,0.121852,20516.8,441710,18.2803,3.93615,8.98569,17.2747,19.3349,2.4824,4.82096,7.71596,10.134
42,2.84619,237.633,242.385,191,0.000278207,14523.4,433952,20.3647,9.19355,4.05451,19.1307,21.0795,8.0504,10.3704,2.76556,5.33596
43,2.73733,455.108,383.287,385,0.00559735,16591.6,417354,19.5677,5.78777,7.59709,18.3326,20.5227,4.35696,7.64208,6.57356,8.64892
44,2.7256,308.533,289.658,267,0.0717177,14438.3,415566,18.1377,12.0819,2.28206,17.4046,19.6318,10.6859,13.4142,0.65212,4.15548
45,2.70857,376.585,260.774,327,1.89971,12265.4,412969,20.0929,9.62061,6.61196,18.9451,20.931,8.73712,10.7045,5.79292,7.39228
46,2.7042,487.728,428.911,429,17.8843,55682.5,412303,15.3149,7.87375,12.434,14.4536,16.4766,6.9368,8.99696,11.2003,13.466
47,2.6988,744.16,395.868,687,38.1539,26995.5,411479,17.719,7.63033,8.65505,16.6808,18.7595,6.36144,9.27536,7.0686,10.6291
48,2.68173,560.499,366.845,513,16.3427,36698.6,408877,16.1018,8.56984,11.4551,14.4907,17.1448,7.27088,9.7208,10.7814,12.514
49,2.66964,628.867,366.46,579,45.23,17118.3,407033,17.5297,9.80594,7.39786,16.6622,18.7966,8.27312,11.1128,5.90716,9.10588
50,2.6608,563.745,339.699,517,0.819386,15216.6,405685,18.3999,9.16353,6.54462,17.4418,19.4648,7.71632,10.5931,5.22172,8.38236
51,2.6541,595.233,380.557,553,0.0110528,23962.5,404664,16.7343,7.5215,13.3505,15.7714,17.8872,6.67696,8.55152,12.3427,14.38
52,2.62606,440.109,288.728,399,0.192706,18310.3,400388,18.9521,9.05505,9.68169,17.2562,20.1144,8.08752,10.1662,8.85836,10.5529
53,2.58843,475.79,290.721,433,0.407665,14603.2,394651,15.717,12.0567,7.09662,14.6392,16.6994,10.6302,13.4514,6.34508,7.88732
54,2.53064,575.668,355.378,549,0.0446646,22694.3,385840,16.9648,8.84609,12.7573,15.3259,18.444,7.80912,9.55376,11.2764,14.1515
55,2.52049,251.556,208.463,227,0.118928,20698.3,384293,16.0617,11.1967,11.9702,14.6578,16.9221,9.9064,12.3749,11.4668,12.6473
56,2.5194,323.25,250.902,285,0.00980209,15001.8,384127,17.2841,11.7205,10.9974,16.421,18.8152,9.88784,12.8203,10.2483,12.5902
57,2.50212,446.832,398.241,375,0.0950646,24912.5,381492,17.4245,3.75156,10.2914,16.3467,18.6667,2.33392,4.83952,9.2582,11.1432
58,2.50017,364.174,273.833,327,0.00201177,10553.1,381194,15.7016,12.4439,3.87763,14.565,16.6622,10.5003,13.6741,3.08924,4.82188
59,2.49904,516.315,290.979,469,46.9634,14814.8,381023,17.0826,10.3198,6.51933,15.9755,18.147,8.94128,11.8366,5.52636,7.31612
60,2.49356,366.424,296.335,315,0.195577,14098.9,380187,20.278,7.64217,5.81952,19.0379,21.0795,6.73264,8.7,4.6886,6.64972
61,2.49321,229.484,308.089,169,2.02795e-06,21272.1,380133,16.4484,12.6116,1.45455,15.196,17.813,11.4654,13.5256,0.27132,2.47996
62,2.41537,399.55,254.287,365,0.151485,9767.59,368266,19.7534,8.98102,7.96087,18.6296,20.7454,8.08752,9.8136,7.27804,8.80124
63,2.37235,287.536,272.164,239,0.0156604,22272.7,361706,20.0147,10.31,3.60562,18.9451,20.8939,8.53296,11.5582,2.17532,4.93612
64,2.3584,510.465,312.179,465,0.583857,15948.5,359579,18.6273,7.30438,10.1587,17.1262,19.7432,6.36144,8.08752,9.31532,10.9908
65,2.3476,156.942,204.629,103,0.00112333,12551.6,357933,14.9798,10.9852,3.15645,14.1938,16.5694,10.092,12.0779,1.75644,3.927
66,2.34166,222.237,258.446,167,0.00267667,16596,357027,18.8921,11.8944,2.0873,17.6459,19.7618,10.9458,13.34,0.42364,3.10828
67,2.32431,510.142,315.746,471,0.164484,10937.9,354382,17.9655,9.39452,12.0308,16.8107,18.9637,8.53296,10.6302,11.2574,12.99
68,2.31165,377.359,275.015,331,4.00434,13277.8,352452,19.9719,9.84007,4.9666,19.0379,20.931,8.68144,10.7973,4.07932,5.90716
69,2.25928,513.904,365.645,459,0.000675042,42622.1,344466,17.0572,9.95225,12.5568,15.2888,18.2213,8.68144,11.7067,11.1241,13.9611
70,2.25436,320.375,273.574,269,0.164898,16145.5,343717,18.3949,12.5399,3.45982,17.2933,19.5947,11.484,13.7112,2.63228,4.23164
71,2.24927,379.166,259.658,333,1.15186,13991,342941,19.3559,11.4251,6.43689,18.444,20.4856,10.3333,12.8946,5.56444,7.1638
72,2.19945,514.424,273.968,469,63.5379,10247.5,335345,17.9993,11.5972,6.14793,17.0706,18.908,10.5374,12.5419,5.01228,7.14476
73,2.17636,674.929,352.096,599,107.426,12181.9,331824,16.5318,7.9493,8.47209,15.363,17.6645,6.844,8.84848,6.66876,9.46764
74,2.13469,578.161,367.166,511,1.02279,27384.5,325470,18.1711,5.30233,9.38163,16.8664,19.4834,4.69104,6.15728,7.5446,10.4006
75,2.12105,583.297,354.847,549,0.289712,21387.6,323391,17.47,7.74442,12.5896,16.4581,18.5182,6.62128,8.58864,11.9428,13.4089
76,2.10997,722.629,392.047,657,116.765,23075.9,321701,17.1399,6.7856,9.26,16.1797,17.9614,5.52624,7.71632,7.65884,10.591
77,2.0941,185.975,275.247,139,1.34124e-08,26497.2,319282,15.3933,11.9902,1.91596,14.4536,16.291,10.9086,13.2658,0.91868,2.55612
78,2.0919,223.395,241.512,177,0.00362303,11718.3,318946,20.5309,8.08243,4.81299,19.1307,21.0795,6.30576,9.21968,3.5462,5.5454
79,2.06787,415.67,272.688,379,0.905187,11195.4,315283,19.0959,11.2132,8.23976,17.7944,20.0773,9.2568,12.3749,7.01148,9.22012
80,2.06256,415.899,255.175,377,0.194628,9712.7,314473,16.8311,9.87898,5.75846,15.493,17.683,8.236,11.3912,4.65052,7.14476
81,2.06185,269.448,307.511,213,0.012616,18183,314365,17.3944,12.6304,1.69372,16.9035,17.9058,11.5026,13.5627,0.55692,2.55612
82,2.05608,621.83,396.295,547,0.617679,13197.4,313485,17.3605,4.96813,10.4233,15.9198,18.8523,4.28272,5.6376,9.4486,11.6192
83,2.0392,655.107,375.572,627,15.2604,15491.9,310911,17.046,8.92313,9.25092,16.0126,18.2398,7.62352,9.98064,8.28716,10.6481
84,2.01894,634.202,413.337,583,0.663891,15445.5,307822,18.3956,7.09872,7.88323,17.5902,19.1864,5.95312,8.3288,6.53548,9.02972
85,1.96325,396.228,248.017,361,0.343533,11773.2,299331,17.0229,11.1613,4.58004,16.3282,18.2213,10.0178,12.2264,3.71756,5.5454
86,1.94812,505.088,333.698,445,0.533676,13302.9,297025,18.7555,6.31507,9.83582,17.4789,19.8546,5.452,7.27088,9.04876,10.6672
87,1.91518,626.611,374.438,577,0.624727,16242.1,292003,18.019,6.74442,11.0604,16.7736,19.1493,5.99024,7.4936,10.3054,11.7144
88,1.91332,483.883,305.331,439,0.173744,9596.99,291719,18.6751,10.7868,4.23192,17.8686,20.4856,9.73936,11.6139,3.37484,5.5454
89,1.8668,445.486,322.97,399,0.650309,16457.8,284626,16.736,12.8623,7.09189,15.493,17.4046,11.02,13.9339,6.51644,7.86828
90,1.85447,396.686,261.879,369,0.0855197,11634.5,282747,18.1443,10.3818,11.1014,16.5694,19.1122,9.31248,11.6696,10.2673,12.1332
91,1.79476,334.814,253.057,317,0.0314437,15334.9,273642,17.4946,10.9675,11.8624,16.421,18.7038,9.92496,12.1522,10.3625,12.8948
92,1.78058,625.829,402.228,573,2.27785,23056.6,271480,17.9378,5.70311,10.9616,17.1634,18.9266,4.988,6.7512,9.86748,11.8667
93,1.77965,291.853,254.251,255,0.00161975,15509,271339,15.7106,12.008,2.89471,14.5278,16.5694,10.7973,13.34,2.34668,3.66044
94,1.736,637.66,430.293,595,0.0751711,18917.3,264684,16.6735,6.32405,13.4601,14.9547,17.8501,5.65616,7.01104,12.3427,14.6465
95,1.73293,649.357,387.331,571,67.5117,29197.1,264215,16.7266,5.82044,10.4771,15.7157,17.6088,5.24784,6.91824,9.50572,11.3907
96,1.71947,517.404,427.949,445,1.21697,26263.4,262163,16.9128,4.21454,11.1654,15.9198,18.147,2.74224,5.3592,10.6291,11.6382
