label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
1,0,5.5281,0.490039,Trachea,15.4536,8.6057,18.2498,0.00680154,0.358785,-0.933395
2,1,2.80323,0.627467,RMB,15.1857,9.7243,14.3038,-0.204549,0.0905384,-0.97466
3,1,4.30714,0.459716,LMB,15.9894,10.1426,13.6516,0.240066,0.253161,-0.937165
4,2,1.62623,0.353607,CrRMB,14.2081,9.6068,12.5855,-0.849696,-0.300573,-0.433211
5,2,2.07279,0.664267,RMB,14.7016,9.7666,11.9238,-0.190468,-0.081629,-0.978294
6,3,1.50379,0.35664,,17.1503,10.4011,11.3716,0.856372,-0.381304,-0.348187
7,3,1.04247,0.612942,LMB,16.6192,10.9698,11.2098,0.216411,0.541023,-0.812687
8,4,0.187086,0.37252,CrRMB,13.4608,9.3013,12.1904,-0.602933,-0.653174,-0.458077
9,4,0.77398,0.179356,,13.3574,9.7102,12.1761,-0.412931,0.898731,-0.147549
10,5,2.0042,0.457718,MiRMB,14.2081,8.7937,10.5529,-0.29548,-0.88644,-0.356252
11,5,0.0494212,0.745965,RMB,14.5089,9.6867,10.8861,0.190209,0.19019,-0.963145
12,6,0.644492,0.224087,,18.0386,10.0674,11.3145,0.758427,-0.145851,0.635229
13,6,0.26785,0.282438,,17.8929,10.1097,11.0194,0.736977,-0.0350957,-0.675006
14,7,0.724107,0.321965,,16.8589,11.5291,10.9813,0.3505,0.76591,0.53901
15,7,0.178759,0.613355,LMB,16.7367,11.2894,10.7052,0.0525814,0.420678,-0.905685
16,8,1.04247,0.234217,,13.3057,8.8689,12.4998,-0.189358,-0.712347,0.675799
17,8,0.949568,0.339667,CrRMB,13.0331,9.071,11.9047,-0.782039,-0.356373,-0.511286
18,9,0.299923,0.110586,,13.3104,10.1567,12.1142,0.75219,0.658169,-0.0320103
19,9,0.0830644,0.133818,,13.1647,10.0815,12.1285,-0.792165,0.565826,0.228727
20,10,0.491311,0.291988,,13.7287,7.8819,10.034,-0.746167,-0.0956623,-0.65885
21,10,0.602045,0.312149,MiRMB,13.8979,7.6093,10.1435,-0.0468406,-0.983647,-0.173907
22,11,1.84115,0.401936,AcRMB,15.0118,9.3812,10.153,0.541182,-0.336962,-0.77044
23,11,1.46121,0.616199,CaRMB,14.2081,9.8747,10.2245,-0.418147,0.250888,-0.873045
24,12,0.198314,0.203176,,18.3394,9.9734,11.5859,0.568789,-0.473996,0.672166
25,12,0.506753,0.145809,,18.4381,10.2037,11.6001,0.612132,0.72343,0.319287
26,13,0.651123,0.148691,,18.2454,10.2977,10.8623,0.779577,0.591902,-0.204723
27,13,0.493285,0.213353,,18.1232,9.9734,10.7671,0.533567,-0.533565,-0.656212
28,14,0.296914,0.139787,,17.108,11.8816,11.1384,0.823133,0.506544,-0.256641
29,14,0.35634,0.0996988,,16.9059,11.9568,11.2289,-0.448447,0.844136,0.293821
30,15,1.1977,0.385098,,17.1127,11.2706,10.1578,0.620022,-0.0941804,-0.778911
31,15,1.52972,0.521266,LMB,16.7085,11.8346,10.0531,-0.0430143,0.663652,-0.746804
32,16,0.286427,0.217242,,13.1412,8.5916,12.9377,-0.459451,0.656364,0.598407
33,16,0.0766127,0.224834,,13.2023,8.4647,12.871,-0.122687,-0.858862,0.497297
34,17,0.0210199,0.310146,CrRMB,12.6524,8.8971,11.662,-0.894427,-0.447214,0
35,17,0.450524,0.207354,,12.7558,8.977,11.4716,0.417291,0.333834,-0.845236
36,18,0.371401,0.077962,,13.5548,10.3682,12.176,0.708669,0.60743,0.35891
37,18,0.416239,0.0661512,,13.5125,10.4293,12.038,0.429081,0.835579,-0.343071
38,19,0.312913,0.092766,,13.0942,10.1567,12.2808,-0.240323,0.330444,0.912717
39,19,0.576817,0.0861668,,13.0049,10.3494,12.0523,-0.44,0.84741,-0.297147
40,20,0.558924,0.225432,,13.3198,7.755,9.7437,-0.807264,-0.369996,-0.459812
