label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
4,81.9352,1.38145,2.6639,1.0525,0,1757.71,98238568,14.4443,7.12183,13.888,11.2694,17.6436,2.82672,11.7281,10.5101,17.0122
10,13.5392,1.01821,1.31665,0.7975,1.4273e-14,416.988,16233192,15.5769,11.0068,12.748,12.8606,17.9806,9.22896,12.6641,10.967,14.7274
14,85.702,1.32464,1.76803,1.0675,0,857.247,102754816,7.82249,10.3292,14.1792,5.29776,11.5409,6.19632,14.3863,9.36768,17.6596
22,68.5836,1.27059,1.95159,1.0025,0,736.923,82230296,15.9075,7.29209,10.767,12.6547,18.7294,2.9016,10.9044,6.74016,13.6993
408,23.4946,0.962034,1.29249,0.7175,0,287.148,28169472,17.9695,9.4574,7.04958,15.5376,19.6654,7.35696,11.8778,4.79808,8.86312
27,33.6065,1.24523,1.10424,1.0375,0,365.689,40293416,8.0627,10.4801,9.58132,5.26032,11.4098,5.9904,13.5814,6.7592,12.1951
414,2.45221,1.29976,1.36925,1.0975,0.032198,329.575,2940144,12.9831,7.64454,10.4452,11.831,13.9932,6.81408,8.8452,9.29152,11.8714
30,20.6262,1.1245,2.87083,0.8275,7.45695e-18,1018.84,24730392,10.4276,13.0286,13.2222,8.424,12.533,10.4458,15.4346,10.9861,15.4129
618,8.22063,0.814316,1.14728,0.5675,0,213.125,9856360,16.9429,12.1501,7.2967,14.4893,18.9914,10.4645,13.3006,5.94048,8.27288
233,10.9942,0.89758,2.03654,0.6525,3.76936e-11,1052.46,13181848,14.663,11.13,8.87013,13.0666,16.4268,8.892,13.1508,7.69216,10.6719
621,4.77779,1.86117,10.8394,1.2275,0,2611.12,5728472,14.2735,6.44723,9.18203,12.8045,16.146,4.28688,8.24616,8.03488,10.6719
