time,Flow,RR,Inspiration
10.29,5.074,252,1
10.3,65.285,252,1
10.31,120.561,252,1
10.32,148.418,252,1
10.33,153.503,252,1
10.34,146.165,252,1
10.35,133.248,252,1
10.36,118.144,252,1
10.37,100.857,252,1
10.38,82.186,252,1
10.39,57.426,252,1
10.4,26.178,252,1
10.41,-2.125,252,0
10.42,-10.503,252,0
10.43,-9.449,252,0
10.44,-9.379,252,0
10.45,-9.379,252,0
10.46,-9.377,252,0
10.47,-9.382,252,0
10.48,-9.379,252,0
10.49,-9.372,252,0
10.5,-9.372,252,0
10.51,-10.132,252,0
10.52,-10.38,252,0
10.53,1.963,257,1
10.54,64.109,257,1
10.55,123.761,257,1
10.56,151.521,257,1
10.57,154.317,257,1
10.58,145.427,257,1
10.59,133.248,257,1
10.6,121.439,257,1
10.61,110.28,257,1
10.62,98.059,257,1
10.63,83.921,257,1
10.64,63.731,257,1
10.65,26.563,257,1
10.66,-6.527,257,0
10.67,-9.827,257,0
10.68,-9.384,257,0
10.69,-9.375,257,0
10.7,-9.386,257,0
10.71,-9.377,257,0
10.72,-9.386,257,0
10.73,-9.377,257,0
10.74,-9.372,257,0
10.75,-9.672,257,0
10.76,-10.356,256,0
10.77,3.83,255,1
10.78,63.505,255,1
10.79,118.491,255,1
10.8,143.711,255,1
10.81,148.694,255,1
10.82,143.304,255,1
10.83,133.196,255,1
10.84,121.665,255,1
10.85,114.915,255,1
10.86,111.026,255,1
10.87,98.995,255,1
10.88,76.588,255,1
10.89,39.861,255,1
10.9,-2.839,255,0
10.91,-9.993,255,0
10.92,-9.391,255,0
10.93,-9.372,255,0
10.94,-9.382,255,0
10.95,-9.37,255,0
10.96,-9.389,255,0
10.97,-9.379,255,0
10.98,-9.375,255,0
10.99,-9.899,255,0
11,-10.521,253,0
11.01,-7.245,250,0
11.02,29.704,250,1
11.03,94.735,250,1
11.04,136.996,250,1
11.05,150.16,250,1
11.06,149.274,250,1
11.07,144.037,250,1
11.08,136.227,250,1
11.09,124.268,250,1
11.1,109.728,250,1
11.11,92.992,250,1
11.12,72.394,250,1
11.13,38.934,250,1
11.14,-1.896,250,0
11.15,-10.306,250,0
11.16,-9.396,250,0
11.17,-9.389,250,0
11.18,-9.379,250,0
11.19,-9.377,250,0
11.2,-9.377,250,0
11.21,-9.375,250,0
11.22,-9.382,250,0
11.23,-9.375,250,0
11.24,-10.283,250,0
11.25,-8.112,249,0
11.26,36.279,249,1
11.27,104.252,249,1
11.28,148.087,249,1
11.29,163.655,249,1
11.3,162.1,249,1
11.31,151.799,249,1
11.32,138.247,249,1
11.33,123.305,249,1
11.34,106.938,249,1
11.35,86.963,249,1
11.36,65.418,249,1
11.37,40.156,249,1
11.38,5.066,249,1
11.39,-10.334,249,0
11.4,-9.449,249,0
11.41,-9.382,249,0
11.42,-9.384,249,0
11.43,-9.382,249,0
11.44,-9.377,249,0
11.45,-9.375,249,0
11.46,-9.368,249,0
11.47,-9.375,249,0
11.48,-9.911,249,0
11.49,-9.628,249,0
11.5,26.844,249,1
11.51,100.949,249,1
11.52,149.412,249,1
11.53,162.387,249,1
11.54,155.695,249,1
11.55,142.059,249,1
11.56,126.256,249,1
11.57,112.672,249,1
11.58,99.293,249,1
11.59,84.283,249,1
11.6,64.847,249,1
11.61,30.331,249,1
11.62,-5.715,249,0
11.63,-9.829,249,0
11.64,-9.384,249,0
11.65,-9.384,249,0
11.66,-9.379,249,0
11.67,-9.379,249,0
11.68,-9.379,249,0
11.69,-9.386,249,0
11.7,-9.379,249,0
11.71,-10.13,249,0
11.72,-5.647,252,0
11.73,53.956,252,1
11.74,122.219,252,1
11.75,155.526,252,1
11.76,160.323,252,1
11.77,151.493,252,1
11.78,138.781,252,1
11.79,125.056,252,1
11.8,111.678,252,1
11.81,97.763,252,1
11.82,86.64,252,1
11.83,72.633,252,1
11.84,42.774,252,1
11.85,-0.576,252,0
11.86,-10.206,252,0
11.87,-9.4,252,0
11.88,-9.379,252,0
11.89,-9.386,252,0
11.9,-9.384,252,0
11.91,-9.386,252,0
11.92,-9.382,252,0
11.93,-9.377,252,0
11.94,-9.702,252,0
11.95,-10.428,252,0
11.96,4.799,254,1
11.97,69.004,254,1
11.98,124.42,254,1
11.99,148.611,254,1
12,150.909,254,1
12.01,142.843,254,1
12.02,132.306,254,1
12.03,122.926,254,1
12.04,116.463,254,1
12.05,110.064,254,1
12.06,99.293,254,1
12.07,82.587,254,1
12.08,58.912,254,1
12.09,23.601,254,1
12.1,-7.007,254,0
12.11,-9.724,254,0
12.12,-9.382,254,0
12.13,-9.382,254,0
12.14,-9.384,254,0
12.15,-9.384,254,0
12.16,-9.37,254,0
12.17,-9.384,254,0
12.18,-9.382,254,0
12.19,-9.98,254,0
12.2,-8.792,252,0
12.21,34.647,252,1
12.22,106.915,252,1
12.23,147.895,252,1
12.24,156.288,252,1
12.25,151.521,252,1
12.26,143.06,252,1
12.27,131.706,252,1
12.28,117.302,252,1
12.29,100.903,252,1
12.3,79.801,252,1
12.31,44.237,252,1
12.32,-1.426,252,0
12.33,-10.068,252,0
12.34,-9.405,252,0
12.35,-9.391,252,0
12.36,-9.384,252,0
12.37,-9.382,252,0
12.38,-9.37,252,0
12.39,-9.379,252,0
12.4,-9.37,252,0
12.41,-9.73,252,0
12.42,-10.432,252,0
12.43,9.901,258,1
12.44,78.972,258,1
12.45,130.612,258,1
12.46,151.048,258,1
12.47,154.289,258,1
12.48,148.915,258,1
12.49,138.22,258,1
12.5,125.107,258,1
12.51,108.222,258,1
12.52,87.223,258,1
12.53,57.318,258,1
12.54,13.723,258,1
12.55,-9.901,258,0
12.56,-9.483,258,0
12.57,-9.384,258,0
12.58,-9.382,258,0
12.59,-9.382,258,0
12.6,-9.379,258,0
12.61,-9.389,258,0
12.62,-9.377,258,0
12.63,-9.37,258,0
12.64,-10.381,258,0
12.65,-6.731,258,0
12.66,40.094,258,1
