label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,15.289,53.4181,804.898,17.3493,-0.0140381,40923.3,4134,16.6061,12.4923,19.8207,15.4904,17.4806,11.2094,13.4182,17.7541,21.3206
2,27.65,60.2856,255.922,26.4588,-0.00056344,9407.93,7377,15.5659,11.4387,16.5675,13.9675,16.9021,9.8326,12.8693,14.3647,19.2451
3,28.2922,269.326,4476.75,31.6619,-0.0150644,215636,7219,17.2657,11.5891,15.1009,16.386,18.6796,10.2102,12.8527,12.2199,18.6376
4,3.57465,82.9219,87.8891,65.671,9.85916,1667.3,1021,13.7449,10.6103,15.0553,13.0274,14.3383,9.90983,11.3795,14.2561,15.9165
5,10.2826,45.2822,105.31,25.4978,0.818029,3895.61,2804,15.0378,11.0923,13.9423,13.6076,16.286,9.62339,12.3492,12.6953,14.9186
6,1.87962,337.888,594.671,222.881,18.2008,12814.3,523,18.77,10.658,12.825,18.3291,19.2888,10.1883,11.17,12.3421,13.3609
7,10.9555,243.584,1195.96,105.603,1.13549,51003.6,2870,17.9401,10.9771,11.6772,16.7403,19.1907,9.93091,12.1403,10.392,12.7725
8,1.33356,678.805,4498.96,80.5714,30.68,75945.5,359,13.3132,9.93445,15.3393,12.9503,13.7034,9.43734,10.3917,14.9499,15.7557
9,2.11311,139.572,186.327,93.2911,19.0394,2521.57,556,13.0253,10.3694,14.4376,12.424,13.6452,9.90014,10.9108,13.9147,14.9882
10,0.236448,21.5333,21.1453,15.0409,1.09651,99.4063,59,14.7199,9.71285,13.9118,13.9946,15.3423,9.53239,9.98295,13.0046,14.3263
11,0.955457,177.632,742.343,34.776,5.04463,6592.37,330,14.8952,10.1988,12.9203,13.657,15.728,9.74974,11.9305,12.4634,13.5475
12,0.257949,815.025,4013.08,326.848,36.0108,69093.3,72,19.1961,10.5404,13.0902,18.9326,19.4172,10.2696,10.8381,12.9226,13.3608
13,0.250856,425.427,478.494,315.583,213.344,3310.89,64,19.1395,10.617,12.4342,18.943,19.4727,10.213,10.9981,12.3102,12.9284
14,0.948248,990.745,1107.5,734.355,88.1669,13244.2,302,18.7858,10.0368,11.0658,18.2676,19.2449,9.69279,10.4134,10.6041,11.4885
15,0.667151,2297.06,8880.52,310.46,55.6909,79549.2,189,18.2405,10.8747,10.6527,17.4675,19.1859,10.1338,11.6,10.2965,11.1388
16,0.635967,5522.48,18365.4,420.01,24.2075,134580,198,13.3719,9.68812,15.8425,13.0555,13.6179,9.3861,10.0377,15.5745,16.1111
17,0.856002,1715.45,3202.74,184.902,52.6407,22891.1,256,13.0111,9.33955,15.4285,12.6206,13.3689,9.01196,9.68606,15.1324,15.7867
18,0.374689,178.11,132.299,112.216,67.4596,1016.77,149,12.7788,10.9978,14.3063,12.5409,13.0163,10.8505,11.268,14.0663,14.5458
19,1.49273,706.321,1947.91,197.213,65.9096,23462.2,429,12.4069,10.3912,14.1084,11.9278,12.8641,9.85369,10.9199,13.6484,14.6054
20,0.827786,26.0293,34.1247,19.1914,5.7536,368.367,216,14.2967,9.55123,13.9184,13.9592,14.8823,9.08741,9.93849,13.2286,14.2871
21,7.31402,73.278,571.407,35.3042,1.14401,18823.7,1977,14.2871,8.95697,13.0732,13.4089,15.3226,7.828,9.94827,12.2607,14.0924
22,8.69836,52.3427,139.539,26.4772,0.162681,3015.35,2391,15.617,10.4084,11.8375,14.8868,16.2041,9.43128,11.6015,10.5659,13.1553
23,15.2829,119.603,606.386,59.0177,2.56649,21453.1,4152,14.0146,11.1895,11.9101,12.7044,15.3353,9.88453,12.2222,10.2558,13.5938
24,0.522855,1146.44,5483.55,280.571,109.164,89868.5,225,19.3415,10.54,13.3481,19.0572,19.6024,10.2812,10.8074,13.0499,13.6501
