label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
1,0,4.95015,0.744995,Trachea,18.9422,6.66216,22.0912,-0.0663213,0.149232,-0.986576
2,1,6.78144,0.673354,LMB,19.2888,7.2276,16.303,0.150617,0.0578284,-0.986899
3,1,4.8189,0.838267,RMB,18.4133,7.9344,17.4454,-0.151404,0.374725,-0.91469
4,2,1.68655,0.553543,,20.2509,6.72144,12.8377,0.535355,-0.832755,-0.141117
5,2,0.928582,0.843159,LMB,19.877,7.39632,12.4998,0.167029,-0.0589285,-0.984189
6,3,1.7785,0.458273,CrRMB,17.3554,9.3936,15.2701,-0.779478,0.625607,0.0321059
7,3,1.76033,1.01479,RMB,17.7795,8.96496,14.4132,-0.305681,0.145064,-0.941018
8,4,0.337578,0.395389,,20.8347,5.91432,12.7187,0.783521,-0.621366,0
9,4,0.860378,0.202451,,20.4516,5.75472,12.4902,-0.583,-0.614799,-0.531163
10,5,1.04364,0.537588,,20.3786,7.60608,11.8524,0.812636,0.454409,-0.364877
11,5,0.816328,0.780959,LMB,20.0412,7.31424,11.6477,0.21217,-0.134064,-0.967993
12,6,0.839111,0.411762,,16.416,9.79032,15.5985,-0.586813,-0.380402,0.714804
13,6,0.303123,0.5231,CrRMB,16.5528,10.0457,15.2558,-0.721825,0.631693,-0.282724
14,7,0.0128835,1.00484,,17.5059,9.08808,13.585,-0.706329,-0.707884,0
15,7,2.21651,0.875058,CaRMB,17.0681,9.51672,12.6616,-0.399096,0.382655,-0.833245
16,8,0.53477,0.29773,,20.9487,5.7228,12.971,-0.0682518,-0.324028,0.943582
17,8,0.0224649,0.377402,,20.976,5.80488,12.714,0.81015,-0.405966,-0.422905
18,9,0.497815,0.113371,,19.9683,5.52672,12.1808,-0.934282,0.14656,-0.325019
19,9,0.301736,0.0962049,,20.1962,5.34432,12.2236,-0.0301587,-0.967204,-0.252205
20,10,0.50895,0.194233,,21.0535,7.83864,11.6191,0.985558,-0.0179192,-0.168386
21,10,0.329563,0.175005,,20.8027,8.00736,11.6477,0,0.996227,-0.0867807
22,11,1.68396,0.484031,,20.3421,6.69864,10.6623,0.254579,-0.666145,-0.701028
23,11,1.60358,0.607048,LMB,20.1233,7.3644,10.4577,-0.00567476,0.130807,-0.991392
24,12,0.834582,0.330679,,15.7958,9.46656,15.9841,-0.896138,-0.393395,0.205371
25,12,0.545735,0.314513,,16.2063,9.67632,16.1649,0.133583,0.167114,0.976846
26,13,1.07874,0.457089,CrRMB,16.0694,10.4287,14.9511,-0.69331,0.532659,-0.485383
27,13,0.970123,0.283118,,16.7443,10.5199,15.251,0.620437,0.780313,0.0785462
28,14,3.3034,0.567421,AcRMB,17.2277,8.436,12.0904,-0.165648,-0.392032,-0.904915
29,14,2.61125,0.568649,MiRMB,16.3203,8.54088,13.4612,-0.904587,-0.415618,-0.0947825
30,15,1.29991,0.467536,,16.945,10.5062,11.7667,0.491112,0.869984,0.0440027
31,15,1.20027,0.758026,CaRMB,16.3248,10.1688,11.2716,-0.501554,0.379916,-0.777244
32,16,0.422848,0.171297,,20.7617,5.59056,13.3423,-0.797924,-0.21568,0.56285
33,16,0.280881,0.226944,,20.9943,5.6544,13.3471,0.454637,0.129877,0.881157
34,17,1.36142,0.311738,,21.1447,5.18472,12.4664,0.234462,-0.904353,-0.356614
35,17,0.664884,0.222072,,21.2678,5.95992,12.6378,0.850524,0.480084,-0.214775
36,18,0.234941,0.0640264,,19.6673,5.4948,12.1666,-0.582276,-0.582272,0.567375
37,18,0.195996,0.0808185,,19.7403,5.586,12.0047,0.0464294,0.232658,-0.97145
38,19,0.250941,0.0622179,,20.2373,5.15736,12.2951,0.363431,-0.327088,0.872314
39,19,0.469777,0.0881378,,20.0822,5.05704,12.0333,-0.465967,-0.601818,-0.648606
40,20,0.514388,0.139124,,21.4913,7.8204,11.7524,0.726883,-0.0531903,0.684699
41,20,0.672777,0.168645,,21.546,7.85232,11.3431,0.718515,0.054223,-0.693394
42,21,0.234024,0.108088,,20.8164,8.2308,11.7333,0.117078,0.506615,0.854186
43,21,0.311818,0.0977244,,20.7662,8.2764,11.524,-0.233792,0.672698,-0.70201
44,22,0.918068,0.305359,,20.7845,5.85048,9.79606,0.496697,-0.625836,-0.60135
45,22,0.48017,0.254156,,20.333,6.05112,10.0864,-0.930711,-0.360873,0.0595637
46,23,1.00265,0.312148,,20.0139,7.9572,9.71042,-0.209146,0.973264,0.0949492
47,23,0.0518051,0.582147,LMB,20.1278,7.46472,9.63902,0.35323,-0.176044,-0.918824
48,24,0.76183,0.188536,,15.13,9.462,16.2554,-0.766182,0.418992,0.487249
49,24,0.215702,0.27202,,15.358,9.22032,16.0412,-0.592019,-0.761048,-0.265178
50,25,0.579289,0.228923,,16.2792,9.5304,16.6457,0.126017,-0.661225,0.739528
51,25,0.586004,0.175599,,16.2838,9.94081,16.6219,0.140101,0.74706,0.649825
52,26,0.148421,0.435459,CrRMB,15.6408,10.7661,14.6893,-0.737098,0.675786,0
53,26,0.614129,0.23746,,15.8643,10.8117,14.4513,0.549559,0.311825,-0.775081
54,27,0.383299,0.157352,,17.0954,11.0033,15.4414,0.261675,0.547353,0.794941
55,27,0.442068,0.161975,,17.2049,10.9531,15.1463,0.722061,0.247473,-0.646053
56,28,0.676039,0.448679,AcRMB,16.8674,7.53768,10.3863,-0.256346,-0.741969,-0.619491
57,28,0.985042,0.211277,,16.8309,8.01648,10.1769,-0.25004,0.462925,-0.8504
58,29,0.405541,0.436034,MiRMB,15.0024,7.85232,13.3042,-0.674656,-0.719632,-0.164225
