time,Flow,RR,Inspiration
19.93,8.598,132,1
19.94,44.561,132,1
19.95,75.449,132,1
19.96,94.152,132,1
19.97,102.199,132,1
19.98,103.06,132,1
19.99,104.815,132,1
20,106.347,132,1
20.01,108.031,132,1
20.02,110.641,132,1
20.03,114.132,132,1
20.04,114.939,132,1
20.05,113.109,132,1
20.06,109.392,132,1
20.07,105.356,132,1
20.08,98.355,132,1
20.09,86.338,132,1
20.1,66.489,132,1
20.11,35.281,132,1
20.12,-0.465,132,0
20.13,-10.521,132,0
20.14,-6.928,132,0
20.15,-5.574,132,0
20.16,-5.564,132,0
20.17,-5.695,132,0
20.18,-6.936,132,0
20.19,-8.199,132,0
20.2,-9.005,132,0
20.21,-9.353,132,0
20.22,-9.467,132,0
20.23,-9.592,132,0
20.24,-9.607,132,0
20.25,-9.774,132,0
20.26,-9.954,132,0
20.27,-10.051,132,0
20.28,-10.176,132,0
20.29,-10.245,132,0
20.3,-10.159,132,0
20.31,-10.096,132,0
20.32,-9.888,132,0
20.33,-9.329,132,0
20.34,-8.632,132,0
20.35,-7.7,132,0
20.36,-6.76,132,0
20.37,-6.67,132,0
20.38,-7.543,131,0
20.39,-8.68,130,0
20.4,-9.722,130,0
20.41,-10.39,129,0
20.42,-10.423,128,0
20.43,-7.257,128,0
20.44,11.483,128,1
20.45,41.394,128,1
20.46,65.666,128,1
20.47,81.22,128,1
20.48,88.851,128,1
20.49,92.015,128,1
20.5,92.947,128,1
20.51,94.6,128,1
20.52,98.721,128,1
20.53,101.226,128,1
20.54,100.949,128,1
20.55,99.224,128,1
20.56,97.99,128,1
20.57,96.176,128,1
20.58,93.75,128,1
20.59,90.955,128,1
20.6,84.901,128,1
20.61,69.767,128,1
20.62,47.555,128,1
20.63,17.907,128,1
20.64,-6.114,128,0
20.65,-10.359,128,0
20.66,-7.536,128,0
20.67,-5.695,128,0
20.68,-5.7,128,0
20.69,-6.644,128,0
20.7,-7.44,128,0
20.71,-8.091,128,0
20.72,-8.849,128,0
20.73,-9.317,128,0
20.74,-9.346,128,0
20.75,-9.329,128,0
20.76,-9.412,128,0
20.77,-9.46,128,0
20.78,-9.214,128,0
20.79,-8.659,128,0
20.8,-8.095,128,0
20.81,-7.402,128,0
20.82,-6.76,128,0
20.83,-6.187,127,0
20.84,-5.786,126,0
20.85,-5.866,126,0
20.86,-6.425,125,0
20.87,-6.99,124,0
20.88,-7.799,124,0
20.89,-8.62,123,0
20.9,-9.69,123,0
20.91,-10.531,122,0
20.92,-6.853,122,0
20.93,17.419,122,1
20.94,50.423,122,1
20.95,75.104,122,1
20.96,87.851,122,1
20.97,91.131,122,1
20.98,91.087,122,1
20.99,93.014,122,1
21,94.937,122,1
21.01,97.626,122,1
21.02,98.561,122,1
21.03,97.808,122,1
21.04,97.217,122,1
21.05,95.634,122,1
21.06,94.085,122,1
21.07,93.37,122,1
21.08,91.308,122,1
21.09,86.575,122,1
21.1,75.023,122,1
21.11,58.149,122,1
21.12,37.256,122,1
21.13,7.784,122,1
21.14,-9.746,122,0
