label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
4,72.6057,1.14522,1.02993,1.0275,0,547.463,88560056,12.1551,8.45309,14.7159,9.02016,15.377,4.15744,12.6858,11.1574,18.0404
586,8.3456,1.39787,0.893966,1.3925,6.5165e-09,113.315,10179456,11.234,6.21615,9.82818,9.57696,12.6115,4.04608,8.0272,8.41568,11.4716
10,80.6095,1.16545,0.784307,1.1425,0,443.158,98322536,13.8196,9.09723,11.4513,8.61184,18.2352,4.23168,12.5373,7.9968,14.8798
204,17.2374,1.32025,0.842508,1.3225,0,220.791,21025184,9.32563,6.93068,9.07856,7.44256,11.1082,4.15744,8.97376,6.81632,11.5287
12,58.7172,1.3162,1.16642,1.1425,0,621.61,71619680,5.08181,5.36483,14.249,2.5056,8.19424,1.93024,9.4192,9.93888,17.4311
984,3.33967,1.35414,0.976033,1.3225,7.01074e-06,128.391,4073528,10.1123,2.28481,10.519,8.85312,11.5722,1.26208,3.2944,9.63424,12.2522
212,13.6121,0.905403,0.556319,0.9075,9.26976e-07,120.286,16603216,6.07598,11.1723,10.0574,4.38016,8.37984,9.33568,13.0198,8.3776,13.9278
22,14.8053,0.836191,0.851455,0.7475,1.48277e-06,626.749,18058616,11.3707,12.2616,12.7533,9.11296,14.1149,10.505,13.9478,11.1003,14.3086
26,9.21391,0.885126,0.687732,0.8025,2.85611e-06,101.625,11238568,5.55612,9.54762,13.3481,4.00896,7.0992,7.18272,11.2752,12.2427,15.0321
1377,5.79099,0.991974,0.810756,0.8975,0,76.5978,7063496,12.0864,3.06141,10.3008,10.5235,13.5766,1.74464,4.74208,8.52992,11.8143
1378,1.70621,1.19942,0.928572,1.1225,0,66.0318,2081128,10.8658,2.47447,9.28083,10.0781,12.2774,1.63328,3.25728,8.22528,10.253
28,4.56109,1.49711,0.840365,1.4375,0.0245873,124.785,5563336,7.88055,6.92204,11.5342,6.25472,10.0874,5.02976,8.36128,10.2054,12.7473
415,15.7185,1.51185,0.965413,1.4725,0,110.331,19172512,7.55298,2.80256,8.54857,5.67936,9.28928,1.22496,4.94624,6.24512,10.5196
1387,12.7026,0.929014,1.53714,0.8175,0,608.833,15493920,14.4353,4.40334,11.2438,12.2496,16.4349,2.33856,6.70944,9.9008,13.071
808,27.3228,0.601141,0.542518,0.5325,0,140.525,33326648,12.0711,13.231,5.53033,10.4122,14.8202,10.9133,15.2099,3.2368,7.79688
1388,2.80579,1.09372,0.7558,1.0875,0,122.72,3422336,14.7674,6.33076,10.3951,13.3818,16.4534,5.27104,7.8416,9.59616,11.3383
809,24.4562,0.794887,0.668137,0.7225,0,214.06,29830160,14.6286,13.5897,6.28761,12.1939,17.8269,11.2102,15.2099,3.4272,8.21576
1005,3.59598,1.15943,0.708021,1.1475,0,114.791,4386160,13.8098,7.32178,10.0265,12.1754,15.6554,6.57024,8.23136,8.9488,11.1098
1198,32.5718,0.831982,0.755838,0.7575,0,235.8,39729152,8.70791,11.535,3.93633,6.4032,10.8112,8.79744,13.7622,0.00952,7.1876
1199,26.1196,0.683803,0.621755,0.5925,0,157.211,31859104,6.50012,12.5333,2.54338,4.23168,8.6768,10.1338,13.9478,0.22848,5.05512
624,10.404,0.775171,0.513345,0.7325,8.10978e-06,109.758,12690160,5.46641,12.0081,7.52522,3.54496,6.69088,10.4307,13.5395,5.82624,8.76792
46,39.5454,1.08776,0.733031,1.0425,0,472.616,48235080,14.2629,11.2196,9.92105,10.4864,18.2723,9.07584,14.0221,7.53984,12.7092
436,3.97129,1.04599,0.660587,0.9825,0.0216377,132.99,4843936,11.2163,7.82112,11.2366,10.0966,12.5558,6.38464,9.17792,10.0531,12.8615
54,6.76362,1.42881,1.13316,1.3225,1.69549e-05,477.526,8249856,3.8277,8.34026,13.1995,2.5056,5.26176,6.99712,10.3843,11.7286,14.518
59,31.6921,2.08487,1.12093,2.0375,1.0454e-05,592.471,38656088,5.85454,4.98708,9.28575,3.3408,9.2336,1.6704,8.584,6.20704,12.5569
60,4.46472,0.946078,0.785253,0.8825,1.24126e-06,339.923,5445792,9.49025,8.14524,11.8398,8.27776,10.6998,6.70016,10.9782,10.7766,12.8234
62,61.4095,1.80942,1.00194,1.7775,0,337.315,74903560,6.58127,6.54281,8.36677,3.37792,10.2544,2.39424,10.3101,4.03648,12.8806
843,5.46508,1.44074,0.975588,1.4025,0,115.366,6665976,9.41336,2.48871,8.8463,7.94368,10.6256,1.22496,3.83264,7.4256,9.83416
265,9.08601,0.911272,0.791177,0.8225,2.00587e-05,285.631,11082560,12.6865,13.6894,10.2581,11.0989,14.449,12.1011,15.0986,9.15824,11.9286
468,11.1596,0.90609,0.684201,0.8425,9.86165e-05,185.729,13611816,7.95196,12.04,7.14189,6.55168,10.2173,10.2637,13.5395,5.59776,8.48232
662,9.2474,0.814049,0.614044,0.7525,1.1007e-06,83.0923,11279424,12.393,14.2249,8.22232,10.4493,14.3376,12.7322,15.247,6.83536,9.49144
1052,3.72544,1.18242,0.711641,1.1075,1.48033e-05,69.7405,4544072,6.91757,11.0626,4.33949,5.86496,7.78592,9.91104,12.6672,3.332,5.60728
88,6.23677,0.680247,0.497836,0.6225,6.00202e-05,87.7379,7607232,11.1707,12.8534,11.2168,9.48416,12.6301,11.0432,14.3933,10.453,12.0238
1253,0.00466329,2.68473,1.37171,2.3275,1.44704,25.2162,5688,10.7053,2.70367,9.62095,10.6163,10.7926,2.57984,2.84896,9.53904,9.71992
872,3.53522,1.10783,0.585843,1.0475,0.0763858,116.682,4312048,12.3729,6.97484,11.4861,11.136,13.5581,5.86496,8.28704,10.491,12.8615
104,34.4285,1.97202,1.17786,1.9325,4.13216e-05,279.987,41993840,3.9462,5.98068,10.6604,2.39424,6.20832,2.48704,8.2128,6.89248,13.09
105,46.0296,1.61439,1.03505,1.5375,5.43473e-06,328.452,56144136,4.07401,9.19364,10.2558,2.39424,6.8208,5.71648,12.463,6.4736,12.8234
107,7.26836,1.69929,1.80985,1.5825,0.000167745,651.641,8865504,6.2399,5.30829,12.2659,5.21536,7.73024,3.87904,8.17568,10.8147,14.042
302,7.07535,1.94862,0.916747,1.8875,0.080627,148.296,8630088,8.71906,5.22885,10.657,7.21984,10.8298,3.73056,7.02496,8.92976,12.119
112,24.0131,0.972767,0.935189,0.9225,0,521.524,29289720,9.2822,10.2279,8.94018,7.57248,11.0525,7.47968,12.2218,5.12176,12.3665
1274,2.34077,1.10005,0.618693,1.0425,0.119567,88.7439,2855128,13.4619,6.13459,11.6702,12.3238,14.3747,5.06688,7.35904,10.7957,12.9186
116,11.3077,1.01549,0.668847,0.9475,1.22596e-05,124.302,13792488,7.96701,11.5212,9.26631,6.62592,9.976,9.85536,13.0198,7.82544,12.5759
702,5.99813,1.95235,0.964631,1.9025,1.8035e-07,110.213,7316152,10.0032,4.44593,10.0753,8.5376,12.6301,3.08096,6.1712,8.35856,11.2622
510,26.959,0.892817,0.824245,0.8475,0,926.357,32882912,15.1513,12.2731,8.16977,10.9875,18.4208,9.9296,14.8016,5.69296,10.1578
323,16.9199,1.27323,0.97568,1.1975,0,252.109,20637896,11.3682,9.4012,8.47187,9.03872,14.5603,7.2384,11.5722,6.4736,11.2431
338,65.5648,1.48606,0.947849,1.4225,0,293.382,79972000,4.99807,8.40645,6.43238,2.80256,8.43552,5.0112,11.7392,2.39904,9.33912
920,7.06668,0.677283,0.464224,0.6425,1.79875e-05,73.4078,8619512,6.51023,12.7884,5.7405,5.104,8.6768,11.2102,13.8736,4.74096,6.9972
731,8.85875,1.25353,0.809619,1.2175,1.93479e-11,136.075,10805368,12.9271,8.52309,9.16532,11.2659,15.1914,6.99712,10.3101,7.616,10.6719
1119,2.87069,1.75042,0.912713,1.7075,5.68441e-08,78.3554,3501496,10.9559,3.64916,9.89164,9.40992,12.3331,2.93248,4.85344,8.49184,10.9575
161,8.04623,0.802131,0.681064,0.7025,1.08071e-05,368.967,9814304,10.7759,12.2581,9.78066,9.57696,12.1846,10.3936,14.5418,8.6632,11.0908
556,7.19423,1.38319,0.898737,1.3425,4.34101e-06,108.968,8775088,8.73934,2.31249,10.6731,6.94144,11.0896,1.15072,4.01824,9.59616,12.4236
1139,3.91532,0.95059,0.685893,0.8675,0,46.134,4775672,12.7728,5.72222,10.3487,11.6928,14.2634,4.19456,7.0064,9.10112,11.4526
377,9.85427,0.873569,0.552722,0.8125,4.72323e-06,103.02,12019648,11.4113,12.3282,8.19627,10.041,13.0941,10.375,14.5789,6.77824,9.68184
770,45.3659,0.89448,0.714295,0.8375,0,200.184,55334552,4.68827,10.6803,4.18362,2.98816,7.43328,7.64672,13.5766,0.15232,6.92104
192,27.3338,1.45281,1.06653,1.4375,0,515.098,33340128,6.99237,2.80003,11.4774,4.65856,12.2589,1.15072,5.22464,9.02496,14.8417
