time,Flow,RR,Inspiration
15.54,113.766,264,1
15.55,196.44,264,1
15.56,220.11,264,1
15.57,223.51,264,1
15.58,223.878,264,1
15.59,223.176,264,1
15.6,220.675,264,1
15.61,216.669,264,1
15.62,198.142,264,1
15.63,127.075,264,1
15.64,-4.531,264,0
15.65,-6.054,264,0
15.66,-5.743,264,0
15.67,-5.748,264,0
15.68,-5.733,264,0
15.69,-5.748,264,0
15.7,-5.733,264,0
15.71,-5.728,264,0
15.72,-5.757,264,0
15.73,-5.733,264,0
15.74,-5.728,264,0
15.75,-5.714,264,0
15.76,-10.458,262,0
15.77,63.75,262,1
15.78,163.395,262,1
15.79,205.054,262,1
15.8,213.09,262,1
15.81,212.143,262,1
15.82,212.992,262,1
15.83,215.221,262,1
15.84,215.879,262,1
15.85,206.372,262,1
15.86,164.493,262,1
15.87,54.396,262,1
15.88,-8.012,262,0
15.89,-5.795,262,0
15.9,-5.762,262,0
15.91,-5.748,262,0
15.92,-5.748,262,0
15.93,-5.748,262,0
15.94,-5.743,262,0
15.95,-5.752,262,0
15.96,-5.752,262,0
15.97,-5.724,262,0
15.98,-5.743,261,0
15.99,-6.666,258,0
16,29.69,258,1
16.01,138.541,258,1
16.02,191.251,258,1
16.03,204.99,258,1
16.04,207.759,258,1
16.05,206.598,258,1
16.06,207.275,258,1
16.07,210.482,258,1
16.08,210.059,258,1
16.09,195.184,258,1
16.1,130.223,258,1
16.11,-0.541,258,0
16.12,-6.182,258,0
16.13,-5.786,258,0
16.14,-5.767,258,0
16.15,-5.748,258,0
16.16,-5.748,258,0
16.17,-5.752,258,0
16.18,-5.724,258,0
16.19,-5.733,258,0
16.2,-5.738,258,0
16.21,-5.743,258,0
16.22,-5.709,258,0
16.23,-9.523,256,0
16.24,56.904,256,1
16.25,164.117,256,1
16.26,207.017,256,1
16.27,215.057,256,1
16.28,213.254,256,1
16.29,211.947,256,1
16.3,211.491,256,1
16.31,209.475,256,1
16.32,201.696,256,1
