label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
1,0,4.29321,0.604567,Trachea,20.5405,8.6346,20.6584,0.194027,0.211478,-0.95793
2,1,3.32872,0.843136,RMB,20.1099,9.41616,17.2074,-0.508965,0.196833,-0.837981
3,1,6.17706,0.633575,LMB,20.7324,9.1494,15.5224,-0.0727369,0.0196987,-0.997157
4,2,1.90325,0.52472,CrRMB,18.3877,10.0105,15.5509,-0.919636,0.280331,-0.275108
5,2,1.977,0.878117,RMB,18.865,9.55656,14.9274,-0.402428,-0.189378,-0.895649
6,3,1.52244,0.507682,,21.205,9.19152,12.1379,0.916092,-0.0245922,-0.400212
7,3,1.44497,0.889622,LMB,20.3766,9.16812,11.7334,-0.181388,-0.0582988,-0.981682
8,4,0.93733,0.311412,,17.2692,10.2539,15.689,-0.519241,-0.0499287,0.853168
9,4,0.812629,0.409618,CrRMB,17.1756,10.4645,15.1606,-0.829284,0.460727,-0.316257
10,5,2.41176,0.511944,MiRMB,17.5499,8.59716,14.1705,-0.760646,-0.640361,0.106561
11,5,0.115065,0.863182,RMB,18.4438,9.37404,13.9896,-0.406717,0.0813484,-0.909925
12,6,0.864828,0.253541,,21.9398,9.55188,11.6286,0.0864918,0.876659,-0.473273
13,6,0.108699,0.392392,,21.9492,9.15876,11.8095,0.861107,-0.258329,-0.437906
14,7,1.15257,0.569114,,20.6013,8.84052,10.6719,0.617233,-0.495382,-0.611245
15,7,0.305181,0.787867,LMB,20.1895,9.15876,10.8861,-0.367976,0.21469,-0.904711
16,8,0.759372,0.246224,,16.6935,10.1041,16.2221,-0.875197,-0.332827,0.351079
17,8,0.0132949,0.314199,,17.0258,10.2352,16.0936,0,0.699535,0.714599
18,9,0.650865,0.334843,CrRMB,16.5391,10.7499,14.9511,-0.920315,0.301905,-0.248745
19,9,0.661996,0.204412,,17.0211,10.9184,14.9607,0.551363,0.805896,-0.21571
20,10,1.01915,0.419144,MiRMB,16.4221,7.38504,14.4466,-0.413284,-0.863306,0.289653
21,10,0.667837,0.342832,,16.3426,7.87644,14.142,-0.868924,0.154169,-0.470323
22,11,2.93817,0.581991,AcRMB,18.1396,8.57844,12.7378,-0.191139,-0.544747,-0.816527
