label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
1,0,0.379341,0.462557,Trachea,13.1451,8.77424,15.708,-0.122317,-0.85622,-0.501923
2,1,4.52248,0.604353,LMB,13.8225,9.17328,13.5374,0.309852,0.248289,-0.917793
3,1,2.6038,0.761255,RMB,12.695,8.92272,14.4228,-0.327867,0.238789,-0.914048
4,2,1.75939,0.413306,,15.3398,9.40992,11.5002,0.928335,-0.36922,0.0432539
5,2,1.13681,0.853042,LMB,14.7552,10.041,11.0432,0.40816,0.538771,-0.736975
6,3,1.65423,0.609222,CrRMB,11.5536,9.07584,12.8472,-0.863907,-0.190735,-0.466138
7,3,1.84396,0.907723,RMB,12.2078,9.44704,12.3379,-0.065457,0.231502,-0.97063
8,4,0.250183,0.298959,,16.2168,9.08976,11.6477,0.482047,0.0370937,0.87536
9,4,0.452879,0.288392,,16.3468,9.02944,11.4288,0.840182,-0.245895,-0.483353
10,5,0.251852,0.759873,LMB,15.0429,10.3751,10.5149,0.442325,0.221159,-0.869159
11,5,1.17567,0.307767,,15.3584,10.7416,10.8528,0.631467,0.670933,0.388713
12,6,0.897736,0.415108,,10.5514,8.57472,12.4332,-0.640946,-0.764946,-0.0636048
13,6,0.71027,0.472734,CrRMB,10.6071,8.99696,12.2047,-0.653273,0.222112,-0.72381
14,7,2.74164,0.539373,MiRMB,11.7995,8.72784,10.5005,-0.253862,-0.680351,-0.687515
15,7,0.393977,0.928854,RMB,12.1429,9.74864,11.2669,-0.0233519,0.447539,-0.89396
16,8,0.64977,0.229614,,16.4024,8.89488,11.9809,0.385676,-0.614126,0.688552
17,8,0.566427,0.19292,,16.3375,9.30784,11.9333,0.213092,0.753636,0.621792
18,9,0.0659341,0.248147,,16.5556,8.95056,11.305,0.56268,-0.703734,-0.433762
19,9,0.562757,0.162758,,16.7643,9.13616,11.2859,0.807984,0.57716,-0.118524
20,10,1.10278,0.482028,,15.5533,10.2776,10.1198,0.824643,-0.227244,-0.518001
21,10,1.5788,0.635553,LMB,15.3816,10.8854,9.84846,0.358562,0.611286,-0.705522
22,11,0.185448,0.16122,,15.7111,11.2102,11.1336,-0.200055,0.800767,0.56458
23,11,0.53569,0.154842,,15.9801,11.2149,11.1336,0.935428,0.294575,0.195449
24,12,0.450731,0.29408,,10.1802,8.08288,12.5522,-0.370509,-0.658841,0.654715
25,12,0.84867,0.253937,,10.0549,7.95296,12.1618,-0.492087,-0.656086,-0.57219
26,13,0.648835,0.268536,,10.2313,9.35888,12.0143,-0.44341,0.872456,0.205445
27,13,1.09897,0.375575,CrRMB,9.92964,9.164,11.6382,-0.810684,0.160441,-0.563072
28,14,0.639806,0.301995,,11.3169,7.92048,9.29628,-0.420596,0.391619,-0.818372
29,14,0.982978,0.378569,MiRMB,11.6093,7.424,9.27724,0.321066,-0.755256,-0.571406
30,15,2.72791,0.594645,AcRMB,12.6997,9.87856,9.84844,0.411597,0.0306168,-0.910851
31,15,1.76434,0.863626,CaRMB,11.897,10.3797,10.4387,-0.27353,0.615413,-0.739221
