time,Flow,RR,Inspiration
17.23,27.34,193,1
17.24,126.691,193,1
17.25,177.334,193,1
17.26,188.68,193,1
17.27,186.956,193,1
17.28,181.523,193,1
17.29,175.391,193,1
17.3,175.45,193,1
17.31,177.874,193,1
17.32,179.016,193,1
17.33,176.855,193,1
17.34,158.328,193,1
17.35,116.833,193,1
17.36,43.014,193,1
17.37,-10.506,193,0
17.38,-6.886,193,0
17.39,-6.785,193,0
17.4,-6.79,193,0
17.41,-6.802,193,0
17.42,-6.777,193,0
17.43,-6.781,193,0
17.44,-6.764,193,0
17.45,-6.781,193,0
17.46,-6.802,193,0
17.47,-6.76,193,0
17.48,-6.777,193,0
17.49,-6.781,193,0
17.5,-6.76,193,0
17.51,-6.768,193,0
17.52,-7.44,195,0
17.53,30.499,195,1
17.54,133.091,195,1
17.55,179.046,195,1
17.56,186.035,195,1
17.57,181.614,195,1
17.58,173.606,195,1
17.59,167.66,195,1
17.6,166.146,195,1
17.61,167.485,195,1
17.62,169.563,195,1
17.63,170.239,195,1
17.64,164.088,195,1
17.65,141.681,195,1
17.66,81.829,195,1
17.67,-1.928,195,0
17.68,-7.347,195,0
17.69,-6.79,195,0
17.7,-6.79,195,0
17.71,-6.785,195,0
17.72,-6.798,195,0
17.73,-6.777,195,0
17.74,-6.768,195,0
17.75,-6.781,195,0
17.76,-6.781,195,0
17.77,-6.781,195,0
17.78,-6.76,195,0
17.79,-6.773,195,0
17.8,-6.781,195,0
17.81,-6.798,195,0
17.82,-6.798,195,0
17.83,-6.79,194,0
17.84,-10.497,193,0
17.85,52.16,193,1
17.86,134.194,193,1
17.87,165.304,193,1
17.88,172.391,193,1
17.89,171.741,193,1
17.9,169.006,193,1
17.91,165.159,193,1
17.92,162.473,193,1
17.93,163.712,193,1
17.94,166.175,193,1
17.95,164.175,193,1
17.96,154.401,193,1
17.97,130.093,193,1
17.98,69.865,193,1
17.99,-7.261,193,0
18,-7.06,193,0
18.01,-6.802,193,0
18.02,-6.794,193,0
18.03,-6.79,193,0
18.04,-6.773,193,0
18.05,-6.79,193,0
18.06,-6.785,193,0
18.07,-6.773,193,0
18.08,-6.79,193,0
18.09,-6.764,193,0
18.1,-6.781,193,0
18.11,-6.781,193,0
18.12,-6.777,193,0
18.13,-6.764,193,0
18.14,-6.79,193,0
18.15,-6.785,192,0
18.16,-9.305,191,0
18.17,41.032,191,1
18.18,134.958,191,1
18.19,175.689,191,1
18.2,183.925,191,1
18.21,180.283,191,1
18.22,174.468,191,1
18.23,169.006,191,1
18.24,166.698,191,1
18.25,168.069,191,1
18.26,169.182,191,1
18.27,170.297,191,1
18.28,161.038,191,1
18.29,132.437,191,1
18.3,77.817,191,1
18.31,-0.816,191,0
18.32,-7.394,191,0
18.33,-6.802,191,0
18.34,-6.802,191,0
18.35,-6.781,191,0
18.36,-6.777,191,0
18.37,-6.773,191,0
18.38,-6.777,191,0
18.39,-6.794,191,0
18.4,-6.785,191,0
18.41,-6.785,191,0
18.42,-6.79,191,0
18.43,-6.781,191,0
18.44,-6.768,191,0
18.45,-6.768,191,0
18.46,-6.747,191,0
18.47,-6.768,191,0
18.48,-6.777,190,0
18.49,-4.627,190,0
18.5,77.879,190,1
18.51,142.032,190,1
18.52,165.826,190,1
18.53,168.771,190,1
18.54,167.982,190,1
18.55,165.072,190,1
18.56,163.28,190,1
18.57,164.377,190,1
18.58,163.222,190,1
18.59,164.608,190,1
18.6,164.811,190,1
18.61,154.71,190,1
18.62,118.268,190,1
18.63,48.744,190,1
18.64,-10.532,190,0
18.65,-6.886,190,0
18.66,-6.79,190,0
18.67,-6.802,190,0
18.68,-6.785,190,0
18.69,-6.798,190,0
18.7,-6.773,190,0
18.71,-6.768,190,0
18.72,-6.768,190,0
18.73,-6.76,190,0
18.74,-6.764,190,0
18.75,-6.785,190,0
18.76,-6.777,190,0
18.77,-6.794,190,0
18.78,-6.777,190,0
18.79,-6.764,189,0
18.8,-6.764,188,0
18.81,-10.502,186,0
18.82,52.767,186,1
18.83,136.041,186,1
18.84,170.709,186,1
18.85,179.348,186,1
18.86,178.354,186,1
18.87,171.8,186,1
18.88,166.64,186,1
18.89,164.03,186,1
18.9,165.507,186,1
18.91,168.537,186,1
18.92,170.65,186,1
18.93,166.349,186,1
18.94,139.932,186,1
18.95,82.208,186,1
18.96,0.691,186,1
18.97,-7.509,186,0
18.98,-6.781,186,0
18.99,-6.777,186,0
19,-6.76,186,0
19.01,-6.768,186,0
19.02,-6.785,186,0
19.03,-6.785,186,0
19.04,-6.764,186,0
19.05,-6.764,186,0
19.06,-6.764,186,0
19.07,-6.773,186,0
19.08,-6.764,186,0
19.09,-6.764,186,0
19.1,-6.773,186,0
19.11,-6.785,186,0
19.12,-6.773,186,0
19.13,-6.773,185,0
19.14,-7.363,184,0
19.15,19.192,184,1
19.16,109.129,184,1
19.17,156.571,184,1
19.18,171.741,184,1
19.19,174.289,184,1
19.2,171.358,184,1
19.21,167.894,184,1
19.22,164.898,184,1
19.23,164.001,184,1
19.24,164.869,184,1
19.25,169.446,184,1
19.26,166.349,184,1
19.27,138.514,184,1
19.28,71.679,184,1
19.29,-10.036,184,0
19.3,-6.949,184,0
19.31,-6.79,184,0
19.32,-6.785,184,0
19.33,-6.781,184,0
19.34,-6.773,184,0
19.35,-6.768,184,0
19.36,-6.756,184,0
19.37,-6.764,184,0
19.38,-6.773,184,0
19.39,-6.785,184,0
19.4,-6.773,184,0
19.41,-6.79,184,0
19.42,-6.764,184,0
19.43,-6.79,184,0
19.44,-6.773,184,0
19.45,-8.8,186,0
19.46,32.426,186,1
19.47,123.077,186,1
19.48,166.204,186,1
19.49,179.86,186,1
19.5,182.798,186,1
19.51,181.251,186,1
19.52,176.526,186,1
19.53,171.859,186,1
19.54,170.003,186,1
19.55,170.356,186,1
19.56,168.362,186,1
19.57,158.982,186,1
19.58,133.327,186,1
19.59,67.259,186,1
19.6,-8.975,186,0
19.61,-7.011,186,0
19.62,-6.794,186,0
19.63,-6.773,186,0
19.64,-6.79,186,0
19.65,-6.794,186,0
19.66,-6.79,186,0
19.67,-6.785,186,0
19.68,-6.781,186,0
19.69,-6.777,186,0
19.7,-6.79,186,0
19.71,-6.785,186,0
19.72,-6.777,186,0
19.73,-6.781,186,0
19.74,-6.76,186,0
19.75,-6.785,186,0
19.76,-6.773,186,0
19.77,-6.777,186,0
19.78,-0.416,186,0
19.79,90.603,186,1
19.8,155.498,186,1
19.81,175.57,186,1
19.82,175.182,186,1
19.83,169.27,186,1
19.84,162.128,186,1
19.85,158.044,186,1
19.86,157.363,186,1
19.87,156.995,186,1
19.88,159.666,186,1
19.89,162.704,186,1
19.9,153.168,186,1
19.91,123.558,186,1
19.92,58.457,186,1
19.93,-9.799,186,0
19.94,-6.961,186,0
19.95,-6.798,186,0
19.96,-6.798,186,0
19.97,-6.79,186,0
19.98,-6.79,186,0
19.99,-6.781,186,0
20,-6.76,186,0
20.01,-6.764,186,0
20.02,-6.768,186,0
20.03,-6.785,186,0
20.04,-6.773,186,0
20.05,-6.76,186,0
20.06,-6.781,186,0
20.07,-6.785,186,0
20.08,-6.781,186,0
20.09,-6.777,186,0
20.1,-5.253,186,0
20.11,73.834,186,1
20.12,137.235,186,1
20.13,161.669,186,1
20.14,167.31,186,1
20.15,166.669,186,1
20.16,163.828,186,1
20.17,159.552,186,1
20.18,156.231,186,1
20.19,154.373,186,1
20.2,155.893,186,1
20.21,159.011,186,1
20.22,154.879,186,1
20.23,124.344,186,1
20.24,53.956,186,1
20.25,-10.538,186,0
20.26,-6.89,186,0
20.27,-6.794,186,0
20.28,-6.806,186,0
20.29,-6.798,186,0
20.3,-6.773,186,0
20.31,-6.815,186,0
20.32,-6.781,186,0
20.33,-6.785,186,0
20.34,-6.79,186,0
20.35,-6.794,186,0
20.36,-6.785,186,0
20.37,-6.785,186,0
20.38,-6.777,186,0
20.39,-6.764,186,0
20.4,-6.777,186,0
20.41,-6.764,186,0
20.42,-10.491,188,0
20.43,51.486,188,1
20.44,134.141,188,1
20.45,164.927,188,1
20.46,169.768,188,1
20.47,168.918,188,1
20.48,164.724,188,1
20.49,160.58,188,1
20.5,158.129,188,1
20.51,159.324,188,1
20.52,164.637,188,1
20.53,170.592,188,1
20.54,165.971,188,1
20.55,139.102,188,1
20.56,79.781,188,1
20.57,-3.335,188,0
20.58,-7.292,188,0
20.59,-6.79,188,0
20.6,-6.798,188,0
20.61,-6.781,188,0
20.62,-6.781,188,0
20.63,-6.785,188,0
20.64,-6.764,188,0
20.65,-6.777,188,0
20.66,-6.764,188,0
20.67,-6.773,188,0
20.68,-6.777,188,0
20.69,-6.781,188,0
20.7,-6.764,188,0
20.71,-6.764,188,0
20.72,-6.773,188,0
20.73,-6.79,187,0
20.74,-6.773,186,0
20.75,-10.493,185,0
