label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,15.289,0.396983,5.98175,0.128931,-0.000104333,304.129,4134,16.6061,12.4923,19.8207,15.4904,17.4806,11.2094,13.4182,17.7541,21.3206
2,27.65,0.448016,1.90189,0.196633,-4.18732e-06,69.9147,7377,15.5659,11.4387,16.5675,13.9675,16.9021,9.8326,12.8693,14.3647,19.2451
3,28.2922,2.00151,33.269,0.235297,-0.000111945,1602.5,7219,17.2657,11.5891,15.1009,16.386,18.6796,10.2102,12.8527,12.2199,18.6376
4,3.57465,0.616241,0.653156,0.488038,0.0732688,12.3907,1021,13.7449,10.6103,15.0553,13.0274,14.3383,9.90983,11.3795,14.2561,15.9165
5,10.2826,0.336518,0.782617,0.189489,0.00607922,28.9507,2804,15.0378,11.0923,13.9423,13.6076,16.286,9.62339,12.3492,12.6953,14.9186
6,1.87962,2.51104,4.41934,1.65636,0.135275,95.2298,523,18.77,10.658,12.825,18.3291,19.2888,10.1883,11.17,12.3421,13.3609
7,10.9555,1.81022,8.88809,0.784794,0.00843853,379.051,2870,17.9401,10.9771,11.6772,16.7403,19.1907,9.93091,12.1403,10.392,12.7725
8,1.33356,5.04457,33.4342,0.598773,0.227999,564.392,359,13.3132,9.93445,15.3393,12.9503,13.7034,9.43734,10.3917,14.9499,15.7557
9,2.11311,1.03724,1.3847,0.693299,0.141492,18.7392,556,13.0253,10.3694,14.4376,12.424,13.6452,9.90014,10.9108,13.9147,14.9882
10,0.236448,0.160026,0.157142,0.111776,0.008149,0.738743,59,14.7199,9.71285,13.9118,13.9946,15.3423,9.53239,9.98295,13.0046,14.3263
11,0.955457,1.32008,5.5168,0.258442,0.0374895,48.992,330,14.8952,10.1988,12.9203,13.657,15.728,9.74974,11.9305,12.4634,13.5475
12,0.257949,6.05689,29.8235,2.42899,0.267593,513.472,72,19.1961,10.5404,13.0902,18.9326,19.4172,10.2696,10.8381,12.9226,13.3608
13,0.250856,3.16159,3.55597,2.34528,1.58548,24.6052,64,19.1395,10.617,12.4342,18.943,19.4727,10.213,10.9981,12.3102,12.9284
14,0.948248,7.3628,8.23054,5.45742,0.655222,98.427,302,18.7858,10.0368,11.0658,18.2676,19.2449,9.69279,10.4134,10.6041,11.4885
15,0.667151,17.0708,65.9963,2.3072,0.41387,591.173,189,18.2405,10.8747,10.6527,17.4675,19.1859,10.1338,11.6,10.2965,11.1388
16,0.635967,41.0409,136.485,3.12134,0.179902,1000.16,198,13.3719,9.68812,15.8425,13.0555,13.6179,9.3861,10.0377,15.5745,16.1111
17,0.856002,12.7485,23.8015,1.37415,0.391204,170.115,256,13.0111,9.33955,15.4285,12.6206,13.3689,9.01196,9.68606,15.1324,15.7867
18,0.374689,1.32364,0.983192,0.833938,0.501331,7.55609,149,12.7788,10.9978,14.3063,12.5409,13.0163,10.8505,11.268,14.0663,14.5458
19,1.49273,5.24909,14.476,1.4656,0.489811,174.36,429,12.4069,10.3912,14.1084,11.9278,12.8641,9.85369,10.9199,13.6484,14.6054
20,0.827786,0.193439,0.253599,0.142622,0.0427583,2.73753,216,14.2967,9.55123,13.9184,13.9592,14.8823,9.08741,9.93849,13.2286,14.2871
21,7.31402,0.544571,4.24646,0.262368,0.00850179,139.89,1977,14.2871,8.95697,13.0732,13.4089,15.3226,7.828,9.94827,12.2607,14.0924
22,8.69836,0.388989,1.03699,0.196768,0.00120888,22.4088,2391,15.617,10.4084,11.8375,14.8868,16.2041,9.43128,11.6015,10.5659,13.1553
23,15.2829,0.888841,4.50641,0.438594,0.019072,159.431,4152,14.0146,11.1895,11.9101,12.7044,15.3353,9.88453,12.2222,10.2558,13.5938
24,0.522855,8.51978,40.7506,2.08508,0.811224,667.851,225,19.3415,10.54,13.3481,19.0572,19.6024,10.2812,10.8074,13.0499,13.6501
25,0.132224,7.0593,16.5023,3.39626,1.35063,135.211,112,19.1047,10.2536,13.249,18.9678,19.2641,10.1065,10.4077,13.0866,13.3863
26,0.805976,12.9794,19.1129,5.3876,1.60205,178.957,239,19.5559,10.2747,12.6163,19.1653,19.8945,9.9105,10.6199,12.3535,12.9113
27,0.67553,16.9514,67.9128,4.23874,0.871026,754.11,153,19.5109,10.83,12.4872,19.1736,19.8084,10.5368,11.0876,12.199,12.8669
28,0.407372,6.26933,13.4277,3.85822,1.53201,144.484,201,18.6451,9.61207,10.8239,18.3702,18.9129,9.35629,9.86777,10.5948,11.0808
29,1.44189,4.09296,4.6188,2.67626,1.33448,54.6795,431,19.2538,9.77096,10.7282,18.8063,19.7181,9.28595,10.2557,10.3034,11.1654
30,5.46081,4.36796,21.3578,1.41306,0.0156893,532.327,1628,18.5515,10.6017,9.7879,17.4995,19.4731,9.94919,11.3878,8.87116,10.6394
31,1.23921,3.21228,3.79298,1.99532,0.775171,44.4708,376,19.0271,11.053,10.6511,18.115,19.2925,10.2641,11.5854,10.1658,11.1044
32,1.00044,3.49592,9.27234,1.2683,0.706645,170.472,361,13.4138,9.3251,16.3053,13.1132,13.7094,8.90243,9.76473,15.9438,16.723
33,0.269124,5.57184,15.2798,2.23572,0.207266,179.198,230,13.2847,9.88642,16.1997,13.1333,13.4896,9.66424,10.1153,16.0305,16.3579
