label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
4,107.611,1.41847,1.90318,1.2125,0,1068.19,135902896,13.8415,6.87332,14.0823,10.5154,17.2186,2.36208,11.7283,9.12016,18.0404
198,10.8008,1.73069,2.18535,1.4925,0.00101855,650.857,13640432,6.44612,12.4895,13.5177,4.4232,8.53632,10.3694,14.3366,11.443,15.1463
781,9.6609,1.05196,1.14644,0.9825,0,562.908,12200880,5.7625,6.49846,10.4844,4.16784,7.53312,5.00688,8.04384,8.60608,11.9095
10,19.1894,1.19854,1.64504,0.9975,0.000353449,612.801,24234592,14.4824,11.0082,13.0496,11.8104,16.9814,8.78256,12.6768,11.2336,15.1273
14,77.8851,1.24375,1.86156,0.9775,0,1142.51,98362120,6.68692,9.39647,15.311,3.91248,10.2326,5.26224,13.297,11.3288,18.6116
401,54.7869,1.02067,1.30661,0.8825,0,525.939,69191104,7.32372,13.6313,6.45805,3.98544,10.8346,10.5154,16.5984,2.62752,9.4724
600,6.85566,0.841414,0.783341,0.7525,0.000278218,149.889,8658096,10.7373,15.2452,7.82575,9.29328,12.3667,13.8533,16.872,6.8544,8.92024
22,67.0535,1.63055,2.00444,1.3775,0,700.885,84682720,15.6476,7.95785,10.8882,11.628,18.8784,3.89424,11.1446,6.96864,14.0991
794,8.27358,0.715921,0.653049,0.6325,4.12007e-05,150.713,10448816,11.4798,14.8473,6.19575,10.2053,12.9686,13.1784,16.7443,4.83616,7.24472
24,17.7156,0.863929,0.941223,0.7625,0,477.616,22373272,11.3675,10.4849,8.60762,9.58512,12.9869,8.67312,11.4182,4.68384,12.1951
31,18.8917,1.39607,2.70829,1.1925,6.77418e-05,996.79,23858552,9.16354,12.4188,14.4237,6.84912,12.0384,9.65808,14.665,12.6426,16.5362
1008,17.0375,0.865264,1.03854,0.7525,0,376.654,21516832,8.08821,3.90872,11.0914,6.0648,10.944,1.92432,6.09216,9.52,13.2233
1009,7.39126,0.913726,1.09867,0.7925,0,308.079,9334520,6.0921,5.13659,10.5504,4.55088,7.53312,3.67536,6.18336,8.73936,12.0618
46,19.0599,0.988207,1.13619,0.8275,8.58881e-06,421.456,24071008,14.9325,11.6156,10.8665,11.7374,17.6928,9.73104,13.297,9.4248,12.2522
51,11.2046,1.3287,1.57554,1.1525,4.89215e-05,651.742,14150496,10.4414,8.67043,10.7182,8.3448,12.4032,7.26864,10.6522,8.05392,13.3756
