time,Flow,RR,Inspiration
17.68,1.863,240,1
17.69,95.094,240,1
17.7,174.735,240,1
17.71,210.482,240,1
17.72,217.923,240,1
17.73,211.23,240,1
17.74,200.582,240,1
17.75,168.391,240,1
17.76,99.155,240,1
17.77,20.117,240,1
17.78,-10.409,240,0
17.79,-7.994,240,0
17.8,-6.823,240,0
17.81,-6.819,240,0
17.82,-6.806,240,0
17.83,-6.819,240,0
17.84,-6.811,240,0
17.85,-6.819,240,0
17.86,-6.844,240,0
17.87,-6.828,240,0
17.88,-6.828,240,0
17.89,-6.819,240,0
17.9,-6.806,240,0
17.91,-6.806,240,0
17.92,-7.755,240,0
17.93,-0.823,247,0
17.94,74.619,247,1
17.95,142.005,247,1
17.96,181.009,247,1
17.97,201.568,247,1
17.98,210.352,247,1
17.99,211.849,247,1
18,204.156,247,1
18.01,176.795,247,1
18.02,107.698,247,1
18.03,19.276,247,1
18.04,-10.471,247,0
18.05,-7.064,247,0
18.06,-6.853,247,0
18.07,-6.832,247,0
18.08,-6.823,247,0
18.09,-6.815,247,0
18.1,-6.832,247,0
18.11,-6.832,247,0
18.12,-6.823,247,0
18.13,-6.794,247,0
18.14,-6.832,247,0
18.15,-6.785,247,0
18.16,-6.798,247,0
18.17,-6.79,247,0
18.18,-6.815,245,0
18.19,-7.711,242,0
18.2,-6.497,242,0
18.21,59.661,242,1
18.22,132.071,242,1
18.23,174.527,242,1
18.24,198.269,242,1
18.25,209.508,242,1
18.26,213.352,242,1
18.27,206.791,242,1
18.28,188.804,242,1
18.29,136.412,242,1
18.3,49.521,242,1
18.31,-9.298,242,0
18.32,-7.773,242,0
18.33,-6.832,242,0
18.34,-6.828,242,0
18.35,-6.832,242,0
18.36,-6.844,242,0
18.37,-6.84,242,0
18.38,-6.823,242,0
18.39,-6.828,241,0
18.4,-6.836,239,0
18.41,-6.815,236,0
18.42,-6.828,234,0
18.43,-6.832,232,0
18.44,-10.157,231,0
18.45,66.431,231,1
18.46,160.323,231,1
18.47,208.73,231,1
18.48,224.615,231,1
18.49,222.407,231,1
18.5,212.927,231,1
18.51,191.437,231,1
18.52,127.563,231,1
18.53,37.924,231,1
18.54,-9.888,231,0
18.55,-8.389,231,0
18.56,-6.865,231,0
18.57,-6.79,231,0
18.58,-6.811,231,0
18.59,-6.806,231,0
18.6,-6.819,231,0
18.61,-6.802,231,0
18.62,-6.811,231,0
18.63,-6.815,231,0
18.64,-6.823,231,0
18.65,-6.819,231,0
18.66,-6.815,231,0
18.67,-6.806,231,0
18.68,-6.815,231,0
18.69,-6.802,231,0
18.7,-8.435,235,0
18.71,60.157,235,1
18.72,137.581,235,1
18.73,178.204,235,1
18.74,197.322,235,1
18.75,202.237,235,1
18.76,199.788,235,1
18.77,195.027,235,1
18.78,178.204,235,1
18.79,120.336,235,1
18.8,35.801,235,1
18.81,-10.222,235,0
18.82,-7.209,235,0
18.83,-6.819,235,0
18.84,-6.806,235,0
18.85,-6.815,235,0
18.86,-6.802,235,0
18.87,-6.806,235,0
18.88,-6.823,235,0
18.89,-6.811,235,0
18.9,-6.806,235,0
18.91,-6.806,235,0
18.92,-6.806,235,0
18.93,-6.794,235,0
18.94,-6.79,235,0
18.95,-6.794,233,0
18.96,-10.44,232,0
18.97,39.041,232,1
18.98,119.088,232,1
18.99,174.259,232,1
19,204.252,232,1
19.01,220.01,232,1
19.02,223.878,232,1
19.03,208.665,232,1
19.04,158.726,232,1
19.05,72.653,232,1
19.06,-2.283,232,0
19.07,-9.778,232,0
19.08,-6.94,232,0
19.09,-6.819,232,0
19.1,-6.836,232,0
19.11,-6.815,232,0
19.12,-6.802,232,0
19.13,-6.823,232,0
19.14,-6.823,232,0
19.15,-6.832,232,0
19.16,-6.819,232,0
19.17,-6.823,232,0
19.18,-6.815,232,0
19.19,-6.811,232,0
19.2,-7.011,232,0
19.21,-7.141,238,0
19.22,56.617,238,1
19.23,130.249,238,1
19.24,175.689,238,1
19.25,198.68,238,1
19.26,208.924,238,1
19.27,209.929,238,1
19.28,203.547,238,1
19.29,187.171,238,1
19.3,139.396,238,1
19.31,56.796,238,1
19.32,-7.398,238,0
19.33,-8.396,238,0
19.34,-6.844,238,0
19.35,-6.798,238,0
19.36,-6.785,238,0
19.37,-6.806,238,0
19.38,-6.823,238,0
19.39,-6.802,238,0
19.4,-6.823,238,0
19.41,-6.828,238,0
19.42,-6.819,238,0
19.43,-6.806,238,0
