time,Flow,RR,Inspiration
8.07,22.198,242,1
8.08,135.988,242,1
8.09,215.451,242,1
8.1,246.532,242,1
8.11,251.711,242,1
8.12,247.69,242,1
8.13,239.948,242,1
8.14,221.174,242,1
8.15,186.587,242,1
8.16,122.547,242,1
8.17,14.351,242,1
8.18,-7.551,242,0
8.19,-6.743,242,0
8.2,-6.739,242,0
8.21,-6.717,242,0
8.22,-6.747,242,0
8.23,-6.721,242,0
8.24,-6.739,242,0
8.25,-6.721,242,0
8.26,-6.704,242,0
8.27,-6.7,242,0
8.28,-6.704,242,0
8.29,-6.704,242,0
8.3,-6.717,241,0
8.31,-6.709,239,0
8.32,24.852,239,1
8.33,134.984,239,1
8.34,200.741,239,1
8.35,231.778,239,1
8.36,239.532,239,1
8.37,235.812,239,1
8.38,230.554,239,1
8.39,223.343,239,1
8.4,202.588,239,1
8.41,170.592,239,1
8.42,109.752,239,1
8.43,7.859,239,1
8.44,-7.436,239,0
8.45,-6.764,239,0
8.46,-6.726,239,0
8.47,-6.734,239,0
8.48,-6.721,239,0
8.49,-6.73,239,0
8.5,-6.739,239,0
8.51,-6.734,239,0
8.52,-6.704,239,0
8.53,-6.721,239,0
8.54,-6.713,239,0
8.55,-6.721,239,0
8.56,-6.692,237,0
8.57,-6.696,235,0
8.58,5.109,234,1
8.59,114.866,234,1
8.6,181.16,234,1
8.61,215.714,234,1
8.62,232.903,234,1
8.63,237.6,234,1
8.64,231.676,234,1
8.65,211.556,234,1
8.66,185.606,234,1
8.67,146.988,234,1
8.68,75.977,234,1
8.69,-9.284,234,0
8.7,-6.92,234,0
8.71,-6.747,234,0
8.72,-6.739,234,0
8.73,-6.73,234,0
8.74,-6.73,234,0
8.75,-6.726,234,0
8.76,-6.717,234,0
8.77,-6.721,234,0
8.78,-6.704,234,0
8.79,-6.721,234,0
8.8,-6.704,234,0
8.81,-6.696,234,0
8.82,-6.679,234,0
8.83,10.388,236,1
8.84,125.184,236,1
8.85,209.572,236,1
8.86,236.911,236,1
8.87,240.606,236,1
8.88,238.358,236,1
8.89,233.073,236,1
8.9,218.783,236,1
8.91,192.963,236,1
8.92,156.768,236,1
8.93,91.639,236,1
8.94,-4.32,236,0
8.95,-7.072,236,0
8.96,-6.747,236,0
8.97,-6.717,236,0
8.98,-6.717,236,0
8.99,-6.73,236,0
9,-6.734,236,0
9.01,-6.704,236,0
9.02,-6.726,236,0
9.03,-6.717,236,0
9.04,-6.734,236,0
9.05,-6.726,236,0
9.06,-6.717,236,0
9.07,-6.717,236,0
9.08,-6.687,235,0
9.09,10.639,235,1
9.1,118.169,235,1
9.11,183.925,235,1
9.12,223.142,235,1
9.13,239.152,235,1
9.14,238.807,235,1
9.15,233.791,235,1
9.16,219.878,235,1
9.17,200.55,235,1
9.18,172.273,235,1
9.19,119.512,235,1
9.2,24.153,235,1
9.21,-8.105,235,0
9.22,-6.777,235,0
9.23,-6.743,235,0
9.24,-6.739,235,0
