label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,12.9042,0.80971,0.784394,0.6825,5.06906e-05,216.09,15739712,15.9134,10.2864,8.29056,13.8643,18.3466,8.1664,11.6464,7.02576,9.60568
2,10.299,1.36064,0.946892,1.1625,0.000558486,109.537,12562072,14.4268,3.79445,11.4191,12.5094,16.5648,2.26432,5.41024,9.27248,12.8615
3,9.73872,1.15728,1.77674,0.9375,0,650.451,11878696,14.0176,9.03216,12.5274,11.8413,16.7133,7.424,10.8298,10.967,14.2134
4,9.45768,0.578143,0.54334,0.4425,0,51.663,11535904,14.3326,8.35818,6.29218,12.8806,16.0637,6.01344,10.6256,5.25504,7.73976
5,9.16558,0.779559,0.59448,0.6325,2.362e-05,68.2032,11179616,13.4202,9.25133,10.2103,11.8227,14.8202,7.72096,11.1638,8.64416,12.4046
6,8.91222,1.02051,0.946625,0.8325,0,161.007,10870584,17.6082,9.34305,7.03291,16.1843,19.1261,7.08992,11.4237,5.712,8.44424
7,8.57861,1.29721,1.12844,1.0675,0.000446726,178.102,10463672,17.1868,8.1507,9.06412,15.5533,18.6806,6.7744,9.54912,7.74928,10.2721
8,7.6737,1.07654,1.00332,0.9075,3.51777e-06,131.783,9359920,15.159,9.8155,9.9978,13.4189,16.9731,7.46112,11.535,8.92976,11.4906
9,7.59655,0.695349,0.497683,0.6175,0,170.249,9265816,13.5871,8.38338,7.89618,12.361,15.1171,6.66304,10.6813,6.664,9.89128
10,7.51127,1.69068,1.28694,1.5025,0.000569713,168.759,9161792,16.3512,6.90177,10.9384,14.1798,18.161,5.62368,8.73248,9.67232,12.3474
11,7.50754,1.58352,1.18727,1.3825,0.00094815,147.132,9157240,15.0762,5.66027,12.6303,13.3446,17.0102,3.76768,7.82304,11.4621,14.061
12,7.07487,0.633245,0.666644,0.4675,0,91.2024,8629496,14.6573,8.52781,4.68695,13.0662,16.3978,7.31264,10.0317,3.44624,5.83576
13,7.04235,1.22999,2.0684,0.9725,1.73529e-07,1043.31,8589832,15.1628,9.619,12.1489,13.6602,17.0845,7.59104,11.0525,11.2336,13.3566
14,6.86006,0.717062,0.72269,0.5825,0,244.164,8367488,17.9133,9.3506,4.38838,16.3699,19.4973,7.46112,11.0339,2.89408,5.81672
15,6.5589,0.641208,0.613696,0.4875,0,79.7023,8000144,15.5378,10.4631,6.40714,13.6602,17.6042,9.24288,11.6093,5.55968,7.1876
16,6.08239,0.73068,0.742698,0.5475,0,101.275,7418936,17.0971,10.2431,5.30916,15.9245,19.0147,8.68608,11.4608,4.13168,6.21656
17,6.05974,0.995447,1.07397,0.8025,0,84.6611,7391304,15.1382,2.44917,9.87725,13.456,16.639,0.90944,3.7584,8.26336,11.205
18,5.99636,1.4346,1.00324,1.2575,0,156.276,7313992,14.5785,5.45324,9.72943,12.9734,15.9523,3.47072,7.3776,8.32048,11.4335
19,5.7916,0.643063,0.770136,0.4825,0,79.7601,7064248,16.7171,9.522,2.09748,15.7389,18.2352,8.24064,10.7555,0.20944,3.7604
20,5.4045,1.35406,1.25831,1.1925,0,107.5,6592088,15.8946,3.45687,9.38016,14.4211,17.2701,1.93024,4.38944,7.57792,11.2431
21,5.30987,1.32613,1.33588,1.0875,0,191.943,6476664,17.9644,5.86517,6.85988,16.3514,19.2746,4.34304,7.30336,5.67392,8.40616
22,5.07171,1.56487,1.44774,1.2675,0.000274204,168.686,6186168,16.3506,7.93728,10.7914,14.6067,18.0867,6.16192,9.01088,9.72944,11.9857
23,4.96466,1.2126,1.41938,0.9975,1.11664e-09,422.408,6055592,14.6443,8.04323,14.2116,12.9178,16.5277,6.23616,10.0131,13.0995,15.3748
24,4.8526,1.51643,1.08667,1.3325,5.10861e-05,80.8412,5918912,15.3101,6.90561,13.3994,13.8458,16.7133,5.86496,7.9344,12.1094,14.6132
25,4.6687,1.34373,1.33953,1.1625,0,156.609,5694592,12.215,5.93123,16.03,10.7462,13.6323,4.97408,7.58176,14.6989,17.0884
26,4.51703,0.755742,0.567104,0.6625,0,156.834,5509600,14.1183,9.62614,8.51811,12.9363,15.711,7.96224,10.8854,7.00672,9.58664
