time,Flow,RR,Inspiration
12.89,0.986,119,1
12.9,31.84,119,1
12.91,58.203,119,1
12.92,75.631,119,1
12.93,83.773,119,1
12.94,87.179,119,1
12.95,89.725,119,1
12.96,91.021,119,1
12.97,93.727,119,1
12.98,95.724,119,1
12.99,96.469,119,1
13,97.945,119,1
13.01,97.036,119,1
13.02,96.379,119,1
13.03,95.476,119,1
13.04,89.659,119,1
13.05,74.902,119,1
13.06,41.868,119,1
13.07,1.172,119,1
13.08,-10.339,119,0
13.09,-6.915,119,0
13.1,-6.768,119,0
13.11,-6.751,119,0
13.12,-8.04,119,0
13.13,-9.276,119,0
13.14,-9.825,119,0
13.15,-10.144,119,0
13.16,-10.303,119,0
13.17,-10.396,119,0
13.18,-10.459,119,0
13.19,-10.502,119,0
13.2,-10.493,119,0
13.21,-10.481,119,0
13.22,-10.53,119,0
13.23,-10.537,119,0
13.24,-10.52,119,0
13.25,-10.539,119,0
13.26,-10.507,119,0
13.27,-10.365,119,0
13.28,-10.044,119,0
13.29,-9.73,119,0
13.3,-9.492,119,0
13.31,-9.384,119,0
13.32,-9.01,119,0
13.33,-8.519,119,0
13.34,-7.741,118,0
13.35,-7.023,118,0
13.36,-6.974,117,0
13.37,-6.76,116,0
13.38,-6.781,116,0
13.39,-10.372,115,0
13.4,7.495,115,1
13.41,51.039,115,1
13.42,79.781,115,1
13.43,92.325,115,1
13.44,97.149,115,1
13.45,99.591,115,1
13.46,101.527,115,1
13.47,102.037,115,1
13.48,102.757,115,1
13.49,104.065,115,1
13.5,105.568,115,1
13.51,106.11,115,1
13.52,110.424,115,1
13.53,111.993,115,1
13.54,110.376,115,1
13.55,103.527,115,1
13.56,88.111,115,1
13.57,54.149,115,1
13.58,9.704,115,1
13.59,-10.365,115,0
13.6,-7.328,115,0
13.61,-6.781,115,0
13.62,-6.764,115,0
13.63,-6.751,115,0
13.64,-7.726,115,0
13.65,-8.821,115,0
13.66,-9.298,115,0
13.67,-9.433,115,0
13.68,-9.556,115,0
13.69,-9.512,115,0
13.7,-9.618,115,0
13.71,-9.867,115,0
13.72,-10.074,115,0
13.73,-10.155,115,0
13.74,-10.037,115,0
13.75,-9.938,115,0
13.76,-9.957,115,0
13.77,-9.763,115,0
13.78,-9.525,115,0
13.79,-9.229,115,0
13.8,-8.754,115,0
13.81,-8.367,115,0
13.82,-8.226,115,0
13.83,-7.719,114,0
13.84,-6.773,114,0
13.85,-6.76,114,0
13.86,-6.76,113,0
13.87,-6.764,112,0
13.88,-9.018,112,0
13.89,-4.785,112,0
13.9,38.473,112,1
13.91,76.323,112,1
13.92,96.334,112,1
13.93,105.662,112,1
13.94,109.129,112,1
13.95,107.674,112,1
13.96,105.474,112,1
13.97,105.497,112,1
13.98,106.725,112,1
13.99,109.129,112,1
14,111.775,112,1
14.01,114.181,112,1
14.02,114.132,112,1
14.03,110.497,112,1
14.04,101.365,112,1
14.05,85.393,112,1
14.06,60.102,112,1
14.07,16.558,112,1
14.08,-10.05,112,0
14.09,-7.253,112,0
14.1,-6.781,112,0
14.11,-6.79,112,0
14.12,-6.777,112,0
14.13,-7.917,112,0
14.14,-8.734,112,0
14.15,-9.525,112,0
14.16,-10.089,112,0
14.17,-10.349,112,0
14.18,-10.438,112,0
14.19,-10.521,112,0
14.2,-10.539,112,0
14.21,-10.539,112,0
14.22,-10.539,112,0
14.23,-10.539,112,0
14.24,-10.532,112,0
14.25,-10.475,112,0
14.26,-10.46,112,0
14.27,-10.359,112,0
14.28,-10.304,112,0
14.29,-10.306,112,0
14.3,-10.307,112,0
14.31,-10.252,112,0
14.32,-10.209,112,0
14.33,-10.205,112,0
14.34,-10.216,112,0
14.35,-9.957,112,0
14.36,-9.034,112,0
14.37,-8.253,112,0
14.38,-7.671,112,0
14.39,-7.704,112,0
14.4,-10.335,112,0
14.41,-0.178,116,0
14.42,36.608,116,1
14.43,66.796,116,1
14.44,84.219,116,1
14.45,88.851,116,1
14.46,88.72,116,1
14.47,90.185,116,1
14.48,93.973,116,1
14.49,98.218,116,1
14.5,102.107,116,1
14.51,107.033,116,1
14.52,110.785,116,1
14.53,111.727,116,1
14.54,111.075,116,1
14.55,108.771,116,1
14.56,102.99,116,1
14.57,89.156,116,1
