time,Flow,RR,Inspiration
3.18,40.25,241,1
3.19,150.965,241,1
3.2,198.901,241,1
3.21,213.188,241,1
3.22,216.438,241,1
3.23,214.072,241,1
3.24,211.198,241,1
3.25,211.491,241,1
3.26,210.547,241,1
3.27,203.1,241,1
3.28,179.921,241,1
3.29,112.744,241,1
3.3,-2.942,241,0
3.31,-6.091,241,0
3.32,-5.743,241,0
3.33,-5.724,241,0
3.34,-5.728,241,0
3.35,-5.724,241,0
3.36,-5.695,241,0
3.37,-5.69,241,0
3.38,-5.704,241,0
3.39,-5.709,241,0
3.4,-5.709,241,0
3.41,-5.68,241,0
3.42,-8.196,240,0
3.43,48.307,240,1
3.44,152.441,240,1
3.45,195.152,240,1
3.46,204.444,240,1
3.47,208.018,240,1
3.48,209.151,240,1
3.49,210.222,240,1
3.5,212.567,240,1
3.51,212.567,240,1
3.52,202.365,240,1
3.53,177.124,240,1
3.54,112.332,240,1
3.55,-0.589,240,0
3.56,-6.182,240,0
3.57,-5.748,240,0
3.58,-5.733,240,0
3.59,-5.724,240,0
3.6,-5.714,240,0
3.61,-5.709,240,0
3.62,-5.724,240,0
3.63,-5.685,240,0
3.64,-5.685,240,0
3.65,-5.719,240,0
3.66,-5.7,240,0
3.67,-5.862,240,0
3.68,27.583,240,1
3.69,140.765,240,1
3.7,194.4,240,1
3.71,210.417,240,1
3.72,215.582,240,1
3.73,216.867,240,1
3.74,215.254,240,1
3.75,213.156,240,1
3.76,213.548,240,1
3.77,207.501,240,1
3.78,184.23,240,1
3.79,116.956,240,1
3.8,0.291,240,0
3.81,-6.173,240,0
3.82,-5.714,240,0
3.83,-5.733,240,0
3.84,-5.724,240,0
3.85,-5.724,240,0
3.86,-5.7,240,0
3.87,-5.709,240,0
3.88,-5.695,240,0
3.89,-5.68,240,0
3.9,-5.685,240,0
3.91,-5.719,240,0
3.92,-5.695,239,0
3.93,16.309,239,1
3.94,123.457,239,1
3.95,179.107,239,1
3.96,195.466,239,1
3.97,198.68,239,1
3.98,198.522,239,1
3.99,196.188,239,1
4,196.534,239,1
4.01,198.838,239,1
4.02,196.566,239,1
4.03,183.773,239,1
4.04,144.8,239,1
4.05,55.386,239,1
4.06,-9.122,239,0
4.07,-5.791,239,0
4.08,-5.704,239,0
4.09,-5.714,239,0
4.1,-5.724,239,0
4.11,-5.728,239,0
4.12,-5.714,239,0
4.13,-5.68,239,0
4.14,-5.7,239,0
4.15,-5.685,239,0
4.16,-5.695,239,0
4.17,-5.685,239,0
4.18,-0.136,239,0
4.19,110.04,239,1
4.2,180.373,239,1
4.21,201.95,239,1
4.22,207.114,239,1
