label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
4,107.611,440.496,474.48,383,8.85887e-05,129225,16987862,13.8415,6.87332,14.0823,10.5199,17.214,2.36664,11.7238,9.12492,18.0356
198,10.8008,537.22,532.687,471,1.98263,86932.7,1705054,6.44612,12.4895,13.5177,4.42776,8.53176,10.374,14.3321,11.4478,15.1416
781,9.6609,328.533,282.413,311,2.03577e-05,46922.6,1525110,5.7625,6.49846,10.4844,4.1724,7.52856,5.01144,8.03928,8.61084,11.9048
10,19.1894,370.528,395.55,315,0.293995,80915.9,3029324,14.4824,11.0082,13.0496,11.815,16.9769,8.78712,12.6722,11.2384,15.1225
14,77.8851,386.643,456.052,309,0.000115279,158942,12295265,6.68692,9.39647,15.311,3.91704,10.2281,5.2668,13.2924,11.3336,18.6068
401,54.7869,317.749,337.902,277,1.11865e-07,95668.2,8648888,7.32372,13.6313,6.45805,3.99,10.83,10.5199,16.5938,2.63228,9.46764
600,6.85566,260.271,197.912,235,0.244961,15672.3,1082262,10.7373,15.2452,7.82575,9.29784,12.3622,13.8578,16.8674,6.85916,8.91548
22,67.0535,507.034,522.712,435,0.0408421,94082.7,10585340,15.6476,7.95785,10.8882,11.6326,18.8738,3.8988,11.1401,6.9734,14.0944
794,8.27358,221.459,167.453,199,0.139753,13139.3,1306102,11.4798,14.8473,6.19575,10.2098,12.9641,13.183,16.7398,4.84092,7.23996
24,17.7156,268.731,220.738,239,0.0146908,59117.1,2796659,11.3675,10.4849,8.60762,9.58968,12.9823,8.67768,11.4137,4.6886,12.1904
31,18.8917,432.376,661.484,375,0.0650567,146913,2982319,9.16354,12.4188,14.4237,6.85368,12.0338,9.66264,14.6604,12.6473,16.5315
1008,17.0375,269.717,259.897,239,1.76625e-08,35510.7,2689604,8.08821,3.90872,11.0914,6.06936,10.9394,1.92888,6.0876,9.52476,13.2185
1009,7.39126,285.867,268.911,253,0.000190175,29349,1166815,6.0921,5.13659,10.5504,4.55544,7.52856,3.67992,6.1788,8.74412,12.0571
46,19.0599,306.534,276.331,261,0.0128934,41959.3,3008876,14.9325,11.6156,10.8665,11.742,17.6882,9.7356,13.2924,9.42956,12.2475
51,11.2046,413.126,389.4,361,0.0735979,66200.3,1768812,10.4414,8.67043,10.7182,8.34936,12.3986,7.2732,10.6476,8.05868,13.3708
53,41.2972,333.304,265.673,305,2.29006e-06,78755.4,6519347,6.60142,10.4628,10.0685,3.77112,9.8268,7.0908,13.9673,6.8782,12.8187
54,23.5551,356.011,346.732,313,0.0220044,118078,3718512,10.6513,12.7113,11.5906,8.14872,12.6358,10.3193,15.3353,8.85836,14.2086
60,0.563554,375.005,294.956,315,3.01446,16093.3,88965,8.18241,11.004,13.1344,7.74744,8.7324,10.3558,11.5961,12.3808,13.5612
255,9.05863,285.726,248.823,251,0.764267,44845.9,1430033,15.4906,12.3301,8.75632,13.3106,17.7247,10.7023,13.4748,7.81116,9.84844
448,11.0323,271.224,225.58,233,0.00868803,40664.3,1741607,13.8454,10.4343,7.14647,12.4169,15.5906,9.15192,12.2345,5.81196,8.4966
259,12.0825,358.647,334.417,329,0.000582765,66485,1907398,13.2941,8.07816,8.66107,10.9759,15.7913,6.25176,9.462,5.90716,11.1432
457,4.86688,411.774,326.438,381,1.43893,37460.3,768306,13.3367,6.84776,9.75751,11.6326,15.39,5.64984,7.94808,8.76316,11.067
268,4.08999,452.743,223.249,423,28.1652,30284.2,645662,9.45602,7.98262,11.503,8.20344,11.0124,7.03608,9.24312,10.4958,12.99
468,13.4206,368.954,277.034,343,0.0226884,66737.1,2118628,6.19726,7.47625,12.9951,4.48248,8.03928,5.15736,9.7356,11.2574,15.3891
662,27.1697,273.34,244.176,231,0.0533539,27025.4,4289118,17.2701,10.8352,4.64052,14.4415,19.3663,8.78712,13.2742,1.12812,6.76396
858,11.4406,279.636,314.906,231,0.0515617,76411.5,1806060,14.0191,10.6029,4.62022,12.5993,15.9919,8.87832,12.0886,2.28956,6.57356
859,25.0544,266.882,427.635,213,1.62321e-11,183289,3955197,15.6439,11.5994,3.11952,13.3654,18.0895,9.68088,13.2742,0.46172,5.77388
92,45.4252,472.551,482.703,395,0.00219596,117974,7171015,16.7787,9.07908,8.78295,12.727,19.3663,5.43096,12.8364,5.831,11.2955
286,14.7974,328.766,252.269,307,0.04851,35118.1,2335984,9.81033,14.5891,9.20188,7.2732,12.0703,12.7817,16.6486,7.29708,10.6672
866,10.6037,326.003,313.174,291,0.0286046,41509.6,1673947,6.33574,5.58081,12.8557,4.48248,8.02104,3.7164,7.05432,11.2764,15.1416
674,0.0171223,746.222,532.597,655,359.224,17314.6,2703,12.5826,6.07466,10.9372,12.4351,12.727,5.92344,6.19704,10.6672,11.2193
99,11.6551,285.977,375.732,255,0.0471201,105430,1839923,11.5627,8.75729,8.5059,9.57144,14.6786,6.92664,10.2463,5.79292,10.9718
102,3.74728,351.48,266.586,321,1.84835,45266.9,591561,9.2816,9.43341,12.017,8.42232,10.0274,8.55,11.1036,10.8385,13.7326
684,5.75739,418.372,256.068,403,0.152839,28804.4,908885,8.7763,6.77053,10.8233,6.96312,10.6658,5.4492,9.29784,9.29628,12.2856
494,7.34044,233.604,194.688,201,0.675017,29808.7,1158792,11.5773,13.2776,7.44901,9.71736,12.9823,11.815,14.8975,6.23084,8.80124
108,51.4622,332.613,323.115,297,0.000498896,97302.4,8124042,7.43812,11.0914,8.43688,3.47928,10.8118,7.32792,14.095,4.9742,11.8286
302,37.4757,435.091,415.947,371,0.0356587,158260,5916073,5.26719,11.1906,11.201,3.84408,8.3676,6.65304,13.7302,7.18284,13.7136
303,41.8562,376.026,321.752,333,0.0525893,67350.8,6607600,7.59168,14.0588,11.0253,4.902,11.5231,10.374,16.4662,7.1638,14.0753
886,47.1873,233.409,209.923,195,1.48076e-05,31226.5,7449175,11.5522,12.8185,4.37417,6.67128,13.3471,10.6111,15.4812,0.46172,8.82028
887,23.9763,220.275,200.226,191,0.000512973,27523.1,3784997,10.6668,15.4968,3.21736,9.06072,12.6175,13.5113,17.0498,0.42364,5.58348
119,2.9792,380.452,535.802,345,0.00416487,85204.8,470308,8.93082,11.6178,13.1419,7.23672,10.0822,9.75384,12.9458,12.2094,13.9611
706,39.303,266.362,260.646,235,9.44036e-05,83153.9,6204533,8.72235,15.4726,4.91147,6.10584,11.1218,13.11,17.1593,1.47084,8.1158
350,30.1038,369.495,371.294,305,2.48157e-05,71820.1,4752317,17.3826,10.0146,6.90204,14.8793,19.6034,6.65304,13.2194,3.43196,8.93452
158,10.5258,301.193,274.111,263,1.81584,122974,1661641,13.6698,10.8602,9.11567,12.3074,15.6271,9.13368,13.2194,7.9254,10.7243
356,9.28951,498.31,450.186,453,0.115817,181064,1466480,11.622,6.81737,11.0778,9.89976,13.2559,4.37304,8.93304,8.89644,12.9329
163,11.6631,381.347,416.418,329,0.00152553,89960.2,1841185,9.6461,7.27163,9.54291,7.05432,12.0156,4.66488,9.6444,7.81116,11.1432
941,4.42986,378.156,256.766,369,0.335696,28202.9,699316,8.87398,5.67996,10.9312,6.8172,11.2678,4.11768,7.3644,9.71516,12.1904
172,6.42876,352.213,295.539,319,6.3991,49350,1014870,7.71123,8.96715,13.051,6.32472,9.3708,7.40088,10.5929,10.9337,14.7798
560,10.2522,252.343,225.799,217,0.047264,27259.5,1618461,15.3576,12.448,6.857,13.2924,17.7977,10.5746,13.4748,5.56444,8.00156
373,18.0538,333.256,310.992,305,3.57919e-06,78608.8,2850045,6.19284,7.97242,10.2922,3.95352,9.07896,5.94168,9.40728,8.00156,12.8948
570,4.44393,428.106,355.905,393,0.0789349,48516.9,701537,12.1137,5.63002,11.0509,10.4834,13.5478,3.69816,7.01784,9.5438,12.8758
184,10.916,239.106,176.469,213,0.0321546,19825.3,1723252,11.5105,12.4506,9.14906,9.3708,12.8182,10.8665,14.2591,7.3542,10.7243
766,2.99257,246.933,208.49,211,5.6186,12721.2,472420,14.7003,10.7476,6.14003,13.1647,15.7001,8.71416,11.9609,5.46924,6.93532
770,12.9111,247.217,391.009,209,1.1563e-05,80427.3,2038194,12.9739,3.98198,11.1816,10.4834,15.3353,1.85592,5.92344,9.639,12.9139
771,2.57013,338.932,289.28,305,0.220767,25848.2,405731,13.7943,5.87866,10.2701,12.6175,15.39,5.10264,6.98136,9.14396,11.3716
578,2.74069,495.84,290.333,475,9.75771,21651.5,432657,7.91326,7.26087,11.8252,5.9052,9.06072,6.06936,8.71416,9.69612,12.8948
