label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,27.9343,0.231927,0.959226,0.0410094,2.59995e-05,22.5249,7105,11.9234,10.8557,21.4998,11.2801,13.0694,10.0452,11.88,17.7861,25.9029
2,17.5946,1.43558,9.13122,0.325213,0.00168968,372.989,4091,13.5838,10.8893,16.0434,12.1025,15.0571,10.0216,11.8185,13.5386,18.7312
3,13.3704,1.14596,4.32836,0.388145,0.0620371,107.173,3186,12.2932,11.2721,16.761,11.4006,13.2134,10.2871,12.2338,15.2486,18.3966
4,1.46711,3.30355,8.66315,1.35513,0.45238,93.5657,404,15.1687,10.4688,14.0136,14.6459,15.8011,10.0084,10.8798,13.6503,14.4437
5,7.7793,1.93511,8.40688,0.747414,8.72248e-05,130.801,2085,14.8597,11.2657,13.1361,13.83,15.9316,10.4136,12.1069,12.0663,14.236
6,3.28507,6.03626,13.4524,2.39461,0.0024791,140.647,1008,11.4346,11.5982,14.6854,10.8515,11.8659,10.9889,12.2021,13.8975,15.5203
7,12.0244,2.62974,9.08304,0.612443,0.0660805,146.971,2852,12.4895,11.2772,14.1324,11.4602,13.2891,10.2818,12.2262,12.2374,15.6136
8,0.0163447,56.9093,28.9123,27.0576,7.22335,83.4292,5,15.6987,10.5088,14.1419,15.6806,15.7133,10.4332,10.5641,14.0866,14.2035
9,0.653307,2.60823,4.13977,1.66464,0.919836,79.0594,206,15.5622,10.1378,13.8338,15.1026,15.977,9.80318,10.4261,13.5742,14.1464
10,0.239163,2.2542,1.36044,1.94492,0.972471,14.1021,202,15.3436,12.0917,12.9591,15.0742,15.5429,11.9155,12.2779,12.6996,13.1761
11,0.96124,2.80356,7.55175,0.992927,0.519359,70.8191,266,15.2722,11.5968,12.2155,14.6244,15.9924,10.8071,12.0784,11.8524,12.6453
12,0.494416,25.0007,30.7252,16.3108,0.00200876,195.634,433,11.1101,12.3286,14.2425,10.7902,11.3392,12.0475,12.6606,14.0038,14.4905
13,0.527505,3.50571,3.72897,1.48962,0.309252,34.7718,155,10.7522,11.5964,14.4787,10.4443,11.0969,11.1344,12.2013,13.9784,14.9588
14,5.89897,0.960975,1.31677,0.574718,0.0942028,24.604,1615,11.3177,10.0646,12.4924,10.3758,12.2018,9.04757,11.0538,11.7087,13.4495
15,0.711617,0.829445,0.749383,0.531123,0.155492,6.51867,176,12.9056,11.4558,12.6736,12.315,13.0925,10.8647,11.8974,12.2589,12.9959
16,0.994051,3.05625,4.3608,1.49478,0.945584,97.9131,330,15.5194,10.2837,14.582,15.19,15.8052,9.89612,10.6957,14.2025,14.994
17,0.730183,3.54196,10.3212,1.11322,0.721012,107.024,300,15.6571,10.9448,14.2906,15.3719,15.9499,10.5561,11.364,13.9751,14.5714
18,0.460715,2.6695,1.61142,1.95243,1.34622,11.0044,197,15.8771,9.89009,13.813,15.5352,16.2206,9.57681,10.2243,13.5322,14.0525
19,0.259423,3.5586,4.81397,2.24369,1.33025,39.2559,229,15.4829,9.7997,13.6283,15.2759,15.6849,9.60976,10.0356,13.38,13.8632
20,0.367032,3.4454,1.94726,2.85967,1.63438,18.1673,324,15.4519,12.3712,12.8998,15.209,15.6738,12.1427,12.6311,12.7001,13.1343
21,0.255274,3.51937,6.14708,2.16277,1.54112,78.8093,226,15.0851,12.3493,12.7916,14.9146,15.2609,12.1426,12.5589,12.5945,12.9955
22,1.24024,2.45482,1.57291,2.08548,1.05135,21.1164,423,15.9437,11.0362,12.1242,15.4482,16.3442,10.6432,11.511,11.6369,12.6471
23,3.6609,1.46599,4.47413,0.78509,0.279337,138.302,1028,15.5037,11.7185,11.5743,14.747,16.2643,11.0331,12.3498,10.9357,12.24
24,0.119417,9.35856,2.1047,9.10213,5.69245,16.1231,106,11.187,12.6697,14.3084,11.0421,11.3643,12.5403,12.7963,14.152,14.4545
25,0.416582,11.1446,27.9695,5.52432,1.09398,252.063,497,11.558,12.577,14.1521,11.2567,11.8221,12.4239,12.743,13.8523,14.3494
26,0.305625,6.27856,13.4139,2.96766,1.24834,97.2638,88,10.5829,11.7183,14.7728,10.3086,10.8397,11.295,12.0459,14.4001,15.0395
27,1.93065,1.90123,3.10243,1.14702,0.000282374,83.5209,645,10.5757,11.7739,13.8968,10.0291,11.2101,11.2402,12.2191,13.4121,14.3824
28,1.28094,4.4812,9.0213,2.79151,0.960477,121.731,417,10.6579,8.97125,12.0863,10.1368,11.1515,8.56085,9.36604,11.7582,12.468
29,0.659223,4.49084,7.35162,2.21515,1.55027,90.8848,268,10.5372,9.5992,11.7217,10.2272,10.9056,9.29182,9.87435,11.354,12.0804
30,6.11748,0.648423,0.857325,0.456619,0.0974067,18.1654,1614,12.8552,10.3113,11.555,12.2055,13.5151,9.46265,11.117,10.3855,12.763
31,6.74779,1.26489,2.22739,0.785844,0.232296,54.6378,1873,12.1965,11.4911,11.7146,11.3614,12.9613,10.7503,12.242,10.6552,12.8469
32,0.742861,2.81389,1.42541,2.15166,1.30487,14.8617,312,15.7463,9.93719,15.0617,15.3958,16.0326,9.6146,10.3384,14.6997,15.4809
33,0.225106,3.80504,7.3445,1.53285,0.955203,76.9911,196,15.4086,10.2659,15.0312,15.243,15.6543,10.0013,10.4815,14.8518,15.2575
34,0.383024,2.42454,2.74286,1.72098,0.736934,24.7153,343,15.633,11.4691,14.5869,15.4577,15.8005,11.1686,11.764,14.3292,14.8434
35,0.211943,2.52515,1.70431,1.88258,0.983124,11.8439,185,15.9262,11.2842,14.4214,15.7326,16.1117,11.0663,11.4892,14.2598,14.6014
36,1.54319,2.80392,3.13105,1.98763,1.32175,83.4336,654,16.2702,9.34979,13.7181,15.75,16.7413,8.73961,9.89474,13.4229,14.0063
37,0.178972,7.06937,12.4862,3.10664,1.87215,90.2427,148,16.2133,10.0233,13.7695,16.0508,16.3781,9.83987,10.1955,13.6094,13.9428
38,0.0127949,2.37613,0.332478,2.3578,1.77227,2.98694,11,15.29,9.69368,13.4578,15.2642,15.4876,9.59856,9.74454,13.3998,13.5165
39,0.0874652,2.90365,3.11654,5.05218,1.09673,22.8583,206,15.3985,9.84148,13.3975,15.2915,15.5017,9.73071,9.97679,13.2977,13.5141
40,0.163051,3.78453,3.06107,2.54069,1.5255,20.8926,137,15.5538,12.5643,13.1623,15.3975,15.7144,12.3865,12.7526,13.0445,13.3453
41,0.294488,3.3504,1.71661,2.86492,1.73705,14.1793,253,15.6649,12.6601,12.8763,15.4361,15.9027,12.4225,12.849,12.7002,13.0491
42,0.275437,2.50303,1.5743,2.38107,1.10343,11.2757,460,14.7403,12.4996,12.8427,14.528,14.953,12.3494,12.6649,12.6498,13.0365
43,0.111763,2.71039,1.31601,2.54681,1.41366,9.77773,99,14.9716,12.5353,12.6067,14.8122,15.1105,12.3956,12.6769,12.4606,12.7359
44,0.172149,3.94015,3.88817,2.59874,1.48382,19.3999,51,16.321,10.8896,11.9961,16.1524,16.4334,10.5681,11.2255,11.6349,12.2405
45,0.263807,6.26892,9.70097,2.93642,1.74929,95.9654,236,16.052,10.6403,11.8032,15.8135,16.2794,10.4544,10.8721,11.6279,12.0693
46,3.27748,2.26904,7.2238,1.07701,0.371981,126.035,893,15.9443,11.7551,10.6145,15.2792,16.6005,11.1551,12.3518,9.88744,11.2606
47,0.212293,3.64754,4.1018,1.24658,0.853925,20.8066,142,15.6752,12.3808,11.0694,15.3876,16.011,12.248,12.5216,10.7909,11.3315
48,0.377446,4.50389,2.25411,4.12222,2.27322,20.3116,620,11.4323,12.8107,14.6097,11.1691,11.6961,12.6299,12.9958,14.3566,14.8522
49,0.239272,6.10867,1.57765,6.26609,3.83633,17.2333,279,11.1145,12.9177,14.286,10.9414,11.3063,12.7466,13.1327,14.147,14.4381
50,0.150506,3.72948,1.29375,3.80776,1.98472,14.4523,324,11.9257,12.5478,14.2129,11.7653,12.129,12.4071,12.6912,14.0765,14.312
51,0.166909,2.70721,1.56002,3.89148,1.35498,11.9226,363,11.9151,12.6654,14.0356,11.7277,12.1233,12.5001,12.8071,13.907,14.1758
52,0.490541,4.13551,3.57857,2.78551,1.91829,36.2637,362,10.3621,11.9392,15.0031,10.1285,10.6462,11.6283,12.2588,14.7155,15.2678
53,1.43303,2.45938,3.66167,1.63975,0.762751,60.6495,428,10.2301,11.2688,14.8745,9.78594,10.6225,10.7308,11.819,14.4323,15.3065
54,1.1726,3.02227,4.24126,2.08774,0.808872,53.1732,375,9.94706,11.8973,13.4821,9.40934,10.3565,11.5363,12.3395,13.0045,13.9544
55,0.0404442,5.22229,6.53366,3.08191,2.02246,41.1236,34,10.3662,11.8305,13.377,10.2778,10.5348,11.6318,12.0353,13.2862,13.4748
56,0.330045,3.72665,3.80047,1.47352,1.1151,20.7552,144,10.3691,8.76422,12.5221,10.1488,10.587,8.54411,8.99519,12.2932,12.7787
57,0.413061,3.70088,7.08431,2.50427,0.934476,88.1813,142,10.4252,8.60316,12.0603,10.0395,10.8965,8.33732,8.82594,11.7387,12.4311
58,0.359116,3.99326,3.12262,2.2576,1.56855,26.2471,204,10.1979,9.64041,11.526,9.98094,10.4256,9.38501,9.89144,11.2935,11.7817
59,0.0433674,7.63643,5.1117,5.58557,2.62681,22.9274,38,10.4234,9.44549,11.4342,10.2505,10.5813,9.33844,9.65309,11.307,11.529
60,1.66398,2.05256,4.87434,1.04217,0.682279,85.9001,578,13.0195,9.43374,10.4847,12.5109,13.552,8.93517,9.86003,10.0022,11.0077
61,0.750085,1.95042,1.62787,1.59532,0.869427,24.8833,643,13.0958,9.93672,10.1278,12.8354,13.323,9.75272,10.172,9.70684,10.5598
62,0.516541,6.22388,17.8176,2.08874,1.28724,136.241,242,11.9333,12.2776,11.5151,11.5824,12.262,12.0339,12.5773,11.2358,11.7603
63,4.45157,2.50964,6.14267,1.07108,0.468179,70.0635,1265,11.9326,11.743,10.4097,11.0717,12.7838,11.0153,12.3722,9.61804,11.1329
64,0.210472,5.06739,3.58127,3.58354,2.25251,24.1161,182,16.103,9.81607,15.3424,15.9166,16.2786,9.64826,9.97542,15.1664,15.4967
65,0.0148268,2.9217,1.43972,2.76003,2.15444,7.29296,3,15.6747,9.68919,15.3147,15.6302,15.9204,9.5978,9.72206,15.1457,15.3708
