time,Flow,RR,Inspiration
7.41,18.812,95,1
7.42,43.543,95,1
7.43,59.241,95,1
7.44,69.121,95,1
7.45,76.221,95,1
7.46,83.794,95,1
7.47,88.938,95,1
7.48,91.86,95,1
7.49,90.779,95,1
7.5,89.856,95,1
7.51,89.769,95,1
7.52,91.772,95,1
7.53,96.424,95,1
7.54,97.763,95,1
7.55,99.385,95,1
7.56,98.515,95,1
7.57,93.839,95,1
7.58,85.908,95,1
7.59,73.313,95,1
7.6,47.705,95,1
7.61,3.005,95,1
7.62,-10.205,95,0
7.63,-5.733,95,0
7.64,-5.579,95,0
7.65,-5.632,95,0
7.66,-8.731,95,0
7.67,-10.167,95,0
7.68,-10.432,95,0
7.69,-10.506,95,0
7.7,-10.539,95,0
7.71,-10.532,95,0
7.72,-10.531,95,0
7.73,-10.524,95,0
7.74,-10.514,95,0
7.75,-10.497,95,0
7.76,-10.479,95,0
7.77,-10.443,95,0
7.78,-10.45,95,0
7.79,-10.538,95,0
7.8,-10.188,95,0
7.81,-7.708,95,0
7.82,-5.603,95,0
7.83,-5.544,95,0
7.84,-5.554,95,0
7.85,-5.549,95,0
7.86,-5.593,95,0
7.87,-5.554,95,0
7.88,-5.544,95,0
7.89,-5.539,95,0
7.9,-5.559,95,0
7.91,-5.544,95,0
7.92,-6.928,95,0
7.93,-10.493,95,0
7.94,6.587,99,1
7.95,38.519,99,1
7.96,62.343,99,1
7.97,80.865,99,1
7.98,94.802,99,1
7.99,99.545,99,1
8,100.304,99,1
8.01,101.782,99,1
8.02,103.223,99,1
8.03,105.874,99,1
8.04,106.725,99,1
8.05,107.01,99,1
8.06,107.579,99,1
8.07,106.678,99,1
8.08,106.56,99,1
8.09,105.709,99,1
8.1,100.419,99,1
8.11,85.758,99,1
8.12,56.098,99,1
8.13,6.022,99,1
8.14,-10.335,99,0
8.15,-5.781,99,0
8.16,-5.569,99,0
8.17,-6.683,99,0
8.18,-9.988,99,0
8.19,-10.196,99,0
8.2,-7.939,99,0
8.21,-5.642,99,0
8.22,-4.358,99,0
8.23,-4.525,99,0
8.24,-5.141,99,0
8.25,-5.584,99,0
8.26,-5.767,99,0
8.27,-5.872,99,0
8.28,-5.777,99,0
8.29,-5.392,99,0
8.3,-5.192,99,0
8.31,-5.642,99,0
8.32,-5.975,99,0
8.33,-6.247,99,0
8.34,-6.527,99,0
8.35,-6.64,99,0
8.36,-6.782,99,0
8.37,-6.777,99,0
8.38,-6.602,99,0
8.39,-6.765,99,0
8.4,-7.533,99,0
8.41,-8.173,99,0
8.42,-8.476,99,0
8.43,-9.045,99,0
8.44,-10.232,99,0
8.45,-10.498,99,0
8.46,-9.901,99,0
8.47,-7.367,99,0
8.48,-5.579,99,0
8.49,-5.569,99,0
8.5,-5.549,99,0
8.51,-5.549,99,0
8.52,-5.539,99,0
8.53,-5.549,99,0
8.54,-5.549,99,0
8.55,-9.577,99,0
8.56,-4.643,100,0
8.57,26.537,100,1
8.58,55.724,100,1
8.59,73.493,100,1
8.6,81.787,100,1
8.61,85.051,100,1
8.62,86.597,100,1
8.63,89.266,100,1
8.64,91.506,100,1
8.65,93.348,100,1
8.66,98.378,100,1
8.67,103.177,100,1
8.68,107.057,100,1
8.69,107.01,100,1
8.7,103.13,100,1
8.71,97.603,100,1
8.72,90.669,100,1
8.73,84.432,100,1
8.74,75.916,100,1
8.75,58.985,100,1
8.76,25.296,100,1
8.77,-7.04,100,0
8.78,-9.51,100,0
8.79,-6.341,100,0
8.8,-7.581,100,0
8.81,-9.978,100,0
8.82,-10.326,100,0
8.83,-8.707,100,0
8.84,-7.375,100,0
8.85,-6.945,100,0
8.86,-7.273,100,0
8.87,-7.398,100,0
8.88,-7.202,100,0
8.89,-6.866,100,0
8.9,-6.874,100,0
8.91,-6.824,100,0
8.92,-6.743,100,0
