label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,14.1627,1.99357,2.05356,1.5375,3.56332e-10,492.52,16980800,22.653,10.3751,10.0523,20.4235,24.3828,8.10576,12.1212,8.68224,11.3764
2,11.7305,0.548219,0.68438,0.4425,1.81522e-07,223.929,14064640,20.1188,10.0399,8.59946,18.6264,21.9492,8.18064,11.934,7.17808,10.3482
3,9.22732,1.17865,1.08723,1.0125,2.43532e-06,589.555,11063360,23.1826,8.16252,11.7617,21.4344,24.3828,6.70176,9.594,10.3578,13.1281
4,8.8433,1.42666,1.30333,1.2075,0.00315115,752.276,10602928,20.6676,7.29883,11.425,19.2442,22.23,5.67216,9.33192,9.84368,12.9758
5,8.52996,1.34061,1.52815,1.0275,6.08437e-14,586.005,10227232,22.4846,10.3076,7.99193,21.191,24.3079,8.81712,11.8778,6.7592,9.282
6,8.22567,1.48372,1.53479,1.2775,7.85353e-05,1106.23,9862400,22.3611,6.43666,10.9196,19.8432,24.3828,4.84848,7.87176,9.7104,12.8234
7,7.62132,1.4512,1.1603,1.3225,4.27021e-07,261.875,9137792,22.4361,8.44249,13.8995,20.6482,23.8586,7.26336,9.70632,12.4331,15.3748
8,7.50478,2.82082,2.85798,2.1425,9.87914e-08,971.031,8998064,22.9499,10.2327,12.2262,20.7043,24.1207,8.91072,12.1212,11.0813,13.9849
9,7.15069,0.41275,0.935277,0.2375,0,197.996,8573528,22.107,8.13184,2.32709,19.4501,23.7463,6.552,9.72504,0.7616,3.74136
10,7.06889,1.0443,1.01347,0.8575,8.44195e-09,234.294,8475448,20.4215,7.9725,9.34422,19.1506,22.099,5.76576,9.5004,7.7112,10.5386
11,6.99159,0.762823,1.06478,0.5525,3.91391e-13,310.226,8382760,21.6848,10.2282,6.40185,19.6373,23.6714,8.38656,11.5222,5.236,7.77784
12,6.68394,0.674453,0.749772,0.5225,5.35674e-09,235.841,8013904,19.4299,9.40104,10.9518,18.4205,20.9945,7.63776,11.1852,9.6152,12.4617
13,6.59423,1.24527,1.58155,1.0675,1.0364e-11,635.296,7906344,20.8136,4.25261,13.2807,18.9821,22.8478,2.28384,5.81256,12.1666,14.7084
14,6.55731,2.89696,3.26348,2.1625,4.53729e-12,763.393,7862072,21.9026,10.741,13.456,20.3486,23.5966,9.2664,12.0463,12.6426,14.3086
15,6.07649,1.79629,2.34624,1.5025,1.64589e-05,878.611,7285584,21.5317,9.45224,14.8185,19.5437,23.5217,7.88112,10.399,13.6326,15.7366
16,5.96066,1.37176,1.2258,1.1525,5.12016e-05,265.771,7146704,23.392,8.43066,8.89618,21.6778,24.57,7.15104,9.66888,7.74928,10.5386
