label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
6,68.6168,1.73626,4.10919,1.2175,0,4110.93,82622728,20.2943,9.64745,13.3039,17.7647,22.6682,4.61396,13.4589,10.6624,16.7838
1358,10.4328,1.09821,5.63687,0.6525,0,3618.74,12562384,20.4607,5.02703,11.0755,18.7174,21.9583,2.82068,7.76154,8.87264,12.4998
8,53.783,1.59356,5.79039,1.0825,0,4069.25,64761152,12.9428,8.20057,16.4645,10.1246,15.5698,4.12828,11.8898,14.0896,18.9543
1359,2.57446,1.59589,1.98091,1.2725,0,414.782,3099960,19.5816,6.20825,9.53017,18.4745,20.8749,5.17436,7.3319,8.03488,10.2721
974,5.34361,0.739095,0.953806,0.5825,0,257.972,6434344,11.7008,11.605,5.10267,10.4421,13.6644,9.9938,13.0293,3.7128,6.21656
14,81.1307,2.15959,5.54417,1.6975,0,7123.47,97691048,20.7828,8.0417,10.0796,16.1582,23.4154,4.27772,12.1513,6.41648,12.595
18,22.6779,0.80344,1.35761,0.5475,0,540.104,27306848,13.0075,11.3778,13.7655,11.0959,14.916,7.78956,13.2348,11.7096,16.0412
20,0.218258,0.0747834,0.0634814,0.0625,1.45479e-05,7.77963,262808,14.3939,9.5938,13.7846,13.9726,14.916,9.0598,9.9471,13.2138,14.2895
411,2.88859,0.864358,1.61481,0.6175,0.000449687,288.124,3478208,14.8328,5.7697,12.6313,13.2815,15.9621,4.55792,7.27586,11.7858,13.6802
798,12.3284,1.09007,1.37769,0.8325,4.1956e-13,340.744,14844816,13.4753,13.0105,6.29303,11.7124,15.5324,11.2827,14.9907,4.98848,7.60648
31,17.5276,2.06889,4.82501,1.5875,5.11925e-19,4175.44,21105360,19.2625,12.1087,10.0721,16.9241,21.9957,10.0872,13.4963,8.39664,11.8524
227,10.8824,2.19853,2.66238,1.6825,5.44225e-10,545.26,13103656,19.0905,11.6968,6.82242,16.5505,21.1738,9.93776,13.048,5.236,8.10152
38,8.41874,1.46192,7.09051,1.0925,1.71956e-08,4519.54,10137168,11.5451,10.514,14.9256,9.75096,13.3842,9.1532,12.3755,13.0043,16.7076
41,8.26164,0.493488,0.942988,0.3775,7.39595e-06,432.097,9948000,14.7376,7.91055,11.9993,12.7584,17.2883,6.3512,9.61086,10.929,14.6322
427,7.08449,1.34706,1.87243,1.0975,0,525.574,8530568,17.4524,7.62782,8.11075,16.345,19.3805,6.14572,9.03178,5.75008,10.0626
620,42.881,1.15526,1.7691,0.8775,0,1154.71,51633792,9.88785,12.6338,6.00943,6.83688,13.0667,9.9938,14.9907,2.32288,8.93928
43,29.0373,0.771827,1.26588,0.5875,0,731.405,34964336,14.3569,10.127,8.13857,10.7223,16.4104,8.33128,12.0953,4.8552,12.0618
44,60.609,0.511659,0.949412,0.4125,0,1402.39,72980416,11.1818,8.66332,10.1282,6.87424,15.2896,4.81944,12.1513,7.69216,12.4807
1209,7.03937,0.713989,2.31778,0.5625,0,1955.08,8476240,14.8559,3.09148,11.9389,13.7111,16.5411,1.55044,5.4639,10.7005,13.1471
58,49.8007,2.31135,4.66061,1.7875,0,6404.1,59965912,20.6472,8.91503,7.63576,15.934,23.4154,5.62268,12.5623,4.30304,10.1959
1224,0.027499,18.9373,86.8396,3.9975,0.0010754,2687.85,33112,18.5164,6.8337,10.6086,18.3251,18.6893,6.61272,7.08906,10.2435,11.0337
77,35.1842,1.24388,2.65671,0.9425,5.40195e-13,2703.62,42365976,10.822,7.69693,13.4493,8.44336,13.9633,4.0162,10.3581,10.5482,15.5081
463,11.6126,1.1278,1.66793,0.8675,9.51494e-21,1174.49,13982936,12.0419,13.667,8.51159,10.218,13.571,11.7684,14.9533,6.7592,10.2721
78,43.1923,1.01227,9.82068,0.6875,0,13535.7,52008672,10.0144,10.8445,11.8391,7.58408,12.6931,6.071,14.0567,8.9488,14.6894
80,35.0851,0.561273,1.89212,0.4425,0,2179.41,42246600,11.7397,6.19155,11.5418,8.48072,15.3643,2.67124,10.0218,9.76752,13.7564
274,16.2929,0.974852,3.23944,0.7325,0,2034.52,19618592,13.4873,4.77627,14.0102,10.797,16.4291,2.67124,7.35058,11.9571,16.4601
83,13.4912,0.434601,0.858096,0.3275,0,364.502,16244976,14.7187,7.58863,10.3919,12.0486,17.6993,4.80076,10.3207,8.68224,12.595
89,21.7264,1.2522,1.88982,0.9475,3.33764e-21,1955.03,26161208,13.753,12.7781,10.4918,11.0772,15.906,11.0212,14.6171,8.13008,12.5569
864,30.251,1.43118,2.2184,1.0475,0,887.999,36425828,19.5859,9.66545,3.22253,17.7086,22.1825,7.45332,12.1513,0.00952,5.58824
286,4.00038,1.18089,2.00382,0.8925,0.000339544,436.593,4816936,17.0134,8.1727,11.0506,15.934,18.4091,6.65008,9.53614,9.93888,12.2142
865,27.4524,0.889105,2.33432,0.6125,0,2587.69,33055932,17.0332,9.63218,3.51929,15.355,18.5586,7.97636,11.9645,0.00952,5.7596
1061,2.43331,0.587966,1.04362,0.4475,0,161.707,2929992,16.0685,4.73022,11.3726,14.7572,17.6619,3.79204,6.32318,10.7386,12.2903
679,7.36115,1.87084,2.2725,1.4725,1.27217e-08,411.621,8863704,18.2828,11.3181,5.44742,16.2516,20.109,9.4334,12.5997,4.01744,6.40696
1073,4.41833,1.54779,1.7895,1.2725,3.66139e-14,262.331,5320192,18.4594,6.89507,8.9678,17.2043,19.9783,5.58532,8.09778,7.12096,10.1007
1465,0.146006,0.932854,1.00591,0.7775,0.107531,63.8949,175808,16.1318,2.8488,11.9297,15.2989,17.307,2.01744,3.57722,11.5192,12.3284
1466,2.65785,0.657645,1.08885,0.5025,0,189.326,3200368,16.6788,3.6657,11.5752,14.9627,18.2597,2.95144,4.45518,10.8147,12.7282
115,6.44935,1.01357,1.44799,0.7325,6.12189e-08,727.751,7765784,17.275,10.5202,7.94114,15.8967,19.0256,9.20924,12.7491,7.10192,9.68184
116,9.56437,1.46389,1.96435,0.9975,2.48184e-31,581.965,11516640,18.2248,11.6794,8.56252,16.0835,20.4639,9.78832,13.3095,7.50176,10.2721
311,10.7942,0.989647,1.20395,0.7375,0,189.697,12997496,14.1558,12.3715,7.91442,12.665,15.8687,10.4048,14.5237,6.20704,9.5676
508,9.47867,0.754522,0.983806,0.5775,0,187.206,11413440,16.9637,9.68239,6.48993,15.6538,18.4091,7.939,11.7404,5.44544,7.89208
