label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,12.1941,7.31556,25.5076,0.654406,2.1137e-05,397.647,3157,15.1922,9.67709,22.4397,14.4492,15.8986,8.84145,10.4224,20.621,24.308
2,20.6447,8.43576,33.8509,1.19636,0.00513111,822.764,5126,15.8217,9.09846,18.0267,14.9859,16.9121,8.32493,9.8864,15.1744,21.3349
3,21.8502,12.9948,64.6954,2.13151,0.00964454,1675.55,5331,14.8573,9.79971,18.3143,13.9789,15.6883,8.88778,10.7111,15.8469,21.1768
4,1.81986,5.81198,30.3489,2.09052,0.287665,502.161,572,17.0123,8.42125,15.2513,16.4385,17.536,7.94861,8.87064,14.7415,15.8162
5,8.11161,8.39815,37.0795,1.55213,0.0223817,945.447,2276,16.5897,9.34915,14.5816,15.611,17.6259,8.33598,10.2054,13.5246,15.6773
6,2.49195,13.6476,47.8156,2.15486,0.115292,569.854,504,13.8598,10.2515,15.3649,13.2475,14.3183,9.84051,10.7658,14.5522,16.1859
7,10.4453,7.64623,33.1558,1.8974,-0.000105141,663.432,2599,14.6193,9.89827,14.7252,13.6514,15.417,9.05329,10.7189,13.4074,15.9026
8,0.532348,6.27257,9.61846,3.148,1.35646,94.8842,152,17.5071,8.25842,15.0775,17.1825,17.832,7.84413,8.60764,14.6997,15.5798
9,0.670009,3.31192,4.12317,1.33317,1.07426,44.4427,320,17.7046,8.85554,15.2747,17.4415,17.9908,8.50751,9.22107,15.0102,15.5492
10,3.35346,19.5942,102.707,2.18119,0.350059,1615.38,961,17.0717,9.78069,13.3579,16.216,17.8801,9.10981,10.4101,12.5966,14.0058
11,0.350131,2.57538,1.89951,2.04389,0.812546,22.5579,306,17.2636,10.145,14.1839,16.9878,17.5027,9.90677,10.3485,13.9484,14.4364
12,0.0207442,1.41202,0.544383,1.25114,0.821456,2.05251,4,13.3624,9.96922,14.8932,13.3329,13.3764,9.95585,9.97779,14.8278,14.9593
13,0.80876,5.31687,20.6383,1.56923,0.510431,237.066,572,13.5761,10.8727,14.8114,13.2381,13.9084,10.4182,11.2746,14.5211,15.1624
14,5.21889,9.43789,38.3075,1.73337,4.52535e-07,665.499,1471,13.5079,8.79303,13.1856,12.5629,14.3438,7.84877,9.76308,12.4454,14.2246
15,1.02845,3.38302,9.95307,0.784798,0.162572,92.8111,249,14.6758,9.90058,13.2563,13.6247,15.0027,9.03392,10.554,12.8267,13.4958
