label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
193,0.0971152,0.929596,0.319849,0.8775,0.526214,21.9716,122648,14.1114,7.39544,13.2256,13.7438,14.3914,7.04064,7.81584,12.8901,13.4898
967,5.77869,1.10297,1.04296,0.9725,3.45218e-05,210.266,7297984,13.6337,3.31519,12.892,11.7374,15.1757,1.71456,4.6968,11.9952,14.042
4,100.311,1.85911,1.81996,1.6175,0,820.751,126684592,21.1214,4.30214,12.8239,18.4133,23.5114,0.20064,8.67312,7.59696,17.2026
778,3.1107,1.32809,0.981871,1.2125,1.47425e-05,72.0189,3928544,18.4474,4.42847,8.20425,17.0635,19.4074,3.52032,5.46288,6.2832,9.41528
392,11.8936,1.48344,1.29137,1.2375,8.83195e-05,197.959,15020552,20.6133,9.53688,6.62792,19.2158,22.6358,7.58784,10.9714,5.02656,8.0444
10,25.6563,1.46342,1.39716,1.2125,2.54339e-06,470.852,32401608,21.6018,8.14324,11.5268,18.1032,23.5114,5.59968,10.2053,9.57712,14.6132
12,90.591,1.46198,1.30803,1.2975,0,551.171,114408512,14.7327,8.24769,16.6821,10.1688,19.0061,3.77568,12.0293,12.6806,19.5826
597,11.2898,0.818072,0.66797,0.7125,1.85595e-05,108.078,14258096,15.725,13.5295,7.90046,13.835,17.5286,11.7283,15.349,6.54976,9.14872
792,9.87475,0.870176,0.804267,0.7775,0,95.9694,12470952,12.0998,4.93149,11.6467,10.4242,14.1907,3.42912,6.17424,10.2435,13.2233
213,14.9856,1.04835,0.765534,0.9175,1.69121e-05,202.072,18925464,15.9479,12.7931,9.86104,13.9262,18.0758,10.9075,14.5646,8.3776,11.4906
22,70.3163,1.85509,1.60762,1.6625,0,363.777,88803392,20.9661,4.62522,8.79467,18.1032,23.5114,0.29184,7.83408,4.03648,12.9758
27,15.0077,0.889254,0.81291,0.7525,0,346.452,18953464,17.5592,11.223,15.4327,15.5861,19.3162,9.576,13.3426,13.5374,17.5454
30,27.9424,1.06424,0.841002,0.9325,0,106.573,35288872,17.4608,11.2845,11.6699,14.3458,19.1702,8.86464,13.6526,9.02496,14.1372
422,7.97516,1.17508,0.867413,1.0825,1.58736e-06,204.667,10071936,15.981,4.88005,9.85966,13.3243,17.7475,2.75424,6.4296,7.88256,11.1479
1007,32.0255,0.720903,0.802807,0.5625,0,208.428,40445432,14.6282,11.1462,4.1471,12.5035,16.9814,9.12,13.7803,0.99008,8.02536
1008,27.0734,0.60891,0.625302,0.4925,0,368.756,34191328,13.1572,13.5939,3.72833,10.4606,16.033,11.6371,15.3854,0.99008,5.83576
46,10.5777,1.01172,0.836765,0.8125,0.000160708,171.515,13358768,19.3719,8.68369,9.87751,17.5195,21.1219,6.98592,10.5701,8.39664,11.2812
434,21.9019,0.842908,0.715017,0.7675,0,260.714,27660176,11.5828,6.70916,11.9514,8.72784,14.3002,4.7424,9.42096,10.1293,14.2705
823,4.31078,0.493114,0.417314,0.4375,1.46354e-05,39.7988,5444136,13.6266,11.6992,5.96086,12.3576,14.7379,10.5427,13.3061,4.30304,7.26376
53,3.66037,0.811283,0.65488,0.7325,0.00146235,148.821,4622728,16.2101,10.9335,14.0738,14.9294,17.2368,9.52128,11.9563,13.0805,15.1082
57,13.261,0.860998,0.705121,0.7525,9.1854e-08,239.226,16747456,16.4445,8.44611,8.84712,14.893,18.4224,7.09536,9.36624,5.75008,11.7382
59,38.8777,0.846915,0.67741,0.7575,1.15628e-07,216.535,49099128,13.5742,8.95367,12.4107,8.38128,18.5136,5.50848,11.8834,10.0912,14.8988
639,7.72203,1.01537,0.806642,0.8525,0.000837762,92.533,9752248,18.3922,9.40807,6.30289,16.5893,19.5715,7.69728,10.9714,5.236,7.22568
62,53.2858,0.750432,0.614636,0.6675,0,155.296,67295304,12.8253,9.44333,10.5224,7.83408,17.5834,5.1072,12.8318,8.41568,12.5759
263,14.3258,0.952021,0.760758,0.8075,1.43691e-05,238.97,18092256,18.6393,8.86874,7.82266,16.4251,20.6477,7.0224,10.8619,4.60768,9.22488
1045,4.28788,0.756769,0.736122,0.6475,0,94.8356,5415224,12.7293,3.71505,11.1612,11.4821,13.8077,2.51712,4.80624,10.1293,12.4046
1046,13.8704,0.814713,0.866113,0.6675,0,95.2724,17517080,14.8232,2.47312,10.9913,11.4821,17.5834,0,4.36848,9.65328,13.3946
469,13.4592,0.734434,0.625418,0.6425,1.22738e-05,190.526,16997800,16.0636,11.1679,6.82465,14.4917,17.5286,9.12,12.996,4.72192,8.63464
857,2.58026,1.07807,0.922153,0.9325,0.00197045,103.573,3258640,18.6378,9.84294,5.28123,17.7384,19.7539,8.1168,11.0078,4.64576,5.77864
86,16.6538,1.71943,1.56558,1.4475,0.000489985,366.053,21032360,21.6255,8.72642,8.84965,19.7813,23.4749,6.76704,10.789,7.2352,10.5006
671,3.90936,1.15397,0.826378,1.0725,1.29322e-09,100.763,4937184,17.1021,3.73018,9.70723,14.5829,18.4042,1.98816,4.98864,8.45376,10.9004
96,15.7447,1.78059,1.34809,1.6025,0.00426871,458.426,19884136,14.7657,11.5904,15.88,12.3941,16.4707,9.64896,13.5614,13.6136,17.9262
875,2.63814,1.81837,1.11239,1.6125,0.034071,118.547,3331744,18.4491,4.33195,10.1422,17.629,19.2614,3.44736,5.44464,9.21536,11.5668
297,5.78166,1.64021,1.18803,1.4375,0.00247896,89.6398,7301728,17.7956,5.76001,10.6028,16.5893,18.7325,4.26816,7.30512,8.72032,11.9286
105,18.3573,0.866892,0.990321,0.7825,0,767.741,23183712,15.1997,6.80031,10.2106,12.1387,18.4589,3.66624,8.67312,8.45376,11.9666
108,12.1971,1.15227,1.05704,1.0325,6.65672e-05,548.034,15403824,14.3481,6.84336,14.5564,12.3576,16.5072,4.52352,9.00144,13.0995,15.9841
688,5.6471,1.24712,0.757419,1.1825,0.00343224,101.619,7131800,14.5987,5.23777,11.6195,12.7224,17.1456,4.1952,6.63024,10.453,13.4327
882,3.9348,1.38515,0.862679,1.3125,3.14609e-08,142.367,4969304,14.7,4.1388,11.1853,13.452,16.7808,3.35616,5.48112,10.1102,12.8615
118,15.1204,0.818376,0.619574,0.7275,0.000294307,106.543,19095808,16.8688,10.5748,8.74541,15.1483,18.4954,8.99232,12.8866,6.8544,10.71
314,10.5358,1.0474,0.730977,0.9575,0.000483329,169.345,13305744,15.404,6.54702,12.1491,13.3973,17.5286,4.97952,8.14416,10.8338,13.9278
513,32.2432,1.40235,1.38796,1.1575,0,276.094,40720400,20.2165,7.29387,4.13162,17.2824,22.417,4.7424,10.1688,0.41888,7.01624
721,38.7662,0.845414,0.757253,0.7275,1.02534e-05,199.861,48958336,12.4164,13.799,6.46176,9.4392,15.3763,10.7251,15.5314,3.69376,8.4252
921,8.86326,0.75828,0.631303,0.6525,6.05129e-07,60.9236,11193520,15.3483,13.4333,6.03961,13.7438,16.872,11.6006,15.3125,5.00752,7.33992
343,65.9995,0.876453,0.789506,0.7625,0,329.256,83351576,12.0026,12.1853,8.84505,7.94352,15.6499,8.68224,15.3854,5.82624,11.4145
156,46.5483,1.75009,1.57627,1.5075,0,287.812,58786456,20.748,5.95487,6.34255,18.1762,23.2925,2.77248,8.56368,2.17056,9.4724
550,5.84978,1.57578,1.00865,1.4925,0.000291097,121.322,7387760,17.9735,5.52161,8.04515,16.644,19.1155,4.32288,6.83088,5.78816,9.51048
174,50.3281,0.965962,0.808303,0.8375,0,299.233,63559992,15.2688,13.4486,12.5035,10.5701,18.5683,10.0138,15.276,8.24432,16.0412
175,54.2244,1.29867,0.961546,1.1375,3.65965e-08,163.348,68480688,12.4537,11.126,13.1756,9.58512,15.7411,7.53312,14.5099,9.7104,16.1935
947,12.758,0.980172,0.963519,0.8075,0,100.316,16112248,16.8831,9.43939,4.51492,15.1666,18.4224,7.82496,11.0078,2.68464,6.54024
755,3.25951,1.09809,1.03734,0.8875,3.99647e-05,74.0682,4116480,18.3199,8.10404,4.49793,17.3554,19.4803,6.89472,9.2568,3.69376,5.77864
948,30.8915,1.12389,1.15147,0.9275,0,176.333,39013272,18.4615,9.35061,2.63255,15.203,20.8483,7.07712,11.0078,0.00952,5.2836
563,14.6155,1.25415,1.17669,1.0975,0,230.343,18458128,13.3142,4.63224,13.9785,10.8619,15.2486,1.824,6.5208,12.376,16.0983
184,19.4779,1.27209,1.03087,1.1425,0,181.845,24598896,17.0189,6.94174,7.58114,14.6558,19.0243,5.16192,8.47248,4.68384,10.729
963,13.4868,0.89619,0.867528,0.7675,0,125.873,17032616,19.0077,1.88118,9.85815,16.9906,20.2282,0.07296,4.00368,7.34944,11.3764
964,3.68165,1.0553,1.0006,0.8775,4.95926e-06,182.362,4649608,19.1288,3.23858,8.27916,17.6837,20.0275,2.11584,4.4232,6.51168,9.35816
