label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,14.023,0.678612,0.826953,0.5375,1.76894e-06,519.684,16459636,16.5748,11.1663,10.652,15.382,18.3429,8.68428,13.9346,9.15824,14.2324
2,7.86904,1.14834,1.39892,0.9275,2.91657e-13,905.104,9236400,20.2085,10.1198,12.4957,18.5794,21.5404,8.05992,11.9291,11.1574,13.9658
3,6.89197,1.53578,2.81902,1.2575,6.09874e-08,2590.49,8089552,20.29,6.97038,11.339,18.201,21.6539,5.73276,8.14506,9.36768,12.7854
4,6.86887,0.773497,0.993012,0.6025,1.28622e-10,294.409,8062432,19.02,13.0378,6.99485,17.4442,20.935,10.8979,14.6535,6.01664,7.91112
5,6.66841,0.963883,1.16988,0.7425,8.47973e-11,427.375,7827136,20.2794,12.6512,8.86595,18.7119,21.8053,10.8979,14.3887,7.65408,9.91032
6,6.58196,1.69191,6.15479,1.2675,0.0106757,3134.37,7725664,17.4506,8.71543,13.1152,15.4576,19.3646,6.9058,9.92354,11.881,14.1943
7,6.29834,1.51065,3.07751,1.2525,1.87052e-17,2351.33,7392760,19.7561,5.5404,12.9397,17.728,21.1999,4.40836,7.40718,11.6144,14.1182
8,6.23436,0.735575,0.877422,0.5875,1.0481e-08,189.873,7317664,17.7416,12.9877,9.7663,15.9117,19.4025,10.8222,14.4643,8.54896,10.8433
9,6.1587,0.904269,1.62969,0.7425,5.63382e-10,2174.5,7228856,18.9416,12.1391,12.8287,17.5578,20.8215,10.652,13.5183,11.8238,13.7374
10,5.77183,0.688255,0.867814,0.4825,6.252e-20,280.807,6774764,16.9656,11.4983,14.3527,15.7414,17.8889,9.2708,13.0264,13.2518,16.9361
11,5.68329,0.720183,1.07964,0.5125,2.61113e-15,232.625,6670844,16.3249,12.1945,5.10745,15.3063,18.3051,10.7655,13.5562,3.50336,6.19752
12,5.56717,0.634516,0.773496,0.4775,0.000422981,187.576,6534540,16.6872,11.3405,8.75211,15.609,18.0213,9.2708,13.367,7.55888,9.53904
13,5.34259,1.53042,1.15471,1.2875,0.084587,316.895,6270944,18.4605,7.76012,11.4323,16.9902,19.6863,6.28144,9.75326,9.95792,13.4327
14,5.3247,1.40322,1.18723,1.1825,4.01429e-15,198.555,6249936,20.1568,8.43642,14.3878,18.2578,21.1999,7.01932,9.92354,13.309,16.0983
15,5.25732,1.22407,1.71706,0.9625,0.0158162,847.121,6170856,16.9638,8.78201,11.5353,15.5522,18.2483,7.15176,9.96138,10.3578,12.4807
16,5.20132,1.29684,1.90164,1.0375,3.27143e-15,1176.7,6105120,18.8391,7.86398,16.9355,17.6902,20.2539,6.622,9.43162,15.4034,18.5354
17,5.18755,0.708188,0.86866,0.5625,3.51866e-05,207.208,6088956,18.2687,13.5798,8.53732,16.1955,20.1025,11.7115,14.5779,7.53984,9.4724
18,5.10826,0.987148,5.81315,0.6775,0.000544028,3535.68,5995888,16.8426,11.5257,12.0782,15.5712,18.6646,9.78164,13.594,10.6814,14.2134
19,5.09318,1.90164,8.80924,1.2075,3.82944e-05,3168.17,5978192,17.4046,7.19748,16.1306,16.4415,18.6078,5.75168,8.67482,14.9274,17.5073
20,5.07985,0.672099,0.867307,0.4925,6.62228e-10,160.997,5962540,16.5679,10.4617,7.6793,15.382,18.2673,9.28972,11.8912,6.64496,9.35816
21,4.9204,0.723204,1.02327,0.5575,2.2118e-13,322.687,5775384,17.7142,13.3792,5.89213,15.9874,18.7403,11.6736,14.6157,5.10272,6.78776
22,4.88216,0.714905,0.79564,0.5775,1.05459e-08,138.527,5730504,18.797,13.3457,10.4165,17.4442,20.3674,11.6736,14.4643,9.12016,11.5097
23,4.72802,0.923571,0.888256,0.7775,1.49463e-22,221.789,5549584,18.5208,9.81697,15.486,16.5172,20.5566,8.7032,10.6614,14.1658,16.917
24,4.71814,1.39088,1.40696,1.1525,2.14067e-13,222.993,5537984,20.4311,9.52458,9.54077,19.393,21.9945,8.07884,10.9641,7.82544,10.8242
25,4.63077,1.47984,3.08198,1.2025,1.09699e-05,1852.7,5435432,19.5852,11.1548,10.5482,18.2578,21.5783,9.3654,12.1561,9.34864,11.8524
26,4.54993,1.0305,1.33002,0.7675,3.48025e-14,138.11,5340540,20.7412,11.56,6.55732,18.9957,22.4486,10.1979,13.0075,5.57872,8.4252
27,4.49962,1.14232,2.34408,0.9275,0.0035011,2649.29,5281488,17.7924,9.53965,10.0343,16.5928,19.0997,8.19236,10.8885,8.91072,11.8524
28,4.45066,0.98537,1.22733,0.8075,0,337.598,5224024,20.2152,5.70222,10.7254,17.1037,21.5404,4.27592,7.36934,9.3296,11.8905
29,4.35696,0.667939,0.85555,0.5175,3.83984e-07,171.352,5114048,17.4027,13.5221,7.66135,15.9496,18.8538,12.3737,14.6157,6.45456,9.07256
30,4.07659,1.01905,2.08221,0.8875,4.54683e-12,2477.64,4784960,18.9245,10.6071,14.6298,17.7848,20.5944,9.2708,12.0426,13.1757,16.0222
31,3.99365,1.11296,1.36629,0.8875,3.04657e-13,139.421,4687604,21.3495,10.5107,7.02962,19.9984,22.4864,9.13836,11.702,5.84528,8.6156
32,3.96919,1.7938,2.73145,1.5075,3.08678e-09,1193.71,4658896,20.033,6.70598,13.7668,18.6551,21.2377,5.52464,7.65314,12.376,14.8798
33,3.92129,1.47232,1.16096,1.2525,0.0176294,366.372,4602664,17.2365,7.59508,12.5801,15.8739,18.7592,6.5274,8.80726,11.6715,13.8706
34,3.92626,1.18945,1.03935,1.0425,1.35624e-15,203.266,4608504,18.7949,9.00068,15.9204,17.0091,20.4431,7.62476,9.92354,13.8992,17.5073
35,3.89174,0.669067,0.873805,0.4875,3.91407e-10,90.5662,4567984,16.7295,11.2143,6.33944,15.2874,19.1376,9.98976,12.4399,5.236,7.58744
36,3.65291,0.71759,4.34854,0.5075,7.48216e-17,2082.64,4287656,17.47,8.22609,18.2347,16.6874,18.8538,7.11392,9.43162,17.4406,19.297
37,3.63861,1.41623,1.97086,1.0425,4.21571e-30,205.099,4270872,17.9685,4.12365,16.5703,16.328,19.6106,2.66772,5.04218,15.4034,17.6691
38,3.53939,1.08087,1.64339,0.7725,6.15098e-37,413.112,4154404,18.4111,3.58538,15.3519,16.9334,19.9133,2.21364,5.13678,14.6798,16.1745
39,3.541,1.84802,3.3325,1.4775,8.14738e-13,1666.91,4156300,18.7783,6.51919,16.5933,16.7631,20.216,5.7706,7.18014,15.3653,17.6215
40,3.52915,1.60463,1.47466,1.3275,4.67528e-16,388.619,4142388,19.7469,7.38143,15.2736,18.4659,20.8593,6.56524,8.33426,14.3562,16.1269
41,3.52028,0.876589,0.945448,0.6875,1.77976e-06,94.1562,4131976,18.5302,12.9019,11.8648,16.8577,20.4052,11.0682,13.9346,10.9861,12.6902
42,3.44456,1.31777,1.72362,1.0125,3.66089e-12,740.43,4043104,19.0887,4.84562,14.7057,17.5956,20.5566,3.46236,5.9125,13.4613,16.0031
43,3.41542,1.33107,1.65542,1.0875,6.60695e-07,809.574,4008900,19.0682,9.73244,9.04494,17.501,19.9511,8.24912,11.2101,7.82544,10.1007
44,3.30018,0.882138,4.3137,0.6725,1.28129e-14,2351.24,3873628,16.9504,10.4434,14.8271,15.5522,17.9267,9.42216,11.0587,13.2899,16.2506
45,3.2488,1.1963,1.14585,0.9675,2.28065e-16,160.508,3813328,20.6914,8.82444,11.1833,19.2795,21.7296,7.62476,9.84786,10.5291,11.9476
46,3.23861,1.699,3.47897,1.2825,2.34248e-13,2406.73,3801360,18.4044,5.5852,16.3048,17.028,19.989,4.78676,6.42334,15.2891,17.4121
47,3.16149,0.945416,1.33864,0.6775,1.00849e-20,328.12,3710848,19.0439,3.65398,14.1253,17.9362,20.3295,2.13796,4.81514,13.3661,14.7846
48,3.1293,1.38924,3.20334,1.1125,0.000394007,2171.22,3673064,17.8054,6.42218,14.3672,16.5172,18.8159,4.99488,8.06938,13.4613,15.5081
49,3.06157,1.45682,2.44341,1.1775,2.65315e-14,1310.98,3593560,19.4721,5.93907,15.0646,18.1443,20.6323,5.25976,6.91526,13.823,15.965
50,3.03928,1.20985,1.0196,1.0475,5.518e-08,95.9108,3567400,20.6024,8.13863,12.5837,19.166,21.5026,7.13284,9.09106,11.6144,13.3946
51,3.01402,1.42604,4.38095,1.1425,0.0173813,2561.89,3537752,17.9674,6.56405,13.101,16.5361,19.0051,4.88136,8.06938,11.8048,14.061
52,2.94027,0.651252,1.15262,0.4475,1.23191e-16,183.008,3451184,19.9054,12.9219,4.8448,18.7497,21.3512,11.7493,14.1995,3.31296,5.60728
53,2.92114,0.587255,0.615455,0.4575,1.82814e-06,94.2001,3428728,16.765,11.92,13.0278,15.7604,17.7375,9.76272,13.4048,12.4712,14.1562
54,2.89833,1.43281,1.4105,1.2175,0.00629504,641.821,3401952,19.17,9.14915,10.2584,17.9172,20.1971,7.53016,10.7371,9.21536,11.4335
55,2.83977,0.98262,1.21044,0.7425,4.32212e-09,326.703,3333224,19.1678,11.5085,14.0216,17.9362,20.5566,9.2708,12.9129,13.1186,15.3748
56,2.82731,0.866254,7.44032,0.6125,1.3481e-24,3078.22,3318592,17.3347,8.9097,16.8654,16.4036,18.2673,7.79504,9.96138,15.6699,17.8786
57,2.74289,1.14711,1.48407,0.9325,1.93789e-25,220.801,3219504,21.124,7.53651,9.1388,19.8282,21.9945,6.30036,8.8451,8.03488,9.89128
58,2.73886,0.775904,7.91174,0.4825,2.60691e-13,2644.58,3214776,15.9675,8.68251,13.8436,15.3252,17.3213,6.96256,10.1884,12.5093,15.1654
59,2.72937,1.03487,1.13955,0.7975,2.8891e-07,205.149,3203636,20.1768,12.2887,10.4412,18.4659,21.4647,11.5601,13.5183,9.69136,12.157
60,2.72087,0.759734,1.0316,0.5975,2.70956e-13,383.211,3193664,19.2546,13.0801,5.95431,18.4659,20.0647,11.125,14.5022,5.27408,6.73064
61,2.71359,1.29456,1.5437,1.0275,0.00061606,249.289,3185112,19.451,11.9454,8.79722,17.7091,20.7458,10.4817,12.7615,7.57792,9.73896
62,2.69067,0.725732,0.959566,0.5375,3.50298e-05,164.412,3158208,17.0814,11.7248,7.74626,15.7225,18.2673,10.7844,12.6291,7.0448,9.39624
63,2.58804,0.891047,0.781643,0.8075,6.6065e-11,90.1031,3037752,20.0659,9.74985,13.7995,17.9551,21.162,8.66536,10.7749,13.0805,14.6132
64,2.57415,1.12006,2.30492,0.8825,8.78316e-21,1021.63,3021448,20.874,6.42945,9.77626,19.2416,21.7675,5.2976,7.38826,8.52992,10.5577
65,2.52532,0.683075,1.11134,0.4775,5.65216e-12,93.6576,2964132,20.915,12.5088,5.38738,20.0174,22.0323,11.4466,13.7832,3.92224,6.69256
66,2.41638,0.697977,0.874967,0.5375,0.000882802,124.338,2836264,16.8751,12.7488,6.85192,15.7982,18.3619,11.825,14.0481,5.95952,7.60648
67,2.41424,1.08691,1.36976,0.9225,3.42633e-19,485.129,2833752,19.8563,4.18398,12.7774,18.8254,20.8215,3.23532,4.94758,11.881,13.8326
68,2.41344,0.966188,1.05634,0.7675,1.87311e-11,123.759,2832804,20.6188,12.4659,7.47564,19.2795,21.7675,11.4844,13.5183,6.62592,8.29192
69,2.39467,1.6308,3.09523,1.2775,2.90219e-14,1620.5,2810780,17.6817,4.90565,17.4547,16.4793,19.1565,3.82184,5.78006,15.4224,18.3926
70,2.39717,1.49107,1.50546,1.1875,3.18103e-14,117.271,2813716,21.1284,10.1271,8.38002,19.5633,22.1837,9.13836,11.2669,7.7112,9.33912
71,2.29976,1.32294,1.34314,1.0525,1.10868e-11,139.911,2699380,20.948,10.6787,9.33215,19.5254,21.9567,9.89516,11.3993,8.58704,10.0436
72,2.29403,1.36105,1.52802,1.1125,1.07429e-05,437.703,2692644,20.432,7.78366,9.75791,19.3362,21.8053,6.92472,9.01538,8.4728,10.6148
73,2.29363,1.19469,1.12727,1.0275,1.62045e-12,113.451,2692176,18.1764,11.3204,14.1034,17.2172,18.5889,9.28972,12.9886,12.852,15.9841
74,2.27019,0.8946,1.11258,0.6875,6.7252e-07,131.242,2664668,18.8036,10.5565,8.1893,17.7659,19.9322,9.10052,12.1939,7.06384,9.64376
75,2.242,0.951457,1.06361,0.7925,3.5226e-07,93.9408,2631580,19.6098,10.6339,7.66615,18.2389,20.3106,9.10052,12.2696,6.51168,9.3772
76,2.19913,1.24045,2.52675,0.8925,0,1325.73,2581264,21.7458,8.88456,7.54605,19.9228,22.4486,7.88964,9.82894,6.39744,8.46328
77,2.18609,1.62039,3.6538,1.2825,3.85411e-23,1558.06,2565952,17.8602,6.43112,17.8475,16.7631,19.1943,5.2976,7.31258,16.9646,18.8782
78,2.16835,1.54609,6.80112,1.1475,4.05723e-11,2769.48,2545128,18.4416,11.4014,11.7687,17.5767,19.1565,9.933,12.3453,10.4339,13.2423
79,2.16352,1.63808,5.32065,1.1925,0.000171498,1561.89,2539456,18.0564,9.96982,11.3079,16.782,18.8727,9.30864,10.7371,9.95792,12.7473
80,2.12498,1.23403,2.06323,0.8925,0.00112268,1192.21,2494224,18.2193,5.41541,14.5079,17.2929,19.0808,4.74892,6.55578,13.4613,15.6033
81,2.10353,1.10917,1.13635,0.8925,1.99753e-19,143.521,2469048,20.803,10.4483,10.852,19.4498,21.6918,9.42216,11.4939,9.8056,11.7572
82,2.10128,1.58704,2.01314,1.2725,0.0107477,384.965,2466408,18.789,10.0692,12.5434,17.6145,19.6673,8.64644,10.7939,11.2526,13.566
83,2.07525,0.707686,1.2622,0.4625,2.18499e-14,175.741,2435852,17.3832,13.0334,4.80796,16.1766,18.6835,11.7493,14.3887,4.26496,5.39784
84,2.06691,0.87557,0.903182,0.7025,8.15443e-09,69.6865,2426064,19.9623,12.3936,11.3922,18.5984,21.1242,11.4655,13.6319,10.8909,12.157
85,2.05879,0.717718,1.01125,0.5125,8.31598e-13,92.8055,2416536,18.4762,13.4205,4.87549,17.7659,19.1943,11.9007,14.3887,4.22688,5.49304
86,2.02951,1.56628,1.58539,1.2925,0.00263085,707.942,2382160,18.8384,6.45464,12.5998,17.6902,19.6863,5.56248,7.7099,11.6144,13.7183
87,2.011,0.93689,2.60023,0.7325,0.000657691,1593.84,2360436,18.3865,10.9872,9.08634,17.501,19.9133,10.0276,12.421,7.82544,10.8052
