time,Flow,RR,Inspiration
14.02,42.79110924962,191,1
14.03,98.3780411125,191,1
14.04,126.59140086752,191,1
14.05,134.79865524578,191,1
14.06,134.72273951912,191,1
14.07,136.91535212578,191,1
14.08,140.85005675698,191,1
14.09,143.27913847912,191,1
14.1,145.75379697128,191,1
14.11,147.31488265312,191,1
14.12,141.00507676162,191,1
14.13,122.24236942162,191,1
14.14,80.84536724162,191,1
14.15,29.85911511698,191,1
14.16,-2.67538296152,191,0
14.17,-9.01841619872,191,0
14.18,-10.42168659872,191,0
14.19,-7.28489393998001,191,0
14.2,-6.68240090648001,191,0
14.21,-6.68240090648001,191,0
14.22,-6.66589154072,191,0
14.23,-6.68652273902001,191,0
14.24,-6.66175869038,191,0
14.25,-6.65762363648,191,0
14.26,-6.66589154072,191,0
14.27,-6.67827687038001,191,0
14.28,-6.6700221875,191,0
14.29,-6.6700221875,191,0
14.3,-6.73444796672001,191,0
14.31,2.21933792512,192,1
14.32,78.16938328552,192,1
14.33,132.32899908002,192,1
14.34,152.72351550952,192,1
14.35,153.00081306578,192,1
14.36,148.41578734562,192,1
14.37,146.90193213202,192,1
14.38,148.88372584552,192,1
14.39,152.43751966952,192,1
14.4,153.72647533928,192,1
14.41,148.06308161602,192,1
14.42,133.46039712512,192,1
14.43,97.74360122848,192,1
14.44,42.85245018962,192,1
14.45,0.61828761512,192,1
14.46,-8.79777746638,192,0
14.47,-8.62079982488,192,0
14.48,-6.42566723488,192,0
14.49,-5.10146941952,192,0
14.5,-8.6023389875,192,0
14.51,-8.30206794272,192,0
14.52,-6.71257650688,192,0
14.53,-6.65210680352,192,0
14.54,-6.68240090648001,192,0
14.55,-6.66589154072,192,0
14.56,-6.67827687038001,192,0
14.57,-6.68240090648001,192,0
14.58,-6.67415063072001,192,0
14.59,-6.65762363648,192,0
14.6,-6.66589154072,192,0
14.61,-6.6700221875,191,0
14.62,-6.68652273902001,190,0
14.63,-9.15485039648,188,0
14.64,15.99314254562,188,1
14.65,82.84294549352,188,1
14.66,122.34721607912,188,1
14.67,136.41443211112,188,1
14.68,138.78215247328,188,1
14.69,135.14474451712,188,1
14.7,132.38755447552,188,1
14.71,130.51142146402,188,1
14.72,129.29237564512,188,1
14.73,134.69743868402,188,1
14.74,138.88478225152,188,1
14.75,133.69561618528,188,1
14.76,115.64969077378,188,1
14.77,74.01426825728,188,1
14.78,24.50314888552,188,1
14.79,-3.99442665598,188,0
14.8,-8.27603441422,188,0
14.81,-7.58948358688,188,0
14.82,-6.71832423448,188,0
14.83,-9.04248524288,188,0
14.84,-8.55017813248,188,0
14.85,-6.70435855000001,188,0
14.86,-6.68652273902001,188,0
14.87,-6.69201508798,188,0
14.88,-6.67827687038001,188,0
14.89,-6.69201508798,188,0
14.9,-6.66589154072,188,0
14.91,-6.6700221875,188,0
14.92,-6.66589154072,188,0
14.93,-6.6700221875,188,0
14.94,-6.66175869038,188,0
14.95,-6.66589154072,188,0
14.96,-6.64796660798001,188,0
14.97,-6.87401333438,188,0
14.98,55.38538314578,188,1
14.99,109.89205015648,188,1
15,131.28538694752,188,1
15.01,134.67214005248,188,1
15.02,131.6272701125,188,1
15.03,128.87894004712,188,1
15.04,126.79634051602,188,1
15.05,127.53539029762,188,1
15.06,129.59871205762,188,1
15.07,132.01969128928,188,1
15.08,131.07712359602,188,1
15.09,120.45829776802,188,1
15.1,87.56715554912,188,1
15.11,38.10538090162,188,1
15.12,-0.0515474582200001,188,0
15.13,-8.63917227502,188,0
15.14,-9.1632368,188,0
15.15,-10.45037996888,188,0
15.16,-6.81455726638,188,0
15.17,-6.70435855000001,188,0
15.18,-6.68652273902001,188,0
15.19,-6.67827687038001,188,0
15.2,-6.69201508798,188,0
15.21,-6.68240090648001,188,0
15.22,-6.6700221875,188,0
15.23,-6.70024626622,188,0
15.24,-6.69613177888,188,0
15.25,-6.6700221875,188,0
15.26,-6.67415063072001,188,0
15.27,-9.80818354222,190,0
15.28,25.49177944978,190,1
15.29,96.9223253125,190,1
15.3,134.95898690728,190,1
15.31,145.15074342002,190,1
15.32,147.97496639362,190,1
15.33,148.75122064162,190,1
15.34,149.29926554962,190,1
15.35,149.05164485378,190,1
15.36,147.4819736125,190,1
15.37,142.29999511762,190,1
15.38,129.9634403125,190,1
15.39,100.88262071552,190,1
15.4,51.11050101248,190,1
15.41,6.40790922898,190,1
15.42,-7.60029072622,190,0
15.43,-8.57202892288,190,0
15.44,-7.77050779822,190,0
15.45,-9.02961498398,190,0
15.46,-9.59261508248,190,0
15.47,-6.73035184238001,190,0
15.48,-6.68240090648001,190,0
15.49,-6.68652273902001,190,0
15.5,-6.69201508798,190,0
15.51,-6.66175869038,190,0
15.52,-6.6700221875,190,0
15.53,-6.68652273902001,190,0
15.54,-6.66175869038,190,0
15.55,-6.64796660798001,190,0
15.56,-6.6700221875,190,0
15.57,-6.67827687038001,189,0
15.58,-8.54029614488,188,0
15.59,8.27441350112,188,1
15.6,72.53440452578,188,1
15.61,116.83156650178,188,1
15.62,134.82396489512,188,1
15.63,136.51624510312,188,1
15.64,131.6272701125,188,1
15.65,130.86901326952,188,1
15.66,133.69561618528,188,1
15.67,136.51624510312,188,1
15.68,137.02583891752,188,1
15.69,129.7561502,188,1
15.7,110.7613835125,188,1
15.71,77.87962405928,188,1
15.72,31.19993352448,188,1
15.73,-1.56533845598,188,0
15.74,-9.32715212888,188,0
15.75,-9.53174570072,188,0
15.76,-6.71668217998,188,0
15.77,-6.67415063072001,188,0
15.78,-6.67415063072001,188,0
15.79,-6.69201508798,188,0
15.8,-6.69201508798,188,0
15.81,-6.67827687038001,188,0
15.82,-6.6700221875,188,0
15.83,-6.66175869038,188,0
15.84,-6.67415063072001,188,0
15.85,-6.64796660798001,188,0
15.86,-7.24437115598001,188,0
15.87,7.30975375528,195,1
15.88,83.9212320125,195,1
15.89,132.69726086578,195,1
15.9,147.20939706112,195,1
15.91,146.71759714048,195,1
15.92,145.36910642152,195,1
15.93,143.47013174752,195,1
15.94,145.0721702,195,1
15.95,150.353795,195,1
15.96,155.61530306048,195,1
15.97,154.00462298002,195,1
15.98,142.38651888002,195,1
15.99,114.71598814952,195,1
16,67.39289001128,195,1
16.01,16.94592755362,195,1
16.02,-6.70874295998,195,0
16.03,-9.30548251672,195,0
16.04,-8.36360476702,195,0
16.05,-6.18814771198,195,0
16.06,-4.22684797472,195,0
16.07,-4.49814351872,195,0
16.08,-9.69984050648,195,0
16.09,-7.45923324638,195,0
16.1,-6.70846863022001,195,0
16.11,-6.6700221875,195,0
16.12,-6.6700221875,195,0
16.13,-6.67827687038001,195,0
16.14,-6.66589154072,195,0
16.15,-6.68240090648001,195,0
16.16,-6.6700221875,195,0
16.17,-6.68652273902001,195,0
16.18,-6.67415063072001,195,0
16.19,-6.66175869038,195,0
16.2,-6.67415063072001,194,0
16.21,-9.90581898272,193,0
16.22,20.30022944962,193,1
16.23,81.76412561512,193,1
16.24,110.86159583848,193,1
16.25,117.84445664962,193,1
16.26,120.23413666162,193,1
16.27,121.26044012402,193,1
16.28,122.69431134898,193,1
16.29,124.64803817128,193,1
16.3,129.1351980125,193,1
16.31,133.40162235298,193,1
16.32,134.19188472962,193,1
16.33,128.51562305,193,1
16.34,107.95700247202,193,1
16.35,63.14662188562,193,1
16.36,14.75711805928,193,1
16.37,-6.46107354638,193,0
16.38,-8.93620906648,193,0
16.39,-7.78794677152,193,0
16.4,-6.52722314272,193,0
16.41,-6.58866025472,193,0
16.42,-10.26626556398,193,0
16.43,-7.15356597152001,193,0
16.44,-6.69613177888,193,0
16.45,-6.67827687038001,193,0
16.46,-6.69201508798,193,0
16.47,-6.68240090648001,193,0
16.48,-6.67415063072001,193,0
16.49,-6.66175869038,193,0
16.5,-6.67415063072001,193,0
16.51,-6.66589154072,193,0
16.52,-6.64796660798001,192,0
16.53,-6.67827687038001,190,0
16.54,-6.66589154072,188,0
16.55,-10.37471798302,188,0
16.56,24.63168165778,188,1
16.57,87.6988916125,188,1
16.58,119.23575871912,188,1
16.59,128.23520275552,188,1
16.6,127.56005944552,188,1
16.61,122.57318018728,188,1
16.62,120.73876908712,188,1
16.63,123.68155759202,188,1
16.64,127.82333413352,188,1
16.65,128.92852,188,1
16.66,128.77154705362,188,1
16.67,117.99514945,188,1
16.68,91.70622479378,188,1
16.69,47.23924853728,188,1
16.7,5.09205794578,188,1
16.71,-9.0799202,188,0
16.72,-10.3089996875,188,0
16.73,-6.81860785048,188,0
16.74,-6.70846863022001,188,0
16.75,-6.68240090648001,188,0
16.76,-6.67415063072001,188,0
16.77,-6.69613177888,188,0
16.78,-6.70435855000001,188,0
16.79,-6.69201508798,188,0
16.8,-6.67415063072001,188,0
16.81,-6.68240090648001,188,0
16.82,-6.66589154072,188,0
16.83,-6.66589154072,188,0
16.84,-10.11179618072,191,0
16.85,29.48194179328,191,1
16.86,104.17888869202,191,1
16.87,147.36763867048,191,1
16.88,160.32057651112,191,1
16.89,159.06974164562,191,1
16.9,155.7235622,191,1
16.91,154.62457049128,191,1
16.92,155.80477969202,191,1
16.93,157.25195645362,191,1
16.94,157.70548460162,191,1
16.95,146.21780358562,191,1
16.96,116.16903739762,191,1
16.97,63.35701265152,191,1
16.98,10.02841320802,191,1
16.99,-10.12640508448,191,0
17,-7.30757782798,191,0
17.01,-6.67415063072001,191,0
17.02,-6.68652273902001,191,0
17.03,-6.68240090648001,191,0
17.04,-6.68240090648001,191,0
17.05,-6.68240090648001,191,0
17.06,-6.67415063072001,191,0
17.07,-6.6700221875,191,0
17.08,-6.65762363648,191,0
17.09,-6.66589154072,191,0
17.1,-6.6700221875,191,0
17.11,-8.25577545472001,192,0
17.12,23.27143965352,192,1
17.13,107.05984941602,192,1
17.14,150.30054244712,192,1
17.15,160.54932684962,192,1
17.16,158.49608270312,192,1
17.17,156.06661540648,192,1
17.18,157.13413939712,192,1
17.19,158.58707479552,192,1
17.2,159.78133242578,192,1
17.21,156.17502145,192,1
17.22,147.50836447528,192,1
17.23,124.87594924712,192,1
17.24,74.42013492002,192,1
17.25,19.40524896098,192,1
17.26,-7.30908763648,192,0
17.27,-9.65106103598,192,0
17.28,-8.81803547822,192,0
17.29,-7.10860829198,192,0
17.3,-5.77288679102,192,0
17.31,-7.58226780952,192,0
17.32,-10.41854378398,192,0
17.33,-7.30002534622,192,0
17.34,-6.68652273902001,192,0
17.35,-6.67827687038001,192,0
17.36,-6.67827687038001,192,0
17.37,-6.68652273902001,192,0
17.38,-6.68240090648001,192,0
17.39,-6.68240090648001,192,0
17.4,-6.66589154072,192,0
17.41,-6.66589154072,192,0
17.42,-6.66175869038,192,0
17.43,-6.65210680352,192,0
17.44,-6.66589154072,192,0
17.45,-9.99284594648,194,0
17.46,23.67956099752,194,1
17.47,87.20014842178,194,1
17.48,119.93821819112,194,1
17.49,126.14925347048,194,1
17.5,123.76264100962,194,1
17.51,122.75085807712,194,1
17.52,124.08721952002,194,1
17.53,125.77317252352,194,1
17.54,129.29237564512,194,1
17.55,132.01969128928,194,1
17.56,127.92212677928,194,1
17.57,118.66242942952,194,1
17.58,91.74868430978,194,1
17.59,44.00912086112,194,1
17.6,3.86387926312,194,1
17.61,-8.45045906072,194,0
17.62,-9.17061519998,194,0
17.63,-8.06388428288,194,0
17.64,-7.40272791598,194,0
17.65,-9.76889248288,194,0
17.66,-7.44817005272001,194,0
17.67,-6.69201508798,194,0
17.68,-6.68652273902001,194,0
17.69,-6.67415063072001,194,0
17.7,-6.67827687038001,194,0
17.71,-6.68652273902001,194,0
17.72,-6.66175869038,194,0
17.73,-6.66589154072,194,0
17.74,-6.67827687038001,194,0
17.75,-6.66589154072,194,0
17.76,-6.65762363648,194,0
17.77,-9.18596363672,194,0
