label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
1,0,3.16717,0.701732,Trachea,10.6704,11.2413,20.0682,-0.0531704,0.0354574,-0.997956
2,1,4.02467,0.826855,RMB,10.4083,11.4426,16.4886,-0.0883799,0.0721054,-0.993474
3,1,5.93157,0.645038,LMB,11.7281,11.5783,15.7651,0.385025,0.0946799,-0.918037
4,2,1.62403,1.0172,RMB,10.2773,11.7468,13.6945,0.057634,0.195932,-0.978922
5,2,1.99123,0.611004,CrRMB,9.4349,11.8404,13.9468,-0.799103,0.253813,-0.544989
6,3,1.4959,0.419841,,13.5111,11.4847,13.1329,0.857209,-0.500568,0.12093
7,3,2.00896,0.820091,LMB,13.5345,11.9013,12.2903,0.661585,0.041962,-0.748695
8,4,3.19768,0.614544,MiRMB,9.4115,11.0121,11.9381,-0.570789,-0.559062,-0.601374
9,4,0.112481,1.04631,RMB,10.3428,11.9293,12.852,0.332503,0.416068,-0.846362
10,5,0.873503,0.293165,,8.30235,11.8357,13.5089,-0.771491,-0.58935,0.239725
11,5,0.845279,0.387543,CrRMB,8.4006,12.3645,13.1852,-0.564785,0.642274,-0.518172
12,6,0.44079,0.289875,,14.1616,11.0869,13.4422,0.042423,-0.106172,0.993442
13,6,0.0579468,0.398698,,14.1616,11.0869,13.209,0.322704,-0.807632,-0.493552
14,7,0.0134358,0.717416,LMB,14.2038,11.9434,11.5335,0.69965,0,-0.714485
15,7,0.945972,0.361701,,14.4892,12.2991,11.6525,0.613444,0.751925,0.241445
16,8,0.935342,0.350071,MiRMB,8.32575,9.6923,10.8909,-0.370239,-0.910683,-0.183249
17,8,0.640444,0.275162,,8.34915,10.2258,10.7148,-0.467645,0.336016,-0.817558
18,9,2.13678,0.654161,AcRMB,10.9465,11.7515,11.9334,0.547553,-0.188367,-0.815293
19,9,2.78025,0.936202,CaRMB,10.1697,12.5845,11.5811,-0.138009,0.454492,-0.879994
20,10,0.524698,0.235677,,7.89985,11.5035,13.8563,-0.249858,-0.285307,0.925295
21,10,0.910082,0.226196,,7.59565,11.349,13.4803,-0.812564,-0.503911,-0.29294
22,11,0.757199,0.222311,,8.35845,12.9309,13.0995,0.519151,0.778792,0.352087
23,11,0.757688,0.345504,CrRMB,7.92325,12.7951,12.7187,-0.629942,0.419962,-0.653303
24,12,0.714328,0.164885,,14.2318,10.9653,13.9991,0.17037,-0.275085,0.946204
25,12,0.548977,0.139422,,14.157,11.2975,13.804,-0.0510038,0.852494,0.520242
26,13,0.560454,0.19753,,14.1008,10.8061,13.2804,-0.250511,-0.91854,0.305823
27,13,0.619939,0.336901,,14.4705,10.984,13.1995,0.966386,-0.256639,0.0153234
28,14,1.31505,0.49002,,14.5922,11.4754,11.2717,0.583629,-0.711762,-0.39086
29,14,1.34162,0.622196,LMB,14.6157,11.9387,10.9956,0.606951,-0.0070067,-0.794708
30,15,0.211889,0.148162,,14.873,12.6688,11.8143,0.883486,0.132617,0.449295
