time,Flow,RR,Inspiration
10.09,27.813,229,1
10.1,112.769,229,1
10.11,164.493,229,1
10.12,183.925,229,1
10.13,187.91,229,1
10.14,185.636,229,1
10.15,183.224,229,1
10.16,180.343,229,1
10.17,174.111,229,1
10.18,157.93,229,1
10.19,118.566,229,1
10.2,42.598,229,1
10.21,-10.533,229,0
10.22,-7.32,229,0
10.23,-7.205,229,0
10.24,-7.209,229,0
10.25,-7.213,229,0
10.26,-7.205,229,0
10.27,-7.193,229,0
10.28,-7.193,229,0
10.29,-7.185,229,0
10.3,-7.193,229,0
10.31,-7.181,229,0
10.32,-7.173,229,0
10.33,-7.169,229,0
10.34,-8.488,229,0
10.35,11.771,229,1
10.36,100.857,229,1
10.37,160.981,229,1
10.38,183.59,229,1
10.39,189.515,229,1
10.4,189.02,229,1
10.41,185.545,229,1
10.42,182.009,229,1
10.43,175.868,229,1
10.44,163.337,229,1
10.45,127.486,229,1
10.46,53.903,229,1
10.47,-10.03,229,0
10.48,-7.347,229,0
10.49,-7.197,229,0
10.5,-7.229,229,0
10.51,-7.201,229,0
10.52,-7.201,229,0
10.53,-7.189,229,0
10.54,-7.205,229,0
10.55,-7.201,229,0
10.56,-7.209,229,0
10.57,-7.189,229,0
10.58,-7.189,229,0
10.59,-7.161,229,0
10.6,-6.483,231,0
10.61,71.164,231,1
10.62,144.881,231,1
10.63,179.137,231,1
10.64,188.989,231,1
10.65,187.725,231,1
10.66,183.925,231,1
10.67,180.525,231,1
10.68,176.855,231,1
10.69,167.019,231,1
10.7,140.765,231,1
10.71,85.372,231,1
10.72,2.542,231,1
10.73,-8.022,231,0
10.74,-7.209,231,0
10.75,-7.213,231,0
10.76,-7.213,231,0
10.77,-7.209,231,0
10.78,-7.209,231,0
10.79,-7.205,231,0
10.8,-7.201,231,0
10.81,-7.169,231,0
10.82,-7.173,231,0
10.83,-7.193,231,0
10.84,-7.173,231,0
10.85,-10.095,234,0
10.86,32.426,234,1
10.87,118.74,234,1
10.88,166.99,234,1
10.89,181.039,234,1
10.9,183.925,234,1
10.91,182.069,234,1
10.92,179.83,234,1
10.93,178.234,234,1
10.94,174.111,234,1
10.95,165.014,234,1
10.96,137.049,234,1
10.97,75.003,234,1
10.98,-5.574,234,0
10.99,-7.574,234,0
11,-7.229,234,0
11.01,-7.221,234,0
11.02,-7.221,234,0
11.03,-7.209,234,0
11.04,-7.213,234,0
11.05,-7.209,234,0
11.06,-7.197,234,0
11.07,-7.177,234,0
11.08,-7.177,234,0
11.09,-7.181,234,0
11.1,-7.193,234,0
11.11,-9.221,233,0
11.12,26.897,233,1
11.13,117.351,233,1
11.14,168.011,233,1
11.15,183.59,233,1
11.16,186.864,233,1
11.17,184.902,233,1
11.18,181.857,233,1
11.19,180.434,233,1
11.2,177.394,233,1
11.21,169.768,233,1
11.22,149.191,233,1
11.23,89.725,233,1
11.24,-2.024,233,0
11.25,-7.645,233,0
11.26,-7.197,233,0
11.27,-7.221,233,0
11.28,-7.217,233,0
11.29,-7.205,233,0
11.3,-7.213,233,0
11.31,-7.201,233,0
11.32,-7.197,233,0
11.33,-7.193,233,0
11.34,-7.185,233,0
11.35,-7.193,233,0
11.36,-7.177,233,0
11.37,-7.831,233,0
11.38,13.39,233,1
11.39,105.992,233,1
