time,Flow,RR,Inspiration
11.6,2.861,167,1
11.61,44.107,167,1
11.62,78.023,167,1
11.63,93.996,167,1
11.64,95.905,167,1
11.65,92.992,167,1
11.66,91.44,167,1
11.67,91.772,167,1
11.68,92.37,167,1
11.69,91.993,167,1
11.7,90.977,167,1
11.71,88.546,167,1
11.72,85.694,167,1
11.73,81.724,167,1
11.74,76.119,167,1
11.75,65.056,167,1
11.76,41.032,167,1
11.77,1.549,167,1
11.78,-10.464,167,0
11.79,-6.836,167,0
11.8,-6.562,167,0
11.81,-6.536,167,0
11.82,-6.531,167,0
11.83,-6.54,167,0
11.84,-6.527,167,0
11.85,-6.522,167,0
11.86,-6.54,167,0
11.87,-6.518,167,0
11.88,-6.527,167,0
11.89,-6.522,167,0
11.9,-6.531,167,0
11.91,-6.527,167,0
11.92,-6.562,167,0
11.93,-7.585,167,0
11.94,-9.571,166,0
11.95,-7.081,166,0
11.96,28.383,166,1
11.97,66.259,166,1
11.98,86.618,166,1
11.99,91.109,166,1
12,89.55,166,1
12.01,87.547,166,1
12.02,86.661,166,1
12.03,87.201,166,1
12.04,89.178,166,1
12.05,89.747,166,1
12.06,89.287,166,1
12.07,88.502,166,1
12.08,87.201,166,1
12.09,83.794,166,1
12.1,79.034,166,1
12.11,73.253,166,1
12.12,59.771,166,1
12.13,25.848,166,1
12.14,-8.9,166,0
12.15,-7.421,166,0
12.16,-6.584,166,0
12.17,-6.544,166,0
12.18,-6.566,166,0
12.19,-6.54,166,0
12.2,-6.562,166,0
12.21,-6.531,166,0
12.22,-6.566,166,0
12.23,-6.518,166,0
12.24,-6.553,166,0
12.25,-6.536,166,0
12.26,-6.527,166,0
12.27,-6.518,166,0
12.28,-6.518,166,0
12.29,-6.527,166,0
12.3,-7.429,166,0
12.31,-10.265,167,0
12.32,18.919,167,1
12.33,63.223,167,1
12.34,90.076,167,1
12.35,99.247,167,1
12.36,99.064,167,1
12.37,96.832,167,1
12.38,94.085,167,1
12.39,93.125,167,1
12.4,95.927,167,1
12.41,99.201,167,1
12.42,100.788,167,1
12.43,100.995,167,1
12.44,99.867,167,1
12.45,98.059,167,1
12.46,93.148,167,1
12.47,81.64,167,1
12.48,57.426,167,1
12.49,10.72,167,1
12.5,-10.45,167,0
12.51,-6.692,167,0
12.52,-6.557,167,0
12.53,-6.544,167,0
12.54,-6.562,167,0
12.55,-6.527,167,0
12.56,-6.527,167,0
12.57,-6.536,167,0
12.58,-6.536,167,0
12.59,-6.527,167,0
12.6,-6.536,167,0
12.61,-6.549,167,0
12.62,-6.522,167,0
12.63,-6.549,167,0
12.64,-6.536,167,0
12.65,-6.54,167,0
12.66,-10.03,167,0
12.67,11.885,167,1
12.68,66.374,167,1
12.69,98.995,167,1
12.7,108.914,167,1
12.71,108.389,167,1
12.72,104.791,167,1
12.73,103.177,167,1
12.74,102.269,167,1
12.75,102.385,167,1
12.76,102.711,167,1
12.77,101.666,167,1
12.78,99.499,167,1
12.79,95.116,167,1
12.8,85.201,167,1
12.81,62.231,167,1
12.82,13.906,167,1
12.83,-10.475,167,0
12.84,-6.67,167,0
12.85,-6.557,167,0
12.86,-6.514,167,0
12.87,-6.54,167,0
12.88,-6.514,167,0
12.89,-6.544,167,0
12.9,-6.527,167,0
12.91,-6.518,167,0
12.92,-6.536,167,0
12.93,-6.549,167,0
12.94,-6.54,167,0
12.95,-6.553,167,0
12.96,-6.522,167,0
12.97,-6.562,167,0
12.98,-6.54,167,0
12.99,-10.501,172,0
13,15.532,172,1
13.01,65.895,172,1
13.02,96.108,172,1
13.03,105.591,172,1
13.04,104.322,172,1
13.05,99.683,172,1
13.06,95.296,172,1
13.07,92.681,172,1
13.08,91.44,172,1
13.09,91.065,172,1
13.1,90.185,172,1
13.11,87.417,172,1
13.12,84.113,172,1
13.13,80.572,172,1
13.14,75.429,172,1
13.15,66.048,172,1
13.16,43.27,172,1
13.17,0.465,172,1
13.18,-9.737,172,0
13.19,-6.61,172,0
13.2,-6.522,172,0
13.21,-6.531,172,0
13.22,-6.531,172,0
13.23,-6.531,172,0
13.24,-6.531,172,0
13.25,-6.522,172,0
13.26,-6.522,172,0
13.27,-6.531,172,0
13.28,-6.536,172,0
13.29,-6.522,172,0
13.3,-6.522,172,0
13.31,-6.536,172,0
13.32,-6.531,172,0
13.33,-6.531,172,0
13.34,-8.553,172,0
13.35,-3.05,172,0
13.36,45.245,172,1
13.37,82.84,172,1
13.38,98.789,172,1
13.39,101.805,172,1
13.4,99.568,172,1
13.41,95.837,172,1
13.42,91.882,172,1
13.43,88.764,172,1
13.44,87.764,172,1
13.45,87.352,172,1
13.46,86.467,172,1
13.47,85.094,172,1
13.48,82.144,172,1
13.49,75.226,172,1
13.5,58.33,172,1
13.51,19.815,172,1
13.52,-10.106,172,0
13.53,-6.986,172,0
13.54,-6.557,172,0
13.55,-6.531,172,0
13.56,-6.557,172,0
13.57,-6.522,172,0
13.58,-6.536,172,0
13.59,-6.505,172,0
13.6,-6.518,172,0
13.61,-6.531,172,0
13.62,-6.531,172,0
13.63,-6.518,172,0
13.64,-6.522,172,0
13.65,-6.505,172,0
13.66,-6.527,172,0
13.67,-6.518,172,0
13.68,-6.756,172,0
13.69,-8.815,172,0
13.7,-9.14,173,0
13.71,21.575,173,1
13.72,59.661,173,1
13.73,82.925,173,1
13.74,93.103,173,1
13.75,95.229,173,1
13.76,93.75,173,1
13.77,90.735,173,1
13.78,88.35,173,1
13.79,86.36,173,1
13.8,84.859,173,1
13.81,83.094,173,1
13.82,82.018,173,1
13.83,81.241,173,1
13.84,79.552,173,1
13.85,76.404,173,1
13.86,70.041,173,1
13.87,55.333,173,1
13.88,23.334,173,1
13.89,-8.306,173,0
13.9,-8.623,173,0
13.91,-6.592,173,0
