label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,19.3993,6.188,21.3162,0.700674,-1.69812e-05,319.907,4805,10.4483,10.543,21.3458,9.80428,11.2618,9.69106,11.4944,18.4864,24.0118
2,21.4938,2.23588,9.23785,0.601832,0.00918633,215.128,5063,11.6039,9.91256,15.8314,10.1468,13.3097,8.95306,10.6589,12.9337,19.1669
3,19.3312,2.76043,12.5406,0.749474,0.160575,206.596,4774,10.4838,10.9031,16.7499,9.50058,11.3118,9.90799,11.685,14.5366,19.2876
4,2.27962,5.30702,11.7405,2.24446,0.623383,163.394,686,13.096,8.91994,13.6767,12.4637,13.7597,8.33963,9.43076,13.2435,14.2342
5,5.42444,2.86131,6.29421,1.5773,0.104769,119.761,1495,12.9352,9.95937,12.8355,11.9767,13.9449,9.12255,10.653,11.8918,13.728
6,7.93323,3.26516,12.5583,0.71665,0.0271888,242.687,1908,10.2719,10.5796,13.8668,9.32158,11.1593,9.82138,11.4583,12.7001,14.8974
7,3.66328,5.47693,13.5604,2.09797,0.486083,207.724,1010,9.24123,11.15,14.4682,8.50908,10.0712,10.6791,11.6306,13.7443,15.3141
8,0.0401254,68.6843,61.73,54.8245,13.2582,189.287,9,13.6073,8.70449,14.0536,13.5236,13.6507,8.51787,8.82833,13.9758,14.1795
9,1.9023,4.63225,7.73335,2.78019,0.871776,100.763,531,13.6725,8.13758,13.4533,13.1328,14.1451,7.44128,8.75727,13.0427,13.928
10,0.414502,6.01963,6.57266,2.76749,1.16516,74.8521,189,13.7765,10.3832,12.8345,13.4707,13.9897,10.0738,10.6471,12.5333,13.0689
11,1.57048,4.2529,8.59118,2.56835,0.749551,129.277,430,13.5025,9.92511,12.1878,12.7444,14.1999,9.30317,10.5329,11.6754,12.794
12,5.0897,1.3096,2.27234,0.931583,0.307756,53.8122,1350,10.5395,10.09,11.794,9.91858,11.1682,9.45729,10.6689,10.6577,12.9511
13,0.498798,4.45449,8.20808,1.88166,0.259411,51.0372,131,10.4087,10.7623,12.6755,9.33878,10.808,9.94707,11.3865,12.2112,13.1516
14,1.58213,4.57032,8.22739,2.45966,0.981657,84.5846,447,8.04513,10.8405,14.3788,7.42638,8.52388,10.3546,11.3115,13.9233,14.8872
15,0.271335,4.89073,14.9916,2.0964,1.04266,101.209,67,8.62601,11.1948,13.9699,8.30768,8.93028,10.7679,11.5126,13.6774,14.4426
16,1.09562,4.47057,3.27172,3.13979,1.43091,37.0833,293,13.3561,8.4343,14.317,13.0572,13.6186,8.02137,8.87123,13.9122,14.7016
17,0.345986,3.49893,2.27054,1.97278,1.37153,15.6518,178,13.7448,9.04105,13.9836,13.5212,13.9545,8.81696,9.29207,13.734,14.2307
18,0.0891034,6.57342,8.41003,3.89318,2.81765,45.025,18,14.0575,7.5871,13.4581,13.8854,14.1827,7.46231,7.74731,13.0673,13.5723
19,0.167915,12.0139,22.1668,3.73635,1.75847,139.762,145,13.7009,7.5527,13.1099,13.5458,13.9295,7.38668,7.73526,12.9764,13.3068
20,0.496151,4.75035,6.80958,3.32255,2.15458,86.3788,361,14.1671,10.5263,12.7414,13.8994,14.4943,10.2866,10.7455,12.5714,12.9658
