label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
968,0.0103432,2.07925,1.40585,1.7425,0.495111,34.8076,12296,12.314,4.28473,9.03225,12.2012,12.455,4.136,4.4086,8.83456,9.22488
390,16.0178,0.918745,7.69876,0.5725,0,5269.58,19041840,11.0653,5.02328,11.7212,8.6856,13.0754,2.8576,7.943,10.1102,13.8897
4,99.6885,1.34314,6.7771,0.9375,0,8530.2,118509288,18.6811,7.24819,13.4155,15.3032,21.6294,3.384,10.8758,8.7584,17.0884
197,23.5741,0.71888,2.48278,0.5275,1.28464e-20,2924.86,28024768,10.2864,6.34643,9.02641,7.8396,13.8462,4.324,8.695,6.83536,11.2241
10,23.5339,2.21414,15.8071,1.1675,2.5867e-15,9264.8,27976960,17.6799,11.3183,13.3423,15.1904,20.4262,9.024,13.7522,11.1384,15.451
12,84.0022,1.46229,8.89396,0.8125,0,7055.04,99861528,11.6172,7.57861,14.3062,8.178,14.5418,3.7976,12.2294,10.5291,17.1646
401,7.74004,0.973299,1.84483,0.7575,0,912.656,9201328,18.0819,9.45876,7.95745,16.2432,20.5954,7.9148,11.233,6.664,9.49144
981,0.0306394,1.25859,2.58499,0.8875,0.0760042,135.368,36424,18.2016,7.03554,9.57759,18.0104,18.3958,6.7492,7.2662,9.2344,10.0246
1176,0.0290311,1.74975,5.03651,1.0375,0.136866,416.85,34512,12.907,4.16369,8.86222,12.6336,13.3198,3.948,4.4086,8.64416,9.12968
791,6.36017,0.527234,0.975516,0.4075,5.25647e-08,865.999,7560944,12.4824,13.8548,5.75092,10.716,14.4854,12.0696,15.1998,4.62672,6.94008
213,11.3515,0.77665,2.85204,0.5575,0,4929.33,13494592,16.3492,9.55157,7.46988,14.5888,18.1326,7.7456,11.233,6.05472,9.92936
22,70.5057,1.31993,4.04454,1.0125,2.62265e-36,5117.36,83816880,19.5693,9.56991,10.5953,15.0964,22.8702,5.8468,13.0754,6.93056,14.1943
27,18.9036,1.64625,9.03782,0.7825,1.54567e-28,3753.13,22472536,12.8649,11.3915,13.5693,9.3812,15.5194,9.0428,13.6206,11.4621,15.6033
220,20.3934,0.82449,5.6392,0.5975,3.87213e-12,3885.28,24243640,11.5663,12.5511,9.06786,8.9488,14.1282,9.9076,14.4102,6.83536,10.8623
608,12.7899,0.917479,2.0328,0.6475,0,1716.39,15204624,10.7061,4.50265,9.10454,8.742,12.6054,2.4816,6.251,7.27328,10.8623
29,33.317,0.727483,2.04156,0.5325,5.26416e-24,3500.84,39607072,10.1568,9.00139,9.81902,7.2756,13.6018,6.3732,12.3986,6.8544,12.0809
426,14.1818,0.875603,14.9245,0.4525,1.6458e-07,13170.1,16859216,13.7713,12.4338,7.28163,11.6748,15.4066,10.8288,14.2598,5.27408,10.1578
622,0.0468508,2.92278,12.4896,2.0825,0.0613232,1139.73,55696,17.0578,7.43923,8.53449,16.8072,17.3242,6.862,7.8866,8.2824,8.82504
46,5.22266,0.792867,2.29446,0.6175,1.842e-15,1357.6,6208680,16.8172,12.7483,12.2253,15.8108,17.907,10.3776,14.0718,10.9861,13.8897
819,32.7516,0.697839,1.24711,0.5025,0,971.519,38934960,17.0614,14.313,5.19967,15.2092,18.7342,10.9604,16.6098,2.05632,7.81592
820,30.7635,0.918194,6.69035,0.6175,0,7866.99,36571560,19.552,14.8031,5.75142,17.3712,22.419,12.0132,16.5346,2.0944,8.29192
53,3.24481,0.849814,4.60551,0.6075,5.39835e-06,2627.18,3857416,12.4365,10.4548,12.1412,11.1296,13.3386,8.8924,11.7594,11.0432,13.0329
56,10.4606,1.47176,9.50814,0.9075,7.00979e-07,4796.7,12435464,12.0404,7.19552,11.7983,10.34,14.0718,5.264,9.8606,9.91984,13.585
1021,7.34121,0.629312,2.18138,0.4725,1.97691e-13,2254.64,8727200,11.1569,12.1859,4.66578,9.9076,12.4362,10.2648,14.2034,3.40816,6.12136
60,13.7815,0.567486,3.05282,0.4425,1.38549e-21,2080.55,16383344,14.8992,10.7103,7.99624,13.442,16.6286,7.4636,12.3046,5.5216,11.9476
62,16.8697,1.48318,8.08898,0.7625,4.33702e-25,6306.12,20054688,13.8232,12.0773,10.9204,11.468,15.6886,10.2084,13.7898,8.51088,13.09
260,15.6519,0.700017,1.83973,0.5575,2.25416e-05,1910.17,18606872,16.4626,11.7265,9.74819,15.3032,18.0574,9.2684,14.0342,8.07296,12.0999
463,26.8579,1.07163,3.03844,0.7975,0,2997.66,31928616,20.1913,13.4628,7.66046,17.4088,23.0582,10.9604,15.9706,4.22688,10.1007
858,1.60195,0.892048,2.18533,0.7225,0.000174616,571.295,1904392,12.8097,4.99491,9.18426,11.8064,13.6958,4.0796,5.687,7.95872,10.4054
666,48.2917,0.637919,3.29078,0.4375,0,3430.7,57408944,8.98156,12.5514,5.10846,6.9372,11.8158,9.6256,15.3314,1.3328,7.5684
1249,7.58107,1.45518,17.8235,0.5875,0,6116.1,9012344,14.399,3.2877,8.67734,12.7464,16.403,2.1432,4.9726,7.616,10.9956
92,13.7249,1.16897,4.31138,0.8875,1.06523e-17,2027.8,16316104,18.5504,13.2156,11.7312,16.5628,20.8022,11.2236,15.0306,9.34864,13.2994
1250,9.36212,1.27708,3.77593,0.7225,0,2052.55,11129656,12.5886,3.45285,8.73098,10.8476,14.241,2.1432,5.6682,7.57792,10.0246
293,0.000255721,129.123,176.174,60.2125,0.528042,1205.77,304,11.9135,6.80634,10.2443,11.8628,11.9474,6.768,6.8338,10.2054,10.2721
872,2.55736,0.845753,1.2344,0.6875,1.15241e-13,335.396,3040176,17.5633,6.26612,8.83606,16.4876,18.4898,4.6624,8.131,7.84448,10.0436
102,10.697,1.18293,2.70241,0.9175,7.70549e-10,1143.59,12716568,10.2051,10.7211,13.6543,8.366,12.455,9.212,12.6618,11.4621,15.451
494,8.91855,0.801092,2.31582,0.6175,3.18902e-14,1276.7,10602336,13.4786,5.92062,9.28935,10.4904,15.7262,4.0044,7.943,8.01584,11.8714
1075,3.42234,2.16344,15.3749,1.1175,9.76081e-13,4876.79,4068464,12.7691,3.0936,10.138,11.0356,14.053,2.2184,4.371,9.3296,10.9575
113,8.95705,1.30498,8.50777,0.8525,3.53293e-06,5428.79,10648104,13.5677,7.6773,10.0174,11.4868,15.5382,6.4296,9.8606,8.49184,12.138
1085,14.3146,0.894276,6.58388,0.5925,0,4763.09,17017160,18.9908,5.7064,9.64124,17.3712,20.9714,2.7448,8.8454,8.03488,11.4335
506,12.3491,1.42171,6.4991,0.9775,1.83101e-11,5722.17,14680512,16.6395,7.58184,9.40797,14.0624,19.0162,4.9632,9.541,7.25424,12.4807
699,7.99151,0.554426,0.787116,0.4275,1.73936e-06,334.653,9500272,17.4704,14.9358,8.26063,15.886,19.1478,13.3104,16.3466,6.72112,9.35816
