label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
1,0,3.7808,0.535675,Trachea,10.7453,10.2586,18.9686,0.178269,0.0940806,-0.979474
2,1,4.53625,0.508391,LMB,12.3412,10.3569,15.232,0.55504,-0.0350732,-0.831084
3,1,2.99552,0.68627,RMB,11.3257,10.867,15.7033,0.162476,0.287463,-0.94391
4,2,1.50974,0.364204,,13.9651,9.61741,13.3804,0.483594,-0.874177,0.0441798
5,2,1.25503,0.549181,LMB,13.9511,10.1978,12.833,0.559348,-0.126769,-0.819182
6,3,2.40968,0.692372,RMB,11.5315,11.3022,13.0852,-0.0310832,0.00390108,-0.999509
7,3,1.66929,0.450902,CrRMB,10.9185,11.6344,13.8897,-0.779434,0.403705,-0.479066
8,4,0.824878,0.192739,,14.6718,9.16812,13.5089,0.828243,0.510622,0.230822
9,4,0.031068,0.331233,,14.3349,8.94348,13.4184,0.299351,-0.903823,0.305766
10,5,0.840583,0.248346,,14.6578,10.3335,12.3808,0.846198,0.512145,0.14716
11,5,0.459738,0.497471,LMB,14.4238,10.0761,12.1285,0.529432,-0.183366,-0.828299
12,6,0.176195,0.704566,RMB,11.5643,11.2976,11.8286,0.796844,-0.10613,-0.594791
13,6,2.1964,0.47954,MiRMB,10.7032,10.647,11.5001,-0.720188,-0.600884,-0.346795
14,7,1.07846,0.370553,,9.75309,11.8638,13.6088,-0.954715,-0.199544,0.220685
15,7,0.0815251,0.486519,CrRMB,10.2445,11.9948,13.466,-0.574064,0.574052,-0.583879
16,8,0.482149,0.126303,,15.0602,9.50508,13.804,0.194131,0.524153,0.829203
17,8,0.048663,0.169488,,15.0368,9.37404,13.5993,0.96171,-0.19235,-0.195231
18,9,0.677213,0.235319,,14.3536,8.70948,13.6802,0.0414936,-0.649603,0.759141
19,9,0.987026,0.230633,,14.5033,8.48952,13.2709,0.331906,-0.891405,-0.308604
20,10,0.0163406,0.151692,,15.0181,10.5441,12.4474,0.575277,-0.569149,0.587475
21,10,0.44736,0.0969835,,14.9806,10.7547,12.3617,-0.146415,0.920734,-0.361678
22,11,1.1271,0.352933,,14.845,9.61739,11.7048,0.531454,-0.739085,-0.413896
23,11,1.44516,0.43948,LMB,14.9198,10.1041,11.324,0.518074,0.0971517,-0.849801
24,12,2.25306,0.389562,AcRMB,11.8685,10.7172,10.8337,0.207718,-0.506867,-0.836624
25,12,1.73257,0.571781,CaRMB,11.452,11.6486,11.0099,-0.210669,0.415971,-0.884639
26,13,0.0477656,0.385642,MiRMB,9.89823,9.9684,11.1146,-0.588289,-0.783813,-0.198878
27,13,0.596897,0.27334,,9.82333,10.0995,10.8575,-0.298042,0.376413,-0.877202
28,14,0.583896,0.21703,,9.13068,11.9808,13.8802,-0.36856,0.769316,0.521839
29,14,0.189357,0.311069,,9.16343,11.7,13.7136,-0.79057,-0.593587,-0.150512
30,15,0.857562,0.258915,,10.2819,12.4394,13.3898,0.141914,0.982321,-0.12209
31,15,1.34937,0.316735,CrRMB,9.79989,12.3318,13.0186,-0.624306,0.46481,-0.627848
32,16,0.788505,0.0736273,,15.2521,9.63612,14.3705,0.368037,0.011871,0.929735
33,16,0.492871,0.095694,,15.0743,9.84202,14.1276,-0.132895,0.854502,0.50216
34,17,0.772802,0.107809,,15.4018,9.23364,13.7136,0.884186,-0.351241,0.30797
35,17,0.212627,0.131073,,15.1585,9.40212,13.5708,0.924624,0.308147,-0.223865
36,18,0.611962,0.189916,,14.4144,8.25084,14.123,0.15295,-0.780048,0.606738
37,18,0.36458,0.163814,,14.3255,8.55036,14.1039,-0.230953,0.333755,0.91393
38,19,0.374685,0.209918,,14.7186,7.87176,13.09,0.274897,-0.949277,-0.15266
39,19,0.408313,0.145666,,14.5174,8.06364,12.9805,-0.733504,0.0687707,-0.676197
40,20,0.200486,0.140867,,15.0509,10.5534,12.5474,0.280319,0.13966,0.949693
41,20,0.559445,0.117083,,15.2896,10.5908,12.3856,0.953623,0.183931,-0.238271
42,21,0.300524,0.0878795,,15.0275,11.0823,12.2427,0.529411,0.809588,-0.253556
43,21,0.315461,0.083659,,14.8449,11.0261,12.1809,-0.652695,0.415266,-0.633674
44,22,0.516838,0.251406,,15.3224,9.01836,11.4287,0.688224,-0.706295,-0.165816
45,22,0.463757,0.181887,,14.9526,9.10728,11.3811,-0.827588,-0.403659,-0.390074
46,23,0.855289,0.240974,,15.2568,10.6002,10.7195,-0.0874553,0.995921,0.0222148
47,23,0.158824,0.47903,LMB,15.3363,10.1837,10.6434,0.530777,0.117738,-0.839293
48,24,0.477838,0.293811,AcRMB,12.168,9.95902,9.75799,0.274151,-0.783446,-0.557722
49,24,0.614383,0.194075,,12.1493,10.2492,9.60564,0.152348,0.335295,-0.929714
50,25,0.688172,0.346551,,11.2087,12.3038,10.4101,-0.176844,0.856909,0.484182
51,25,0.753641,0.519124,CaRMB,11.1712,12.1165,9.89602,-0.260867,0.285681,-0.922136
52,26,0.77916,0.200381,,10.1837,9.711,11.0384,0.768802,-0.612661,-0.183275
53,26,1.05606,0.335984,MiRMB,9.61743,9.50508,11.0099,-0.50518,-0.841999,-0.189289
54,27,0.283983,0.23151,,9.61738,10.2632,10.5339,-0.823994,0.362347,-0.43559
55,27,0.345215,0.144404,,9.87479,10.2024,10.4957,0.813463,-0.0544582,-0.579061
56,28,0.455904,0.129595,,9.07923,12.3505,14.1991,0.246323,0.636535,0.730854
57,28,0.426297,0.124532,,8.82183,12.2522,14.0849,-0.944177,0.219564,0.245604
58,29,0.834237,0.252279,,8.94818,11.4145,14.0182,-0.336595,-0.549724,0.764531
59,29,0.74657,0.231456,,8.81243,11.48,13.5089,-0.739784,-0.438806,-0.510067
60,30,0.0471615,0.138435,,10.3428,12.8794,13.3518,0,0.795128,0.606442
61,30,0.798265,0.108164,,10.6424,13.0432,13.1471,0.750503,0.457367,-0.477034
62,31,0.576891,0.124915,,9.32723,12.4488,12.3903,-0.178371,-0.681585,-0.709666
63,31,0.0133666,0.27247,CrRMB,9.37403,12.6454,12.5902,-0.69578,0,-0.718255
64,35,0.439152,0.0880721,,15.4299,9.56124,13.5946,0.788566,0.575473,0.216783
65,35,0.156922,0.0805203,,15.2755,9.43488,13.4708,0.238336,0,-0.971183
66,36,0.303781,0.133671,,14.5829,8.02152,14.399,0.801238,0.0616223,0.595164
67,36,0.245985,0.173403,,14.4237,7.89984,14.3419,-0.304488,-0.913227,0.270747
68,37,0.391506,0.121479,,14.2974,8.7048,14.4419,0.0717742,0.478153,0.875339
69,37,0.310221,0.112317,,14.1383,8.5644,14.242,-0.93546,-0.301721,-0.184063
70,38,0.506971,0.147619,,15.0087,7.60968,13.0757,0.941476,-0.332327,0.056413
71,38,0.349278,0.185641,,14.7326,7.53012,13.0138,-0.214442,-0.937936,-0.272564
72,39,0.217449,0.0718638,,14.3068,8.01216,12.9043,-0.559673,-0.602622,0.56887
73,39,0.0565954,0.10374,,14.3583,8.0964,12.8235,-0.330426,0.661543,-0.673186
74,40,0.638063,0.108929,,15.3504,10.6376,12.7949,0.850699,0.220041,0.477382
75,40,0.264616,0.102128,,15.0603,10.6704,12.7235,-0.141716,0.778487,0.611453
76,41,0.472217,0.0977963,,15.7903,10.6142,12.3046,0.991069,-0.118801,-0.0605649
77,41,0.435852,0.0998285,,15.7014,10.8014,12.3522,0.665823,0.730295,0.152804
78,44,0.709676,0.169256,,15.8372,8.87328,11.4906,0.94959,0.105513,0.295206
79,44,1.01585,0.222015,,15.6266,8.40528,11.1479,0.248756,-0.84768,-0.468571
80,45,0.237127,0.118577,,14.6765,8.95284,11.3478,-0.710168,-0.513145,0.48202
81,45,0.369354,0.122892,,14.6811,9.009,11.1241,-0.430753,-0.0253424,-0.902114
82,46,0.222067,0.100315,,15.2568,11.1104,10.7909,0.336833,0.75878,0.557491
83,46,0.197841,0.12017,,15.1726,11.0823,10.6624,-0.473108,0.567627,-0.673772
84,47,0.94414,0.252428,,15.7669,10.4551,10.6338,0.822865,0.555215,0.120956
85,47,0.675349,0.421689,LMB,15.5002,10.2164,10.2626,0.360259,0.0692984,-0.930275
86,48,0.329937,0.152382,,12.1727,9.63612,9.69614,-0.368553,-0.822705,0.432811
87,48,1.02695,0.271529,AcRMB,12.3973,9.36468,9.35819,0.319002,-0.792947,-0.519107
88,49,0.688734,0.14772,,12.2616,10.3428,8.98209,0.190203,-0.0272961,-0.981365
89,49,0.200932,0.125643,,12.2429,10.4411,9.32004,0.465825,0.884877,0
90,50,0.478431,0.133654,,11.3116,12.7343,10.6862,0.684737,0.56727,0.457537
91,50,0.283476,0.143799,,11.0776,12.7203,10.5577,-0.495283,0.858272,-0.134404
92,51,1.1437,0.312647,,10.6891,11.9293,9.24389,-0.671068,-0.515608,-0.532744
93,51,0.889086,0.439001,CaRMB,11.0401,12.4254,9.15349,-0.0736714,0.4526,-0.888665
94,52,0.317281,0.0837924,,10.4973,9.4302,11.1193,0.0885652,-0.265506,0.960033
95,52,0.729386,0.10707,,10.7172,9.21492,10.8575,0.641635,-0.705799,-0.300252
96,53,0.584674,0.238109,,9.10728,9.0558,11.0717,-0.832601,-0.0160095,0.553642
97,53,0.714781,0.320174,MiRMB,9.19623,8.76096,10.7909,-0.43216,-0.838075,-0.332969
98,54,0.325222,0.16511,,9.45828,10.4692,10.5006,-0.2589,0.949813,0.175573
99,54,0.533706,0.208059,,9.28513,10.3007,10.3149,-0.806624,-0.0526508,-0.588715
