time,Flow,RR,Inspiration
5.09,17.825,225,1
5.1,100.211,225,1
5.11,151.437,225,1
5.12,168.42,225,1
5.13,168.303,225,1
5.14,161.612,225,1
5.15,154.289,225,1
5.16,149.191,225,1
5.17,146.96,225,1
5.18,143.385,225,1
5.19,128.645,225,1
5.2,85.779,225,1
5.21,8.226,225,1
5.22,-7.524,225,0
5.23,-5.53,225,0
5.24,-5.505,225,0
5.25,-5.51,225,0
5.26,-5.481,225,0
5.27,-5.486,225,0
5.28,-5.471,225,0
5.29,-5.481,225,0
5.3,-5.476,225,0
5.31,-5.495,225,0
5.32,-5.466,225,0
5.33,-5.476,225,0
5.34,-5.461,225,0
5.35,-6.323,223,0
5.36,-0.992,222,0
5.37,77.612,222,1
5.38,139.664,222,1
5.39,164.059,222,1
5.4,170.503,222,1
5.41,169.211,222,1
5.42,163.251,222,1
5.43,154.541,222,1
5.44,143.033,222,1
5.45,126.742,222,1
5.46,100.05,222,1
5.47,42.806,222,1
5.48,-10.132,222,0
5.49,-5.771,222,0
5.5,-5.52,222,0
5.51,-5.51,222,0
5.52,-5.486,222,0
5.53,-5.476,222,0
5.54,-5.471,222,0
5.55,-5.466,222,0
5.56,-5.49,222,0
5.57,-5.476,222,0
5.58,-5.481,222,0
5.59,-5.481,222,0
5.6,-9.921,228,0
5.61,28.876,228,1
5.62,108.198,228,1
5.63,152.944,228,1
5.64,167.806,228,1
5.65,170.356,228,1
5.66,170.003,228,1
5.67,167.339,228,1
5.68,164.348,228,1
5.69,156.288,228,1
5.7,135.063,228,1
5.71,88.394,228,1
5.72,8.934,228,1
5.73,-7.444,228,0
5.74,-5.51,228,0
5.75,-5.495,228,0
5.76,-5.49,228,0
5.77,-5.5,228,0
5.78,-5.495,228,0
5.79,-5.495,228,0
5.8,-5.476,228,0
5.81,-5.466,228,0
5.82,-5.486,228,0
5.83,-5.5,228,0
5.84,-7.209,233,0
5.85,21.427,233,1
5.86,117.698,233,1
5.87,171.269,233,1
5.88,185.912,233,1
5.89,185.79,233,1
5.9,179.649,233,1
5.91,170.592,233,1
5.92,160.123,233,1
5.93,141.115,233,1
5.94,97.968,233,1
5.95,21.873,233,1
5.96,-9.532,233,0
5.97,-5.559,233,0
5.98,-5.476,233,0
5.99,-5.505,233,0
6,-5.495,233,0
6.01,-5.5,233,0
6.02,-5.471,233,0
