label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,20.8404,0.183943,0.829641,0.0473591,-0.000766746,20.2305,5545,12.3827,9.89925,19.3102,11.3995,13.4133,8.95796,11.0163,16.7134,21.4967
2,24.9587,0.208444,1.29848,0.0808455,-7.25786e-07,94.2266,6437,13.6508,9.57789,14.3682,12.359,15.3689,8.6762,10.7932,11.5951,17.7517
3,20.0144,0.25369,2.89128,0.0766593,1.74902e-06,153.705,5192,11.9744,10.2522,15.6454,10.7522,13.1362,9.02078,11.4875,13.9922,17.6702
4,2.64674,1.36178,4.41079,0.801486,0.190558,69.4097,745,15.2067,8.814,12.184,14.4346,15.9178,8.32788,9.38127,11.6728,12.8533
5,10.4046,0.724903,4.88174,0.388842,0.0238894,198.742,2723,14.7391,9.99517,11.2236,13.6173,15.9548,8.72216,10.9242,9.95188,12.4568
6,5.25683,1.03229,4.81316,0.47209,0.0579979,137.718,1402,10.5061,10.5495,13.6682,9.62515,11.2831,9.7054,11.268,12.7267,14.6897
7,8.39582,0.160276,0.294923,0.0810953,-1.39086e-06,4.34842,2281,12.0472,10.2855,13.4164,10.7978,13.0944,9.15179,11.528,12.6382,14.2177
8,0.734544,2.47681,4.3924,1.44677,0.597262,46.3516,635,16.0623,9.14467,12.2938,15.7206,16.3748,8.81394,9.47628,11.9478,12.5729
9,0.599544,2.94687,4.64866,1.59712,0.736329,34.6217,181,15.8807,8.58595,12.0813,15.4575,16.216,8.22548,8.96884,11.721,12.5296
10,1.32519,0.724871,0.915431,0.524497,0.32856,11.9143,363,16.0313,9.83705,10.9472,15.2049,16.3488,9.18751,10.6259,10.1089,11.4568
11,4.68191,0.984138,2.10426,0.660841,0.286971,76.21,1400,15.6264,10.3301,9.88115,14.613,16.6966,9.44491,11.0218,9.03968,10.6691
12,1.10051,0.839712,1.07935,0.589271,0.157967,12.3127,288,9.67698,9.99215,13.6034,9.22956,10.1415,9.57803,10.4651,13.1532,14.0674
13,1.5383,1.1965,1.64494,0.781175,0.0852574,17.4222,490,9.80675,10.4229,12.8644,9.26775,10.3569,9.87403,11.0024,12.417,13.391
14,1.7398,0.229001,0.432178,0.103412,0.0198723,6.50912,480,12.3472,10.0936,12.4445,10.7653,13.1239,9.30813,11.13,11.7048,12.9212
15,9.19407,0.837192,1.67684,0.524494,0.0726723,52.5436,2541,11.0012,9.09168,11.4836,10.1748,11.9582,7.94868,10.1885,10.2827,12.8133
16,0.156174,3.2848,6.59182,1.80919,1.1572,55.0256,135,16.1944,9.45147,12.4923,16.0274,16.3634,9.28169,9.59547,12.3276,12.6356
17,0.311589,2.63227,2.42672,2.17904,1.19694,46.3335,273,16.482,9.29808,12.304,16.2886,16.7183,9.09937,9.47655,12.1305,12.4968
18,0.597616,2.08059,1.56811,1.5417,0.847157,8.82712,179,15.7824,8.24428,12.4762,15.5048,16.0981,7.91258,8.53789,12.1491,12.792
19,0.50127,2.82483,1.52915,2.20713,1.36527,11.6706,174,16.1411,8.40796,12.0413,15.8292,16.4136,8.08768,8.73247,11.7089,12.3898
20,0.301967,1.03224,0.751963,0.78757,0.444619,6.46448,249,15.8588,10.6384,11.1557,15.6506,16.0845,10.3531,10.8804,10.8737,11.3876
21,0.996954,1.62089,0.949735,1.38843,0.605855,14.3513,346,15.808,9.31371,10.2406,15.2546,16.2707,8.93808,9.6892,9.82388,10.6974
22,0.34544,3.15654,5.86892,1.64834,0.746825,57.3667,256,15.7753,11.0976,9.59665,15.5069,16.0429,10.9616,11.3161,9.34288,9.83868
23,2.43913,0.93349,1.42123,0.641278,0.342281,40.5129,779,16.2058,10.3375,9.25697,15.3075,16.973,9.69579,11.0629,8.68208,9.88878
24,0.438238,2.22122,4.02769,0.818235,0.662566,32.8094,150,9.4064,9.8365,13.9598,9.11744,9.75389,9.48561,10.1583,13.6954,14.2843
25,1.47032,1.3676,1.43897,1.00353,0.317332,19.732,470,9.24239,9.38884,13.4552,8.80358,9.7189,8.89103,9.95155,13.1043,13.8286
