label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,14.7269,1.16506,1.21488,0.9575,4.61593e-05,324.637,18598728,16.8122,10.6774,7.68041,14.8747,18.8966,7.65168,13.224,6.11184,8.93928
2,13.9852,1.57458,1.41332,1.3425,0.000471683,491.416,17662112,16.0348,10.0529,9.503,13.5614,18.5683,6.77616,12.841,7.78736,11.0146
3,10.9365,1.10108,1.11472,0.9825,8.58881e-06,421.456,13811800,15.7993,11.7705,10.8677,14.2728,17.6928,9.74928,13.297,9.4248,12.2522
4,10.3403,1.71094,1.30887,1.5125,0.0113405,259.511,13058856,13.316,8.55138,11.5046,11.628,14.7014,7.04976,10.0867,9.34864,13.1471
5,10.0806,0.802208,0.871505,0.6775,1.90645e-05,244.099,12730928,15.3557,12.4566,6.85857,13.2878,17.8022,10.5701,13.4794,5.55968,8.00632
6,9.19554,1.52818,1.2437,1.3575,0.000185979,345.955,11613160,15.2843,7.64975,13.4317,13.379,17.2186,6.3384,8.97408,12.0904,15.3177
7,9.0425,0.854828,0.819239,0.7325,2.95033e-05,225.757,11419888,16.7672,11.4237,5.70735,15.1301,18.6778,8.92848,13.2787,4.284,6.74968
8,8.88557,0.907748,0.95167,0.7875,0.000358489,445.32,11221696,15.4945,12.3453,8.75752,13.3061,17.7293,10.6978,13.4794,7.8064,9.8532
9,8.86154,1.52882,1.46069,1.3225,0.000217374,483.827,11191352,16.7095,7.56876,10.6118,14.9842,18.5318,6.11952,8.91936,8.03488,12.3855
10,8.76041,1.48249,1.50958,1.3325,0.00242426,479.715,11063640,14.6634,9.01912,14.4116,12.0475,16.3978,7.04976,10.3786,12.7187,16.0031
11,8.67552,1.21773,1.31852,1.0625,0.000353449,481.156,10956424,15.0378,11.0262,13.3425,12.996,16.8902,8.9832,12.6768,11.3098,15.1273
12,8.28326,1.61023,1.46127,1.3725,0.000493138,332.578,10461032,16.7375,9.34768,11.5904,14.5282,18.2582,7.83408,11.1446,10.2054,13.109
13,8.06546,1.05451,1.34859,0.8275,0.00116188,596.02,10185968,13.5231,11.071,12.8335,11.8104,14.7014,8.78256,12.4944,11.2336,14.6703
14,7.71684,0.777447,0.758141,0.6475,1.44064e-05,195.946,9745696,13.7106,11.4216,10.8703,11.7374,15.0298,9.73104,13.0598,9.74848,12.119
15,7.58111,0.994388,0.933058,0.8475,7.6686e-05,224.375,9574280,17.4457,10.5333,4.83646,15.6773,19.225,8.78256,12.7133,3.808,6.1404
16,7.53098,1.0376,1.26454,0.8325,0,221.249,9510968,18.5785,9.0026,5.60013,16.9176,19.608,6.64848,10.8893,3.4272,7.6636
17,7.52936,0.765699,0.931958,0.5825,0,309.776,9508928,16.6305,11.4484,2.49881,15.7138,18.0941,10.0958,12.8592,0.53312,4.02696
