label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
772,1.8943,0.904421,0.984696,0.7525,0,277.129,2381880,17.47,10.3141,12.9943,16.8999,18.7187,9.05774,11.9551,11.9381,14.061
4,89.9046,1.36635,1.49284,1.1375,0,681.318,113045280,17.183,13.6601,15.3393,13.8105,21.15,9.31366,17.6585,11.443,18.9162
10,17.6987,1.10934,1.22673,0.8925,8.34938e-10,441.91,22254216,15.4422,16.3074,12.7281,13.4084,17.7499,13.646,17.8961,10.8338,14.4038
590,28.207,1.11116,1.45748,0.8075,0,208.114,35467240,15.9165,14.2793,3.70528,14.2858,18.1338,11.9094,16.6165,0.5712,6.00712
12,71.7643,1.31197,1.3299,1.1025,0,477.626,90235888,8.92682,11.0559,16.9231,6.02326,11.7723,6.18778,15.3735,13.804,19.3732
591,25.1553,1.68299,1.88824,1.2875,9.3142e-09,266.212,31630120,18.0097,15.326,4.37486,15.6385,21.3328,12.8051,17.2563,1.06624,6.31176
403,41.2321,1.43771,1.61725,1.0975,0,224.923,51844904,8.74841,12.9064,4.69943,6.2609,11.3153,10.6847,15.5563,0.79968,7.62552
211,27.893,0.886244,0.84939,0.7825,0,230.447,35072376,9.09959,7.32157,13.2364,6.18778,11.4981,4.45118,10.5293,10.6814,15.489
22,78.8195,1.484,1.57744,1.2175,0,706.943,99107024,18.5355,13.6429,11.7374,13.4449,22.5941,9.97174,17.5488,8.54896,14.061
26,10.0253,0.965687,1.05804,0.7675,2.61899e-06,223.236,12605776,9.52741,14.6447,14.8981,8.3631,10.7486,12.403,16.0316,13.2899,16.4601
219,15.5611,1.05617,1.12422,0.8675,5.82298e-06,261.605,19566352,14.5515,11.7148,9.96751,13.3718,16.7628,9.47818,12.924,7.14,12.1761
30,21.9547,0.913903,1.08429,0.7025,0,168.946,27605624,10.9667,14.4871,12.5707,8.6373,13.582,12.732,15.9584,10.7195,15.8698
612,6.83756,0.749722,0.811981,0.6625,0,265.358,8597488,12.6576,7.16999,16.4608,10.8857,14.6606,5.65766,8.44536,15.1558,18.0785
620,3.52465,1.20341,1.04806,1.0375,0.00132011,144.733,4431872,16.3757,11.756,13.2456,14.9805,17.7316,10.575,12.5401,11.919,15.1082
44,11.7849,0.952861,1.05852,0.7225,2.35618e-06,172.534,14818264,14.5416,15.2804,10.5342,13.4084,16.3972,13.0428,17.7499,9.2344,11.7572
433,13.1483,1.01546,1.16618,0.7825,6.95972e-05,196.717,16532504,15.2875,14.0756,6.64864,13.8654,17.1284,12.0557,16.4886,5.57872,8.00632
240,17.2012,1.04791,1.21398,0.8225,1.82556e-05,393.679,21628656,12.3971,13.3339,7.64417,10.4836,14.2401,11.0685,15.6294,5.73104,9.01544
52,13.3602,1.21894,1.24984,0.9975,0,179.957,16799008,7.4973,14.0973,15.2109,5.51142,9.48732,12.4395,16.0864,13.6707,16.6124
827,1.91048,1.27328,1.11735,1.1275,0.00690679,165.191,2402224,17.6508,11.3158,13.6306,16.6622,18.7553,10.2094,12.2659,12.376,15.0892
55,31.3287,0.817949,0.699114,0.7075,0,252.013,39392424,9.01322,10.6019,12.758,5.82218,12.1014,7.22974,13.8745,9.97696,15.7746
56,0.117526,0.354745,0.812073,0.3175,0.0131741,180.785,147776,11.6844,12.6135,13.6494,11.3427,12.0465,12.2933,12.924,13.2518,14.061
60,70.4923,0.898901,0.866168,0.7675,0,284.394,88636488,8.28986,10.3216,10.137,5.14582,13.0154,6.33402,14.039,6.05472,13.2804
448,9.94199,0.840171,0.798347,0.7475,0,178.983,12500976,11.4895,8.10516,16.4614,9.42334,13.8197,6.6265,9.43248,14.9083,18.3831
461,7.67229,1.12579,1.2365,0.8925,6.59161e-05,226.418,9647080,16.12,11.7366,10.7633,14.6331,18.408,10.0449,12.6863,8.3776,12.2713
78,15.7467,1.31822,1.39315,1.0725,6.71273e-10,273.464,19799832,16.4428,16.8302,10.4547,14.0482,18.6456,14.8525,17.9692,8.89168,11.9095
271,16.0864,1.371,1.50076,1.0925,1.32051e-06,245.257,20226848,16.2617,16.6291,8.01728,13.9933,18.7187,14.4869,17.8961,6.32128,9.68184
90,37.9178,1.16692,1.16331,0.9625,1.15052e-16,274.46,47677536,7.1912,10.2541,14.1635,5.10926,10.0723,6.15122,14.3315,10.6053,16.6124
92,11.9539,0.837298,0.991901,0.7025,4.57279e-06,422.884,15030704,10.6829,10.0404,15.9674,8.87494,12.3207,8.30826,12.8508,14.3562,18.821
287,6.97927,1.21251,0.984459,1.1075,0,128.682,8775680,12.071,8.74102,13.6027,10.2277,14.4778,6.95554,10.1454,12.2998,15.2415
97,17.7295,1.1025,1.32307,0.8425,1.01086e-06,377.283,22292952,12.7552,11.0995,10.1264,11.1051,14.0573,9.14914,12.8874,6.83536,12.8615
871,8.89759,0.949279,1.20902,0.7375,0,163.685,11187760,19.0607,9.76477,13.7864,17.7225,20.8026,7.28458,11.4616,11.8238,15.0321
872,2.75372,0.913958,1.22142,0.6625,0,141.838,3462504,18.8111,11.0837,12.2158,17.5579,20.8209,10.0266,11.9003,11.0622,13.1281
