label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
4,88.8731,1.42597,1.63153,1.2075,0,1149.26,112238936,19.8959,11.2881,13.395,16.7899,22.3622,6.50256,15.7958,9.67232,17.2407
776,33.9773,1.31556,1.74817,1.0775,0,1077.74,42910336,9.49958,15.0125,5.27168,6.73968,12.1843,12.5582,17.2915,2.5704,7.62552
584,4.33176,1.17607,1.20077,1.0325,0,259.296,5470640,16.4279,10.8395,11.5787,14.3275,17.8022,9.32976,12.695,10.3768,12.8996
200,4.62368,1.30563,1.80785,1.1225,0,730.565,5839304,11.2643,13.2692,14.2781,10.0594,12.6586,12.084,14.3731,12.852,16.0983
972,7.76271,1.00001,1.02842,0.8425,0,200.326,9803624,16.7507,15.6838,6.22228,15.1118,18.1306,13.6526,16.8538,5.17888,7.53032
10,75.4067,1.27498,1.64045,1.0825,0,1358.52,95232072,19.9248,11.7566,9.93724,15.4037,22.9459,7.3416,15.8323,5.57872,13.4898
12,80.4821,1.38135,2.65332,1.1025,0,3613.97,101641912,11.5915,10.7752,15.8275,8.58192,15.0115,6.46608,15.2486,11.5954,18.9924
1170,3.02401,1.04103,1.03714,0.8875,0,193.331,3819064,18.1673,8.34396,11.3024,17.4283,19.079,7.01328,10.3786,9.93888,12.4807
402,9.40807,1.12286,1.12043,0.9375,0,192.196,11881568,17.6211,15.8516,7.80821,15.4402,19.3709,14.1634,16.8538,6.43552,9.26296
211,30.002,1.12886,1.43296,0.9575,0,1338.54,37889896,11.2936,8.0539,11.4782,7.50576,13.5706,5.04336,12.2208,9.74848,13.2614
22,17.7368,1.51943,1.9268,1.2875,0,1519.83,22399992,18.28,15.0281,12.0293,15.659,20.8666,11.7922,16.5984,10.3197,14.3276
26,13.8889,1.52299,1.66026,1.2775,0,710.61,17540448,12.4028,14.8973,14.87,10.6613,14.5555,12.3941,16.3795,13.0234,16.8218
219,16.84,1.31965,1.32324,1.1225,0,475.116,21267432,16.1672,11.4324,7.81617,14.5099,19.1885,9.42096,12.8774,4.79808,11.4526
28,23.0545,1.02176,1.12646,0.8525,0,746.153,29115792,11.668,11.5163,12.1992,7.41456,14.8109,9.23856,14.7014,10.1102,14.5561
226,26.8903,1.07428,1.37318,0.8375,0,444.93,33960048,12.7305,15.1455,9.35808,9.18384,15.3398,11.6098,17.1456,7.40656,11.6239
1007,13.1818,0.728376,0.932296,0.5875,0,243.603,16647504,16.5401,5.60969,12.0304,14.6194,19.4438,4.6056,7.00416,10.6243,14.5751
1008,4.63428,0.781389,0.853927,0.6575,0,139.246,5852696,14.3801,5.62627,11.4179,13.5067,15.2851,4.6056,7.15008,10.2816,12.4236
622,8.86938,1.35496,1.62763,1.1175,1.17195e-05,389.863,11201256,11.296,16.2297,7.66943,9.42096,13.0781,14.1634,17.255,6.60688,8.74888
46,8.31923,1.07114,2.71828,0.7425,0,1250.95,10506456,16.5859,14.6864,10.4426,15.3854,18.6778,12.3941,16.6349,9.17728,11.9286
438,13.9032,1.11271,1.31535,0.9225,0,568.136,17558536,13.3846,6.85845,13.7283,11.0626,15.9053,5.18928,9.46656,12.2808,16.0602
824,8.44986,1.25244,1.1657,1.0725,0,293.465,10671440,15.9741,13.6114,6.86112,14.8382,17.6746,12.0293,15.431,5.75008,7.98728
54,5.06807,1.80429,1.69288,1.5775,5.04138e-12,461.09,6400536,9.97211,13.8532,15.2817,8.54544,11.5459,12.3758,15.6499,13.804,16.5172
1214,38.1714,0.738298,0.936745,0.6075,0,381.503,48207192,12.9149,13.6514,4.45194,9.69456,15.1574,11.7557,16.4525,0.87584,8.0444
1215,23.1017,0.769104,1.27152,0.5625,0,770.479,29175440,10.887,15.3989,3.29147,7.08624,12.695,13.5067,17.1821,0.83776,5.55016
59,7.47533,1.00605,1.07231,0.8425,0,381.733,9440696,14.226,10.7533,12.3191,12.54,15.8323,9.00144,12.2026,10.9099,13.8897
61,23.2411,0.96878,0.970895,0.8125,0,311.173,29351520,14.3696,12.4595,8.2812,12.1022,15.8688,9.85872,14.9203,4.07456,12.9567
1027,2.57293,1.24842,1.06853,1.0625,0.0556178,138.549,3249392,18.0798,9.8,11.8445,17.0818,19.079,9.0744,10.7981,10.7957,13.2614
63,17.8876,1.48049,2.02562,1.0825,0,725.834,22590504,13.1662,15.528,11.8985,10.9349,15.2486,13.6526,17.0362,10.1293,14.8036
455,8.43422,1.31031,1.34951,1.1375,0,365.238,10651680,15.4725,9.11581,10.2675,13.9445,16.7808,6.83088,11.4547,8.49184,11.4335
861,5.76163,1.28887,1.35672,1.0825,0,288.264,7276440,14.6288,5.93982,13.2124,13.1054,16.3066,4.82448,7.69728,12.1475,15.1844
282,8.59489,0.995144,1.2247,0.8125,0,919.858,10854600,16.1279,14.2393,8.57921,15.0936,18.0758,12.4123,16.5254,7.48272,9.8532
1247,21.2313,1.03063,1.12873,0.8475,0,526.339,26813320,15.5542,13.9105,3.71732,14.1451,17.3462,11.7922,16.489,0.64736,5.93096
1248,28.8508,0.84079,0.956762,0.6775,0,451.021,36436080,17.6306,15.0186,3.21233,14.893,20.4653,12.5218,16.7443,0.34272,6.06424
92,11.194,1.42152,1.58612,1.1775,1.37318e-10,446.779,14137032,18.4312,15.596,9.64057,16.1333,20.7206,13.7986,16.8538,8.51088,10.9766
672,0.0561686,1.02495,0.571731,0.9275,0.335854,30.0193,70936,17.1143,14.0301,7.08874,16.8446,17.401,13.7256,14.3914,6.8544,7.32088
482,7.61976,0.622696,0.735062,0.5025,0,231.416,9623096,13.3192,14.9711,7.28706,11.9016,14.9933,13.7256,17.0726,5.67392,8.7108
108,0.0185223,2.20585,2.63032,1.7675,0.753689,142.285,23392,11.249,13.2711,14.1232,11.0808,11.4,13.0142,13.4976,13.9563,14.3466
1075,0.0287272,0.927266,1.03599,0.7375,0.179698,32.3179,36280,11.9901,14.5436,5.92624,11.6645,12.3485,14.3275,14.7379,5.65488,6.15944
883,4.53334,1.48761,1.46076,1.2775,0,377.938,5725216,16.9409,8.65508,10.7291,15.8232,18.1488,6.90384,10.5974,9.29152,12.0047
114,16.4105,0.765634,1.05611,0.6275,0,618.436,20725080,12.6436,9.19518,14.1791,10.9166,14.7744,6.46608,12.8045,12.4331,16.0222
118,19.2127,1.06394,1.18986,0.9025,0,648.334,24263976,13.5583,9.99474,9.90004,10.5518,15.8506,6.81264,12.239,8.26336,11.8524
312,32.4108,1.15076,1.75725,0.9325,0,1962.5,40931952,9.25883,11.4763,12.6739,6.90384,12.5126,7.23216,14.2272,9.65328,15.2225
313,54.4074,1.28278,1.36004,1.0475,0,653.793,68711784,9.58423,14.6839,11.6918,6.72144,12.9869,10.8072,17.1821,8.05392,15.2034
122,72.207,1.51444,2.0963,1.2725,0,1601.2,91191128,10.1098,11.4333,9.75208,5.95536,14.592,7.14096,14.665,6.8544,13.1852
703,5.37932,1.48173,1.20634,1.3475,0,216.23,6793608,15.5685,7.58342,11.6272,14.1634,18.2765,6.44784,9.88608,10.7195,12.8425
327,8.60363,1.29489,1.1436,1.1375,6.30118e-06,471.059,10865632,14.9084,9.25394,11.816,13.0507,17.4192,7.7064,11.9107,10.8147,13.2804
719,4.47028,1.33472,1.11603,1.1625,0,277.912,5645576,18.2322,9.96091,9.81508,16.7899,20.137,8.69136,10.9622,8.30144,11.1098
337,8.2474,1.38333,1.18123,1.2125,0,358.255,10415752,17.2496,10.7242,9.02869,15.6043,19.6992,9.01968,12.0019,6.93056,11.2241
1305,13.9377,0.742086,1.92461,0.6025,0,2254.13,17602072,19.9446,7.48025,12.0335,18.2674,21.5962,5.22576,10.0867,9.78656,14.4799
1306,4.02118,1.06487,1.11812,0.8825,0,197.289,5078400,19.586,9.08601,10.3406,18.1944,21.3773,8.01648,10.0685,8.7584,11.4145
534,36.114,0.960111,1.11556,0.7925,0,671.859,45608816,19.3239,14.1409,5.23721,16.0786,22.3622,11.8286,16.7808,1.21856,7.87304
1116,3.9356,1.11891,1.13368,0.9225,0,247.525,4970320,16.1972,13.4192,5.57537,14.9112,17.5104,11.9381,14.7926,4.68384,6.88296
