time,Flow,RR,Inspiration
4.32,18.387,303,1
4.33,117.822,303,1
4.34,161.21,303,1
4.35,162.704,303,1
4.36,151.604,303,1
4.37,140.066,303,1
4.38,130.69,303,1
4.39,119.986,303,1
4.4,96.04,303,1
4.41,42.95,303,1
4.42,-9.424,303,0
4.43,-6.709,303,0
4.44,-6.439,303,0
4.45,-6.421,303,0
4.46,-6.425,303,0
4.47,-6.425,303,0
4.48,-6.403,303,0
4.49,-6.421,303,0
4.5,-6.421,303,0
4.51,-6.412,299,0
4.52,13.113,299,1
4.53,105.591,299,1
4.54,148.942,299,1
4.55,151.243,299,1
4.56,141.546,299,1
4.57,132.541,299,1
4.58,125.413,299,1
4.59,116.956,299,1
4.6,98.995,299,1
4.61,60.728,299,1
4.62,3.673,299,1
4.63,-9.201,299,0
4.64,-6.474,299,0
4.65,-6.43,299,0
4.66,-6.43,299,0
4.67,-6.43,299,0
4.68,-6.403,299,0
4.69,-6.43,299,0
4.7,-6.403,299,0
4.71,-6.417,299,0
4.72,-6.412,296,0
4.73,-7.044,295,0
4.74,84.667,295,1
4.75,151.66,295,1
4.76,164.956,295,1
4.77,157.76,295,1
4.78,149.08,295,1
4.79,142.059,295,1
4.8,134.721,295,1
4.81,122.496,295,1
4.82,89.266,295,1
4.83,20.142,295,1
4.84,-9.421,295,0
4.85,-6.492,295,0
4.86,-6.425,295,0
4.87,-6.448,295,0
4.88,-6.434,295,0
4.89,-6.434,295,0
4.9,-6.43,295,0
4.91,-6.412,295,0
4.92,-6.408,295,0
4.93,-2.433,296,0
4.94,102.501,296,1
4.95,166.669,296,1
4.96,178.294,296,1
4.97,172.391,296,1
4.98,161.497,296,1
4.99,144.663,296,1
5,109.752,296,1
5.01,40.734,296,1
5.02,-10.208,296,0
5.03,-6.696,296,0
5.04,-6.439,296,0
5.05,-6.448,296,0
5.06,-6.439,296,0
5.07,-6.448,296,0
5.08,-6.434,296,0
5.09,-6.394,296,0
5.1,-6.439,296,0
5.11,-6.43,296,0
5.12,-5.442,299,0
5.13,87.158,299,1
5.14,150.132,299,1
5.15,163.886,299,1
5.16,158.84,299,1
5.17,148.639,299,1
5.18,138.808,299,1
5.19,127.486,299,1
5.2,105.851,299,1
5.21,58.603,299,1
5.22,-5.858,299,0
5.23,-6.961,299,0
5.24,-6.425,299,0
5.25,-6.461,299,0
5.26,-6.434,299,0
5.27,-6.439,299,0
5.28,-6.43,299,0
5.29,-6.439,299,0
5.3,-6.448,299,0
5.31,-6.43,299,0
5.32,-8.925,299,0
5.33,83.709,299,1
5.34,156.147,299,1
5.35,170.768,299,1
5.36,164.753,299,1
5.37,155.583,299,1
5.38,145.892,299,1
5.39,133.406,299,1
5.4,108.842,299,1
5.41,58.985,299,1
5.42,-4.796,299,0
5.43,-7.08,299,0
5.44,-6.443,299,0
5.45,-6.417,299,0
5.46,-6.43,299,0
5.47,-6.43,299,0
5.48,-6.417,299,0
5.49,-6.443,299,0
5.5,-6.425,299,0
5.51,-6.425,299,0
5.52,-7.796,304,0
5.53,88.003,304,1
5.54,156.147,304,1
5.55,167.748,304,1
5.56,159.523,304,1
5.57,147.4,304,1
5.58,136.678,304,1
5.59,127.846,304,1
5.6,113.791,304,1
5.61,77.304,304,1
5.62,11.196,304,1
5.63,-8.863,304,0
5.64,-6.478,304,0
5.65,-6.43,304,0
5.66,-6.412,304,0
5.67,-6.403,304,0
5.68,-6.399,304,0
5.69,-6.408,304,0
5.7,-6.417,304,0
5.71,-6.408,304,0
5.72,-6.412,301,0
5.73,-2.668,300,0
5.74,90.735,300,1
5.75,149.716,300,1
5.76,161.87,300,1
5.77,154.626,300,1
5.78,145.181,300,1
5.79,138.434,300,1
5.8,128.309,300,1
5.81,110.497,300,1
5.82,71.599,300,1
5.83,4.773,300,1
5.84,-7.991,300,0
5.85,-6.465,300,0
5.86,-6.421,300,0
5.87,-6.434,300,0
5.88,-6.412,300,0
5.89,-6.421,300,0
5.9,-6.403,300,0
5.91,-6.408,300,0
5.92,-6.43,297,0
5.93,-8.46,296,0
5.94,84.496,296,1
5.95,153.14,296,1
5.96,163.597,296,1
5.97,152.19,296,1
5.98,138.487,296,1
5.99,126.588,296,1
6,114.083,296,1
6.01,88.089,296,1
6.02,32.412,296,1
6.03,-10.516,296,0
6.04,-6.592,296,0
6.05,-6.425,296,0
6.06,-6.43,296,0
6.07,-6.434,296,0
6.08,-6.439,296,0
6.09,-6.421,296,0
6.1,-6.434,296,0
6.11,-6.421,296,0
6.12,-10.497,299,0
6.13,60.396,299,1
6.14,140.254,299,1
6.15,163.049,299,1
6.16,158.697,299,1
6.17,146.439,299,1
6.18,134.141,299,1
6.19,122.396,299,1
6.2,104.463,299,1
6.21,71.362,299,1
6.22,8.122,299,1
6.23,-8.156,299,0
6.24,-6.461,299,0
6.25,-6.448,299,0
6.26,-6.421,299,0
6.27,-6.425,299,0
6.28,-6.425,299,0
6.29,-6.434,299,0
6.3,-6.443,299,0
6.31,-6.425,299,0
6.32,-9.964,299,0
6.33,55.439,299,1
6.34,142.627,299,1
6.35,169.387,299,1
6.36,166.204,299,1
6.37,157.363,299,1
6.38,147.867,299,1
6.39,136.412,299,1
6.4,118.616,299,1
6.41,89.615,299,1
6.42,33.595,299,1
6.43,-10.539,299,0
6.44,-6.536,299,0
6.45,-6.434,299,0
6.46,-6.417,299,0
6.47,-6.425,299,0
6.48,-6.425,299,0
6.49,-6.43,299,0
6.5,-6.417,299,0
6.51,-6.39,299,0
6.52,-10.533,303,0
6.53,68.42,303,1
6.54,147.152,303,1
6.55,167.982,303,1
6.56,164.261,303,1
6.57,154.541,303,1
6.58,143.956,303,1
6.59,129.445,303,1
6.6,100.788,303,1
6.61,37.832,303,1
6.62,-10.539,303,0
6.63,-6.557,303,0
6.64,-6.439,303,0
6.65,-6.43,303,0
6.66,-6.425,303,0
6.67,-6.403,303,0
6.68,-6.421,303,0
6.69,-6.417,303,0
6.7,-6.412,303,0
6.71,-7.533,308,0
6.72,85.03,308,1
6.73,151.187,308,1
6.74,164.782,308,1
6.75,158.726,308,1
6.76,147.29,308,1
6.77,132.097,308,1
6.78,113.157,308,1
6.79,76.609,308,1
6.8,8.626,308,1
6.81,-8.132,308,0
6.82,-6.465,308,0
6.83,-6.448,308,0
6.84,-6.443,308,0
6.85,-6.439,308,0
6.86,-6.425,308,0
6.87,-6.43,308,0
6.88,-6.43,308,0
6.89,-6.487,311,0
6.9,24.308,311,1
6.91,128.903,311,1
6.92,174.23,311,1
6.93,177.364,311,1
6.94,167.923,311,1
6.95,155.301,311,1
6.96,140.174,311,1
6.97,114.939,311,1
6.98,70.533,311,1
6.99,0.669,311,1
7,-7.375,311,0
7.01,-6.443,311,0
7.02,-6.425,311,0
7.03,-6.412,311,0
7.04,-6.443,311,0
7.05,-6.412,311,0
7.06,-6.425,311,0
7.07,-6.417,311,0
7.08,2.471,318,1
7.09,105.851,318,1
7.1,161.239,318,1
7.11,168.976,318,1
7.12,159.124,318,1
7.13,146.384,318,1
7.14,133.878,318,1
7.15,115.97,318,1
7.16,83.688,318,1
7.17,21.55,318,1
7.18,-9.967,318,0
7.19,-6.5,318,0
7.2,-6.412,318,0
7.21,-6.443,318,0
7.22,-6.417,318,0
7.23,-6.425,318,0
7.24,-6.425,318,0
7.25,-6.417,318,0
7.26,-6.408,318,0
7.27,-10.503,320,0
7.28,64.733,320,1
7.29,144.636,320,1
7.3,167.31,320,1
7.31,164.637,320,1
7.32,154.879,320,1
7.33,145.618,320,1
7.34,135.275,320,1
7.35,117.401,320,1
7.36,80.155,320,1
7.37,12.28,320,1
7.38,-8.62,320,0
7.39,-6.487,320,0
7.4,-6.448,320,0
7.41,-6.434,320,0
7.42,-6.439,320,0
7.43,-6.425,320,0
7.44,-6.421,320,0
7.45,-6.425,320,0
7.46,-6.412,317,0
7.47,-9.481,315,0
7.48,49.708,315,1
7.49,136.81,315,1
7.5,164.406,315,1
7.51,161.267,315,1
7.52,149.827,315,1
7.53,139.503,315,1
7.54,129.109,315,1
7.55,110.064,315,1
7.56,69.982,315,1
7.57,0.986,315,1
7.58,-7.398,315,0
7.59,-6.461,315,0
7.6,-6.43,315,0
7.61,-6.443,315,0
7.62,-6.421,315,0
7.63,-6.43,315,0
7.64,-6.434,315,0
7.65,-6.408,315,0
7.66,-10.519,313,0
