label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,8.50366,1.41663,1.16674,1.1975,8.53439e-05,170.896,10372248,18.1919,12.3545,8.52638,16.4627,20.1098,10.4307,13.9293,7.3304,9.81512
2,7.3849,0.988135,0.676056,0.8775,0.0188321,111.983,9007656,16.0923,10.9974,7.55339,14.2541,17.7526,9.11296,12.593,6.16896,9.3772
3,6.85601,1.47845,1.19851,1.3075,0.00377696,119.381,8362544,16.5125,7.99104,10.6399,14.9408,18.3094,6.27328,10.273,9.10112,12.0047
4,6.46,1.55867,1.23963,1.3375,0.0001094,199.832,7879512,17.573,9.62283,11.3003,15.4976,19.3302,7.86944,10.7741,9.93888,12.4046
5,6.34372,1.06665,1.11112,0.8475,1.19881e-05,247.317,7737680,15.5554,12.7269,10.1831,14.0314,16.6947,10.8762,14.5789,9.15824,11.3383
6,5.88274,1.31266,1.19564,1.1075,1.42677e-06,331.012,7175408,17.5044,15.5354,5.06096,16.1286,19.4416,14.2355,16.6576,3.96032,6.29272
7,5.58999,1.47878,1.17476,1.2725,1.21105e-05,221.539,6818328,18.2659,11.4138,9.86714,16.4442,19.9984,10.3565,12.6301,8.62512,11.3954
8,5.45663,0.769727,0.666053,0.6275,0.0366219,146.983,6655672,14.8933,10.1943,8.86975,13.6602,16.5648,8.74176,11.5536,7.82544,10.1578
9,5.31353,0.595656,0.476408,0.5125,6.12363e-05,69.8262,6481128,14.5458,11.939,8.29613,13.5859,15.8966,10.0966,13.4282,6.664,9.68184
10,5.25187,1.44765,1.25452,1.2225,2.0187e-05,137.554,6405912,17.4329,14.2387,8.15876,16.3514,19.1075,12.5094,15.8781,7.17808,9.58664
11,5.21052,0.871797,0.734364,0.7625,0,67.1266,6355480,14.9804,13.9607,3.39465,13.92,16.8432,12.5837,15.3213,1.5232,4.50296
12,5.17702,1.15878,1.05385,0.9575,1.18563e-05,132.338,6314616,16.3595,10.3312,12.8088,15.145,18.4022,8.50048,11.4237,11.4621,14.3847
13,5.15132,0.972902,0.835805,0.8525,9.97035e-05,133.211,6283264,15.2165,15.0114,5.05275,14.0128,16.472,13.2518,16.6205,4.11264,5.91192
14,4.59837,0.911466,0.995092,0.7575,0,159.076,5608808,17.9444,15.6261,2.60574,16.8525,19.4787,14.217,16.6576,1.25664,3.51288
15,4.5031,1.77375,1.42332,1.5525,5.19106e-08,113.587,5492608,18.7552,6.59075,8.19454,17.4835,19.9242,4.19456,8.45408,6.49264,9.1868
16,4.46125,1.08512,1.0458,0.8625,6.62889e-05,151.1,5441560,15.7818,14.3088,8.14116,14.4026,16.8618,12.695,15.841,7.19712,9.62472
17,4.38731,1.54951,1.47172,1.3175,0,136.345,5351376,17.9818,5.71957,11.2338,16.704,19.256,3.73056,7.0064,10.3578,12.5378
18,4.38639,1.55865,1.25531,1.3825,0,136.379,5350248,19.7065,12.0151,5.86505,18.3373,21.1491,10.672,13.521,4.3792,6.86392
19,4.31998,1.26806,0.919669,1.1125,0.0434835,124.304,5269248,17.0667,12.3991,6.22262,15.9059,18.4765,11.3216,13.7994,4.58864,7.62552
20,4.22703,0.906103,0.834971,0.7725,0.000737724,86.7448,5155872,15.5495,15.1462,6.61573,14.2912,16.6947,13.9571,16.2864,5.69296,7.68264
21,4.18451,1.46833,1.27832,1.2775,0.000195888,143.269,5104016,17.005,14.882,6.64426,15.9987,18.1795,13.5859,16.2122,5.46448,7.6636
22,4.15912,1.43592,1.25384,1.2325,0.000101921,147.955,5073040,18.6664,13.6314,7.10483,16.7226,20.3325,12.695,14.913,6.03568,8.19672
23,4.05761,0.617463,0.679387,0.4825,0,88.0823,4949232,15.0647,15.103,2.32947,14.0499,15.8595,13.6416,16.5091,1.16144,3.43672
24,4.03201,1.44458,1.57489,1.1925,1.16252e-06,718.087,4918000,16.6609,11.7029,11.4923,15.8874,18.328,10.2266,13.3168,10.0531,13.0519
25,3.824,1.26354,1.12433,1.1125,0,59.3749,4664288,19.7422,7.92491,6.57252,17.0566,20.9264,5.90208,9.4192,5.29312,8.08248
26,3.81991,1.51194,1.48049,1.2675,4.63684e-05,205.454,4659296,17.1775,5.96414,13.1108,16.1843,18.6992,4.3616,7.21056,11.9762,14.499
27,3.79091,1.54986,1.18649,1.3675,0.000131462,190.647,4623920,18.93,9.41395,9.48781,17.5578,20.2211,8.42624,10.4029,8.60608,10.5767
28,3.7342,1.39409,0.860528,1.2825,0.068117,83.4393,4554752,17.1093,8.76669,8.93023,16.1286,18.4765,7.38688,9.99456,7.3304,10.1959
29,3.66848,1.46414,1.12949,1.2625,0.000267565,139.247,4474592,17.942,10.3776,10.4008,16.3142,19.6272,8.96448,11.3123,9.00592,11.5858
30,3.54503,0.474226,0.69237,0.3025,0,85.7968,4324008,16.274,15.9654,1.68832,14.4026,17.5856,14.6624,16.6576,0.5712,2.63704
31,3.54001,0.736001,0.69966,0.6275,0.00155735,255.41,4317888,14.8362,9.15842,10.0309,13.7344,16.472,7.75808,11.535,8.14912,11.9857
32,3.48453,1.22397,0.883141,1.0875,0.00965665,193.254,4250216,16.8592,10.0532,8.73077,15.6461,17.9382,8.5376,11.5165,7.17808,10.71
33,3.47655,1.15545,0.791244,1.0375,0.00417932,102.544,4240488,16.0376,9.02039,9.42355,14.9408,17.1402,7.47968,11.4051,8.05392,10.8242
34,3.46538,1.05681,0.934683,0.8925,7.88102e-05,170.835,4226856,15.816,15.754,3.93494,14.3283,16.8618,14.7552,16.6576,3.27488,4.73144
35,3.32742,1.85945,1.43021,1.7275,1.84945e-05,179.027,4058584,17.1313,9.39324,12.671,15.4048,18.6621,8.2592,10.4029,11.7477,14.1562
36,3.31892,1.0594,1.89958,0.8425,2.98593e-08,719.521,4048224,15.3193,11.8191,11.1662,13.9571,16.2678,10.1894,13.2797,9.63424,12.5188
37,3.20218,1.44943,2.05384,1.2825,0.000181154,688.987,3905824,19.4546,11.5382,8.11899,18.096,20.5923,10.672,13.2054,7.15904,9.20584
38,3.1475,1.24189,1.01402,1.0775,6.54452e-08,180.105,3839136,18.2057,14.8252,3.97323,16.5741,19.887,13.6973,16.2493,2.91312,4.86472
39,3.088,1.53359,1.23432,1.3925,0,138.525,3766552,19.8554,11.1015,6.55931,18.8755,21.0378,9.94816,12.1661,4.76,7.89208
40,3.07521,1.321,0.827889,1.1675,0.069508,216.888,3750960,17.4297,11.2835,6.91434,16.5741,18.1238,9.87392,12.8342,5.4264,8.06344
41,3.04587,1.52666,1.30281,1.3025,3.67563e-06,127.075,3715168,19.4011,6.99458,7.43646,18.1331,20.3325,5.0112,8.17568,5.94048,8.50136
42,2.94721,1.00439,0.710934,0.8575,0.00134624,75.7169,3594824,15.1609,13.2987,6.04018,13.9942,16.4534,11.9526,14.616,5.40736,7.03528
43,2.94646,1.58983,1.33926,1.3875,0.000190431,165.919,3593912,19.561,12.5753,7.14487,18.0774,20.7037,10.6534,13.521,6.30224,7.9492
44,2.93539,1.42548,1.25433,1.2275,3.77155e-05,129.284,3580408,18.2333,14.6309,6.74116,17.0195,19.7014,13.5488,15.9523,5.63584,7.91112
45,2.9287,0.746258,0.985858,0.5575,0,149.41,3572256,19.4118,14.713,3.0803,18.3744,20.7408,13.5859,16.1008,1.904,4.02696
46,2.90711,0.879573,0.679917,0.7575,0.00092825,57.1988,3545920,15.1928,13.86,7.05049,14.087,16.7133,13.0106,15.0429,5.92144,7.854
47,2.78948,1.55986,1.29315,1.3475,5.15797e-05,153.94,3402440,17.1975,12.2893,10.3267,16.24,18.8106,10.8762,13.2611,9.25344,11.205
