time,Flow,RR,Inspiration
26.84,43.994,238,1
26.85,132.934,238,1
26.86,180.041,238,1
26.87,198.142,238,1
26.88,204.412,238,1
26.89,204.957,238,1
26.9,202.78,238,1
26.91,198.174,238,1
26.92,187.663,238,1
26.93,155.893,238,1
26.94,75.104,238,1
26.95,-10.353,238,0
26.96,-6.73,238,0
26.97,-6.592,238,0
26.98,-6.605,238,0
26.99,-6.592,238,0
27,-6.57,238,0
27.01,-6.584,238,0
27.02,-6.588,238,0
27.03,-6.562,238,0
27.04,-6.579,238,0
27.05,-6.557,238,0
27.06,-6.579,238,0
27.07,-6.579,238,0
27.08,-10.128,240,0
27.09,58.694,240,1
27.1,149.467,240,1
27.11,194.119,240,1
27.12,208.956,240,1
27.13,212.829,240,1
27.14,214.236,240,1
27.15,211.556,240,1
27.16,203.707,240,1
27.17,182.92,240,1
27.18,126.384,240,1
27.19,21.724,240,1
27.2,-7.991,240,0
27.21,-6.631,240,0
27.22,-6.601,240,0
27.23,-6.592,240,0
27.24,-6.575,240,0
27.25,-6.575,240,0
27.26,-6.566,240,0
27.27,-6.575,240,0
27.28,-6.566,240,0
27.29,-6.601,240,0
27.3,-6.562,240,0
27.31,-6.584,240,0
27.32,-10.469,238,0
27.33,55.849,238,1
27.34,159.466,238,1
27.35,209.767,238,1
27.36,224.079,238,1
27.37,226.699,238,1
27.38,222.441,238,1
27.39,214.433,238,1
27.4,198.553,238,1
27.41,170.18,238,1
27.42,106.228,238,1
27.43,2.55,238,1
27.44,-7.153,238,0
27.45,-6.588,238,0
27.46,-6.61,238,0
27.47,-6.579,238,0
27.48,-6.584,238,0
27.49,-6.562,238,0
27.5,-6.601,238,0
27.51,-6.588,238,0
27.52,-6.584,238,0
27.53,-6.597,238,0
27.54,-6.579,238,0
27.55,-6.588,238,0
27.56,-9.551,243,0
27.57,32.283,243,1
27.58,130.768,243,1
27.59,190.258,243,1
27.6,212.567,243,1
27.61,218.519,243,1
27.62,218.817,243,1
27.63,214.4,243,1
27.64,204.22,243,1
27.65,184.322,243,1
27.66,136.2,243,1
27.67,39.83,243,1
27.68,-9.78,243,0
27.69,-6.64,243,0
27.7,-6.584,243,0
27.71,-6.601,243,0
27.72,-6.597,243,0
27.73,-6.614,243,0
27.74,-6.597,243,0
27.75,-6.584,243,0
27.76,-6.557,243,0
27.77,-6.588,243,0
27.78,-6.588,243,0
27.79,-6.579,243,0
27.8,-6.575,243,0
27.81,-6.549,243,0
27.82,-10.427,242,0
27.83,33.93,242,1
27.84,120.712,242,1
27.85,172.954,242,1
27.86,194.494,242,1
27.87,203.483,242,1
27.88,207.339,242,1
27.89,207.824,242,1
27.9,204.22,242,1
27.91,192.682,242,1
27.92,161.612,242,1
27.93,85.329,242,1
27.94,-7.456,242,0
27.95,-6.882,242,0
27.96,-6.614,242,0
27.97,-6.601,242,0
27.98,-6.614,242,0
27.99,-6.61,242,0
28,-6.566,242,0
28.01,-6.575,242,0
28.02,-6.597,242,0
28.03,-6.592,242,0
28.04,-6.57,242,0
28.05,-6.584,242,0
28.06,-6.553,242,0
