label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
4,86.5948,86.3368,324.525,63,4.78588e-24,205732,13033807,20.3249,9.73043,12.8712,16.9288,22.9998,5.14167,14.1267,8.45852,16.9313
777,11.0143,76.647,72.1879,65,7.5658e-05,8797.63,1657820,14.2376,12.9496,6.39111,12.128,16.0134,11.4555,14.6685,4.38396,9.14396
972,11.1228,56.5018,50.8451,47,1.27803e-11,4416.9,1674146,12.0398,14.4965,6.64567,9.49411,13.6971,12.6323,15.5464,4.879,7.9254
396,16.9215,65.6211,54.673,57,6.18745e-14,13316.3,2546944,11.4225,14.1286,8.46806,8.89635,14.4069,12.5203,15.5091,6.42124,10.5339
10,78.928,75.0348,206.148,59,2.46512e-30,117530,11879837,20.7869,10.1754,9.5943,16.2563,24.2326,5.73943,14.4256,5.90716,13.1233
12,68.5266,143.176,425.746,103,6.90614e-14,183387,10314276,12.0425,8.41804,15.1551,9.15787,14.5564,4.46919,12.7071,11.1622,18.2641
591,63.651,124.231,247.937,103,6.59955e-13,117328,9580423,9.78179,11.5675,6.92668,6.58003,13.8465,8.54143,14.5751,3.50812,9.8294
22,14.7594,76.8994,112.37,59,0.000103105,39737,2221516,18.9338,13.429,11.5365,16.5925,21.6174,11.4555,14.9113,10.3054,13.3708
1567,4.57904,93.6951,98.5132,81,1.30707e-11,10208.9,689213,16.1225,2.82867,10.7649,14.4817,17.8441,1.96607,3.96483,9.94364,11.9428
1568,2.9124,121.119,83.6296,111,1.77788e-15,2842.37,438359,14.5595,2.87537,10.5508,13.7531,15.4904,1.96607,3.96483,9.75324,11.3526
218,23.2424,145.653,207.657,129,4.99492e-10,58604.5,3498321,11.4957,5.24555,10.7277,9.19523,13.3422,2.75063,7.96235,9.0678,12.8377
26,14.0745,76.1331,109.574,59,1.44046e-07,46580.1,2118423,13.2159,12.2197,13.897,11.5489,15.2102,9.28863,14.2015,12.1904,15.9032
28,10.8189,100.456,227.371,79,0.00899501,58702.8,1628407,12.9932,7.37806,13.3033,11.5489,14.3696,5.55263,10.2973,11.9619,15.1416
228,13.2508,106.091,200.449,87,2.22665e-06,68963.5,1994442,16.0026,9.28115,8.00487,13.8652,18.1803,7.53271,11.3247,5.98332,10.2292
1585,14.6074,94.5941,101.809,77,1.504e-11,10146.3,2198637,20.2299,6.38936,10.1633,18.0869,22.2899,3.75935,8.39199,8.23004,11.8476
1586,3.81388,136.799,738.62,103,1.40762e-06,179793,574046,19.5153,8.21833,8.83923,17.732,21.4306,7.10307,9.32599,7.23996,10.0769
236,14.1061,89.4496,511.82,63,2.12584e-07,187801,2123177,14.3915,13.2573,8.70703,12.7631,16.0508,11.5676,15.0608,7.14476,10.6291
46,14.1864,70.8715,170.384,57,1.05401e-07,76978.8,2135263,18.957,13.786,9.55632,16.7046,21.5054,11.661,15.1355,8.34428,10.6672
1405,0.00404611,273.487,259.669,181,83.0201,2477.86,609,14.4912,3.58289,10.6713,14.4069,14.5938,3.49783,3.66595,10.5339,10.8004
54,49.3265,135.172,182.422,115,8.08413e-09,111639,7424363,10.7051,12.7259,11.6592,7.62611,13.3609,10.0171,15.1728,8.3062,15.827
55,51.1914,199.48,428.63,161,1.02944e-14,159179,7705067,9.96274,9.61751,11.7648,7.40195,13.1741,5.40319,12.6137,8.42044,14.5704
59,28.5099,147.319,243.028,123,6.16478e-10,64559.9,4291158,11.5141,7.92925,10.6196,7.92499,14.5751,5.16035,11.1379,8.99164,12.7806
61,26.7994,52.2517,102.893,41,8.48146e-17,86379.7,4033704,15.0863,11.1626,8.17818,12.0346,17.0222,9.47543,12.8378,4.74572,12.1332
63,13.1457,269.805,1192.42,129,3.37765e-08,181306,1978621,13.6251,13.4603,11.0476,11.7357,15.7146,11.5302,14.9674,8.5918,12.8187
1040,27.2861,60.6731,75.0228,49,5.99385e-12,29090,4106970,19.2598,12.747,3.61595,15.7519,22.2899,10.5962,14.7992,0.46172,5.62156
848,8.39752,50.4296,74.1596,39,9.67808e-07,27937.2,1263952,18.1628,13.9541,5.54253,16.2189,20.011,12.4455,15.0608,4.15548,6.93532
1041,26.6484,97.972,701.682,59,5.87661e-11,200262,4010980,17.0613,12.4736,3.12638,15.2476,18.7594,10.2973,14.6872,0.42364,5.39308
1431,0.0314521,289.328,270.229,241,46.2469,6188.05,4734,18.0964,7.58644,9.15501,17.8254,18.2924,7.06571,7.99971,8.83932,9.46764
661,17.3106,65.1869,57.3637,55,0.000204934,16878.2,2605495,17.8332,11.1611,6.58778,15.7706,21.0757,8.14915,13.7345,4.879,9.14396
1244,5.8685,98.3055,96.4774,87,6.30222e-08,5946.99,883296,14.8039,3.06478,12.0757,13.0246,16.9288,2.07815,4.52523,10.9908,14.0372
94,44.619,84.1325,251.022,61,8.3388e-21,123619,6715821,21.093,11.5064,7.26879,16.9101,24.1579,8.80295,14.7245,3.66044,10.3244
488,26.5875,69.2075,328.112,51,6.14361e-09,189171,4001819,20.6646,12.0521,5.25815,18.0682,23.4481,9.84903,14.7245,2.2134,8.34428
1268,2.61258,119.734,289.034,101,0.0483747,79499.2,393232,18.45,8.15478,10.3498,17.4331,19.4879,7.12175,9.23259,8.9726,11.4668
1077,3.41533,121.87,95.432,109,4.12789e-08,6054.72,514058,15.1017,4.32302,10.5024,13.7718,16.9101,3.51651,5.02959,9.71516,11.7334
117,8.44031,123.691,109.084,103,0.0692723,10593.8,1270392,14.3763,7.58794,11.2586,12.2587,16.0134,5.81415,10.6523,10.0198,12.7044
120,19.6927,117.309,256.421,83,3.35145e-12,87604.9,2964041,14.7147,7.86698,9.27692,11.9972,16.4618,5.29111,10.8764,7.5446,11.6192
313,12.1454,56.2889,69.5114,45,0.000249206,20089.4,1828062,19.0024,14.1599,7.32008,16.5925,20.8889,12.3335,15.1355,5.29788,8.61084
124,68.6696,133.742,275.498,111,1.85176e-19,146575,10335796,10.8963,9.67997,9.04578,6.65475,14.8553,4.97355,13.3422,5.94524,12.7806
903,8.90361,123.419,97.055,113,9.13353e-15,9232.9,1340125,12.8848,3.54753,10.6732,11.661,14.0333,1.96607,5.70207,9.33436,12.2094
1485,33.751,115.245,543.19,81,0,260928,5080026,13.5087,11.9114,3.18918,10.8951,15.7146,10.3347,14.2575,0.00476,7.29708
1486,23.6673,71.4443,111.713,59,0,30772.5,3562282,11.4247,13.7455,2.59332,8.54143,13.8465,11.6049,15.4344,0.00476,4.99324
715,2.26645,126.581,91.0519,117,0.730916,6992.11,341134,13.8341,4.43145,11.8716,12.651,14.986,3.55387,5.75811,11.2193,12.5331
1105,4.30192,127.965,138.167,103,1.28937e-06,21746.2,647503,18.7568,8.65554,7.94849,17.5452,20.8702,7.23383,9.81167,6.51644,8.99164
924,8.32155,175.208,227.759,149,1.08201e-05,43468.5,1252517,17.2524,7.32222,9.27901,16.1068,19.7121,5.29111,9.08315,7.88732,10.5529
540,8.0787,125.058,113.275,111,2.1893e-10,13571.4,1215964,14.5371,5.73611,10.4942,12.7444,16.7046,4.71203,7.75687,9.4486,12.1904
1320,8.05461,81.8202,74.1831,67,1.25591e-06,8722.67,1212338,13.2903,13.426,4.86196,11.661,14.8553,11.7917,15.3596,3.62236,6.4022
744,9.00332,108.974,278.781,87,1.21976e-08,73468.2,1355133,17.5624,9.62724,6.95718,15.7706,20.6087,8.35463,10.8204,4.95516,10.0769
359,16.1055,104.032,140.802,87,4.95137e-06,30363.5,2424110,13.158,4.58769,13.1139,10.9885,15.5278,2.63855,7.75687,11.2955,15.4843
178,12.0408,52.7252,216.008,39,2.64309e-16,89780.1,1812315,17.2238,12.3686,8.33482,16.0134,19.189,10.5402,14.9113,6.783,10.6481
1145,38.1225,95.6503,174.706,75,2.85757e-10,49103.5,5737998,10.1063,12.9454,4.65363,6.69211,13.1927,10.3347,15.5091,1.48988,7.81116
569,5.54785,108.771,176.429,87,0.524284,41770.1,835034,17.095,9.24187,10.1838,15.864,18.4605,7.60743,11.5863,8.64892,11.4668
380,0.0171146,204.336,139.629,169,58.8763,2588.78,2576,16.6872,9.61876,9.51948,16.5365,16.8727,9.34467,9.86771,9.27724,9.8294
