label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
1,0,3.3365,0.72383,Trachea,14.6109,10.3568,19.3113,-0.0617111,0.12624,-0.990078
2,1,3.5738,0.751012,RMB,14.0213,10.7078,15.946,-0.272371,0.0785718,-0.958979
3,1,5.81689,0.520186,LMB,15.2896,11.1196,14.9131,0.268717,0.189878,-0.944318
4,2,2.08903,0.473786,CrRMB,12.5471,10.7172,13.9183,-0.945417,-0.125417,-0.300762
5,2,1.70986,0.804786,RMB,13.4269,10.8857,13.3851,-0.125917,0.043805,-0.991073
6,3,1.33016,0.424224,,16.6701,11.5081,12.4046,0.900715,-0.246285,0.35785
7,3,1.18298,0.651728,LMB,16.3191,11.9293,11.6954,0.419364,0.435172,-0.796717
8,4,0.848304,0.271853,,11.466,10.9559,13.7898,-0.220675,0.871622,0.437697
9,4,0.0430342,0.51757,CrRMB,11.5409,10.5815,13.5946,-0.869081,-0.218417,-0.443837
10,5,2.64847,0.449528,MiRMB,12.7717,9.80927,12.0761,-0.413484,-0.841113,-0.348654
11,5,0.200121,0.78162,RMB,13.3193,10.9278,12.4378,0,0.0469688,-0.998896
12,6,0.760274,0.205304,,17.3862,11.6766,12.7854,0.307785,0.874158,0.375654
13,6,0.398577,0.319339,,17.4423,11.2554,12.6854,0.86884,-0.446087,0.214764
14,7,0.931352,0.291755,,16.5578,12.6266,11.3765,-0.020078,0.944756,0.327159
15,7,0.445823,0.550344,LMB,16.6561,12.2476,11.029,0.398816,0.272979,-0.875459
16,8,0.34321,0.125925,,11.363,11.3256,14.1467,-0.0544874,0,0.998514
17,8,0.471114,0.128164,,11.4051,11.5549,13.9325,0.139031,0.973437,-0.181909
18,9,0.911139,0.353409,,11.2648,10.2679,13.7992,-0.565007,-0.678009,0.470181
19,9,1.43694,0.385449,CrRMB,10.9138,10.7874,13.2661,-0.846799,0.293123,-0.44386
20,10,1.20981,0.338405,MiRMB,12.1727,8.09642,11.5478,-0.0851375,-0.990268,-0.110099
21,10,0.664363,0.268274,,12.0276,8.7516,11.3526,-0.591845,0.169064,-0.788123
22,11,2.07471,0.658117,CaRMB,12.8466,11.2648,11.4764,-0.455678,0.320286,-0.830526
23,11,2.85896,0.496834,AcRMB,13.7779,10.5066,11.0527,0.320851,-0.297941,-0.899047
24,12,0.524097,0.12359,,17.3722,12.1727,13.0852,-0.500099,0.625076,0.599317
25,12,0.325015,0.127054,,17.6389,12.0978,12.9186,0.835033,0.547052,-0.0587671
26,13,0.778779,0.226009,,17.6389,11.0682,13.1042,0.0600949,-0.252447,0.965743
27,13,0.869929,0.228481,,17.9759,10.9934,12.5568,0.828459,-0.398078,-0.39394
28,14,0.239543,0.129515,,16.4409,13.1134,11.5526,-0.898795,0.390746,0.198711
29,14,0.386342,0.143577,,16.6701,13.2164,11.5192,0.629752,0.775221,-0.0494386
30,15,1.18377,0.421974,LMB,16.745,12.5752,10.3054,0,0.450677,-0.892687
31,15,1.13073,0.346418,,17.2739,12.2476,10.6434,0.935414,-0.10763,-0.336774
32,16,0.594993,0.0905342,,11.1384,11.3724,14.518,-0.723704,0.157313,0.671941
33,16,0.358726,0.106671,,11.4426,11.2929,14.4704,0.495644,-0.182589,0.849116
34,17,0.425515,0.103949,,11.4004,11.9901,13.9278,-0.176021,0.968004,0.178843
35,17,0.221545,0.112567,,11.5081,11.8123,13.8088,0.633734,0.253673,-0.730774
36,18,0.676772,0.166048,,10.7593,10.0433,14.2276,-0.733038,0.248917,0.633005
37,18,0.122351,0.274107,,11.0027,9.90288,14.0372,-0.0768231,-0.918011,0.389042
38,19,0.723018,0.183782,,10.062,11.1197,13.1852,-0.673234,0.336644,0.658352
39,19,0.20246,0.349049,CrRMB,10.2445,10.998,12.8663,-0.601108,0,-0.799168
40,20,0.771215,0.201746,,12.0463,7.4038,11.8477,-0.194238,-0.242733,0.950448
41,20,0.400626,0.342909,MiRMB,12.1259,7.3008,11.4431,0.0234642,-0.981464,-0.190204
42,21,0.448309,0.129973,,11.7702,9.02304,11.0766,-0.271242,0.960409,-0.0635735
43,21,0.225212,0.17854,,11.7842,8.7516,11.0052,-0.41561,-0.49873,-0.760616
44,22,1.0753,0.308245,,12.2803,12.065,10.8624,-0.174092,0.870457,0.460431
45,22,0.48924,0.589452,CaRMB,12.2523,11.6532,10.4102,-0.497303,0.229744,-0.836605
46,23,0.974583,0.189672,,14.1336,10.2679,9.32961,-0.211373,0.384164,-0.898743
47,23,0.684892,0.378751,AcRMB,14.4004,9.85607,9.56761,0.478324,-0.655957,-0.583888
48,24,0.302436,0.0921212,,17.2084,12.374,13.3851,-0.216576,0.247655,0.944332
49,24,0.575144,0.0834434,,17.1288,12.5939,13.3042,-0.390511,0.89508,0.215251
50,25,0.477605,0.0932237,,17.9758,12.1867,13.0376,0.842746,0,0.538311
51,25,0.0915623,0.11458,,17.7886,12.2148,12.8758,0.306906,0.61379,-0.727372
52,26,0.123501,0.198503,,17.6295,10.9699,13.5326,-0.530364,0,0.84777
53,26,0.662177,0.170636,,17.9057,10.8249,13.6516,0.735,-0.438101,0.517535
54,27,0.341604,0.217055,,18.5,10.778,12.3617,0.959002,-0.246777,-0.139342
55,27,0.479746,0.13835,,18.2052,10.7078,12.2189,-0.546124,-0.468372,-0.694533
56,28,0.365137,0.0903083,,16.2911,13.1836,11.7525,-0.230598,0.12817,0.964571
57,28,0.399893,0.098963,,16.1741,13.2351,11.4812,-0.795716,0.374351,-0.476128
58,29,0.310624,0.111592,,16.9182,13.4269,11.5763,0.813845,0.39179,0.429135
59,29,0.397274,0.10666,,16.8105,13.5486,11.4335,0.0943943,0.918762,-0.383363
60,30,0.757546,0.188266,,16.4128,13.0198,9.81511,-0.877176,0.469543,0.100456
61,30,0.291748,0.403822,LMB,16.7918,12.9121,9.65806,0.320822,0.481237,-0.815772
62,31,0.127871,0.262,,17.8636,12.1914,10.4339,0.951744,0.0735145,-0.297959
63,31,0.636556,0.186468,,17.7091,11.9387,10.2769,-0.294083,-0.779349,-0.55329
64,33,0.524445,0.0898149,,11.4941,11.1993,14.875,-0.142817,-0.232055,0.962161
65,33,0.277409,0.0841218,,11.6298,11.3537,14.6512,0.708701,0.674815,0.205834
66,34,0.0163406,0.111828,,11.3677,12.2008,13.9706,0.575277,0.569149,0.587475
67,34,0.456066,0.0784424,,11.1758,12.3131,14.023,-0.820935,0.513084,0.250621
68,35,0.332159,0.0788212,,11.7421,11.8638,13.7421,0.986273,0.140898,0.0861025
69,35,0.432233,0.0852533,,11.6907,11.92,13.5612,0.519858,0.36809,-0.770881
70,36,0.376119,0.106549,,10.502,10.2304,14.5989,-0.0497173,0.547433,0.835371
71,36,0.164653,0.120862,,10.4364,10.1088,14.4704,-0.909794,-0.22714,0.347394
72,37,0.892403,0.19102,,11.0916,9.58932,14.4132,0.20977,-0.576869,0.789442
73,37,1.06735,0.195383,,10.7078,9.43488,13.8849,-0.543682,-0.771704,-0.329975
74,38,0.111368,0.135992,,9.79524,11.2882,13.4422,-0.420225,0.840459,0.342111
75,38,0.46162,0.0944027,,9.70632,11.115,13.5803,-0.486634,-0.547637,0.680648
76,39,0.190886,0.328006,CrRMB,10.1135,11.0167,12.7235,-0.735518,0.19593,-0.648556
77,39,0.52393,0.188672,,10.3662,10.9325,12.6093,0.69666,-0.250034,-0.67242
78,40,0.392901,0.101934,,11.9293,7.474,12.3141,-0.214303,0.833798,0.508779
79,40,0.269484,0.135742,,11.9761,7.20255,12.2951,0.0348793,-0.798933,0.600407
80,41,0.925126,0.226054,,11.7889,6.81405,11.2908,-0.738602,-0.627265,-0.246993
81,41,0.604921,0.282693,MiRMB,12.2429,6.8234,11.4002,0.371288,-0.928385,-0.0157038
82,42,0.228913,0.0970371,,11.6298,9.30852,11.1051,-0.695459,0.613333,0.374378
83,42,0.270206,0.0835113,,11.7889,9.3366,11.0147,0.588808,0.727444,-0.352322
84,43,0.736438,0.160359,,11.4286,8.54568,10.7862,-0.838766,-0.406715,-0.362014
85,43,0.51098,0.108516,,11.948,8.63928,10.7862,0.824297,-0.219813,-0.521743
86,44,0.551093,0.112409,,12.2616,12.5752,11.3717,0.271824,0.152969,0.950112
87,44,0.250505,0.132768,,12.1633,12.65,11.0718,-0.186821,0.934113,-0.304187
