label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,11.7136,0.802096,1.55591,0.6275,0.00116903,1526.7,13925136,18.2015,14.4088,10.0267,16.1116,20.445,12.6336,15.9706,8.11104,11.3383
2,11.3248,0.959151,0.989988,0.7825,1.06523e-17,337.075,13462840,18.7013,13.3759,11.8968,16.5628,20.8022,11.2236,15.0306,10.1102,13.2994
3,10.4529,0.77429,2.00501,0.5525,0,2115.02,12426320,18.8853,14.6786,6.98127,17.3712,20.7834,12.0132,16.4594,5.36928,8.29192
4,10.3724,1.18134,1.97297,0.8975,5.17835e-05,1850.68,12330616,20.5106,12.6617,10.3387,18.6872,22.0806,10.6032,14.6358,8.91072,11.5858
5,10.3619,0.925634,1.56504,0.7225,2.3521e-11,1348.06,12318168,18.4314,11.7421,13.8587,16.3748,20.4262,9.9828,13.7522,12.1475,15.451
6,9.3136,1.27413,11.8812,0.8325,2.16014e-26,7866.99,11071976,20.3959,14.3717,5.81272,18.1232,22.419,12.8592,16.0082,3.73184,7.43512
7,8.45759,1.38457,6.50237,0.9775,2.31511e-13,6329.73,10054352,18.6086,9.40129,14.748,16.5628,20.3134,8.0464,10.8758,13.1186,16.3839
8,8.39257,1.11372,2.408,0.8825,9.1039e-12,2071.78,9977056,19.9755,6.70078,11.0089,18.2924,21.6294,5.358,8.2438,9.48192,12.3094
9,7.80578,0.543845,0.666075,0.4225,1.73936e-06,162.849,9279480,17.4651,14.9507,8.26446,15.886,19.1478,13.3104,16.3466,6.72112,9.35816
10,7.74037,0.911271,0.825466,0.7575,2.16449e-07,190.027,9201720,20.18,11.3074,12.3679,18.0668,21.7422,9.9076,13.0754,10.7576,14.1943
11,7.46087,1.01233,2.289,0.7675,4.18789e-21,1618.2,8869448,19.0604,5.17402,12.4628,17.4276,20.727,3.384,6.6458,10.948,14.1562
12,7.13309,0.920491,2.72391,0.6825,3.88318e-08,2187.57,8479792,19.9332,14.3219,8.70986,18.612,21.4414,12.5584,15.9706,7.44464,10.0055
13,6.75225,1.47693,1.51848,1.2175,2.46112e-09,854.913,8027048,20.6667,11.6332,8.5528,19.1196,22.2686,9.6256,13.6206,6.98768,9.81512
14,6.28505,1.16991,1.94766,0.9775,2.5945e-07,1662,7471648,19.9062,10.3421,12.0603,18.0292,21.7422,9.0052,11.7406,10.3768,13.2804
15,6.1979,1.03933,0.917887,0.8575,2.24705e-13,261.319,7368040,20.08,8.90434,13.2656,18.0292,21.479,7.4448,10.3118,11.7096,14.9559
16,6.18478,1.72115,2.17915,1.3625,0.00121137,1018.86,7352440,18.8444,9.36269,10.1698,17.5404,20.1254,7.5952,11.1014,8.6632,11.9476
17,5.98411,2.69136,13.9024,1.6475,2.3544e-09,9264.8,7113888,17.5919,11.351,12.7564,16.0364,18.8846,9.0616,13.0566,11.5954,14.2895
18,5.95467,0.721493,1.18109,0.5675,2.25416e-05,989.764,7078888,16.5923,11.9818,9.0025,15.51,18.0198,9.7948,14.0342,8.07296,10.9194
19,5.85445,0.651019,1.16057,0.4925,0.00495416,1196.49,6959744,16.4017,12.0372,10.5658,15.3784,18.0574,10.34,13.9026,9.38672,12.0999
20,5.70373,1.10757,1.74277,0.8525,1.06982e-13,1074.35,6780568,20.7047,13.5715,7.47554,19.27,22.1182,12.0132,15.2938,5.44544,9.16776
21,5.69753,1.53395,1.61208,1.2225,6.19854e-25,188.424,6773200,21.7869,11.978,7.34435,20.0784,23.0958,10.904,13.2446,5.78816,8.72984
22,5.61539,0.852958,1.23699,0.6175,3.45113e-30,564.943,6675552,16.5899,13.3513,5.54174,15.2092,18.3958,11.9192,14.5042,4.32208,6.65448
23,5.5962,0.600589,0.792496,0.4475,4.9943e-11,115.634,6652736,17.5066,14.9799,5.79045,15.886,18.6214,13.2164,16.6098,4.53152,6.86392
24,5.55822,1.23274,1.89346,0.9925,0.00495349,985.878,6607592,16.9917,9.66974,10.5421,15.6416,18.377,8.5352,11.1954,9.38672,12.2332
25,5.07169,0.765887,2.25276,0.6025,1.842e-15,1357.6,6029208,16.8087,12.7673,12.2418,15.8108,17.907,10.3776,14.0718,10.9861,13.8897
26,4.88533,1.1527,1.95827,0.8275,5.37813e-14,706.463,5807656,17.9226,5.16149,14.6851,16.826,19.787,3.6848,6.345,13.7278,15.8698
27,4.57446,1.22564,1.38932,1.0025,1.16199e-14,594.823,5438096,20.6325,8.43077,10.024,18.518,22.1182,7.3132,9.6162,8.03488,11.5478
28,4.47646,0.577724,0.751188,0.4375,1.40355e-20,257.842,5321592,17.1157,11.5681,7.02655,15.6604,20.2382,10.2272,12.8498,6.05472,8.33
29,4.46512,0.634174,0.961769,0.4825,2.89147e-05,632.675,5308112,17.0203,12.0057,7.76206,15.7356,18.3206,10.2272,13.4514,6.9496,9.35816
30,4.42906,1.15535,1.13053,0.9225,6.96576e-05,316.245,5265248,18.0547,10.7412,9.03056,16.6756,19.2042,8.9676,12.361,7.97776,10.1007
31,4.39277,1.71815,4.21215,1.3425,4.43502e-13,2861.82,5222112,18.8761,7.68842,14.9763,16.638,20.351,6.7304,8.5822,13.5184,16.403
32,4.35812,1.12412,7.31336,0.8925,0.0062696,5117.36,5180920,16.9099,8.64313,11.3935,15.1904,18.377,7.5388,10.387,9.48192,13.0138
33,4.28441,1.61734,4.27413,1.2325,1.57376e-06,2183.4,5093288,18.3995,6.57903,14.8165,16.6004,20.163,5.7528,7.3226,13.5755,15.965
34,4.12856,1.17516,1.26336,0.9675,2.62265e-36,481.665,4908016,21.168,8.22137,9.05896,18.5556,22.3814,7.332,9.3154,7.616,10.5577
35,3.88871,0.857454,4.29833,0.5625,2.4378e-11,1918.79,4622888,17.246,9.8612,15.1082,16.262,18.2078,8.7608,10.857,14.0325,16.5172
36,3.6447,1.12828,1.22549,0.9225,2.82956e-11,393.108,4332800,21.7004,12.921,6.59419,20.5672,23.0582,11.9568,14.617,5.19792,7.98728
37,3.62268,1.65152,8.29459,1.2325,0.00013174,4630.64,4306624,17.5563,8.43285,12.4369,15.51,18.5274,7.2568,9.8042,11.4621,13.6422
38,3.61865,0.682362,1.38419,0.6025,0.00182797,860.057,4301832,16.3145,10.7754,9.65889,15.3032,17.7002,9.2684,11.8346,8.32048,12.0999
39,3.58215,0.997457,2.74236,0.6975,6.55577e-20,1113.87,4258448,18.2007,4.67477,13.3737,17.0704,19.8246,3.4216,6.721,12.2046,14.1562
40,3.5513,0.899034,2.04524,0.7025,2.14966e-11,774.011,4221776,20.8364,9.27659,11.2028,19.458,21.9302,7.99,10.7818,9.88176,12.0238
41,3.53463,0.777852,4.11794,0.5775,7.11125e-26,1957.91,4201952,19.7638,4.86089,10.7905,18.4052,20.915,3.384,6.3074,9.17728,12.0047
42,3.52097,3.81528,21.835,1.9325,2.17127e-07,5066.51,4185720,17.0801,10.3898,13.716,15.4348,18.2454,9.024,11.5526,13.0424,14.518
43,3.51688,0.741663,1.50041,0.5625,5.16543e-34,971.519,4180856,16.5694,14.4243,4.66506,15.2844,17.6626,12.3328,16.309,3.82704,5.49304
44,3.32463,1.10385,1.47822,0.8775,0.0115114,538.191,3952312,18.429,7.47829,11.24,16.826,19.6366,5.8468,8.9958,9.7104,12.4998
