time,Flow,RR,Inspiration
33.91,17.28,254,1
33.92,71.639,254,1
33.93,106.11,254,1
33.94,123.052,254,1
33.95,132.541,254,1
33.96,136.651,254,1
33.97,136.2,254,1
33.98,133.826,254,1
33.99,130.041,254,1
34,122.572,254,1
34.01,104.486,254,1
34.02,67.104,254,1
34.03,10.851,254,1
34.04,-10.259,254,0
34.05,-5.146,254,0
34.06,-4.956,254,0
34.07,-4.946,254,0
34.08,-4.951,254,0
34.09,-4.941,254,0
34.1,-4.935,254,0
34.11,-4.951,254,0
34.12,-4.941,254,0
34.13,-4.92,251,0
34.14,-4.935,248,0
34.15,-4.915,246,0
34.16,-4.92,243,0
34.17,-4.951,241,0
34.18,-5.059,238,0
34.19,-10.529,236,0
34.2,21.192,236,1
34.21,78.167,236,1
34.22,113.937,236,1
34.23,130.353,236,1
34.24,139.691,236,1
34.25,145.919,236,1
34.26,151.27,236,1
34.27,151.243,236,1
34.28,143.684,236,1
34.29,128.387,236,1
34.3,101.365,236,1
34.31,56.581,236,1
34.32,-1.08,236,0
34.33,-8.057,236,0
34.34,-5.018,236,0
34.35,-4.961,236,0
34.36,-4.941,236,0
34.37,-4.977,236,0
34.38,-4.935,236,0
34.39,-4.93,236,0
34.4,-4.946,236,0
34.41,-4.956,236,0
34.42,-4.946,236,0
34.43,-4.961,234,0
34.44,-4.92,232,0
34.45,-4.935,229,0
34.46,-4.92,227,0
34.47,-10.353,225,0
34.48,12.626,225,1
34.49,64.658,225,1
34.5,99.752,225,1
34.51,118.516,225,1
34.52,128.361,225,1
34.53,131.21,225,1
34.54,134.168,225,1
34.55,135.327,225,1
34.56,132.045,225,1
34.57,121.665,225,1
34.58,100.488,225,1
34.59,63.43,225,1
34.6,10.438,225,1
34.61,-10.202,225,0
34.62,-5.136,225,0
34.63,-4.941,225,0
34.64,-4.941,225,0
34.65,-4.935,225,0
34.66,-4.946,225,0
34.67,-4.92,225,0
34.68,-4.915,225,0
34.69,-4.935,224,0
34.7,-4.941,222,0
34.71,-4.925,220,0
34.72,-4.935,218,0
34.73,-4.925,216,0
34.74,-4.925,214,0
34.75,-9.978,213,0
34.76,13.96,213,1
34.77,79.096,213,1
34.78,124.674,213,1
34.79,144.636,213,1
34.8,151.855,213,1
34.81,155.526,213,1
34.82,161.21,213,1
34.83,166.466,213,1
34.84,166.466,213,1
34.85,152.748,213,1
34.86,116.389,213,1
34.87,56.045,213,1
34.88,-7.414,213,0
34.89,-5.748,213,0
34.9,-4.956,213,0
34.91,-4.967,213,0
34.92,-4.946,213,0
34.93,-4.93,213,0
34.94,-4.951,213,0
34.95,-4.951,213,0
34.96,-4.967,213,0
34.97,-4.925,213,0
34.98,-4.93,213,0
34.99,-4.92,213,0
35,-4.92,213,0
35.01,-4.946,213,0
35.02,-6.114,213,0
35.03,-8.961,213,0
35.04,36.789,213,1
35.05,88.263,213,1
35.06,116.438,213,1
35.07,130.534,213,1
35.08,137.342,213,1
35.09,140.147,213,1
35.1,142.735,213,1
35.11,144.99,213,1
35.12,139.825,213,1
35.13,123.963,213,1
35.14,93.326,213,1
35.15,38.734,213,1
35.16,-9.724,213,0
35.17,-5.49,213,0
35.18,-4.972,213,0
35.19,-4.93,213,0
35.2,-4.951,213,0
35.21,-4.946,213,0
35.22,-4.956,213,0
35.23,-4.935,213,0
35.24,-4.93,213,0
35.25,-4.915,213,0
35.26,-4.925,213,0
35.27,-4.935,213,0
35.28,-4.92,213,0
35.29,-8.602,213,0
35.3,2.29,218,1
35.31,64.184,218,1
35.32,116.586,218,1
35.33,146.713,218,1
35.34,158.328,218,1
35.35,163.857,218,1
35.36,162.675,218,1
35.37,147.372,218,1
35.38,107.033,218,1
35.39,42.01,218,1
35.4,-9.761,218,0
35.41,-5.53,218,0
35.42,-4.961,218,0
35.43,-4.961,218,0
35.44,-4.941,218,0
35.45,-4.935,218,0
35.46,-4.956,218,0
35.47,-4.93,218,0
35.48,-4.941,218,0
35.49,-4.91,218,0
35.5,-4.92,218,0
35.51,-4.946,218,0
35.52,-9.957,218,0
35.53,13.059,228,1
