label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,7.65417,321.029,183.738,297,7.8266,12636.9,1167012,15.8563,11.7564,8.90588,14.0546,17.748,10.1755,13.2194,7.05432,10.1578
2,6.26125,185.653,128.598,161,4.64746e-10,7465.04,954637,15.3643,14.0381,10.8372,13.9246,16.7458,12.3842,15.6136,9.92936,12.157
3,5.75846,211.927,165.466,187,0.00346056,16624.8,877977,16.4479,15.2646,4.8372,14.8155,17.8594,13.8875,16.2075,3.70328,5.70248
4,5.60622,242.246,162.069,221,0.0148014,12496,854766,16.2175,15.1346,7.80246,14.3515,17.9893,13.4235,16.1704,6.74968,8.9964
5,5.31906,265.004,198.98,233,4.73102e-06,11531.9,810984,16.7254,12.7436,14.1005,15.2795,18.212,10.9365,14.1659,12.5188,15.451
6,4.8635,315.795,201.896,289,0.00283831,12397.9,741526,18.4075,12.1267,10.3281,16.5416,19.8082,10.8808,13.108,9.45336,11.3383
7,4.65774,213.345,130.595,191,2.91623,34027,710153,14.691,12.8888,6.01624,13.4421,16.0219,11.9202,14.1845,4.95992,7.0924
8,4.65528,270.813,180.814,247,0.113289,13706.6,709778,17.7217,14.7214,6.14206,16.3189,19.3627,13.6834,16.059,5.0932,7.32088
9,4.46236,227.88,133.962,201,5.54407,14737.3,680364,14.7085,13.5186,9.11728,13.7947,16.4859,12.4398,14.7227,8.2348,10.4625
10,4.35002,324.442,201.291,307,0.000401912,11636.7,663237,18.7806,10.199,10.8319,17.3397,19.8453,9.1176,11.1406,9.91032,11.8714
11,4.26785,243.406,145.738,223,0.000726485,15517.6,650708,16.4677,12.4861,6.35804,15.3723,17.6552,11.1221,13.9803,4.998,7.62552
12,4.23969,149.809,155.878,117,6.1193e-10,11242.2,646415,15.3188,14.9872,2.01823,14.1845,15.9848,13.3678,16.059,0.50456,3.20824
13,4.22796,272.918,220.378,231,0.000427453,9453.4,644627,18.0503,6.4084,10.5002,17.0056,19.2142,4.64464,8.31952,8.72984,11.662
14,4.20967,209.81,136.422,199,0.150225,7917.25,641838,15.6155,14.7016,9.27152,14.333,16.7643,13.3307,15.8734,8.38712,10.1959
15,4.18743,396.146,205.813,359,30.4277,15945.3,638447,16.6781,10.4719,9.53745,15.3166,17.915,8.76496,12.5326,7.54936,11.5097
16,4.16699,238.406,123.478,211,7.01268,8480.17,635330,14.595,12.9214,7.49874,13.572,15.9477,12.013,14.0917,6.6164,8.5204
17,4.1392,248.103,169.557,225,0.0267755,8551.67,631093,17.4046,14.6372,8.09671,16.3189,18.8059,13.2379,15.9106,7.11144,8.97736
18,4.12074,302.127,195.374,277,0.000396765,11824.5,628279,17.3015,13.595,11.8348,16.0034,19.1029,11.9387,15.3538,11.205,12.9377
19,4.0221,285.814,179.207,261,0.504754,23544.9,613240,18.3033,13.3886,7.84314,16.6901,19.771,12.0872,14.7598,7.13048,8.88216
20,4.01539,222.282,145.94,193,9.67929,26559.8,612217,14.4864,11.9361,10.5184,13.6648,15.6136,10.491,13.4606,8.19672,11.8143
21,3.97285,215.99,156.521,193,0.0289647,11096.2,605730,17.1538,14.7425,3.52823,15.8549,18.3976,13.108,16.1333,2.59896,4.4268
22,3.96567,456.514,239.064,417,32.3813,18595,604636,17.5734,9.82414,9.26224,16.3374,18.5275,8.468,11.549,7.45416,11.3002
23,3.9077,360.348,311.202,307,0.000589722,18927.2,595797,19.2989,8.75955,7.58249,17.8222,20.1422,7.09456,10.491,6.17848,8.55848
24,3.89643,178.34,136.749,157,1.22908e-08,8671.92,594079,14.451,13.2756,4.15928,13.3307,16.0405,12.2171,15.428,3.03688,5.3788
25,3.88477,270.607,186.213,243,0.0111953,12298.6,592301,17.2343,14.3856,9.47397,16.0034,18.9173,12.3656,15.8363,8.74888,10.234
26,3.85816,356.433,289.743,321,6.31008e-08,20155.5,588244,16.8524,8.76033,15.4209,15.9662,18.2491,7.50288,9.6744,13.9468,16.8599
27,3.80984,216.228,167.701,185,6.20012e-08,17533.6,580876,15.7733,13.8607,12.0461,14.2958,16.7272,12.0315,15.3166,11.2431,12.8996
28,3.75437,325.597,170.033,303,5.54923,7540.35,572419,16.7272,9.66013,10.7107,15.5579,17.6738,8.31952,11.1035,9.71992,11.681
29,3.71557,279.961,208.081,255,8.13356e-08,6816.83,566504,16.6586,11.5005,15.0989,15.6693,18.4347,10.3426,12.8667,13.7374,16.3458
30,3.69772,322.12,213.957,295,0.00528015,19080.3,563782,18.7423,11.6541,11.529,17.4139,19.6968,10.4354,13.108,10.691,12.2713
31,3.67343,235.527,167.184,219,2.29132,9031.64,560079,14.9606,10.9353,12.0958,13.8318,17.0613,9.54448,13.2565,11.0337,13.585
32,3.66642,350.625,225.537,329,1.42128,20052.5,559010,18.2646,12.3797,8.95695,16.9128,19.7339,11.0664,13.3678,7.77784,9.73896
33,3.63273,200.466,196.648,163,0.00234221,15461.9,553873,18.8746,13.4466,3.47614,17.451,20.1051,12.477,14.6856,1.9516,4.44584
34,3.51391,316.783,296.264,269,4.34253e-05,12564.9,535757,19.4364,9.24458,6.58,17.7109,20.3278,7.76272,10.3054,5.11224,7.54936
35,3.49158,396.868,241.331,365,1.97369,19161.3,532352,18.2723,10.8108,12.5252,16.7086,19.4741,9.84144,11.5861,11.6239,13.585
36,3.48638,337.189,216.962,311,0.0181721,20739.6,531559,17.4356,12.2946,13.1005,15.8734,18.843,10.7138,14.0546,11.7572,14.499
37,3.47814,212.357,146.088,191,0.0285662,9307.27,530303,14.8022,14.4271,5.1453,13.6277,16.1333,13.0709,15.9106,4.46488,5.79768
38,3.46054,338.117,180.814,309,20.1021,12550.6,527619,15.5383,10.9685,10.3289,14.333,16.7829,9.63728,12.4955,9.282,11.5478
39,3.45642,252.842,178.793,235,1.52532e-12,12366.3,526991,16.4866,13.6573,13.0477,14.7413,18.3234,12.2171,14.9083,12.2522,13.9087
40,3.44413,348.087,226.324,313,3.45759,17893.8,525117,17.5863,11.5262,11.171,16.5973,19.6968,10.0827,12.7368,9.4724,12.2332
41,3.41922,292.346,189.34,267,0.256334,12060.4,521319,18.1127,13.7044,6.66911,16.6715,19.6226,12.644,15.0382,5.39784,7.53032
42,3.39721,260.315,244.717,219,5.27806e-07,14688.9,517964,17.117,6.84009,13.4757,15.6507,18.6203,5.4984,7.92976,12.6902,14.7655
43,3.31029,196.168,130.073,179,0.129128,5164.18,504712,15.0478,14.9402,3.83422,13.6648,16.0405,13.4978,16.1333,3.11304,4.56008
44,3.25371,312.881,207.914,289,0.106025,8903.91,496085,18.27,13.4382,10.0507,16.7643,19.5112,12.0501,14.9454,9.30104,11.4335
45,3.23341,207.358,156.966,181,0.0515908,10616.4,492990,15.2439,15.1697,6.40023,14.1288,16.0034,13.9432,16.1333,5.43592,7.33992
46,3.18612,351.315,236.234,309,0.203308,18209.3,485779,19.0571,12.4924,7.1402,17.5253,20.068,11.549,13.572,6.27368,8.02536
47,3.17569,330.527,198.093,299,18.1389,16079.8,484189,16.5481,11.9959,7.4986,15.5208,17.8594,10.324,13.4978,6.0452,8.86312
48,3.17045,309.561,212.161,289,0.00179684,13775.8,483390,17.6746,13.6177,10.8743,16.4674,19.1771,12.347,15.0939,9.49144,11.5478
49,3.16579,301.423,183.852,273,11.1266,8825.89,482680,16.0624,10.3278,11.5974,14.5557,17.1912,8.80208,12.2171,9.89128,13.1281
50,3.15653,348.296,235.443,311,3.77388e-06,11892.4,481268,18.1728,7.76786,11.0217,16.6344,19.5112,6.74192,9.1176,10.0436,11.8143
51,3.04066,426.597,230.767,393,1.461,11894.4,463601,17.6921,10.8492,7.74917,16.7643,18.7317,9.73008,12.5512,6.46408,9.282
52,3.03438,391.056,275.073,345,0.00432733,16243.3,462644,19.146,11.6781,6.19713,17.9522,20.2165,10.6952,12.7554,5.16936,7.33992
53,3.02559,386.272,248.02,349,0.0062182,16732.9,461304,17.6861,11.5853,6.60343,16.7829,18.8059,9.80432,12.7554,5.2836,7.98728
54,3.02005,399.269,258.714,359,0.133962,14591.2,460460,18.9891,10.7552,9.40562,17.748,20.0309,9.60016,11.6603,8.25384,10.1198
55,2.97532,244.164,162.134,221,0.00144204,7970.39,453640,16.3792,15.2676,6.3228,15.7435,17.1912,13.9061,16.2075,5.55016,7.24472
56,2.92164,167.007,180.972,129,0.000116467,8906.81,445455,17.5138,14.9247,2.17621,16.2446,18.6946,13.6648,15.9477,0.92344,2.97976
57,2.8467,177.726,176.693,145,2.23456e-14,7160.51,434029,17.3341,6.0788,12.1878,16.2446,18.5832,4.97872,7.48432,11.3383,13.0519
58,2.79576,253.516,181.24,237,0.145963,11016.3,426263,16.7953,14.7854,10.4445,14.6299,17.8779,13.1822,15.725,9.41528,11.3954
59,2.79519,249.968,181.519,223,0.263536,23085.3,426175,18.3242,14.3268,4.76556,17.0427,19.6968,13.2565,15.6136,4.08408,5.474
60,2.71694,251.169,165.35,233,0.365734,16683.3,414245,14.9615,14.3046,7.70055,13.9061,16.1147,12.811,15.725,7.03528,8.40616
61,2.6328,253.601,175.695,229,0.0577302,30825.7,401417,18.2121,13.6974,8.81537,16.7086,19.6226,12.7182,15.0939,8.27288,9.51048
62,2.62214,483.919,287.088,429,0.184147,12117.8,399791,18.184,9.63757,8.02724,16.987,19.9938,8.43088,11.1406,7.0924,9.41528
63,2.60258,135.556,129.991,111,6.56765e-07,6995.15,396808,14.2041,13.8917,2.81541,13.2936,15.9106,12.5883,15.6507,1.79928,3.49384
64,2.57774,119.265,140.106,85,4.58948e-05,6951.36,393022,16.4588,15.2152,1.72864,15.892,17.8779,13.8133,16.0219,0.50456,2.7132
65,2.55894,258.153,211.314,231,0.000244288,11186.3,390155,18.5115,6.96645,9.21463,17.2654,19.5854,5.57264,8.17104,8.0444,10.215
66,2.53213,269.629,243.989,231,0.000439108,9404.41,386068,18.9525,7.52358,8.22574,17.6923,19.771,6.09232,8.5608,6.86392,9.24392
67,2.44713,324.265,213.153,295,0.286834,8929.44,373108,19.2678,11.9834,8.62416,17.8222,20.0309,11.085,13.1451,7.77784,9.64376
68,2.42588,226.004,240.43,179,0.000142589,10528.3,369867,19.8187,10.3744,5.3928,18.6018,20.4392,8.98768,11.5675,4.27448,6.21656
69,2.41325,380.326,240.585,361,0.000220648,10043.4,367942,17.8765,10.5701,14.5414,16.5045,18.843,9.60016,11.6232,13.566,15.9079
70,2.40361,429.925,253.209,405,2.31421,11360.8,366473,18.3471,9.7081,12.4382,17.1541,19.4741,8.5608,10.3797,11.0527,14.023
71,2.3247,317.377,205.609,297,17.9925,14800.3,354441,16.6724,9.35225,12.3909,15.5579,17.7109,8.0968,10.1384,11.3764,13.7374
72,2.32467,304.312,210.323,281,0.0305669,16266.2,354436,18.9194,13.1572,5.75304,17.8779,19.9938,11.6603,14.2587,4.50296,6.48312
73,2.30949,196.491,205.311,157,3.86291e-06,11659.3,352122,19.7417,11.3144,4.71127,18.5646,20.4392,10.1013,11.9758,3.58904,5.72152
74,2.30748,235.945,159.668,213,0.000410944,9367.87,351816,16.7124,13.0668,5.25801,15.6693,17.7851,11.4005,14.1102,4.21736,7.41608
75,2.24432,358.871,244.116,327,6.16558e-05,15505.9,342186,18.5691,8.94314,11.5654,17.3397,19.5854,8.02256,9.84144,10.9004,12.6521
76,2.22954,259.596,189.365,233,12.0061,11636.7,339933,16.4485,10.3298,12.821,15.4651,17.3954,9.5816,11.6418,11.7001,13.7754
77,2.22758,311.154,180.395,277,18.7161,9257.12,339633,17.0632,8.53741,11.5307,16.0405,17.8594,7.85552,9.69296,10.0055,12.6711
78,2.19855,354.102,220.73,331,0.0152492,11620.6,335208,17.8049,11.6407,13.8986,16.2632,19.0286,10.5653,12.3842,13.1471,14.994
79,2.19619,382.822,261.204,353,0.833066,21180.7,334847,18.0835,9.10867,13.6848,16.7458,19.1029,8.50512,10.2869,12.7092,14.4799
80,2.1639,387.139,242.984,357,0.16022,13878.7,329924,18.2557,10.4709,13.5493,17.0427,19.2142,9.63728,11.4376,12.9948,14.1182
81,2.16334,307.668,188.079,293,0.000278442,10443.1,329839,17.657,12.4606,5.52418,17.0056,18.4347,11.252,14.0174,4.2364,7.0924
82,2.15536,256.662,155.633,239,0.00055241,8665.79,328622,14.7704,14.1045,6.47503,13.7762,16.523,13.1637,14.9826,5.60728,7.07336
83,2.1497,257.722,204.788,205,12.1081,9588.85,327759,16.0951,10.6667,14.1768,15.2053,17.0427,9.47024,11.7346,13.0519,15.0892
84,2.0654,215.99,163.398,199,0.00293551,17921.7,314906,16.5318,13.6933,4.14012,15.5765,17.451,12.5512,14.797,3.30344,5.58824
85,1.98429,324.528,219.889,297,0.815529,26028.3,302540,18.4193,12.2514,12.701,17.3026,19.2885,11.4562,13.3864,12.0238,13.547
86,1.96407,355.605,266.641,319,34.4295,51256.1,299456,17.6157,8.59881,9.66198,16.3189,18.4718,7.78128,9.34032,8.08248,10.8433
87,1.94897,365.01,266.903,335,0.0164407,18022.2,297155,17.3785,8.02206,14.1822,16.2261,18.6574,6.612,8.95056,13.6422,14.8226
88,1.88316,144.79,185.338,103,0.00064163,12266.7,287120,19.7383,12.3654,3.80304,18.509,20.4021,11.0293,13.4978,2.44664,4.75048
89,1.84087,347.547,221.222,329,0.00211024,17364.1,280673,17.7681,7.73576,12.2033,16.5602,19.0286,7.29872,8.54224,11.3764,12.8806
90,1.78411,456.238,292.349,421,0.00859111,16247.2,272019,18.4259,10.5431,6.63837,17.6552,19.2514,9.65584,11.4562,5.24552,7.81592
91,1.77238,116.125,133.35,95,0.000198147,4649.84,270230,18.7129,14.2971,2.37821,17.748,19.6782,13.3864,15.3909,1.19,3.05592
92,1.68495,415.357,287.052,393,0.0218125,15165.4,256900,17.5402,9.48358,14.8715,15.9291,18.6946,8.59792,10.4168,13.9087,15.965
93,1.66752,289.981,246.76,259,9.91276e-08,9750.06,254243,16.4467,10.0994,16.1261,15.8549,17.6923,9.28464,11.3448,15.3748,16.8599
94,1.65361,335.41,229.518,299,7.68198e-05,10269.9,252122,18.8264,8.63249,10.3762,17.7294,19.6597,7.78128,9.34032,9.41528,11.0146
95,1.64037,403.952,283.483,357,0.860862,12308.9,250103,19.3708,10.4221,8.41761,18.4718,20.1051,8.96912,11.2149,7.73976,9.24392
96,1.62454,257.044,242.639,233,6.9982e-08,15664.3,247689,16.718,7.37686,14.8168,15.7435,17.915,6.37072,8.52368,14.1372,15.9841
97,1.58201,274.262,175.711,253,0.727782,8355.53,241205,17.8784,13.4202,12.3784,17.0427,19.0286,12.1058,14.4258,11.3383,13.109
98,1.52402,167.606,120.769,151,0.000393932,6570.53,232364,15.6798,13.1355,4.52959,15.2238,16.2446,12.3099,14.3701,3.49384,5.5692
99,1.52074,202.262,148.456,181,0.119564,7065.02,231864,16.3333,15.4533,3.15621,15.6693,17.1541,13.7947,16.1333,2.57992,3.77944
100,1.52004,452.849,225.411,415,45.2464,15641.9,231756,16.9386,11.3878,8.23073,15.8549,17.9336,10.1755,12.9595,7.11144,9.71992
101,1.5102,288.965,239.155,255,0.00757874,19176.6,230256,19.1941,12.0871,5.15449,18.2306,20.2536,10.8994,12.6997,4.21736,5.93096
102,1.48184,368.901,243.77,335,0.101545,9706.94,225932,19.3209,11.1329,7.63014,18.4533,20.1422,10.4539,11.6418,6.9972,8.44424
103,1.48124,147.455,112.504,123,4.57373e-08,4872.43,225841,13.9746,12.7488,4.62912,13.3678,15.6507,12.1614,13.3678,3.79848,5.35976
104,1.47327,376.628,543.665,347,0.03287,110986,224626,18.92,9.39913,10.0747,17.6923,19.8453,8.82064,10.3426,9.35816,11.0146
105,1.44414,375.675,254.774,347,31.1677,15094.6,220185,16.8292,8.81757,13.3396,16.0219,17.7294,7.98544,9.78576,12.5569,14.1372
106,1.38426,103.844,122.97,77,6.68844e-08,4054.13,211054,14.2161,14.2453,1.80346,13.3493,14.9454,13.3307,15.131,0.8092,2.54184
107,1.35893,250.112,174.64,227,0.0021919,7750.5,207192,17.5466,13.19,4.41932,16.8386,18.4533,12.0315,14.1845,3.58904,5.3788
108,1.34027,289.569,221.714,267,0.00104665,11743.8,204348,19.1385,12.8328,4.67402,18.3048,19.9938,11.7531,13.739,3.70328,5.87384
109,1.32398,301.646,201.459,283,3.9895e-09,10879.2,201864,17.7331,7.04021,12.1729,16.7458,18.8802,6.612,7.37296,11.4145,12.9186
110,1.28843,395.129,282.884,355,0.034148,13323.5,196444,19.3927,10.3085,6.19286,18.5275,20.2907,9.6744,11.2149,5.30264,7.22568
111,1.28132,390.003,261.468,371,0.0829804,10350.1,195360,16.8982,10.2521,15.4219,15.8363,18.1378,9.61872,11.0107,14.6894,16.403
112,1.22549,362.558,245.603,323,23.3835,12419.8,186848,16.6636,9.7438,14.1418,15.8549,17.5438,8.89488,10.8066,13.547,14.8417
113,1.21884,232.865,60.709,231,55.9212,1390.83,185833,15.8658,11.2067,7.34147,14.7227,17.1355,9.84144,12.7182,5.72152,9.26296
114,1.19926,231.487,172.145,211,0.0532362,13336.5,182848,18.4319,14.4611,3.51705,17.5995,19.4741,13.3864,15.3538,2.78936,4.2364
115,1.17699,394.655,256.278,373,0.00270802,11197.2,179452,19.1594,8.70769,9.08166,18.3234,19.8824,8.1896,9.396,8.34904,9.81512
116,1.12654,402.213,240.3,381,0.00736383,8410.65,171761,18.5308,8.71173,12.4913,17.6181,19.3256,8.04112,9.41456,12.0047,12.9758
117,1.0669,410.317,262.601,381,1.03058,9119.22,162667,19.3096,9.54258,8.9167,18.3234,19.9938,8.932,10.2498,8.31096,9.54856
118,1.04852,173.408,141.098,149,0.00860701,6657.17,159865,15.5042,13.8284,3.23146,14.8712,16.0405,12.9595,14.6114,2.618,3.89368
119,1.00673,417.459,311.617,379,0.521624,14505.2,153493,19.6252,10.6223,6.93804,18.8802,20.2165,9.82288,11.252,6.0452,7.64456
120,0.93761,405.553,273.508,383,0.16155,8198.3,142955,18.0922,8.13962,13.1933,17.2283,18.9544,7.46576,8.7464,12.633,13.8326
121,0.898015,288.534,207.377,271,0.00252928,9728.86,136918,18.3041,12.6235,4.71824,17.6366,18.8059,11.252,13.739,4.00792,5.51208
122,0.896185,344.305,227.565,317,0.000531597,9796.03,136639,18.7311,7.94542,9.73625,17.2469,19.5854,7.50288,8.80208,9.22488,10.3102
123,0.760018,448.628,229.828,415,59.1148,4917.6,115878,18.1304,8.46042,8.85581,17.1726,18.7131,7.94832,9.28464,8.02536,10.215
124,0.625137,421.306,261.49,387,3.24087,10478.2,95313,16.9355,8.00339,13.2512,16.3746,18.509,7.46576,8.52368,12.6521,13.8706
125,0.562304,317.567,256.751,311,14.5125,11892.5,85733,16.1947,11.4328,11.1669,14.2773,16.8757,10.5838,12.4213,10.7862,11.7191
126,6.50874,283.622,193.12,255,0.143243,19551.8,992371,9.33638,13.8666,14.6647,7.57712,10.788,12.4027,15.5765,13.4898,16.1745
127,6.49993,323.49,202.553,293,0.15759,8869.69,991028,6.63405,11.442,11.1414,5.16432,8.5608,9.71152,12.7925,9.71992,12.1951
